,Word,Value,Freq
15725,fool!â€,-2.089105769166474,1
8409,fear.#life,-1.9044472409641324,1
6901,:((,-1.442645815990693,5
15187,:(((,-1.4274004596717937,2
6981,kidnap,-1.4095778677458526,1
16887,action.â€,-1.37626065094662,1
23146,:-(((,-1.2876835609844106,1
10481,vulnerable.-,-1.2859728177083132,1
9203,>:(,-1.271018902981902,2
5482,morestuffithoughtwouldneverhappenagain,-1.2520641245612298,1
1599,flower.~s.c.,-1.2125117833937826,10
4833,weapon!haha,-1.2058367350449164,1
4971,@rachcav,-1.1405344147122267,1
6872,day!!î,-1.132439943387954,1
15574,"""#islam",-1.1271428671323147,1
206,:(,-1.1165159622613725,341
18527,@justiceyilek,-1.0854672690335114,1
691,:'(,-1.0635611979738073,53
17505,@soveryawkward,-1.0412016065833263,1
23375,@siobhanshannonx,-1.038978725568697,1
8662,understand.â€,-1.0368876800797007,3
19278,hateeverything,-1.0081272490372886,1
13299,@peteyg13,-0.9873112497064683,1
592,gaaaah,-0.9851280402573135,1
10660,@lastnamebabyboy,-0.9777349555680711,1
19768,fearoftheunknown,-0.9716893743481727,1
3554,@leahmatusow,-0.958081290537778,1
11754,@ghaliia,-0.9348198816034137,1
20345,@illestmc_tas,-0.9268710410691139,1
19400,revengewillbemine,-0.9233722320003878,1
19563,it!calcutta,-0.9203590092411964,1
8468,shutthefuckup,-0.9167677012874802,1
11003,@jranderson11,-0.9153875516981143,1
20460,@stephlowther,-0.9146079414469354,1
9680,@stevenlazar0ff,-0.9091181887579818,1
20910,@patriciadenise,-0.906080943000414,1
20246,soon.#sadness,-0.895953433840579,1
7029,@ashelysmashley,-0.8921627646273044,1
13594,@colleenchiuchiu,-0.8878988066087765,1
11084,u.u,-0.8842948483962386,2
20577,@spongebobsqhead,-0.883934759992854,1
16719,blblbl,-0.8829311826965693,1
7932,@mackenziekeys,-0.8817468547961949,1
5658,@cganderson87,-0.8816703197562257,1
9220,shitcockfuckballsandshitdickarsetwat,-0.8803014564808658,2
13718,@ohhaiitscarli,-0.8759488639586116,1
9046,@justinexclark,-0.8752335740949264,1
8745,@turningthescrew,-0.8683788512510702,1
7623,conflict,-0.8570996697992086,2
17643,@kerlynlesmes,-0.85652160975886,1
16908,sin.#retaliate,-0.8550954146564006,1
19587,@unbrealievable1,-0.8546226005731288,1
15999,@wellyourewrong,-0.8510703913454835,1
14830,@heatherrosee7,-0.8503752382405634,1
15922,crazy!(:lmao,-0.8493009050725276,1
17620,@kris10rakes,-0.849211526799251,1
14798,@knappalapalin,-0.8491886576203478,1
18759,ineedalife,-0.8480221357892503,1
21542,e.lynn.harris,-0.8449809108281428,1
16517,@britt3marie3,-0.8442726812134798,1
19055,howlonguntilnextsdlc,-0.841861033668885,1
18927,poll.pollcode.com/iv4t,-0.8413830308233333,1
19123,growgrowgrow,-0.840424560156523,1
17699,kpele!!!rt,-0.840213150751291,1
19894,@freethehikers,-0.8377583289721073,1
11417,@bigbossfelipe,-0.8348964438805677,1
9591,damnyougravity,-0.8348236394668431,1
7889,@tomseabrook93,-0.8328549398338062,1
18290,wrecks,-0.832322851435222,1
21179,seriously?did,-0.8314329255404306,1
7023,grrrrr,-0.8299678607166712,2
12236,@rickysgotswag,-0.8269930845448696,1
4808,unauthorized,-0.8229404895143301,2
6821,@cmichelleo321,-0.8205974556633508,1
19369,â€œ@vinnyguadagnino,-0.8184328567290651,1
4743,:-(,-0.8161064003450273,12
4863,@alanritchson,-0.8155426132554591,1
14822,@brokenhalo,-0.8137162306206872,1
5413,@kendrakoziel,-0.8114271579224448,1
6825,p.j.,-0.8078942755988815,1
8150,@lrkyzer,-0.807101648266499,1
22061,@rebeccaspence13,-0.8054775300245101,1
20161,@bigwilly78,-0.7996704552203829,1
12248,x2,-0.7995915324081524,1
17298,@japaciorek,-0.7987709427476348,1
8566,@fahadjawad,-0.7984681802557874,1
4244,@camdynolivia23,-0.7933291250048796,1
11741,@migueltorresmma,-0.7908571336096465,2
18222,sorrynotsorry,-0.7882773390187631,2
13820,watchyourback,-0.7869482856769141,1
12546,@briehaner,-0.7869229531197838,1
14416,saddest,-0.7865868821654358,1
11615,â€œ@ghasf,-0.7835822544763221,1
18675,@aaroncurry51,-0.7829157826833099,1
17091,â€œ@theonly_bk,-0.7814681604946319,1
19962,@bobbystompy,-0.7794437277755073,1
8429,#surprise,-0.7786909849264226,2
5674,themoreyouknow,-0.7775099275416537,1
