,Word,Value,Freq
4819,understand.â€,-1.02110025714672,3
4735,christmasspirit,-0.9604811407625675,1
7124,afterthanksgiving,-0.7588416002690792,1
1464,alwayslearning,-0.7178352819755673,1
6482,erghh,-0.7075843065977097,1
6415,@sophia_shaffer,-0.7060724088049029,1
2246,goingtofreeze,-0.6710032466799021,1
6313,someoneentertainme,-0.6629595309495926,1
5203,incoherent,-0.6585477702319622,1
3023,flower.~s.c.,-0.6558815778698773,3
2003,babysitting,-0.6488347087288275,2
3291,boldness,-0.624306526966393,1
4533,purpose+authenticity+joy,-0.6110467603430152,1
7213,loyalty,-0.5914897993206978,1
6887,gonnabealongnight,-0.5734579339623451,1
6190,winâ€â€,-0.5722496411763132,1
1773,winter+christmas,-0.5690762586891651,1
5493,@whencamswentham,-0.5685004688566551,1
6854,beenlivinglikeafrenchdwarf,-0.5684919618070126,1
4402,î,-0.561617910861969,1
7128,love.â€,-0.5465643398463726,1
5917,lessâ€wooooowwwww,-0.5459619441535324,1
4614,preachings,-0.5459412708878517,1
3062,â€œ@jesus_calling,-0.5454251766204834,1
1382,â€œthe,-0.5389494430273771,1
7126,â€œ@doreenvirtue444,-0.5286224420325687,1
7619,christmasshopping,-0.5135014150291681,1
10823,someonegivemeattention,-0.5042559057474136,1
5623,more!!!!.,-0.501510803680867,1
1461,complacency,-0.4949050061404705,1
7046,fartherthanithought,-0.4926575931409995,1
1473,itsnearlychristmas,-0.48882939169804257,1
4864,joy.â€,-0.48442813715041433,1
5295,joke!!!!â€>lmaoo,-0.4751982146962767,1
8006,feasting,-0.47433490213006735,1
4832,revelations,-0.46785740088671446,1
6937,eucharistic,-0.46528101433068514,1
1170,taster,-0.464157204143703,1
1108,@logankellams,-0.4630506671965122,1
9159,gradschoolproblems,-0.46112289465963835,1
7662,herecomes$$$$,-0.4608864866662771,1
3406,â€œadults.â€,-0.46087137402759654,1
2189,frightening,-0.45909154415130615,5
6996,everytrickinthebook,-0.4590160008519888,1
3055,up!factor,-0.45815786812211934,1
4925,ouchieee,-0.45366961508989334,1
6101,@astronaut__high,-0.4534054910764098,1
3388,@soulheartpart,-0.45263412435139927,1
5801,-psalm,-0.4514455059543252,1
4526,bornmad,-0.4512254619039595,1
6247,5daysleft,-0.4488374744541943,1
322,revengewillbemine,-0.445166140794754,1
2305,ptl,-0.44173310697078705,1
5410,awaits,-0.44016503542661667,1
2227,puting,-0.43897648341953754,1
7190,@chefboyareg,-0.43835592456161976,1
1152,purr,-0.4368870370090008,1
2705,tedxamswomen,-0.4367675657073657,1
2941,bedtime,-0.43359453541537124,3
4503,...............,-0.4335441911504382,1
4278,excellence,-0.43049269914627075,1
6182,progress,-0.42948004050413147,1
4097,barf,-0.4181830709179242,1
6537,-martha,-0.4164505327741305,1
6320,thankfulfor,-0.4159427757064501,1
7475,shewomen,-0.41346348142251377,1
3838,:)),-0.41311378764609497,2
2314,loveduckhunting:)â€/,-0.41257075924027176,1
7468,@jnels4,-0.4074843206520503,1
6374,@emleefaye,-0.4059301231836798,1
3951,@theofficialyule,-0.40550975129008293,1
3889,omelette,-0.4032815732061863,1
2188,strictly,-0.4023272879421711,5
1995,â€œ@revrunwisdom,-0.4022479732483626,25
5988,worshiping,-0.4010231209297975,1
6361,goucherâ€@teaganrozmus,-0.40060911824305856,1
5092,rtâ€œ@revrunwisdom,-0.39898718893527974,1
5181,musicalgeek,-0.3962925439700484,1
2408,trimming,-0.3942639948800206,1
10356,thegoodwife,-0.39336114935576916,1
4280,home-,-0.39309229142963886,1
4973,joyful,-0.3904138100721563,4
2090,happybirthday,-0.3877068758010864,1
1643,youregettingfivepages,-0.3858647429599212,1
5965,itspayday,-0.38563567996025083,1
6817,ovation,-0.38552004750818014,1
7051,ewwww,-0.3848207630217075,1
5790,@valrayjor,-0.3835924477316439,1
6839,christmasparade,-0.38233356387354434,1
9185,grading,-0.37944531440734863,1
2083,tablesâ€,-0.3785394988954067,1
4521,adore,-0.377894529607147,1
5892,laborer,-0.3772406205534935,1
2635,jaqstone,-0.37607461400330067,1
9683,ohmypotato,-0.3723862707614899,1
4744,@lindsay_mathers,-0.3704693941399455,1
7896,â€žâ€‹(â”œ__â”,-0.36980179817903613,1
7603,@jessnicole210,-0.3697703869123264,1
20,unlovedchild,-0.3687810995616019,1
3525,expectations,-0.36762245687922196,2
5084,h.k,-0.367074316367507,1
6520,42:5,-0.36705925327260047,1
6108,cherish,-0.3642315845936537,2
6701,face.~,-0.3631713909230062,1
4339,daddys,-0.3612474440596998,1
6697,life.â€,-0.3607946668884584,1
533,@sarahclusserath,-0.35835918717914156,1
7567,goodwilltoallmen,-0.35744466818869114,1
2729,own.(suum,-0.3550076112151146,1
2666,godmother,-0.3518342333845794,1
4152,bosom,-0.3515779860317707,1
8303,significant,-0.3509860159829259,1
4478,tremendous,-0.35088503011502326,1
3383,quenched,-0.3497741296887398,1
3083,churchhhh,-0.349749100394547,1
6463,jean,-0.3491743728518486,1
5389,proclaim,-0.3473875359632075,1
2058,sunshine.tots,-0.3473327332486709,1
11205,rememberthat,-0.3472571521997452,1
5883,studyinghard,-0.3471660800278187,1
3892,shutthefuckup,-0.34540771786123514,1
4621,it.~shug,-0.3451853349494437,1
2869,happyness,-0.34458445043613517,2
3230,-@escapethefate,-0.341305177193135,1
6684,happiestplaceonearth,-0.34027930349111557,1
6521,smoovebaritone,-0.3397679813206196,1
6737,xcodeâ€,-0.33918089233338833,1
7421,spikedcider,-0.33892775140702724,1
5495,readying,-0.33684162329882383,1
2577,celery,-0.33679182082414627,1
3600,richness.otherwise,-0.3366372083779425,2
6426,nochocolate,-0.33612553030252457,1
2740,inspire,-0.3353960122913122,3
7125,muahaha,-0.33531294018030167,1
6289,anat,-0.32959774960622645,2
4687,solemn,-0.3289108034223318,1
6734,detention,-0.3283490724861622,1
2977,amen,-0.3282033253815912,3
4794,gloryofthecross,-0.32818649895489216,1
6871,â€œ@feeqdeuce,-0.3280045557767153,1
4073,stoked,-0.3275825397577137,1
6310,@inspired_guide,-0.3259256567273821,1
6174,helpuslord,-0.32375375647097826,1
1095,guests,-0.32279175240546465,1
6618,woop,-0.3224907238036394,1
4702,lunchtime,-0.32244558073580265,1
5969,diligence,-0.32125789439305663,1
1117,avoid,-0.3190447165970063,9
7227,freeeeezing,-0.3188817948102951,1
6696,â€œto,-0.3186452304944396,1
3981,yum,-0.31718066707253456,1
1996,lessâ€,-0.3170053732270996,27
2603,bestdreamever,-0.31654062308371067,1
1898,speaks,-0.31649936037138104,1
4830,contrbuteâ€,-0.3151307677229246,1
7624,-babe,-0.3145053400658071,1
