,Word,Value,Freq
4427,exhaustion,-4.165800296763579,1
22448,î,-3.9321746295865845,1
6410,labor,-3.4433830634523663,1
12118,exercises,-3.2737729931250215,1
14110,pity,-2.9844566381846866,1
11143,abandonment,-2.8476989154154673,1
6218,caring,-2.8424926666276793,1
18700,213,-2.7819352780503257,1
505,obedience,-2.7734342933011553,1
8566,punishment,-2.6828068327956966,2
4060,meditation,-2.645532415436685,2
16667,counseling,-2.59583414706712,1
22327,crippled,-2.571777766694625,1
23153,dilemma,-2.4541203137487173,1
11549,canteen,-2.412418126503562,1
16926,scraping,-2.3838145449757575,1
6246,hostility,-2.3779480853363086,1
7420,depleted,-2.366192331770435,1
15689,devotion,-2.3315904399468783,1
2273,concerts,-2.3128067911085157,1
4221,elimination,-2.2533411174586453,1
16977,chewing,-2.249860359268496,1
14951,circles,-2.242409968935095,2
10201,lt,-2.2224346578997722,3
21414,prix,-2.2012511700290767,1
20777,infinite,-2.199936738079332,1
23345,fades,-2.1676988121277345,1
22830,advertising,-2.1589450241711727,1
11962,resume,-2.1243670596416457,2
7666,mayhem,-2.0808226494841717,2
11552,=(,-2.0694352135703578,5
13406,reject,-2.027831324283299,1
13939,loneliness,-2.0143129296019535,5
4727,medication,-2.0113476952820113,1
4205,rage,-1.988594697234378,21
21121,skipping,-1.9844224373499553,1
22975,sundays,-1.9613019595543544,1
3596,lens,-1.9387510748541432,3
15581,lacrosse,-1.9359777371088664,1
260,disappointment,-1.933358374727844,4
15083,dignity,-1.929344012268952,1
8810,._.,-1.9006993679874906,3
20996,slump,-1.885709041424056,1
17609,symbolism,-1.8836986826111872,1
22169,today/,-1.8785702275733156,1
15231,bordering,-1.8632467866820448,1
19812,hymns,-1.8379638412028652,1
475,grounded,-1.8192079779264188,2
11423,productivity,-1.813875564626078,2
10618,profound,-1.8036677260435634,1
17886,ruthless,-1.8030042876670889,1
4174,promising,-1.8025809252146807,1
9401,brutal,-1.7970860917279297,2
16599,trembled,-1.7863120324241046,1
23315,oneself,-1.7791294942299525,1
16981,discouraged,-1.7476109867341019,2
7858,problematic,-1.738830801091709,1
9654,spots,-1.7351682702254796,1
2352,oblivion,-1.733961792042711,1
11651,denial,-1.7227056742205367,3
15595,lara,-1.7201067636497536,1
11221,recover,-1.7191558576738224,1
23285,sacrifice,-1.710006569790496,1
12028,drifting,-1.7065080520519647,2
15220,inner,-1.7025917375872892,3
16468,surgeon,-1.6960322677212605,1
16482,scriptures,-1.681506867783192,1
4794,frustration,-1.6802377994938755,20
10135,chronic,-1.6750900036511005,3
22395,peaceout,-1.670816581696272,1
16745,apologetic,-1.6692550033330917,1
16824,skiing,-1.6683812563456755,1
21226,practiced,-1.667813303481255,1
18898,twisting,-1.6528438313376337,1
20400,howling,-1.6468017470404819,1
3041,fury,-1.6423851706940047,4
18433,fatigue,-1.6405127685894036,1
1800,excellence,-1.6339729480170764,2
22005,repetitive,-1.6259006505662743,1
8406,cycle,-1.6198098212121572,5
14736,curry,-1.6154392026364803,2
877,overflow,-1.61036773622036,1
10416,holocaust,-1.603821082200664,2
22076,journalism,-1.6016990754864224,1
4886,dread,-1.6014135547447568,3
12452,ashamed,-1.5860434255662696,3
19477,algorithms,-1.5857572828729947,1
3568,grading,-1.5702071660873145,2
21178,inability,-1.5654856202728822,1
6959,sorting,-1.555425582654201,1
18591,melting,-1.5476892300260565,1
10432,coma,-1.5190129616930215,3
22765,expense,-1.5174584778445261,1
19972,â˜º/,-1.515648417501596,1
17133,bombay,-1.5066851120856073,1
14217,dumped,-1.5018341162574609,1
10624,dire,-1.4991882809593033,1
19265,reset,-1.4781014853822336,2
9907,understands,-1.474012236938413,1
23311,gigantic,-1.4734535291230768,1
17942,heroes,-1.4691424688013892,1
15004,pain!â€,-1.468586830345866,1
6341,torment,-1.4666357340912022,1
3438,fever,-1.4653509031757732,8
10476,boredom,-1.459021146982949,3
14597,organising,-1.4528659226542169,1
17357,dissolved,-1.4506826239372383,1
16252,detrimental,-1.4469740071023502,1
23088,digestives,-1.445583514455292,1
206,:(,-1.4437873516260717,360
