,Word,Value,Freq
21487,http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahukewiojnas8cjlahwftcykhu7jdv0qfggcmaa&url=http%3a%2f%2fvegasinc.com%2fbusiness%2f2016%2ffeb%2f22%2flas-vegas-rooftop-solar-company-files-for-bankrupt%2f&usg=afqjcnh-njod8n940eizmep4aajeonjkig,-2.862635926601278,1
1444,---------------------------------------------------------------------------------,-2.8199699138006813,1
23812,http://www.jrn.com/ktnv/news/dirty-dining/dirty-dining-kahunaville-278585471.html,-1.7070826143026365,1
22073,150.00service,-1.4712187825657783,1
24343,expensive!not,-1.2972347287744994,1
19402,7.01,-1.2158167146234997,1
16080,service.we,-1.1769776464972113,1
6917,..............,-1.098435959560108,2
16610,dump!!!,-1.0929608903825283,1
25114,...............,-1.0534362817807812,2
24977,prepared(12,-1.0515008319007133,1
15263,60$.,-1.0490557167679073,1
8231,disapponied,-1.0309959078828492,1
23458,pm?????really,-1.0068512671582757,1
25531,t_yiqnxuddppcn2z4qyeza?return_url=%2fbiz%2ft_yiqnxuddppcn2z4qyeza#ng,-1.0020876513817174,1
23800,theater!!!please,-0.988378788344562,1
15703,worsthomefries,-0.9877640444785356,1
20540,hoooooooooooooooorrible,-0.984910450875759,1
4684,http://dzakinsdeli.com/gfx/pics/corned_beef_sandwich.jpg,-0.9779170141872937,1
23891,uneasant,-0.9492212500772439,1
25037,sauce!!!!!!!!!!.,-0.9167920995917586,1
16651,umbeyonce,-0.8572749703598674,1
17046,http://flic.kr/p/c7gdis,-0.8569684033523751,1
19917,disappointed:/,-0.8303514758008532,1
7442,overwhlemed,-0.8268209627131,1
18994,當前台告訴你要等五分鐘的時候，如果你不是白人，準備好等三十分鐘。one,-0.8187961370373765,1
20985,worstest,-0.812192704109475,1
23971,massageenvyblows.com,-0.8086632685735823,1
24578,overcoked,-0.8069087903946637,1
2584,http://www.abc15.com/dpp/news/region_phoenix_metro/north_phoenix/phoenix-wedding-venue-under-fire-for-violations,-0.8025986041831153,1
21812,ofcource,-0.7964982106350362,1
3981,money!terrible,-0.7945222052345344,1
14210,dissatisfying,-0.7877714236577352,1
14338,else.service,-0.7819571934329967,1
22868,worst.food.ever,-0.7756918259109631,1
12280,gagged!!!hummus,-0.7636152821459941,1
13222,7:30pm-8:30pm,-0.7443334679119289,1
8576,cacophony,-0.7075033561282215,1
25468,http://webapps.achd.net/restaurant/restaurantdetail.aspx?id=201302080011,-0.6984865938623744,1
12140,4.80,-0.6563790823759822,1
22765,everyday?really,-0.6518519390374422,1
26191,pitifully,-0.6402836910570445,1
16079,drink.terrible,-0.6349751237158974,1
15462,unforgivable,-0.6194710521759199,2
10591,8/13/16,-0.6152476578551744,1
20178,10.90,-0.6070412524776267,1
24123,overrrrrrpriced,-0.6020234681665897,1
22800,ewwwwwwww,-0.5983937459066511,1
20381,bait.stay,-0.5963417029784371,1
18536,azcentral.com,-0.5933881536564407,1
16155,service--,-0.5901352271030191,2
22786,arghh,-0.589032284449786,1
25609,horifically,-0.5881970218061248,1
24164,acceptaible,-0.5874062122078612,1
6679,18.95,-0.5830369510222226,1
10703,underemployed,-0.5824169535189867,1
20776,mouth.i,-0.5789025525252025,1
25143,s.l.o.w.,-0.5778401473706418,1
8396,kingsofit.com,-0.5765187039656878,1
21411,insincerely,-0.5745586381138613,1
15268,underwelming,-0.574443539050186,2
11900,huffy,-0.5713800366502255,1
17334,..........................,-0.5711891646735645,1
7355,mush-,-0.5700027775019407,1
18019,company!!!!the,-0.5613032405624954,1
21872,untrustworthy,-0.5607804816216231,1
6198,sleeze,-0.5589851707220077,1
15514,9.30,-0.5508146146312356,1
24150,shushi,-0.5448162009357475,1
16081,benny's.we,-0.5424189223926528,1
25847,jons,-0.5414672006542484,1
11333,barristers,-0.5365757830440998,1
16253,http://www.yelp.com/biz/vegas-seafood-buffet-glendale#hrid:jniwxv7pdciru7phaetmra,-0.5342013609555447,1
18189,1.dealers,-0.5312466595851975,1
17954,ott,-0.5310256467666477,1
10705,blech,-0.5298337268898985,3
17047,http://flic.kr/p/c7gdr3,-0.5298270757625008,1
23436,find.but,-0.5297231711447239,1
20871,underdelivered,-0.5277885536239906,2
9834,wasloud,-0.5272034894675016,1
21479,inauthentic,-0.5255996082495484,1
1610,mediocre,-0.525084878629055,333
7485,base)-,-0.5205153378657996,1
18490,..........,-0.516546439269301,4
25867,pretzles,-0.5101627102121711,1
24631,unchewable,-0.5082774775102734,1
7458,espresso??no,-0.5060453545368675,1
17054,beware!!!!!was,-0.5041683603937809,1
18192,hogs,-0.5039989485327775,1
24543,racists,-0.5023218645947054,1
13571,6.50pm,-0.49747821683330196,1
12989,booooo,-0.49708843138068914,1
15451,waaayyy,-0.4949773921298273,2
12847,dishonored,-0.4942000536248088,1
26166,stars!!!thee,-0.4927705182383458,1
24390,https://www.google.com/amp/s/www.nbcdfw.com/news/local/chilis-apologizes-after-manager-takes-meal-from-veteran-401029745.html%3famp=y,-0.49257953640558827,1
22737,stodgy,-0.49029546361416576,1
24702,extreamly,-0.4891302330535836,1
23063,sloooooowwww,-0.48898729284604403,1
11342,disengaged,-0.4884141559627923,1
22407,-hash,-0.4870795550057665,1
25714,slooooooow,-0.4863816584563918,1
22137,thimble,-0.48490810046593347,1
21025,www.bohofurniturescams.com,-0.4833693597341578,1
5278,7:40pm,-0.4820389962858624,1
8563,undersalted,-0.4820350574996073,2
24022,commensurate,-0.47713713767006993,1
19520,cheap.pizza,-0.4762961934825095,1
8852,beware!this,-0.475671381020164,1
23529,whaaaaat????where,-0.4755913097965603,1
14959,shunned,-0.4748669124674052,1
11930,slooooowwwww,-0.47413640239818855,1
23794,5$.,-0.4736329940280744,1
14236,salesmanship,-0.4718360577775329,2
965,impunity,-0.4668544230633416,1
14971,unapologetically,-0.46647624174753827,1
21559,unappealingly,-0.46465594838890767,1
20307,7:21am,-0.46454222926071714,1
21306,dirty-,-0.46398962164918583,1
11494,uggg!!!!cant,-0.4625724843752227,1
20615,sdw,-0.46168367254237336,1
18779,ahhahahah,-0.45685670193698674,1
10983,dissappointed,-0.45348046065731257,3
16474,0/10,-0.45320681783293065,3
8211,thaaaaaaat,-0.45155790176660326,1
23882,astonishingly,-0.45089009290649784,1
9029,medicre,-0.45073834687937053,1
15241,m.c,-0.4501707205704103,1
18191,2.dealers,-0.45012307460641576,1
4227,unexceptional,-0.44753929773441,4
