,Word,Value,Freq
11775,speechless,-0.8181017709041106,2
4084,declining,-0.5022146462575421,1
20213,rigid,-0.44810931827053707,1
5233,assholes,-0.43423692819673054,1
21477,thoughtless,-0.38320280275617724,1
15969,jamal,-0.3321508614354309,1
17309,slamming,-0.3271000366294933,2
15982,doki,-0.31093184232301363,1
15981,toki,-0.2992700743634189,1
18766,nobel,-0.28291160042471486,1
9574,degraded,-0.27150301447898106,1
20611,ridicule,-0.269740809344625,1
2980,contempt,-0.2615022538022516,2
19078,claudia,-0.25388689579800783,1
14167,short-,-0.24144099042801143,1
22466,sickest,-0.24021328788297097,1
6289,puckering,-0.2398066532284778,1
17192,gooood,-0.2329159866235195,1
20661,asshole,-0.22812080579764699,1
4617,currents,-0.22596903809042646,1
7072,unfortunate,-0.20924238791451757,15
20570,mallrat,-0.20614236065307479,1
11428,ruins,-0.19345735189073124,4
22758,messiest,-0.1806397580863537,1
6892,strained,-0.17408359889150052,1
14147,stripped,-0.17302778220672707,2
20049,wilfred,-0.16895850353799938,1
14496,notorious,-0.16407006081880582,2
7503,tentative,-0.16217970257251593,3
5308,shitty,-0.16216884673072404,12
15771,bummbed,-0.15816266464382292,1
8058,slowest,-0.14695081542819452,5
20863,coffeeee,-0.142558606693583,1
10228,uneventful,-0.14235437537943443,1
13481,wasteful,-0.13113996392384825,3
2988,worst,-0.12927547481990534,186
5047,disregard,-0.12925871363096483,3
24037,cainiac,-0.12696869782711645,1
16204,sacked,-0.12682901529524326,1
6041,hysterical,-0.12579761377918508,2
15983,tokidoki,-0.11894492494443121,1
10582,mb,-0.11852390641731342,1
22737,secret-,-0.11770743445237403,1
23530,peracriptions,-0.11760182652400403,1
15546,nowland,-0.11716094756243278,1
5711,shutout,-0.11171044295125371,1
19803,cords,-0.11112188865678493,1
11772,eegees,-0.1075394291943586,1
21674,verweilen,-0.10678173992480933,1
13903,bdubs,-0.10636913602945038,1
21943,strongest,-0.1037527106444041,2
9975,inconsistent,-0.10350095250855514,8
23531,hand.which,-0.10343917040531662,1
3149,coarse,-0.10232265936554942,2
22214,liza,-0.10176198290607441,1
7847,filipina,-0.1017550410742094,1
22094,horrified,-0.09803299631991781,2
2893,mismatched,-0.09640960602348508,2
20933,blackish,-0.09561011775950037,2
22828,-incompetent,-0.09553381219159082,1
3230,disgusting,-0.09506192272029701,39
11758,considers,-0.09466811416253412,1
15730,gentrification,-0.0931096419129789,1
22303,waster,-0.0926839119416534,1
8783,intelligence,-0.0913144999356813,1
14384,blandest,-0.09128036435817126,1
567,cobra,-0.08998863292272286,1
502,terrible,-0.08925334991640145,179
683,hated,-0.0877313000115302,11
1106,vain,-0.08734514049403776,1
19560,swenson,-0.08614733924197686,1
2997,zero,-0.0861392013856448,43
17541,blander,-0.08258236835780486,1
11969,overslept,-0.08124419525014832,1
17284,upsetting,-0.0803997329336587,3
11833,flagging,-0.08039803455189926,1
15472,religiously,-0.07930763061084445,1
11121,junk,-0.07924436732735113,4
22900,termination,-0.07857184234272327,1
17145,diff,-0.07812733389215784,2
15964,freeze,-0.07694423901211547,2
23019,rok,-0.07673317701767002,1
8238,exaggerates,-0.07636904881708666,1
22316,frickin,-0.0757573346352526,1
24272,barren,-0.07531342093095225,1
23810,tactic,-0.075311993274644,1
14193,muddy,-0.07525987647597074,3
14840,atrocity,-0.07427693755015083,1
15371,staggeringly,-0.07409325874232675,1
8684,inferior,-0.07351990485045884,3
16421,thr,-0.07332811014992849,1
557,horrible,-0.07291734031403929,177
