word,score,wordCount,NN_Rank
joy-,18.554987,1,0
gladness,15.24872,5,1
joy,15.216555,366,2
joyful,13.315876,25,3
uplifts,12.802968,2,4
joyous,12.332147,17,5
uplifting,11.959973,2,6
sunbeams,11.828008,1,7
radiant,11.447429,3,8
radiate,11.173788,9,9
oneness,11.048398,1,10
contentment,10.727345,5,11
philippians,10.66827,1,12
nannying,10.146779,1,13
uplifted,10.090544,1,14
hosanna,10.088727,1,15
blessings,9.998141,31,16
brighten,9.880215,3,17
uplift,9.785154,1,18
joys,9.669773,6,19
gospel,9.438287,14,20
newsboys,9.411619,1,21
excelsis,9.275345,1,22
unalloyed,9.227965,1,23
divinely,9.127663,3,24
positivity,9.008883,3,25
gratitude,8.936166,35,26
fettling,8.875069,1,27
thankfulness,8.863992,5,28
joy!,8.86166,3,29
youthfulness,8.846741,2,30
teething,8.811373,1,31
jubilant,8.740323,1,32
grace,8.615941,31,33
holyspirit,8.614393,2,34
joyness,8.529295,4,35
overflows,8.502883,1,36
microsystem,8.477947,1,37
orderliness,8.447196,1,38
fellowship,8.348332,2,39
marvelousness,8.332545,2,40
ecclesiastes,8.3103485,2,41
cheerful,8.281779,6,42
2.30am,8.237463,2,43
shalom,8.225221,2,44
achey,8.158564,1,45
delighted,8.146581,5,46
happines,8.081048,4,47
gushed,8.066708,1,48
carolers,8.066426,1,49
shovelled,8.04068,1,50
sparkles,7.9969397,2,51
laughter,7.990941,22,52
praises,7.990877,1,53
magnificence,7.9717507,1,54
commuting,7.9639587,1,55
blessed,7.8774667,45,56
ministry,7.8754983,8,57
rejoicing,7.8501444,1,58
sunshine,7.836632,15,59
physiotherapy,7.832517,1,60
smile,7.8282285,124,61
divinity,7.8188467,1,62
bunged,7.7983003,1,63
gr8ful,7.7756243,3,64
give-,7.7420573,1,65
unconditionally,7.656395,2,66
payslips,7.633579,2,67
humbled,7.629518,1,68
wholeheartedly,7.5875735,2,69
housework,7.561856,1,70
itsu,7.560922,1,71
queuing,7.5496683,2,72
christmastime,7.4812913,3,73
carols,7.4596806,11,74
delight,7.4489036,11,75
cosied,7.441954,1,76
baubles,7.430535,1,77
simplicity,7.429405,3,78
tangibly,7.399952,4,79
praise,7.389958,21,80
happiness,7.389521,146,81
shines,7.3890285,3,82
generously,7.373189,1,83
cushion,7.361631,2,84
shine,7.351922,21,85
grateful,7.351047,25,86
hymns,7.3351846,1,87
shining,7.330873,7,88
fullness,7.301488,6,89
gracious,7.2302,2,90
abundant,7.2039003,4,91
extolling,7.1896615,1,92
abounding,7.1755013,1,93
deaconess,7.1602902,1,94
panto,7.119638,1,95
lighten,7.097943,1,96
tonsillitis,7.0809693,1,97
warmth,7.0791125,7,98
caroling,7.0485306,4,99
beauty,7.0422187,20,100
harmony,7.0257106,11,101
infectious,7.01508,4,102
aglow,7.0002527,1,103
prosperity,6.96416,2,104
pleasure,6.9600186,13,105
pleasures,6.958036,1,106
heartwarming,6.949791,2,107
glory,6.9481897,16,108
meridian,6.9341803,2,109
relaxation,6.931394,4,110
happiest,6.929808,7,111
abundance,6.9065666,7,112
merry,6.9046097,21,113
larch,6.8813047,1,114
holidayseason,6.8786592,1,115
knackered,6.842424,1,116
mercies,6.83149,4,117
tidying,6.8218346,6,118
soak,6.8174934,11,119
wondrous,6.8128233,3,120
sparkle,6.8074727,1,121
brightened,6.805842,3,122
exalted,6.7857623,1,123
rejuvenation,6.7857056,1,124
fills,6.7698827,8,125
hobnobs,6.7655754,3,126
happier,6.7494836,7,127
lemsip,6.7385917,1,128
vibrant,6.712011,3,129
happyness,6.705013,3,130
flow,6.6959143,20,131
bless,6.676814,20,132
bronchitis,6.6739125,9,133
choristers,6.6670847,1,134
bliss,6.6311054,10,135
illustrate,6.630893,1,136
goodness,6.62496,11,137
chickenpox,6.6136513,1,138
soulfully,6.6055646,2,139
flows,6.600927,2,140
ease,6.588873,1,141
equalised,6.5637083,4,142
rejoice,6.563496,17,143
savor,6.547725,2,144
roadworks,6.5409403,2,145
blessing,6.536375,18,146
hallelujah,6.534423,5,147
appreciative,6.5342193,1,148
syzygy,6.5066605,2,149
freely,6.4718904,4,150
chuffed,6.470857,3,151
rays,6.462849,1,152
appointments,6.452315,1,153
defrosting,6.445527,1,154
1.30am,6.438645,2,155
snuggling,6.428622,2,156
quay,6.4207616,2,157
lights-,6.412511,1,158
jolly,6.4066715,6,159
a.m,6.404669,1,160
smiling,6.3789825,23,161
smiles,6.36366,22,162
footie,6.3589106,4,163
praising,6.3530054,1,164
verse,6.3505225,1,165
pack-,6.349147,1,166
mentoring,6.3347588,2,167
unashamed,6.330572,1,168
ecstatic,6.324947,3,169
divine,6.324099,4,170
serenity,6.3211427,1,171
pains,6.3022265,9,172
infinitely,6.3008137,2,173
ephesians,6.2998743,1,174
swollen,6.298185,8,175
marmalade,6.2950177,2,176
minister,6.2829666,2,177
healing,6.2808714,1,178
gush,6.276254,1,179
peace,6.2737684,168,180
christmassy,6.264534,3,181
burst,6.2286243,9,182
