word,NNprob,wordCount,NN_Rank
igourmet.com,43.34813,5,0
whonu,42.540787,4,1
igourmet,33.560715,2,2
versital,30.252256,2,3
terrifc,28.994448,1,4
invaluable,27.831776,1,5
superb,27.63538,25,6
creamiest,27.598558,3,7
mcdougall,27.18255,3,8
tzatziki,26.885843,4,9
wonderful,26.8714,462,10
terrific,26.837973,25,11
soothing,26.719816,14,12
calming,26.668663,3,13
excelent,26.450972,1,14
cloudberries,26.26498,2,15
freshing,26.120354,1,16
wondeful,26.033434,1,17
7-pound,25.977476,1,18
promptness,25.914988,1,19
superbly,25.883917,1,20
versitile,25.744555,2,21
smoothest,25.733232,6,22
lingonberries,25.709162,11,23
purrfect,25.650698,1,24
excellant,25.562922,1,25
nanas,25.42836,1,26
effortless,25.304003,2,27
delious,25.180815,1,28
favorie,25.104366,1,29
cuppa,24.995237,4,30
stockings,24.961973,1,31
relaxed,24.931522,7,32
yummiest,24.876356,1,33
nicce,24.8371,1,34
unfailingly,24.836702,1,35
omega-3s,24.70207,1,36
refreshing,24.694136,137,37
holic,24.649242,3,38
favourite,24.590813,4,39
complements,24.544697,2,40
breeze,24.508451,5,41
exeptional,24.379854,2,42
unbeatable,24.303568,4,43
stumbleupon,24.291796,4,44
tartar,24.26943,6,45
delightful,24.233128,41,46
godsend,24.199636,10,47
timeless,24.196337,1,48
savoured,24.195215,1,49
courteous,24.140684,17,50
ease,24.137943,22,51
fantastic,24.112429,135,52
crispbreads,23.983448,4,53
kneads,23.933962,1,54
omega-3,23.931547,12,55
tofutti,23.905611,1,56
glycerite,23.881725,1,57
unexcelled,23.864973,1,58
marvelous,23.841515,4,59
bestest,23.800673,1,60
coolest,23.793257,2,61
omega3,23.781338,1,62
marinades,23.724756,5,63
moisturized,23.717108,3,64
gaviscon,23.662134,1,65
around.i,23.628895,1,66
quencher,23.534227,12,67
excellent,23.516329,409,68
refridgerated,23.402628,1,69
fesenjan,23.399668,1,70
brisk,23.217607,2,71
fastest,23.185389,1,72
puddings,23.093197,1,73
fluently,22.969948,1,74
deliscious,22.96879,1,75
refrigerated,22.955568,19,76
delighted,22.923624,32,77
fattoush,22.918325,4,78
15-ounce,22.834972,2,79
painless,22.82646,1,80
chilled,22.814829,12,81
relaxing,22.814232,16,82
adores,22.766792,3,83
versatile,22.743929,25,84
flavourful,22.736595,1,85
vinaigrettes,22.73598,1,86
magnum,22.726755,1,87
efficient,22.707815,8,88
speedy,22.707422,9,89
anytime,22.663578,37,90
progessing,22.586416,1,91
splendid,22.55694,2,92
expertly,22.471844,1,93
indispensible,22.452707,1,94
statins,22.413252,1,95
lovely,22.249065,55,96
calm,22.236223,7,97
heirloom,22.23181,4,98
beautifully,22.216387,14,99
tacs,22.211586,11,100
bedtime,22.185947,7,101
inexpensively,22.133768,1,102
fav,22.070665,6,103
admired,22.06613,2,104
rediscovered,22.013487,1,105
stocking,21.952093,31,106
fabulous,21.930683,38,107
soothes,21.89617,2,108
lumpfish,21.874407,1,109
icebreakers,21.868773,4,110
marvelously,21.861288,1,111
amazing,21.818079,202,112
dependable,21.808695,4,113
beauiful,21.796432,2,114
flavorable,21.775879,8,115
eased,21.731636,3,116
2-lb,21.729065,1,117
favorite,21.715193,791,118
xuan,21.702375,1,119
brightens,21.696754,1,120
supple,21.582647,7,121
excellently,21.567339,3,122
kiehls,21.54869,1,123
wonderfully,21.490986,26,124
great,21.488539,2854,125
natropath,21.485365,1,126
enjoyed,21.470177,246,127
impresionante,21.452194,1,128
daily,21.439505,159,129
keepsake,21.40885,1,130
complimented,21.367014,2,131
meiji,21.353601,1,132
flashcard,21.351995,1,133
grocer,21.314463,22,134
pints,21.30064,1,135
easiness,21.244043,1,136
creamery,21.175375,1,137
mainstay,21.152452,1,138
lunchtime,21.10636,2,139
probiotic,21.074934,1,140
basmati,21.045603,20,141
kippered,21.031055,1,142
iranian,21.01425,1,143
tastiest,21.000757,10,144
wherever,20.932796,3,145
enjoys,20.926798,43,146
comforting,20.894655,6,147
leisurely,20.88981,1,148
12ozs,20.86184,5,149
cucumber,20.838163,8,150
satisifies,20.81095,1,151
friendly,20.809963,38,152
25-pound,20.782093,1,153
peasy,20.728231,1,154
invigorating,20.706514,1,155
sprigs,20.700819,5,156
wegmans,20.66013,3,157
francaise,20.652157,1,158
breezy,20.641375,1,159
swissmiss,20.617468,1,160
bg,20.561846,6,161
relieving,20.543797,1,162
quickest,20.535265,4,163
sweetest,20.50893,6,164
10-star,20.495388,1,165
use.i,20.466997,4,166
moisturizer,20.463589,2,167
reassuring,20.41817,2,168
freshness,20.416288,38,169
brisker,20.414972,1,170
pleasure,20.405128,25,171
zesty,20.35705,6,172
heckuva,20.351305,1,173
10-ounce,20.33286,1,174
reliable,20.325182,22,175
perky,20.292658,1,176
awsome,20.291334,2,177
trang,20.281572,8,178
crispness,20.278223,7,179
nicest,20.255129,7,180
priceless,20.241896,1,181
calms,20.214409,3,182
elegant,20.185688,8,183
prefect,20.158066,1,184
smoothe,20.148584,4,185
adore,20.113699,12,186
happiest,20.102545,1,187
reciepes,20.10085,1,188
oriental,20.072357,26,189
dollop,20.067415,1,190
blessed,20.052713,1,191
handy,20.029535,26,192
marinade,20.026114,23,193
trusty,20.019522,2,194
toothache,19.999346,7,195
momento,19.997253,2,196
purchses,19.958258,1,197
crisp,19.924316,120,198
affordable,19.899065,48,199
popsicles,19.89662,2,200
versatility,19.872515,3,201
keto,19.86107,2,202
snacky,19.84667,1,203
gorgeous,19.836836,6,204
fresh,19.824556,622,205
splendidly,19.81993,5,206
patisserie,19.794315,1,207
retriever,19.770176,8,208
snappiness,19.770071,2,209
ahmad,19.755354,17,210
savored,19.742765,2,211
crispier,19.738054,4,212
mauna,19.732601,1,213
invigorates,19.732481,2,214
dentist,19.708986,2,215
pint,19.702126,10,216
scrumptuous,19.692656,1,217
finest,19.680058,8,218
treat-,19.653814,1,219
creaminess,19.635107,17,220
dittos,19.626959,2,221
accompaniment,19.604351,3,222
yummmy,19.588623,1,223
-free,19.569143,1,224
zico,19.555796,7,225
freshens,19.532757,1,226
best.i,19.493345,2,227
calmer,19.477854,1,228
recloseable,19.473574,1,229
braces,19.461575,2,230
progresso,19.453777,13,231
wholegrain,19.44666,2,232
delicous,19.423525,6,233
rewarding,19.403814,4,234
inexpensive,19.401474,43,235
elequent,19.393122,1,236
gentle,19.38765,15,237
fave,19.3475,7,238
crunchiness,19.343752,1,239
2tbsp,19.33172,1,240
jugs,19.327093,1,241
smoothly,19.26711,2,242
wounderfull,19.243385,1,243
unparalleled,19.232008,1,244
sturdy,19.221054,13,245
crafte,19.21924,1,246
wheaten,19.212519,7,247
persian,19.209345,11,248
tarter,19.207247,2,249
satisfying,19.196808,72,250
flawlessly,19.166727,1,251
dressings,19.14472,16,252
enjoyable,19.136845,59,253
muscle-,19.129135,1,254
15-pound,19.088873,9,255
enhances,19.085161,11,256
favourites,19.078764,1,257
shoppe,19.074572,7,258
4-pound,19.03002,1,259
mackerel,19.028036,6,260
hearty,19.023323,15,261
weekly,19.003712,9,262
lagering,19.00242,1,263
bedside,18.996464,1,264
grandaughter,18.98445,2,265
crispiness,18.972769,3,266
neat,18.972147,5,267
pharmacist,18.93336,1,268
delisious,18.920973,1,269
cardigan,18.906195,1,270
choicest,18.89142,1,271
meltingly,18.890911,1,272
yumm,18.87482,5,273
sumac,18.867271,1,274
bha,18.859089,4,275
cordial,18.849558,1,276
wonderfull,18.846767,1,277
istanbul,18.835,1,278
immensely,18.832193,15,279
steady,18.831377,12,280
smooth,18.79962,311,281
40-pound,18.796549,1,282
swedish,18.787868,10,283
fab,18.780016,3,284
chewiness,18.761335,14,285
enchanting,18.748663,1,286
flatbreads,18.747507,7,287
30-pound,18.713894,1,288
shakespeare,18.71303,1,289
inflamation,18.69475,1,290
phenomenal,18.691223,10,291
shorthair,18.675856,1,292
ebf,18.66791,1,293
outstanding,18.654528,37,294
effervescent,18.643814,1,295
gift-,18.62871,2,296
refresher,18.598755,1,297
presoak,18.589754,1,298
reuseable,18.589455,1,299
grandson,18.564425,17,300
tanginess,18.550175,2,301
silken,18.515139,15,302
monounsaturated,18.465872,1,303
refreshment,18.465082,5,304
creamy,18.461153,131,305
thank,18.442045,171,306
brilliant,18.412607,9,307
carbonating,18.398222,1,308
crackerjack,18.386896,1,309
gfcf,18.381804,1,310
easy.i,18.379118,1,311
stocked,18.367115,17,312
smile,18.33595,10,313
grandfather,18.33398,3,314
50-mile,18.332525,1,315
catties,18.320581,1,316
enjoy,18.313784,545,317
acupuncturist,18.299408,1,318
balsamico,18.262985,1,319
expediant,18.245626,1,320
stunning,18.243177,12,321
feta,18.23665,1,322
suplement,18.234875,1,323
7-ounce,18.230556,3,324
yummmmm,18.216028,1,325
5mo,18.204762,2,326
dedication,18.199621,2,327
beautiful,18.174604,55,328
perfect,18.16437,579,329
mellowness,18.160055,1,330
agood,18.151873,1,331
buenos,18.151505,1,332
crane,18.14976,1,333
greatful,18.130764,1,334
chimichurri,18.10782,2,335
tingly,18.098413,1,336
tremendous,18.087296,7,337
diligent,18.085552,2,338
better.and,18.08027,1,339
appreciates,18.029799,7,340
staple,18.003748,41,341
smoothness,18.003729,7,342
recommmend,17.975908,3,343
pace,17.965149,9,344
tangy,17.961851,51,345
goodie,17.959192,8,346
cloudberry,17.950268,4,347
cbd,17.943209,2,348
devine,17.923292,1,349
uplifting,17.923075,3,350
kongs,17.91039,1,351
scottish,17.897552,4,352
awesome,17.887312,215,353
purring,17.882519,7,354
beefeaters,17.880232,7,355
buen,17.870138,2,356
industrious,17.870062,1,357
warm,17.868347,107,358
exceptionaly,17.86313,1,359
sweeties,17.862906,5,360
penna,17.860643,1,361
recepies,17.843718,1,362
assisted,17.837858,1,363
stamps,17.83564,2,364
flavorful,17.827002,170,365
chatting,17.809423,1,366
convential,17.807384,1,367
fantastics,17.80169,1,368
confidently,17.800379,1,369
smokehouse,17.796574,26,370
laddoos,17.789465,3,371
goldendoodle,17.78583,1,372
custards,17.762161,9,373
timely,17.75452,22,374
folksy,17.751944,4,375
meringues,17.751116,1,376
stargazers,17.72846,6,377
8-ounce,17.717627,3,378
longan,17.701548,1,379
complement,17.69682,8,380
patiently,17.683228,2,381
boon,17.679667,3,382
silky,17.670843,18,383
appreciated,17.654634,10,384
limeade,17.63511,1,385
salisbury,17.633734,1,386
incredible,17.62974,30,387
zippy,17.626608,2,388
smoother,17.625277,34,389
pleasurable,17.62224,1,390
exceptional,17.608164,20,391
burmese,17.597998,1,392
masaman,17.579844,1,393
grandparents,17.56925,15,394
appreciative,17.56767,2,395
hurray,17.550016,1,396
goos,17.54333,1,397
tonic,17.534534,1,398
pounder,17.53031,1,399
loaves,17.529259,12,400
fantastically,17.51108,12,401
ripest,17.498444,1,402
looove,17.497934,3,403
aches,17.485079,7,404
praised,17.479458,1,405
powerful,17.479404,25,406
icecream,17.469303,5,407
collies,17.465446,1,408
achieved,17.460955,3,409
kopi,17.46092,38,410
classics,17.447863,2,411
scones,17.443151,4,412
more.my,17.432158,1,413
enjoying,17.430408,53,414
ibd,17.40935,4,415
grandpa,17.391624,17,416
coc,17.379942,1,417
bluebell,17.374094,1,418
unroll,17.36981,1,419
confident,17.307417,14,420
everyday,17.297304,43,421
merrill,17.281849,1,422
instructor,17.281366,1,423
nice,17.262617,687,424
sooth,17.232195,4,425
budda,17.220118,1,426
plaque,17.216356,2,427
toddy,17.21149,1,428
hydrating,17.21013,4,429
thaw,17.205141,5,430
drizzle,17.203627,9,431
pleased,17.186905,149,432
lox,17.183674,3,433
crispbread,17.182318,8,434
emporium,17.18081,1,435
pediatrician,17.180754,5,436
wraps,17.166098,1,437
smoothy,17.163599,2,438
ensured,17.156843,6,439
caster,17.154018,1,440
uncracked,17.143938,1,441
lighten,17.130445,1,442
brit,17.127192,1,443
refreshed,17.124033,16,444
safely,17.121557,14,445
dewormer,17.118126,1,446
flawless,17.114443,3,447
beauties,17.106985,1,448
brined,17.105051,1,449
magnus,17.102217,1,450
cinnamony,17.091082,2,451
grateful,17.089193,23,452
delight,17.051271,28,453
helper,17.049915,1,454
nibblies,17.037416,3,455
mw,17.035055,1,456
naan,17.033289,1,457
gravies,17.021837,2,458
safest,17.015879,1,459
spreadable,17.001364,1,460
mousses,16.990057,1,461
rinses,16.989023,1,462
massage,16.971832,1,463
wonders,16.971003,18,464
lively,16.937723,1,465
marts,16.934004,1,466
naturals,16.91936,49,467
crohn,16.90492,4,468
delish,16.895567,5,469
7.5-ounce,16.893381,1,470
pleasnt,16.892162,2,471
economical,16.883585,42,472
goood,16.882711,1,473
tartlets,16.88112,1,474
freezer,16.870226,44,475
fabulously,16.868704,2,476
commuting,16.862265,1,477
buche,16.855616,1,478
sparkling,16.842985,89,479
helpful,16.842703,30,480
blessing,16.82628,5,481
satisfies,16.81513,8,482
photographer,16.814276,6,483
avo,16.808569,1,484
todate,16.795073,4,485
charming,16.788155,6,486
posterous,16.782606,1,487
energetic,16.776537,5,488
gems,16.772982,4,489
snuggly,16.757315,3,490
notecard,16.75296,1,491
frige,16.745548,1,492
fillets,16.724363,2,493
crispy,16.722622,116,494
gels,16.71383,4,495
mulberries,16.71346,1,496
asset,16.708878,4,497
diverticular,16.706259,4,498
3.5lbs,16.70475,1,499
ensuring,16.703707,1,500
irresistible,16.701757,5,501
wisdom,16.701643,3,502
adorable,16.683311,11,503
healthful,16.671679,7,504
ensures,16.666897,1,505
merrier,16.666367,1,506
flossing,16.659885,1,507
paired,16.657677,5,508
hydrated,16.657553,23,509
stately,16.656538,1,510
