Word,Value,Freq,NN_Rank
grieve,3.9713192,2,0
condolences,3.8220453,3,1
heartbreaking,3.701961,17,2
grieving,3.7013435,3,3
vaquita,3.6413107,1,4
prayers,3.326195,8,5
barakat,3.2752504,1,6
aleppo,3.264608,8,7
sorrow,3.2483928,2,8
orphaned,3.2215853,2,9
dubose,3.1341798,2,10
tragedy,3.1172285,29,11
heartbroken,3.1086226,4,12
tragedies,3.0861027,6,13
wounded,3.074226,3,14
shipwreck,2.9860053,2,15
perished,2.9018025,2,16
unhcr,2.8612165,4,17
angelia,2.8601866,1,18
devastated,2.8596585,9,19
garcía,2.854298,1,20
uganda,2.831768,4,21
captivity,2.816357,1,22
rehabilitator,2.8099966,2,23
mourning,2.8085883,1,24
sadness,2.7981315,5,25
outpouring,2.7701597,1,26
fernandez,2.770064,2,27
healing,2.7633631,3,28
grief,2.7594535,2,29
heartache,2.7578568,2,30
rescuers,2.7450962,2,31
raphael,2.7315888,5,32
tears,2.7180915,9,33
amira,2.7070365,1,34
heartbreaks,2.6795907,1,35
janis,2.6736104,1,36
tragic,2.6714535,29,37
calais,2.66662,4,38
rescued,2.6500235,2,39
loss,2.6480284,23,40
keepsakes,2.6462135,1,41
habitat,2.6456404,6,42
gaza,2.6428695,3,43
zambia,2.6406074,1,44
devestated,2.6153402,1,45
mosul,2.5925443,16,46
myanmar,2.5912805,1,47
meranti,2.58823,4,48
burma,2.5863073,2,49
harrowing,2.5857968,1,50
wildfires,2.578672,3,51
trauma,2.5604348,10,52
plight,2.5585546,3,53
tanzania,2.5551548,1,54
survivor,2.550755,4,55
journey,2.5491142,1,56
wounds,2.5457578,2,57
compassion,2.503863,9,58
saddened,2.4932704,13,59
memories,2.4892192,11,60
anguish,2.480763,1,61
distressful,2.4807415,1,62
rwanda,2.474967,1,63
bernardo,2.4748387,1,64
salama,2.4727867,1,65
precious,2.4726634,5,66
orphans,2.4708939,2,67
memorial,2.4664092,3,68
survivors,2.4627376,5,69
lockets,2.4315367,2,70
aden,2.429527,1,71
distressed,2.4154549,2,72
capsized,2.4135313,1,73
scars,2.4034553,2,74
endangered,2.4019942,16,75
resilience,2.401223,1,76
tammy,2.3972158,1,77
ethiopia,2.3958628,2,78
widowed,2.3951163,1,79
deportation,2.3930223,1,80
sanctuary,2.387788,1,81
duckworth,2.3862686,2,82
syrian,2.3789792,10,83
shelby,2.3786087,2,84
heal,2.371837,2,85
salley,2.367889,1,86
abubakar,2.3520265,1,87
orangutans,2.349466,3,88
joan,2.3456998,1,89
mourned,2.336066,2,90
syria,2.3334436,23,91
gratitude,2.329405,1,92
devastating,2.3273897,8,93
tragically,2.3203979,1,94
cholera,2.3202,7,95
guardianship,2.319726,2,96
wildfire,2.317786,4,97
newborns,2.3139915,1,98
traumatic,2.310468,2,99
childhood,2.3096802,3,100
cubs,2.307283,1,101
katrina,2.306929,1,102
hdp,2.304567,1,103
empathy,2.295839,4,104
ptsd,2.295692,1,105
haiti,2.2886255,16,106
malnourishment,2.287754,1,107
murchison,2.2866335,1,108
purification,2.2837062,1,109
vessels,2.28152,1,110
adoptive,2.2812514,1,111
methylmercury,2.2786436,2,112
encouragement,2.2744641,1,113
syrians,2.2736776,1,114
humbling,2.2699037,1,115
diana,2.2661877,2,116
santiago,2.2611854,1,117
rescue,2.2596846,10,118
tearfully,2.252439,1,119
refuge,2.250205,5,120
firefighters,2.2489984,3,121
families,2.2484913,53,122
braves,2.2472339,1,123
habitats,2.241435,8,124
rehabilitation,2.2379704,1,125
lost,2.2310777,66,126
infant,2.230121,1,127
emotional,2.2217484,14,128
rehabilitated,2.2184343,1,129
infants,2.2182553,3,130
willoughby,2.213591,1,131
catchment,2.2128246,1,132
losses,2.2112253,1,133
ilness,2.2058048,1,134
hardship,2.1984618,1,135
illness,2.1963854,14,136
eleanor,2.195355,1,137
nino,2.1909456,2,138
grandi,2.1829538,1,139
deportations,2.1808867,1,140
refugee,2.1780534,13,141
gilbert,2.1771765,1,142
traffickers,2.1761842,4,143
graham,2.176149,1,144
refugees,2.1727169,35,145
lgbtq,2.1719153,1,146
waterways,2.1699743,1,147
bravery,2.1688504,4,148
convey,2.1653953,1,149
restoring,2.1644483,2,150
humbled,2.1633973,1,151
belongings,2.161827,5,152
bolivia,2.1616192,1,153
empathic,2.1609282,1,154
philadelphia,2.160087,5,155
protect,2.156085,50,156
sandu,2.1546347,1,157
elephants,2.1543367,23,158
orphanage,2.1431203,2,159
displaced,2.1380448,11,160
evacuation,2.136348,1,161
wrenching,2.133655,3,162
verna,2.133266,1,163
traumatized,2.1297035,1,164
learnings,2.1273236,1,165
nicolas,2.1270092,1,166
comunale,2.1268098,1,167
angeles,2.118297,3,168
mariah,2.1116233,3,169
hospitalized,2.1101341,7,170
exile,2.1071904,1,171
repatriation,2.105176,2,172
souls,2.1011453,2,173
distraught,2.1003883,2,174
dehumanizes,2.0988066,1,175
afghan,2.0940163,3,176
caimans,2.090753,1,177
recuperation,2.088481,1,178
sisters,2.0880542,7,179
beloved,2.086533,2,180
suffering,2.0794296,54,181
euthanized,2.0786383,2,182
nutrients,2.0735714,1,183
ministry,2.071967,1,184
livelihoods,2.0712595,1,185
adversity,2.0660295,4,186
restored,2.0651996,4,187
orangutan,2.064221,5,188
cries,2.0629213,1,189
conveying,2.0584767,1,190
yemen,2.0540717,13,191
vulnerable,2.05361,5,192
displacement,2.0524728,1,193
burns,2.0524325,5,194
vessel,2.050699,2,195
transported,2.0480278,1,196
surviving,2.041972,3,197
accident,2.0392592,30,198
inspiration,2.0380216,1,199
regain,2.0379653,2,200
parole,2.0356305,1,201
maritime,2.029709,1,202
hurst,2.027808,1,203
dear,2.027075,10,204
emotionally,2.0261874,7,205
hurtful,2.0260298,2,206
prayer,2.0256064,4,207
rays,2.0244734,1,208
shanahan,2.0239139,1,209
despair,2.02244,1,210
ambulance,2.0221863,2,211
boko,2.018352,5,212
mueller,2.0177093,1,213
damaged,2.0174787,4,214
resignation,2.0172057,1,215
mentor,2.0162199,1,216
maimed,2.0139587,3,217
forests,2.01283,6,218
unborn,2.0115092,1,219
drowning,2.0102777,1,220
sea,2.0078366,18,221
sadden,2.0051007,1,222
ache,2.0045207,1,223
blessed,2.0028346,3,224
firsthand,2.002237,1,225
historic,2.0022235,1,226
recovering,2.0010445,1,227
emotions,1.9949355,17,228
86-year,1.993347,1,229
"220,000",1.9927275,1,230
comey,1.9926498,1,231
recovers,1.9918103,2,232
sucide,1.9854927,1,233
mothers,1.9802463,6,234
eagle,1.9768717,1,235
tributes,1.9735115,1,236
breakup,1.9702275,1,237
oceans,1.9701297,4,238
fishers,1.9699832,1,239
villages,1.969488,6,240
rebuild,1.968576,3,241
assad,1.9680194,3,242
recovery,1.9654791,5,243
alexandria,1.9648008,1,244
leprosy,1.9642637,5,245
hug,1.9642229,4,246
ayotte,1.9637791,1,247
