word,NNprob,wordCount,NN_Rank
grieve,3.5872152,2,0
vaquita,3.5507474,1,1
condolences,3.4122295,3,2
grieving,3.3524833,3,3
heartbreaking,3.1395051,17,4
devastated,3.115989,9,5
perished,3.114641,2,6
sorrow,3.1105654,2,7
orphaned,3.00374,2,8
wounded,2.985882,3,9
rescuers,2.948983,2,10
rehabilitator,2.924719,2,11
heartbroken,2.9159224,4,12
tragedies,2.8927672,6,13
orphans,2.8624995,2,14
devestated,2.8470433,1,15
dubose,2.8364084,2,16
heartbreaks,2.8292496,1,17
prayers,2.8257163,8,18
unhcr,2.786392,4,19
mourning,2.7852058,1,20
captivity,2.7574985,1,21
mourned,2.7511098,2,22
wildfires,2.7419279,3,23
aleppo,2.7363608,8,24
rescued,2.7209332,2,25
sadness,2.698807,5,26
survivors,2.6797712,5,27
tragedy,2.676294,29,28
ptsd,2.6472409,1,29
uganda,2.6239545,4,30
widowed,2.6162584,1,31
healing,2.5847054,3,32
tears,2.5764518,9,33
barakat,2.5687532,1,34
heartache,2.5630257,2,35
mosul,2.562206,16,36
saddened,2.5621035,13,37
trauma,2.5611417,10,38
grief,2.539559,2,39
compassion,2.5340967,9,40
orphanage,2.526715,2,41
orphanages,2.5138552,1,42
anguish,2.454713,1,43
survivor,2.453881,4,44
traumatized,2.4528022,1,45
plight,2.4527552,3,46
haiti,2.4477086,16,47
ethiopia,2.4459937,2,48
heal,2.4433548,2,49
keepsakes,2.4385684,1,50
garcía,2.4369094,1,51
shipwreck,2.4305508,2,52
rwanda,2.4178536,1,53
outpouring,2.4110081,1,54
adoptive,2.4012341,1,55
resilience,2.3997393,1,56
ravaged,2.3869104,3,57
tragic,2.3864589,29,58
scars,2.3793023,2,59
displaced,2.3765087,11,60
malnourishment,2.3716857,1,61
habitat,2.3670707,6,62
refuge,2.3667848,5,63
refugees,2.365548,35,64
tanzania,2.360368,1,65
wounds,2.359295,2,66
habitats,2.354375,8,67
harrowing,2.3530014,1,68
extinctions,2.3448286,1,69
angelia,2.3421233,1,70
endangered,2.3415625,16,71
families,2.3286083,53,72
refugee,2.3201537,13,73
zambia,2.3071513,1,74
refuges,2.2961693,1,75
queensland,2.288988,5,76
shelter,2.285247,2,77
evacuated,2.284743,3,78
firefighters,2.2823794,3,79
rescue,2.2801447,10,80
gratitude,2.2758725,1,81
sanctuary,2.2752914,1,82
distressful,2.2739074,1,83
traumatic,2.2728345,2,84
suffering,2.2721183,54,85
hardship,2.2707279,1,86
memories,2.2684371,11,87
childhood,2.262688,3,88
rehabilitated,2.257601,1,89
burma,2.254466,2,90
cholera,2.2529027,7,91
journey,2.2475932,1,92
tearfully,2.2457511,1,93
syrian,2.2432346,10,94
illness,2.2329528,14,95
sisters,2.2155652,7,96
deportations,2.2126782,1,97
rehabilitation,2.2099628,1,98
tragically,2.2097442,1,99
meranti,2.2096472,4,100
distressed,2.2077503,2,101
humbled,2.203357,1,102
loss,2.2030778,23,103
forests,2.20253,6,104
amira,2.2012994,1,105
shelters,2.1983435,2,106
livelihoods,2.1982238,1,107
empathic,2.1947367,1,108
wildfire,2.194501,4,109
lockets,2.193726,2,110
newborns,2.19331,1,111
births,2.1921065,1,112
deportation,2.1918979,1,113
gaza,2.1861746,3,114
devastating,2.185197,8,115
mortality,2.1850333,1,116
deppression,2.1805046,1,117
hospitalized,2.1786268,7,118
unborn,2.1754007,1,119
afghan,2.1624575,3,120
orangutans,2.1623862,3,121
maimed,2.1618254,3,122
distraught,2.159837,2,123
lgbtq,2.1551569,1,124
ache,2.1535556,1,125
abubakar,2.1495762,1,126
afghanistan,2.1493213,11,127
salama,2.1490304,1,128
katrina,2.1479852,1,129
guardianship,2.1478996,2,130
souls,2.1467795,2,131
familes,2.1420639,1,132
ilness,2.1395433,1,133
sicknesses,2.1380281,5,134
compassionate,2.1362898,1,135
aden,2.126337,1,136
bernardo,2.1251028,1,137
scarred,2.1189916,1,138
exile,2.1184356,1,139
memorial,2.0961769,3,140
rubble,2.090546,1,141
bravery,2.089866,4,142
evacuation,2.0898492,1,143
sadden,2.0835965,1,144
syrians,2.0825036,1,145
journeyed,2.0790422,1,146
joan,2.077233,1,147
injured,2.0765498,32,148
deaths,2.0761702,29,149
friendships,2.0744734,1,150
pediatrics,2.0744126,4,151
repatriation,2.0723538,2,152
cried,2.0707138,1,153
traffickers,2.0704002,4,154
infant,2.0658016,1,155
yemeni,2.062996,2,156
infants,2.061732,3,157
oceans,2.0614097,4,158
precious,2.0601723,5,159
mothers,2.0592232,6,160
myanmar,2.0588665,1,161
empathy,2.0512156,4,162
86-year,2.0491343,1,163
meningitis,2.0481243,1,164
razed,2.0456536,1,165
cancer,2.045371,19,166
surviving,2.042245,3,167
died,2.042162,67,168
recuperate,2.0409956,1,169
euthanized,2.0404515,2,170
