,Word,Value,Freq
580,inspiration,-13.678872,1
3555,inspirational,-13.559529,1
2449,float,-13.26632,1
549,dentist,-12.932281,1
3618,inspring,-12.844813,1
3556,uplifting,-12.641366,1
5041,booths,-12.573625,1
4132,thankfulness,-12.491044,1
313,exam,-12.364121,6
4130,blessings,-12.167257,1
6914,aglow,-11.857689,1
125,thanksgiving,-11.853997,12
2709,vision,-11.803533,1
2210,unwrapped,-11.769834,1
2242,celebrate,-11.460219,2
3249,sketching,-11.423589,1
7046,pinterest,-11.393129,1
3655,exams,-11.389342,3
2198,candlelighting,-11.385512,1
3095,denist,-11.366434,1
1290,painting,-11.302247,1
3629,decorations,-11.2141905,2
2345,decorating,-11.166865,3
949,celebrating,-11.068416,3
3524,tomorrows,-11.063827,1
993,journey,-11.031544,1
4037,celebration,-10.951456,1
3122,caroling,-10.914211,1
3742,wonka,-10.898362,1
2880,candy,-10.886251,1
2541,smiles,-10.845435,2
2580,gifts,-10.824951,3
2974,creations,-10.805964,1
849,visit,-10.755624,3
1004,superexcited,-10.728713,1
2451,homecoming,-10.692585,2
156,tomorrow,-10.639867,66
4245,nod,-10.610499,1
3358,joyous,-10.571853,2
3776,orthodontist,-10.550651,2
387,contentment,-10.503205,2
2288,pumpkin,-10.440315,2
599,birthday,-10.405082,11
5423,surveys,-10.37847,6
2848,visiting,-10.338459,3
1756,shitless,-10.333076,1
1033,goodbyes,-10.290185,1
395,joy,-10.271047,20
5445,viva,-10.237798,1
2975,vespers,-10.23009,1
617,presentation,-10.190862,5
4005,popcorn,-10.176454,1
5263,sparkly,-10.118421,1
1332,appointment,-10.108857,4
4289,dawns,-10.104749,1
396,gratitude,-10.066194,5
101,turnout,-10.064337,1
1173,surreal,-10.01664,1
2868,thrill,-10.00575,1
3944,bday,-9.937227,2
4531,strep,-9.904591,1
3298,networking,-9.895846,1
3072,wings,-9.878484,1
2536,festive,-9.842183,1
4355,shining,-9.768776,1
5136,tunnel,-9.680507,1
2322,carnival,-9.654504,1
3930,scary,-9.637216,1
2118,blessed,-9.624883,2
1069,parade,-9.621104,2
2707,grandest,-9.548413,1
1236,smile,-9.54165,12
3666,inviting,-9.540122,2
2602,wondrful,-9.5338545,1
2662,cupcakes,-9.4972315,2
5262,snowglobe,-9.450619,1
3704,sharing,-9.434478,2
4239,disney.com,-9.410441,1
2112,79.5,-9.401118,1
3649,flappin,-9.395765,1
1313,phobia,-9.37102,1
2715,award,-9.364266,2
2139,nutcracker,-9.355653,1
1207,symposium,-9.337927,1
6829,73.2,-9.325944,1
1309,phobophobia,-9.2843485,1
3462,awards,-9.24503,2
2496,thrilled,-9.208094,1
7036,booth,-9.189612,1
408,surprise,-9.157969,13
787,advent,-9.152139,4
4096,shivers,-9.1102915,1
3490,webinar,-9.103071,1
6209,recipes,-9.079468,1
6471,grammys,-9.06232,1
5616,sampling,-9.029668,1
3736,yayyy,-9.022187,1
4115,experiences,-9.017088,1
2677,sermon,-9.007007,1
4864,chirstmas,-8.995814,1
463,magical,-8.98986,1
1505,ride,-8.980563,5
4896,afterlife,-8.967098,1
2124,carrot,-8.957229,1
1310,phobias,-8.9527,1
146,xoxox,-8.94098,1
501,smelling,-8.933533,1
6708,derwent,-8.92055,1
424,gift,-8.902492,4
1191,sparkles,-8.859051,1
1754,scares,-8.850497,2
