word,NNprob,wordCount,NN_Rank
tempers,24.20548,11,0
anger,23.078892,822,1
temper,22.23065,45,2
rage,22.041441,262,3
fury,20.887135,37,4
angriest,19.276407,19,5
angrier,18.00424,55,6
angrily,17.013945,2,7
fuming,16.487139,20,8
enraged,15.876403,50,9
punch,15.709243,199,10
angry,15.570604,556,11
seething,15.036004,16,12
rivalry,14.565348,1,13
aggression,13.944053,19,14
retaliate,13.837616,1,15
furious,13.740099,1,16
wrath,13.660373,7,17
hatred,13.650773,110,18
argumentative,13.385527,1,19
frustration,12.967782,156,20
defuse,12.967748,1,21
plasma,12.782687,1,22
resentment,12.774785,11,23
sow,12.71134,9,24
mediate,12.568408,1,25
ungrateful,11.994441,24,26
aggravation,11.775767,54,27
infuriating,11.769934,10,28
boiling,11.737147,16,29
heated,11.593944,2,30
discontent,11.388133,1,31
language,11.199546,2,32
treachery,10.950945,9,33
malevolence,10.94947,1,34
quenched,10.907426,12,35
translations,10.878833,8,36
maintaining,10.604549,1,37
hostility,10.522973,7,38
necessary,10.432107,34,39
jest,10.26612,1,40
punching,9.900644,78,41
hate,9.896638,1234,42
somthin,9.882211,1,43
iss,9.783241,1,44
fist,9.717604,32,45
opposing,9.69926,1,46
defensive,9.485018,15,47
irritable,9.442509,1,48
rudeness,9.422782,1,49
pent,9.416705,24,50
tardiness,9.259522,1,51
axe,9.060789,1,52
resent,8.995842,5,53
spite,8.964383,67,54
tongue,8.856069,46,55
ffs,8.729268,15,56
curses,8.710975,12,57
weapon,8.671188,13,58
raging,8.6710825,35,59
punches,8.486925,3,60
outbursts,8.419137,1,61
apologise,8.395123,10,62
62,8.347869,1,63
stoke,8.289838,11,64
punched,8.287528,13,65
bitter,8.223194,23,66
bitterness,8.20865,31,67
annoyed,8.177591,36,68
detest,8.1313505,1,69
commentators,8.049823,1,70
clearly,7.993636,55,71
revenge,7.8789163,25,72
rant,7.660887,25,73
ara,7.649445,1,74
mother,7.587945,139,75
insufferable,7.562522,1,76
jealousy,7.2947497,28,77
commentator,7.2910147,1,78
ranting,7.285505,14,79
inconsiderate,7.2324977,1,80
mad,7.228776,304,81
verbally,7.2187777,1,82
selfishness,7.172783,1,83
pointless,7.045082,50,84
shut,6.950536,171,85
malice,6.871209,16,86
venting,6.8588996,13,87
dinnae,6.8369756,1,88
capable,6.62387,21,89
insult,6.558272,9,90
twin,6.5074263,23,91
pissed,6.4446363,270,92
intolerant,6.42864,1,93
goddamn,6.411151,15,94
hav,6.391446,23,95
verbs,6.3618135,1,96
frikkin,6.340355,13,97
cuss,6.3240895,26,98
grrrrr,6.264762,16,99
hostile,6.2388086,28,100
pearl,6.226896,3,101
inablility,6.2267904,1,102
infuriates,6.222721,1,103
understanding,6.190511,52,104
67,6.155225,16,105
bloodlust,6.122156,1,106
demands,6.053217,16,107
petty,6.0302153,2,108
delays,5.8455744,12,109
curse,5.838703,5,110
annoy,5.7301693,4,111
arrogance,5.681061,1,112
fuel,5.468353,11,113
payed,5.3360023,1,114
arrogant,5.2706122,11,115
insist,5.2663198,1,116
despise,5.208356,21,117
youu,5.1716256,41,118
effing,5.150935,3,119
understand,5.046693,188,120
#hate,5.0314264,13,121
dickheads,4.9220095,1,122
fricken,4.899359,1,123
plainly,4.679988,1,124
protective,4.560814,14,125
themselves,4.52869,70,126
lash,4.485834,19,127
destructive,4.4710174,19,128
stupidity,4.361232,11,129
patience,4.3137727,14,130
claim,4.2401295,15,131
arguing,4.207485,3,132
strangle,4.076416,14,133
butthurt,4.057832,1,134
getafe,4.0263505,1,135
grip,3.9868045,1,136
stfu,3.9719636,57,137
fckin,3.9581468,1,138
provoked,3.8761377,13,139
grrrrrrr,3.4879236,18,140
#impatient,3.4619055,1,141
complain,3.3791037,21,142
cunts,3.2654243,42,143
sooner,3.2422812,3,144
deflect,3.2301614,11,145
seriously!,3.1668828,1,146
frustrated,3.0897944,27,147
therefore,3.0874524,21,148
fault,3.0335546,3,149
annoying,3.0242596,146,150
idiot,2.996054,21,151
5a,2.8698723,1,152
jabs,2.7968116,2,153
theirs,2.7396972,4,154
refund,2.7138538,3,155
shutup,2.7054083,28,156
cursed,2.389569,12,157
not,2.3118622,2806,158
useless,2.230812,4,159
dislike,2.0722752,16,160
effin,2.060939,21,161
anoter,1.9955109,1,162
actions,1.8504863,29,163
needed,1.6801932,66,164
bastards,1.6229643,2,165
abusive,1.5439469,5,166
cruel,1.5333939,3,167
wot,1.4202887,1,168
freakin,1.2855884,40,169
uselessness,0.9681921,1,170
tolerate,0.85685563,29,171
languages,0.8319492,10,172
rebellious,0.63244015,1,173
34,0.5794148,1,174
idiots,0.57404655,29,175
selfcontrol,0.49411547,12,176
freaking,0.49281633,12,177
ruining,0.47418427,2,178
resolve,0.45846215,19,179
idiotic,0.4138287,1,180
rude,0.26099008,38,181
fustrated,0.18966554,18,182
og,0.020708764,1,183
smack,0.0134383235,2,184
jealous,-0.051660158,44,185
gods,-0.10237134,8,186
worth,-0.17206942,352,187
etc,-0.2181101,24,188
pissy,-0.22529742,2,189
damnit,-0.2778272,1,190
peice,-0.54083246,1,191
add,-0.5548453,76,192
blame,-0.6528276,27,193
cease,-0.71562696,1,194
superiority,-0.7191914,1,195
bastard,-0.7480976,22,196
consumes,-0.81086427,12,197
waste,-0.84645957,51,198
friggin,-0.89753115,9,199
twats,-0.96324617,16,200
fights,-0.974828,10,201
communication,-0.9932607,2,202
stroppy,-1.0334847,1,203
longer,-1.0372828,59,204
pinch,-1.2114978,1,205
38,-1.2590121,5,206
insued,-1.2611495,1,207
aim,-1.3234248,2,208
extra,-1.3235773,42,209
apparent,-1.3450439,14,210
threads,-1.5543559,1,211
madrid,-1.5746009,2,212
-----,-1.6239462,1,213
particular,-1.699076,7,214
negativity,-1.8802458,13,215
endure,-1.8909284,14,216
ripping,-1.9112146,1,217
essential,-1.978076,1,218
guitars,-1.9855709,2,219
childish,-2.0110521,2,220
cheek,-2.1541753,14,221
envy,-2.1821504,7,222
somone,-2.2997155,1,223
effort,-2.3651702,145,224
selfish,-2.3858333,30,225
disconnection,-2.4366236,10,226
cut,-2.481464,72,227
quip,-2.4833732,1,228
delay,-2.4991174,12,229
noe,-2.53309,1,230
tesco,-2.5856166,3,231
intelligent,-2.5921793,11,232
bitching,-2.6128612,1,233
manager,-2.7056293,4,234
fucking,-2.7625136,715,235
mastering,-2.8028927,11,236
destroying,-2.844633,2,237
thread,-2.8699508,2,238
claims,-2.9662092,1,239
righteous,-2.988392,55,240
attitude,-3.0283809,60,241
os,-3.1137514,4,242
sport,-3.1187716,25,243
madness,-3.1495514,33,244
customer,-3.156532,44,245
misery,-3.263323,5,246
damned,-3.2799776,14,247
