,Word,Value,Freq
8828,thanksgivings,-9.344665,1
5686,sohappy,-8.953508,1
1234,christmassy,-8.903809,1
2425,gladness,-8.8374195,1
2381,gifts,-8.075396,6
2946,ipods,-7.9220004,2
4721,schoolwork,-7.5405855,1
5265,ornaments,-7.3508143,1
102,joy,-7.2242775,42
1908,soak,-6.9751534,5
2597,ipod,-6.9433603,3
1964,bundle,-6.837061,1
3295,prezzie,-6.8096147,1
364,happiness,-6.72563,22
5353,semester,-6.721374,4
3679,ornament,-6.6986804,1
567,holidays,-6.644168,5
7621,storytimes,-6.6432114,1
1761,decorating,-6.609449,5
2318,christmastime,-6.546621,1
3629,joyful,-6.5359836,1
4983,sunny,-6.449455,2
5926,cantata,-6.4346356,1
4205,napping,-6.4222965,1
4787,wahhhh,-6.363996,1
195,homework,-6.3593006,20
264,healing,-6.352861,1
4804,homeroom,-6.3299403,1
4819,chargers,-6.3247247,1
1756,caroling,-6.315869,2
3133,goodies,-6.2951736,1
111,thanksgiving,-6.290897,24
5209,reflectin,-6.264385,1
5510,charger,-6.2556624,2
6295,sainsburys,-6.2522597,1
8450,satsang,-6.202584,1
2975,starbucks,-6.1999917,2
4291,goodmorning,-6.175744,1
562,wondrful,-6.1730003,1
5066,gratitude,-6.170203,1
2896,dana,-6.0832186,1
3532,getty,-6.0819745,1
4883,decorations,-6.031587,3
5680,bookclub,-6.0243506,1
2323,decorated,-6.0213256,2
4619,blackfriday,-6.017338,2
9147,angelitos,-6.008487,1
785,happiest,-5.968535,1
5597,pinkberry,-5.94297,1
5476,grinch,-5.931977,1
88,christmas,-5.9075866,109
5568,madrigal,-5.889416,1
1792,spoons,-5.8890743,1
5571,kristen,-5.8850656,1
8412,psalm,-5.8716564,1
4420,netbook,-5.8672795,1
1120,bags,-5.846062,3
378,comforter,-5.8317313,1
5532,gchat,-5.82326,1
3268,foodnetwork,-5.8206515,1
4095,wrapping,-5.814053,3
850,leah,-5.810943,1
766,joys,-5.8048964,2
1610,bliss,-5.7928133,3
2778,festive,-5.7894387,1
1979,bath,-5.773798,6
274,package,-5.7609377,4
2211,refresh,-5.7515817,1
349,vacation,-5.7289333,5
682,opie,-5.700581,1
5157,holidayseason,-5.6969633,1
545,erasers,-5.686291,1
3302,bean,-5.6689744,1
4456,joyous,-5.6645813,1
2156,skegness,-5.649352,1
8943,treasuries,-5.6432457,1
2992,blessings,-5.6182156,4
2145,holiday,-5.616813,14
1353,potter,-5.589683,3
474,gift,-5.5785184,5
2291,filling,-5.5523653,2
