,Word,Value,Freq
100,afraid,-13.182304,226
2164,r.i.p,-12.862327,2
197,fear,-12.589678,157
7399,scarier,-12.077278,3
7642,cowards,-11.609409,2
437,regret,-11.518701,12
11476,mistrust,-11.202333,1
10384,trepidation,-11.199368,1
359,scared,-11.04762,54
704,miss,-11.028927,139
8154,timidity,-11.018408,1
5677,fearful,-10.986271,2
6636,reese,-10.979284,4
3887,disappoint,-10.909615,1
3466,unfollow,-10.686272,3
3019,dismay,-10.657852,1
7480,revulsion,-10.637762,1
1699,paterno,-10.56559,1
4985,hugee,-10.497281,1
16,fearing,-10.27473,6
8505,disgust,-10.26484,6
5235,unwillingness,-10.203886,1
11350,lonelyness,-10.056082,1
11517,intimidated,-10.055784,1
9366,coward,-10.015207,1
13295,backfire,-9.965563,1
6454,frightening,-9.95377,8
1235,dehumanizes,-9.875419,2
9150,complacency,-9.828781,1
9193,tgw,-9.779365,1
430,anger,-9.765076,63
14153,mayo,-9.7498665,1
8456,pwg,-9.705963,1
3688,feared,-9.680197,1
1612,scares,-9.673264,6
6683,terrify,-9.672579,1
425,bravest,-9.670975,1
4245,roddy,-9.634474,1
3464,repercussion,-9.633667,2
3518,regrets,-9.6216345,2
8028,agnst,-9.619297,1
6065,skrillex,-9.6155815,1
6859,underestimate,-9.598457,3
9661,remorse,-9.495446,1
6435,uneasiness,-9.415493,1
6153,smfh,-9.374241,2
7425,scariest,-9.352257,3
89,surprise,-9.337824,77
1528,terrified,-9.2577305,3
10157,shitless,-9.150958,2
4001,shocking,-9.150818,4
3227,dsnt,-9.131851,1
18290,diservice,-9.124239,1
8730,repression,-9.116852,2
1242,terror,-9.100005,11
3202,surprises,-9.088549,5
15251,disrespect,-9.069569,1
3830,disappointing,-9.044711,1
12302,lockhart,-9.01215,1
7264,bucketlist,-9.011104,2
8869,contempt,-9.010979,1
3468,repercussions,-8.98652,1
636,motorcycle,-8.968916,2
13239,nma,-8.932934,1
5588,damaging,-8.90765,2
3345,ignorance,-8.890003,4
8338,vaw,-8.888544,1
6318,qantas,-8.85508,1
11043,jobro,-8.8377,1
4332,brody,-8.824962,1
15878,sensored,-8.8244,1
5237,perish,-8.821072,1
3053,cutler,-8.77808,2
7550,huhuhu,-8.778049,1
6625,ptsd,-8.7780285,3
19178,ocd,-8.737297,1
11898,risking,-8.722412,1
2772,impunity,-8.710374,1
2522,lack,-8.684659,9
9112,wla,-8.673502,1
12113,molestation,-8.650763,1
13304,despicable,-8.639959,1
11566,dangerous,-8.63565,2
1810,sickening,-8.634369,2
12255,yhu,-8.63275,1
12391,n.a,-8.627045,1
10868,ciara,-8.615768,1
3072,suprise,-8.560542,2
8990,dared,-8.545811,1
3275,wahlberg,-8.495654,4
11174,saddest,-8.477563,1
9289,mourn,-8.477049,1
5180,deaths,-8.462862,1
3367,disappointed,-8.394237,7
10026,rooney,-8.388782,1
415,aggression,-8.3462715,2
12196,condolences,-8.340785,1
248,scary,-8.328009,11
12307,ddnt,-8.317373,1
7482,disapproval,-8.31631,1
9711,awareness,-8.313061,3
16290,trigger,-8.310507,2
14593,boycotting,-8.305194,1
13065,fergie,-8.284062,1
11596,misbah,-8.268184,1
10104,brees,-8.241556,1
3060,intrest,-8.2090645,1
3913,violent,-8.203989,3
10897,hid,-8.178837,3
17564,malevolence,-8.177381,1
2810,bummed,-8.175619,3
15380,fright,-8.157795,1
7584,startle,-8.141146,1
6865,offend,-8.127308,2
2,missing,-8.1195965,47
6698,misss,-8.111336,1
6629,disappointment,-8.109905,4
5266,malice,-8.109517,1
12487,molested,-8.103024,1
7877,threat,-8.101107,2
8581,risk,-8.065339,7
15451,insecurity,-8.060778,1
6602,dissapointment,-8.046484,1
11824,aamir,-8.041223,1
19210,banning,-8.024398,1
5159,heartbroken,-8.024382,2
19013,chewbacca,-8.014967,1
13584,horrifying,-8.008983,1
9143,smeel,-8.004147,1
1252,hatred,-7.97758,9
392,scare,-7.9700894,7
6279,threaten,-7.960983,2
6901,spiders,-7.9395328,3
3807,unfollowed,-7.9389534,2
4923,terrorists,-7.9331155,5
7499,blindside,-7.9265475,1
3008,bday,-7.9132657,20
11430,damnn,-7.9113812,1
11216,moriarty,-7.9088697,1
5776,harm,-7.906126,2
7521,phobia,-7.9025736,2
9285,shocked,-7.897944,1
12828,upsetting,-7.8866143,2
3954,smdh,-7.8865137,3
383,gunna,-7.879571,15
18684,harmed,-7.868914,1
1064,shock,-7.857072,8
1241,violence,-7.837356,3
6628,wilhelmina,-7.8357015,1
5463,warning,-7.8329315,8
3443,vowed,-7.830054,1
3619,danger,-7.825787,7
