,Word,Value,Freq
3301,boldness,-34.268826,1
1387,ginn,-33.45587,1
6345,serpent,-33.188293,1
8014,absoulute,-32.7293,1
9607,hosanna,-31.631552,1
5136,hooters,-31.52656,1
7671,megyn,-31.42082,1
7242,radiate,-31.270357,1
6642,radiated,-31.247583,1
834,grandbaby,-30.974066,1
2776,gospel,-30.889952,1
5877,receptionist,-30.765524,1
5496,strengthens,-30.489824,1
2210,divinity,-30.38904,1
4080,fearless,-30.307068,2
9193,bestows,-30.081078,1
3689,orthodontist,-29.537796,1
4715,loudly,-29.379541,2
5859,duely,-29.287697,1
4443,huie,-29.047792,1
5907,gutsy,-28.651525,1
3481,terrify,-28.526155,1
4807,hairy,-28.473516,1
6556,crazyshit,-28.471085,1
2837,carjack,-28.362764,1
849,snakes,-28.261168,2
9506,mccullough,-28.073708,1
8226,gobblers,-27.928982,1
3072,delight,-27.730177,2
3939,majalis,-27.320557,1
6619,radiant,-26.997583,1
6000,worshiping,-26.927782,1
3133,appt,-26.834703,3
1985,abduct,-26.782932,1
7070,coochies,-26.693953,1
4468,contempt,-26.589914,1
4289,excellence,-26.571606,1
11444,spiced,-26.461807,1
11260,kooks,-26.44279,1
5120,praised,-26.388529,1
6228,fearful,-26.330683,1
6734,greyson,-26.3257,1
4808,eyeful,-26.297218,1
3664,opens,-26.277895,1
4803,boldly,-26.197218,1
329,terrorists,-26.193747,1
6090,430pm,-26.147367,1
663,charged,-26.146389,1
5594,decorating,-26.116558,5
5988,roadworks,-26.079441,1
7122,bracknell,-25.94107,1
7280,booked,-25.85665,1
4526,leaping,-25.73705,1
467,chitterlings,-25.712023,1
5725,taxi,-25.588015,1
11026,exhibiting,-25.505709,1
6456,pissin,-25.501146,1
6156,doorbell,-25.464743,1
6524,worship,-25.279097,1
4648,delivering,-25.215475,1
1573,peeing,-25.199835,1
4084,stoked,-25.118982,1
7217,dulwich,-25.095152,1
919,wrapping,-24.825945,7
4702,anatomies,-24.756662,1
7540,callers,-24.717653,1
5456,queuing,-24.701382,1
5463,pao,-24.700663,1
6176,hunched,-24.550789,1
5531,provoked,-24.528925,1
2782,butterball,-24.516134,1
2272,energies,-24.508488,1
8624,nutjobs,-24.440708,1
5444,gladness,-24.435335,1
4775,greater,-24.407331,2
205,6am-11pm,-24.39754,1
5964,venti,-24.393976,1
5351,antiwrinkle,-24.325064,1
4245,pinkeye,-24.310162,1
5248,cinnamon,-24.247972,3
7239,pret,-24.241817,1
5305,15minutes,-24.240648,1
11660,press,-24.169939,1
6509,waitrose,-24.140005,1
3624,terrified,-24.116117,1
6806,encounter,-24.038294,1
909,scares,-24.02815,1
4609,interzone,-24.004555,1
1172,dung,-23.97236,1
7362,screamin,-23.94776,1
6364,harrogate,-23.92531,1
4235,treck,-23.916368,1
9041,kelli,-23.828773,2
1955,judah,-23.82191,4
910,scare,-23.815966,3
3140,angriest,-23.810013,1
5879,carols,-23.600494,2
4829,angrier,-23.581755,3
371,fear,-23.554884,53
1475,nervous,-23.501108,6
9288,pumpkins,-23.311058,1
417,chavs,-23.258951,1
4503,gator,-23.247095,1
2064,fright,-23.230055,1
6744,noises,-23.22413,3
3413,tits,-23.205305,1
3033,genitalia,-23.193499,1
8347,waitress,-23.109793,1
1154,purr,-23.099014,1
6309,forth,-23.018965,2
1562,blessed,-23.01512,13
3714,addington,-22.903757,1
9020,christmastime,-22.894728,1
11540,intimidated,-22.89414,1
163,molested,-22.89061,1
2284,talents,-22.868958,1
710,attacking,-22.713545,1
169,defends,-22.70143,1
4396,sleepytime,-22.692438,1
2835,praise,-22.670298,2
5849,barbed,-22.648249,1
6632,nosy,-22.6116,1
5932,overcharge,-22.55054,1
6952,eucharistic,-22.520418,1
2930,5a,-22.463213,1
10584,responds,-22.395521,1
7132,pussies,-22.266867,1
2815,mathews,-22.259985,1
7238,manger,-22.248018,1
7567,farting,-22.241478,1
7433,bundling,-22.236006,1
599,presents,-22.181776,9
4637,clenching,-22.14763,1
7450,chosen,-22.140018,1
6636,esquire,-22.131025,1
1056,spreading,-22.122015,2
4332,bellies,-22.088972,1
505,embodies,-22.064245,1
6250,creature,-22.04074,2
11670,arlo,-22.038752,1
2662,farted,-22.036781,1
2813,tolbert,-22.0272,1
6163,panthers,-22.023811,1
4919,mcmuffin,-21.916403,1
2368,nativity,-21.911785,2
1820,reagan,-21.865416,1
11798,reared,-21.850355,1
12012,inflamed,-21.84891,1
7390,profanities,-21.847078,1
7246,physiotherapy,-21.807457,1
3844,rednecks,-21.784597,1
2328,yell,-21.764778,2
5636,c.,-21.751879,1
5983,diligence,-21.712214,1
3375,salif,-21.694174,1
3742,biddies,-21.649752,1
2991,announce,-21.506563,2
5914,khoon,-21.481688,1
1792,chuffed,-21.429424,1
11843,hillis,-21.380196,1
2498,offering,-21.373781,3
6343,amped,-21.364298,1
6992,defuse,-21.349796,1
11116,toothpick,-21.324078,1
5229,engineering,-21.267014,1
608,terror,-21.257875,5
3761,-at,-21.255056,1
7273,mumia,-21.247461,1
4787,mock,-21.243452,2
2089,prefixed,-21.23963,1
5418,awaits,-21.231546,1
1083,payslips,-21.205729,1
3206,stimulates,-21.198713,1
1439,frees,-21.161303,1
8539,bluffton,-21.141134,1
8052,grabbing,-21.138182,1
6486,throu,-21.11826,1
2684,spook,-21.080893,1
5400,proclaim,-21.057291,1
11207,pumpin,-21.035646,1
4827,enraged,-21.006853,3
906,afraid,-20.995644,83
2458,elevate,-20.95195,1
4172,ruthie,-20.946732,1
9598,discuss,-20.946383,1
7954,79.5,-20.897425,1
