word,NNprob,wordCount,NN_Rank
homesick,20.74416,11,0
ginter,18.647165,4,1
heartbroken,18.288883,9,2
missing,17.880531,190,3
miss,17.51591,671,4
missed,16.5381,207,5
bummed,15.718855,10,6
sad,15.548267,446,7
faded,14.897696,10,8
mourn,14.786198,6,9
mourning,14.761443,7,10
sadder,14.598515,4,11
lonely,13.854346,44,12
misses,13.596151,8,13
sadly,13.506709,31,14
depressed,13.444633,63,15
crumbled,13.361826,2,16
lonelyness,12.909093,1,17
closure,12.848236,1,18
devastated,12.693288,2,19
unfollowed,12.564896,8,20
unrepairable,12.420965,5,21
misss,12.089381,5,22
lamenting,12.080332,1,23
grieving,12.035755,1,24
forlorn,12.012541,2,25
void,11.69998,11,26
craving,11.671525,29,27
suicide,11.550572,19,28
nostalgia,11.457909,7,29
discontinued,11.427,4,30
rewatch,11.184205,1,31
drifting,11.178446,12,32
tragic,11.105612,7,33
wahhhhh,11.078506,3,34
bittersweet,10.972154,1,35
unofficial,10.950026,1,36
unloved,10.78874,1,37
unavailable,10.768923,7,38
expired,10.76832,6,39
capstone,10.709602,1,40
goodbyes,10.705798,6,41
hei,10.686798,1,42
whyyyyy,10.637657,5,43
retired,10.581831,23,44
italy,10.508497,8,45
missin,10.470154,14,46
teared,10.424086,6,47
amc,10.403729,1,48
caffiene,10.369696,1,49
redeem,10.340616,1,50
hershel,10.328994,2,51
swtor,10.326153,1,52
resto,10.296485,1,53
distressed,10.296048,2,54
desert,10.128881,4,55
shattered,10.067262,5,56
hiatus,10.054916,4,57
dexter,10.04978,5,58
goodbye,10.017485,46,59
friendzoned,9.9738865,7,60
junky,9.917469,1,61
grieve,9.902695,4,62
absence,9.881248,10,63
midseason,9.879187,3,64
quenched,9.866377,1,65
deaths,9.859121,6,66
depressing,9.832815,70,67
participating,9.813121,7,68
reunite,9.805405,1,69
brokenheart,9.7634945,4,70
beverly,9.734278,1,71
finale,9.723678,30,72
wla,9.697571,5,73
saddest,9.684387,7,74
participate,9.678199,14,75
succumbed,9.653024,5,76
disappointing,9.543641,6,77
official,9.537248,44,78
schumacher,9.448311,3,79
retreats,9.431366,1,80
youth,9.402907,12,81
huhuhu,9.334781,9,82
realization,9.331346,2,83
moping,9.303797,7,84
caffeine,9.286725,7,85
liga,9.21928,1,86
rin,9.191088,1,87
thoughts,9.185236,50,88
voluntary,9.144184,1,89
disappointed,9.121988,43,90
apathy,9.061235,1,91
misfit,9.055308,6,92
jolla,9.042678,1,93
terribly,9.034185,1,94
90210,8.993496,2,95
introspection,8.933802,2,96
wahhhh,8.926823,3,97
empty,8.879933,63,98
characters,8.874079,18,99
reunion,8.871956,10,100
40k,8.842346,4,101
compass,8.829695,3,102
cal,8.808985,2,103
loneliness,8.80864,12,104
maker,8.785284,8,105
relive,8.736976,2,106
disappeared,8.719524,9,107
graduation,8.705756,28,108
crushed,8.704395,19,109
bummer,8.69834,13,110
jobe,8.693596,1,111
buffalo,8.662319,7,112
tragedy,8.661693,2,113
sheryl,8.655889,5,114
deteriorated,8.617867,1,115
alas,8.598478,12,116
underachieving,8.592457,2,117
meaningful,8.555763,7,118
reflective,8.517377,1,119
breakup,8.450364,4,120
absent,8.443575,4,121
shakes,8.421471,1,122
marks,8.420191,5,123
bored,8.386337,111,124
fateful,8.379565,2,125
subscriptions,8.368492,1,126
salty,8.367916,6,127
abandoned,8.3667755,5,128
dented,8.354957,1,129
depressingly,8.348471,4,130
broken,8.330067,98,131
cure,8.32621,12,132
sorely,8.325632,5,133
maaf,8.286211,1,134
batman,8.278806,9,135
gpu,8.239548,2,136
dying,8.238675,64,137
waaaaaah,8.205512,4,138
alcoholic,8.201843,2,139
disappearing,8.173419,1,140
calorie,8.162451,1,141
rewatching,8.15226,5,142
seasons,8.148793,1,143
season,8.1085,184,144
ended,8.087278,63,145
scattered,8.0785475,3,146
reader,8.053936,3,147
regain,8.048789,1,148
lonesome,8.042443,6,149
meaningless,8.033219,6,150
peeta,7.9796095,3,151
binge,7.9376945,1,152
mark,7.9315753,37,153
astray,7.907711,1,154
fades,7.8886642,6,155
hopeless,7.8860493,8,156
unfortunately,7.8440046,45,157
anymore,7.8418818,150,158
deserts,7.7739573,6,159
sadness,7.758905,49,160
matlab,7.7459598,1,161
nada,7.7344127,6,162
dies,7.6949043,54,163
abbott,7.685171,1,164
wishing,7.671072,40,165
sorrowful,7.670823,3,166
brands,7.6633983,1,167
plummeting,7.660537,1,168
chand,7.604908,1,169
redemption,7.5773993,7,170
discouraged,7.5760536,7,171
consumed,7.5682144,10,172
unfollow,7.563322,12,173
bland,7.5420866,1,174
remnants,7.535537,1,175
waaaa,7.5344143,7,176
vanished,7.529096,4,177
grabe,7.5255423,1,178
leafs,7.4934855,4,179
left,7.4339333,361,180
unable,7.4247513,8,181
deactivated,7.4246902,1,182
scratched,7.4223576,1,183
finality,7.4161463,1,184
minerals,7.4012604,1,185
lost,7.378497,230,186
revive,7.3273277,5,187
addicted,7.3029213,8,188
lame,7.29518,20,189
san,7.2878685,18,190
realizing,7.267084,36,191
u.u,7.242201,9,192
validation,7.229816,1,193
sigh,7.220317,29,194
crust,7.1618,1,195
addict,7.160061,2,196
canceled,7.159252,3,197
retiring,7.1499662,1,198
whyyyy,7.149146,1,199
crashed,7.1376486,2,200
calligraphy,7.129021,1,201
fireworks,7.0953174,1,202
episodes,7.093128,10,203
realized,7.073285,99,204
farmland,7.066014,1,205
greek,7.051881,2,206
blew,7.049449,13,207
lazy,6.983925,28,208
wish,6.981343,402,209
linkedin,6.978099,2,210
gtg,6.9709578,3,211
scale,6.924862,5,212
recovering,6.917244,2,213
hellooooo,6.9031715,1,214
afford,6.8822904,21,215
ptsd,6.8657074,10,216
fallen,6.8311257,16,217
vonnegut,6.8253183,2,218
auto,6.8128934,5,219
sims,6.7923884,1,220
sob,6.789214,1,221
crd,6.7864127,1,222
pittsburgh,6.7860646,2,223
grandfather,6.7709556,3,224
lack,6.77094,23,225
craze,6.768524,9,226
junkie,6.7529163,1,227
hipster,6.737758,6,228
dead,6.737111,110,229
cds,6.711913,4,230
nonfat,6.693713,1,231
wished,6.687317,18,232
guilt,6.6820993,2,233
tore,6.675233,9,234
gutted,6.669485,2,235
posts,6.6527205,16,236
mvc,6.636843,2,237
notifications,6.6241546,1,238
regret,6.623062,29,239
nerf,6.615666,2,240
leaving,6.5833745,126,241
extinction,6.568721,5,242
deprived,6.5611553,9,243
solider,6.5600514,1,244
returned,6.5434837,7,245
irredeemable,6.5215654,4,246
regrets,6.506035,9,247
uselessness,6.477248,8,248
ruined,6.4643817,33,249
snack,6.44261,12,250
woodbridge,6.4338446,1,251
boredom,6.4236417,17,252
aspca,6.4177666,4,253
addiction,6.4018183,5,254
ka,6.3799276,2,255
blank,6.3636065,6,256
oblivion,6.3483996,1,257
depression,6.33232,59,258
gone,6.314884,145,259
gotten,6.3110666,49,260
lamer,6.293011,1,261
sold,6.276346,40,262
ryerson,6.2740993,1,263
ppi,6.267438,1,264
forsaken,6.2673798,1,265
disappears,6.261999,1,266
synopsis,6.259445,7,267
schott,6.20061,1,268
snooze,6.182659,1,269
cliff,6.1743097,1,270
broke,6.16058,109,271
muted,6.1557746,3,272
retire,6.153558,7,273
gulps,6.144379,5,274
credits,6.1439466,5,275
miserably,6.1271467,1,276
sank,6.1005516,7,277
foreveralone,6.099467,12,278
away,6.074711,315,279
farewell,6.059043,10,280
angsty,6.0392933,3,281
memories,6.0070095,71,282
metrics,6.0063562,1,283
dryspell,6.0020256,4,284
author,5.999095,1,285
attempts,5.998521,12,286
ddnt,5.9896917,1,287
fumbles,5.9651575,1,288
dysfunctional,5.959106,2,289
naive,5.9587317,1,290
wanting,5.9511714,49,291
urs,5.9298797,1,292
frnds,5.92002,9,293
refresher,5.9159307,7,294
died,5.9011745,94,295
slump,5.8786764,1,296
refuel,5.8715105,1,297
selfish,5.857932,13,298
loner,5.856188,17,299
without,5.8401327,257,300
cancelled,5.8312483,19,301
phoneless,5.824788,12,302
ltc,5.8195314,1,303
sode,5.8027425,1,304
readers,5.7920394,1,305
sale,5.7897716,27,306
r.i.p,5.7830586,7,307
nosedive,5.7761,7,308
dito,5.763934,1,309
si,5.7616305,3,310
smartphone,5.7408223,6,311
walkers,5.737589,1,312
suicidal,5.732757,1,313
recede,5.729248,2,314
vanish,5.726955,1,315
unclear,5.7198133,5,316
bereaved,5.7170186,2,317
recovery,5.7142925,14,318
boooo,5.7069664,4,319
officially,5.699381,78,320
disappoint,5.6910152,4,321
skipped,5.690666,1,322
tired,5.6900573,172,323
wither,5.6862063,1,324
blown,5.6847124,6,325
heal,5.6834755,5,326
fast,5.6828384,45,327
satiated,5.6680303,5,328
congress,5.666872,3,329
longed,5.6532083,2,330
riddance,5.62928,1,331
quits,5.6183467,5,332
sinking,5.604347,6,333
program,5.5948067,14,334
cracked,5.594391,1,335
lacking,5.5847855,5,336
leaves,5.566696,29,337
chala,5.544957,1,338
batteries,5.5084634,2,339
beckett,5.5006905,6,340
hummus,5.492841,5,341
monthlong,5.480426,1,342
realizes,5.4684424,3,343
stein,5.4587626,1,344
verge,5.4411926,6,345
self,5.4104795,88,346
marke,5.404416,4,347
gunshots,5.403305,1,348
rg3,5.399237,1,349
tooooo,5.3884296,1,350
romeo,5.3796196,1,351
woot,5.3557243,2,352
infinity,5.353997,2,353
series,5.3527107,22,354
doggie,5.352187,7,355
betrayed,5.3506436,1,356
wahh,5.3504124,5,357
suddenly,5.3417053,19,358
declined,5.3387957,1,359
sorry,5.311801,99,360
sunk,5.307813,5,361
dunn,5.289791,19,362
condolences,5.2553086,2,363
collapsed,5.2522726,1,364
ripped,5.2465067,31,365
soldier,5.242532,4,366
flopped,5.23407,1,367
distracted,5.1986127,6,368
bald,5.187952,1,369
sans,5.186736,1,370
downed,5.1789107,1,371
die,5.1770678,169,372
becoming,5.1493144,32,373
breakups,5.138962,1,374
introversion,5.1188855,1,375
refresh,5.1027427,4,376
realize,5.093703,109,377
073,5.093118,1,378
midway,5.0888596,1,379
camille,5.0859756,1,380
cheated,5.0345564,1,381
nyan,5.009078,2,382
cleanse,5.007351,5,383
ending,4.995794,54,384
ni,4.9727364,5,385
burnt,4.913742,5,386
collapse,4.9048142,3,387
emo,4.8922915,4,388
fall,4.883585,105,389
reflection,4.88214,3,390
tiramisu,4.8529124,1,391
scratch,4.8463945,4,392
programs,4.83868,1,393
downloads,4.837826,1,394
destroyed,4.832485,9,395
arc,4.8267255,1,396
neeeeeeed,4.824602,1,397
veteran,4.79091,1,398
wah,4.790352,1,399
plots,4.781206,1,400
dramatically,4.7643905,5,401
timmies,4.7635536,6,402
dessert,4.7380543,4,403
subs,4.7247114,4,404
alone,4.697068,140,405
dawned,4.6777763,1,406
dosent,4.677508,1,407
declining,4.6755667,1,408
charger,4.664878,28,409
jersey,4.66238,10,410
swag,4.6475163,14,411
wondering,4.635516,31,412
zombies,4.607935,6,413
frisbee,4.607195,1,414
macro,4.6032505,2,415
spoiler,4.6021376,3,416
racing,4.5923634,8,417
#bored,4.5875115,7,418
radar,4.5765324,1,419
mannn,4.571533,1,420
weight,4.5580087,21,421
founding,4.5571795,1,422
necessarily,4.5536304,2,423
shake,4.547479,7,424
floats,4.5459986,7,425
sim,4.52966,6,426
argg,4.5068274,4,427
toooo,4.502573,1,428
stolen,4.494316,5,429
distant,4.4609814,6,430
regretably,4.457014,6,431
mentor,4.455784,6,432
gaya,4.4438386,1,433
fma,4.4207172,6,434
meeeee,4.4197426,1,435
nooooooo,4.417295,5,436
motivation,4.391487,17,437
wrecked,4.3759394,10,438
healing,4.372272,2,439
innn,4.3655777,1,440
spoiled,4.3577085,14,441
aloe,4.347378,1,442
dull,4.3434525,3,443
juicer,4.3348293,1,444
attend,4.3074923,9,445
last,4.289755,691,446
passed,4.257943,43,447
pake,4.250829,4,448
dayan,4.249983,1,449
can't,4.243851,7,450
attendance,4.2364063,5,451
wallet,4.2199483,8,452
ebay,4.2169523,8,453
lul,4.2138224,1,454
partially,4.1942725,1,455
meh,4.1925726,3,456
