,Word,Value,Freq
5365,tribulation,-15.944158,1
1158,unworthiness,-13.821441,1
6908,suffering,-13.773089,1
6713,condemned,-13.67679,1
963,fears,-13.571117,3
4567,fettling,-13.434778,1
6396,fellowship,-13.210845,1
1528,loneliness,-12.951049,1
6172,oneness,-12.9255705,1
3417,conquer,-12.628907,1
1837,eternally,-12.4458685,1
994,sorrow,-12.418681,4
743,happiness,-12.338742,22
1193,sorely,-12.054902,1
10433,pains,-12.004449,1
1426,pain,-11.91697,13
328,fear,-11.770977,52
1866,heights,-11.744874,1
638,humanity,-11.660407,1
2934,burning,-11.545675,2
543,salvation,-11.537575,2
6003,uplifted,-11.532614,1
4527,burns,-11.412732,1
3164,contentment,-11.387549,1
6665,restored,-11.338755,1
4932,2miles,-11.140805,1
2672,starve,-11.1392355,1
5099,reign,-11.019481,1
1457,peace,-10.979138,13
7623,polio,-10.673688,1
376,overcomes,-10.660396,1
3440,sore,-10.638603,3
4106,gmt,-10.591578,1
4695,heartache,-10.579785,1
400,failure,-10.573009,4
5180,serenity,-10.541375,1
10005,unltd,-10.497227,1
546,joy,-10.464879,34
6760,destruction,-10.451675,1
3644,hurts,-10.415818,5
921,rid,-10.242904,2
5190,sin,-10.163452,1
4738,civilization,-10.137177,1
2355,endure,-10.07986,5
10559,aspires,-10.051771,1
6779,humiliated,-10.022893,1
4615,risking,-9.993377,1
1620,lows,-9.972569,2
1853,nauseated,-9.929494,1
10348,3hr,-9.925453,1
91,highs,-9.913938,1
2768,rejection,-9.902423,1
2426,uncertainty,-9.872398,1
5294,sleepless,-9.866745,1
2231,joys,-9.780308,1
1644,heal,-9.773545,2
11165,kaduna,-9.7648735,1
1515,soul,-9.750331,4
1509,depressed,-9.6943035,6
2438,cramps,-9.593984,2
107,=,-9.547837,28
6036,eternal,-9.536644,1
1575,warmth,-9.4947405,2
6230,3hrs,-9.482605,1
4662,eternity,-9.478082,1
4985,infinity,-9.455621,1
3469,failing,-9.4534445,3
1936,fails,-9.4276285,3
3255,longing,-9.423276,1
1232,mourn,-9.415144,1
7819,fires,-9.406196,1
5657,brrrrrrr,-9.362545,1
498,heart,-9.358535,33
726,nght,-9.3468485,1
872,condemn,-9.344602,1
2471,burn,-9.335763,3
9366,torn,-9.266042,1
4410,civilisation,-9.255128,1
1601,hunger,-9.244998,2
560,death,-9.232728,9
5506,unrepairable,-9.22636,1
3856,treadmill,-9.216669,3
6412,preaching,-9.202979,1
6183,suffer,-9.194517,1
4718,belittled,-9.188241,1
9743,burnt,-9.164445,1
8256,kampala,-9.1068945,1
1073,unable,-9.10115,1
6234,pt,-9.08333,1
4741,drown,-9.050065,1
1954,ministry,-9.045631,2
3424,everlasting,-8.988788,2
7549,regrets,-8.978538,1
11085,thumpy,-8.96198,1
6849,rts,-8.959111,1
3618,gospel,-8.916474,2
10731,4oo,-8.908254,1
2194,comfort,-8.900263,1
1090,thurs,-8.89001,1
2456,sadness,-8.879105,4
5811,pride,-8.844244,2
5637,completion,-8.794272,1
2477,starving,-8.78531,2
1598,desire,-8.70925,3
5419,return2,-8.695127,1
9863,dearly,-8.67856,1
6184,surrender,-8.674454,1
635,frustration,-8.6616535,4
4762,darkness,-8.660008,2
1432,undermines,-8.64346,2
8159,dwn,-8.63846,1
1524,terrified,-8.636736,3
10695,6-point,-8.631168,1
4082,merciful,-8.615754,1
4986,painful,-8.5925,1
1349,spirit,-8.555165,11
4017,exhausted,-8.548283,5
4786,united,-8.539039,6
3167,excruciating,-8.532533,1
781,broken,-8.528255,9
3907,abandoned,-8.520679,1
2058,unite,-8.483273,1
4296,apathy,-8.466769,1
4613,verge,-8.463708,1
3146,evoking,-8.452714,1
4866,gutted,-8.439801,1
9199,axioms,-8.438973,1
6146,-stop,-8.417067,1
2107,wahlberg,-8.412324,3
9915,stoke,-8.403359,1
6583,goodlife,-8.3804865,1
6667,cursed,-8.365127,1
3765,souls,-8.336473,1
5961,trembled,-8.334777,1
1646,wounds,-8.3265,1
9235,misses,-8.324132,2
6376,sunk,-8.320034,1
4306,heaping,-8.290935,1
9645,shares,-8.289961,1
1573,knees,-8.261013,1
6909,contributing,-8.256326,1
6939,throwbacks,-8.253564,1
4868,sacrifice,-8.23523,1
1642,forgiveness,-8.219296,1
1785,ceremonials,-8.198543,1
5882,bombed,-8.197177,1
2190,marathon,-8.192043,5
5714,pulp,-8.191033,1
