,Word,Value,Freq
25106,discusting,-25.335745,6
10123,uninviting,-25.202532,6
12774,unprofessionalism,-24.82522,10
8077,undrinkable,-24.60637,5
22805,unedible,-24.19132,4
1795,unprofessional,-24.009584,272
11744,unwelcoming,-23.63646,13
13896,unexceptable,-23.238096,1
3575,unappetizing,-23.059656,24
21079,tastless,-22.989576,4
5248,unsanitary,-22.861036,21
24470,direspectful,-22.72367,1
33396,discusted,-22.588457,1
32898,unwatchable,-22.52339,1
27471,mildewed,-22.118584,2
1135,inedible,-22.08633,91
11237,scammed,-21.987467,11
3632,undercooked,-21.933542,105
30048,discrace,-21.803024,1
6081,underseasoned,-21.802668,5
2289,tasteless,-21.778143,185
2065,disgusting,-21.667475,301
30943,disgusting-,-21.477116,1
12631,degraded,-21.386782,5
14011,curdled,-21.384012,3
27885,reaked,-21.279383,1
15202,undertrained,-21.20938,2
11255,disrespected,-21.134348,19
4274,unacceptable,-21.036375,123
4838,flavorless,-20.996592,101
1556,abysmally,-20.95836,1
3189,insulted,-20.825844,12
8601,inexcusable,-20.805738,14
8729,digusting,-20.793268,2
4475,disrespectful,-20.6803,67
22353,rude-,-20.676146,2
12412,apologizes,-20.557474,14
29364,sorriest,-20.429934,1
10155,substandard,-20.364317,17
27319,appauled,-20.35499,1
38217,unhygienic,-20.342556,2
2849,insulting,-20.30472,22
7307,mutilated,-20.301641,2
17514,vomited,-20.175823,5
44655,unfresh,-20.15973,1
5701,disgusted,-20.057035,77
42697,demeaned,-20.03629,1
15746,uneatable,-19.96379,6
1422,humiliated,-19.903774,5
6357,lifeless,-19.888584,7
8534,unkept,-19.877996,3
28311,oversalted,-19.867386,2
14533,disjointed,-19.836735,6
7409,miserably,-19.835909,10
22865,apologise,-19.827768,1
21390,wilty,-19.726835,1
11652,appalling,-19.670172,18
1860,overcooked,-19.601542,190
261,apologized,-19.582537,170
162,reeked,-19.573977,9
33553,pitifully,-19.550669,1
5557,desecrated,-19.526716,1
11666,disrepair,-19.520498,4
16261,woefully,-19.439362,3
33384,unshowered,-19.439026,1
35872,overstayed,-19.436161,1
19970,waisting,-19.351881,1
14085,degrading,-19.249334,6
1523,pathetic,-19.180561,72
10040,berated,-19.04848,3
16637,terrible-,-19.039919,2
16486,dishonored,-18.948235,1
790,apologize,-18.935549,148
19566,insultingly,-18.921429,2
32704,flithy,-18.88103,1
33223,pathetically,-18.873285,2
37736,atrociously,-18.857525,1
43173,unuseable,-18.832489,1
10791,uninspired,-18.828917,15
21660,squandering,-18.802696,1
8429,grossly,-18.755014,8
5891,disgraceful,-18.709967,5
8430,deplorable,-18.702932,8
4729,wasting,-18.646082,67
30111,unhygenic,-18.55964,1
7051,lied,-18.549883,72
4766,rudest,-18.53867,32
33629,irredeemably,-18.511747,1
6177,shoddy,-18.492706,9
12234,stunk,-18.48105,4
9810,appalled,-18.455864,28
7451,demeaning,-18.452301,4
39330,unamusing,-18.440195,1
23377,slumped,-18.430586,1
3956,uninspiring,-18.390636,5
11161,uneaten,-18.38412,8
17921,assulted,-18.374096,1
11123,raped,-18.359617,3
29100,unacceptably,-18.306171,3
12392,discourteous,-18.268225,1
27431,uncleaned,-18.245895,3
22187,unfit,-18.244577,1
10787,underdressed,-18.205381,2
755,barren,-18.175283,1
7958,apologizing,-18.157099,26
7322,abysmal,-18.14384,10
13083,unflattering,-18.131456,4
23605,appoligized,-18.11613,1
24700,bilked,-18.084929,2
30771,unfunny,-18.08048,1
18850,cardboardy,-18.067461,1
1440,rude,-18.04332,1213
20011,fraudulant,-18.016235,1
9547,disconnected,-18.015034,12
28173,scaming,-17.997847,1
25468,undeliverable,-17.968042,1
7749,lamely,-17.95198,1
25163,withered,-17.948893,1
1649,cancelled,-17.9424,95
24518,unrecognizable,-17.937267,3
4717,pitiful,-17.924343,14
2401,moldy,-17.916563,15
38017,homogenize,-17.906754,1
32580,apoligized,-17.881655,1
22484,inacceptable,-17.861006,1
13382,horrifically,-17.842144,4
12915,wilted,-17.81489,28
28255,wasteful,-17.81479,7
2450,ruined,-17.799582,157
27747,berates,-17.76162,1
684,insensitive,-17.75646,6
18628,misspelled,-17.750154,2
6633,disrespect,-17.720459,20
15309,recooked,-17.709227,3
41956,unauthentic,-17.666449,1
5520,tacky,-17.660639,37
25245,mediocore,-17.6505,1
21298,unconscionable,-17.643513,2
11723,discolored,-17.638926,5
16581,hideous,-17.632517,6
16184,unusable,-17.612207,4
17908,puked,-17.611715,3
8330,horrible-,-17.597055,1
29306,uncleanliness,-17.592772,1
21071,egregiously,-17.589487,1
7063,flavourless,-17.570744,15
15527,horrified,-17.563725,13
14870,putrid,-17.524084,2
28076,unprofessionally,-17.519049,3
14298,ineffective,-17.499117,4
7765,inappropriate,-17.465775,29
15670,shameful,-17.464863,13
13759,horrendously,-17.428589,1
4541,underdone,-17.41439,15
11056,atrocious,-17.406061,25
24845,incoherent,-17.404686,1
5486,rudely,-17.368973,88
8572,craphole,-17.342667,2
6300,overdrawn,-17.30252,2
29918,incompetently,-17.297304,1
1875,refused,-17.259764,241
2607,dumped,-17.245739,31
17982,unkempt,-17.23995,3
6021,uncaring,-17.235641,15
8652,inadequate,-17.177197,5
23656,desolate,-17.105787,4
8069,livid,-17.094023,19
698,horrible,-17.089415,1136
16255,disgrace,-17.085678,7
7945,blankly,-17.070131,2
22850,stank,-17.032541,10
7487,dismal,-16.997187,18
7330,disorganized,-16.98792,47
4499,unimaginative,-16.986166,3
32809,berating,-16.982298,1
5180,incompetent,-16.976,87
32847,unattentive,-16.958796,1
2066,grossed,-16.94999,26
4170,inconsiderate,-16.915033,26
2327,ripoff,-16.912228,27
4555,lackluster,-16.891003,50
9289,forgettable,-16.885384,17
17552,aweful,-16.88051,16
8452,swindled,-16.873919,2
17969,unflavorful,-16.866129,2
8057,unsafe,-16.847422,13
351,bland,-16.840242,563
13983,bombed,-16.82229,2
2301,complained,-16.81927,149
3980,grainy,-16.818968,12
30821,slurring,-16.810759,2
2988,deteriorated,-16.809542,5
4028,apology,-16.796644,183
19434,wailed,-16.78116,2
45180,assaulted,-16.776709,1
41216,insipid,-16.772713,1
2508,subpar,-16.763708,74
9163,wretched,-16.735937,5
25117,squalor,-16.734682,1
6115,horribly,-16.712221,48
33298,shambles,-16.687208,1
46581,unfruitful,-16.680075,1
19967,decency,-16.67337,6
1992,unsatisfactory,-16.670778,9
20187,ughhhhh,-16.669235,1
9208,repulsive,-16.660719,10
8750,incompetents,-16.639967,2
28226,boycot,-16.622248,1
26899,nonfunctional,-16.619165,1
728,understaffed,-16.605085,62
38743,saltless,-16.600927,1
892,cancel,-16.579185,147
20997,disassociated,-16.575506,1
18130,undelivered,-16.562681,1
17493,blandest,-16.56172,4
31542,berate,-16.55846,1
1301,gross,-16.556143,288
14761,unmemorable,-16.553694,4
11116,shriveled,-16.529228,7
2816,wasted,-16.528288,131
12615,callous,-16.52661,3
15722,humiliating,-16.50286,9
20906,barfed,-16.496552,2
39664,lumped,-16.491735,1
17412,rotted,-16.477327,2
41047,betrayed,-16.444677,1
27428,inauthentic,-16.424532,1
35892,hijacked,-16.415314,2
19713,unforgivable,-16.401571,5
17717,slum,-16.37731,3
14088,degrade,-16.372526,1
23979,laughably,-16.356712,3
10052,unaccommodating,-16.352253,4
1564,misleading,-16.346268,35
24580,clumped,-16.336952,3
26334,undereducated,-16.333813,1
3505,overspiced,-16.317892,1
6545,revolting,-16.309593,3
12193,mismanagement,-16.304504,4
21098,reeking,-16.30145,2
23373,inhumane,-16.287441,1
5585,incomplete,-16.26859,8
4162,grossest,-16.255629,8
24668,unneccesarily,-16.24118,1
20237,scamming,-16.239737,4
23148,downgraded,-16.238588,6
30768,molested,-16.227524,1
1211,waste,-16.221203,474
22361,misled,-16.214409,2
10918,dumpy,-16.202795,8
596,awful,-16.164476,556
9089,unprepared,-16.163208,6
19158,fraudulently,-16.151716,1
18234,fetid,-16.151497,2
27833,ucking,-16.144867,1
290,underwhelming,-16.142944,72
12572,contaminated,-16.12467,8
26908,disfigure,-16.11812,1
15129,disorganization,-16.117914,3
7406,unappealing,-16.109022,21
28235,smdh,-16.106167,1
16909,untruthful,-16.10491,1
27498,disgustingness,-16.095457,1
26229,scammer,-16.094694,2
17295,unethical,-16.079847,19
19406,unqualified,-16.060047,4
22567,halfassed,-16.059736,1
11822,lacklustre,-16.03845,3
31531,apathetically,-16.037115,1
20269,lousiest,-16.025099,2
14049,unimpressive,-16.02027,21
41520,urinated,-16.01958,1
1841,worthless,-16.012627,20
9568,misinformed,-15.995292,3
18845,dilapidated,-15.993882,3
17859,appologized,-15.988099,1
30784,embezzled,-15.982742,1
2958,outdated,-15.970856,47
8149,offended,-15.969911,26
29971,flatly,-15.9582405,2
26289,unrepaired,-15.958084,1
8858,trashed,-15.935462,8
29658,uncourteous,-15.911306,2
3915,canceled,-15.907592,49
2448,devastated,-15.907499,5
23839,cheapens,-15.9057045,1
13866,cancels,-15.903392,7
15410,abusive,-15.900746,4
27835,abismal,-15.899011,1
25588,snubbed,-15.89812,1
24807,nauseating,-15.893456,1
21716,accosted,-15.87626,2
3000,butchered,-15.861573,8
16283,stammered,-15.84728,1
23363,ranted,-15.846563,2
3009,insult,-15.835832,38
21822,sickening,-15.833725,4
8100,curtly,-15.8296175,2
5617,rotting,-15.829032,7
18714,slopped,-15.821536,4
26084,awfull,-15.818769,1
33313,flotsom,-15.817901,1
16211,belittling,-15.816895,6
36010,horrifyingly,-15.815179,1
21662,retake,-15.803011,4
16000,offends,-15.789277,3
21202,reek,-15.781104,6
4031,smeared,-15.767101,12
1525,microwaved,-15.75701,55
41580,trashiest,-15.753699,1
14188,lectured,-15.746375,4
13870,reeks,-15.737198,7
22235,uninteresting,-15.717467,4
9304,nauseated,-15.715563,1
6835,irresponsible,-15.70632,5
22996,distasteful,-15.703993,3
22778,dissappointing,-15.683133,2
6473,lumpy,-15.675155,24
3573,ashamed,-15.66103,35
1603,miserable,-15.657476,42
27531,inedibly,-15.646985,2
23924,protested,-15.645143,1
9047,mortified,-15.642587,7
12526,underripe,-15.641591,1
16011,atrocity,-15.634229,3
18361,misshapen,-15.629903,1
10305,travesty,-15.621757,3
28843,waterlogged,-15.620895,1
17273,gloppy,-15.618552,1
22682,repulsed,-15.61773,2
1320,failed,-15.616707,133
22707,huddled,-15.61485,2
32905,crumby,-15.588708,1
8550,uncivilized,-15.583489,2
10371,inept,-15.576248,11
1570,worst,-15.564618,1349
21964,undignified,-15.557242,1
28521,listless,-15.546748,1
2416,angrily,-15.544862,11
19328,unenjoyable,-15.543553,3
15776,inconvenienced,-15.535344,6
6322,stranded,-15.521146,18
9277,fuming,-15.517575,2
16256,littered,-15.512374,6
17970,fined,-15.505921,3
14864,unattractive,-15.485891,4
7062,condemned,-15.473566,3
23486,blobbed,-15.469853,1
4235,embarrassed,-15.467487,65
17475,dismayed,-15.465726,1
20528,infested,-15.464396,6
2488,embarrassing,-15.459756,46
10208,waisted,-15.456899,4
18046,sloppily,-15.45641,7
1866,disappointing,-15.44505,494
9023,reschedule,-15.406186,42
14975,decaying,-15.405908,2
22834,apologetically,-15.405153,1
10298,rancid,-15.393107,12
624,sorry,-15.3874,581
3448,inferior,-15.374887,16
17512,mortuary,-15.364768,1
21830,confused-,-15.359941,1
18166,extort,-15.346396,4
9229,rejected,-15.336617,6
26068,relegated,-15.330049,5
24536,disheartened,-15.322562,3
25191,craptastic,-15.318207,1
8765,doomed,-15.316365,3
21826,undescribed,-15.309211,1
12253,blames,-15.307628,3
27746,accuses,-15.3058815,2
1985,mediocre,-15.305026,433
25662,gooped,-15.2987175,1
11685,wasteland,-15.294928,2
33217,uncultured,-15.287086,1
31336,mistreat,-15.286862,1
12355,blurted,-15.283077,3
19904,flophouse,-15.274791,1
11917,belittled,-15.2714205,6
29770,reprocess,-15.262352,1
27140,unclassy,-15.255418,1
24146,soiled,-15.24541,4
4016,unorganized,-15.233898,51
31582,disappointingly,-15.216084,1
21129,crackwhore,-15.215452,1
17298,misrepresent,-15.213563,3
18489,terminated,-15.207845,2
6773,poorest,-15.180982,9
19586,mayonaisse,-15.180266,2
15126,disparaging,-15.175421,2
17955,abhorrent,-15.169846,2
4423,ghastly,-15.164364,3
19003,brutta,-15.154246,1
19659,discard,-15.146061,2
14121,rehash,-15.142873,2
17216,catastrophically,-15.1154785,1
44567,ugggg,-15.112266,1
28698,misshaped,-15.105837,1
