word,score,word_count
these,-0.006655422946872685,5194
pork,-0.007947939787012411,362
rinds,-0.009826297130711481,345
are,-0.006331658842200603,7172
delicious,-0.0018438417600031996,699
!,-0.004511996585706506,8438
 ,-0.006910989862118779,23556
they,-0.008182934264491385,7614
taste,-0.00864748628633643,4528
so,-0.006966909386368911,5764
fresh,-0.0025272859235927797,622
",",-0.007189023346033231,40485
plump,-0.006771894049563797,24
up,-0.0072709374231175175,2278
nicely,-0.004363785759037465,95
and,-0.006277771103125289,29197
have,-0.0065012756352911295,8032
the,-0.007417981317309115,44997
right,-0.006491368422469323,764
amount,-0.006820182567364258,505
of,-0.00735201517789324,19633
spice,-0.004842525279343373,143
.,-0.007156738048993492,56886
plus,-0.00423532564966566,246
cooking,-0.0056834232443456235,239
them,-0.006781742540474717,4786
in,-0.006714015841168424,12113
microwave,-0.006898469556826222,386
just,-0.00702867658663232,3997
like,-0.008137122102999567,6073
microwavable,-0.003333289166769516,14
popcorn,-0.004382094310289394,311
is,-0.0062768326579278385,16835
a,-0.006305369416160787,26426
breeze,0.005545065799029544,5
i,-0.007584423335039154,39422
store,-0.00502864598955922,980
freezer,-0.004395103115647196,44
along,-0.0045903548726490455,174
with,-0.00605232914881081,7947
my,-0.005948570529289401,9381
to,-0.006901723129743284,23144
keep,-0.0031623704048166796,516
there,-0.007810409063830618,2180
only,-0.006991286140821199,2227
1,-0.007391118402620909,623
carb,-0.005611729005738088,130
per,-0.0052584120506211675,548
bag,-0.0073473934060761924,1476
which,-0.007805546408591284,1928
makes,-0.0036221290525522824,687
perfect,-0.001341925833046085,579
snack,-0.0005428712572575503,514
for,-0.005727859056239498,11763
diabetic,-0.006813077582367916,33
lifestyle,-0.0024173451063443153,6
found,-0.0057147147548731415,1173
chips,-0.006468508907434916,1385
on,-0.006672859377660322,6147
vacation,-0.00565842355106683,22
oregon,-0.004507705050559707,6
was,-0.009119711433000966,8978
kind,-0.008537408958464787,479
natural,-0.005556970030302043,637
yet,-0.006755356989076039,339
upscale,-0.002592751558404416,1
type,-0.007433959856733221,271
grocery,-0.004414668265258362,478
had,-0.008986046710817172,3592
never,-0.008925150271034412,987
seen,-0.006094364687095753,113
before,-0.007391205318654072,1029
different,-0.007513064531133389,965
than,-0.005644682581447334,2553
regular,-0.00499995426748444,690
-,-0.006570491969446649,6777
no,-0.008567963036804325,2783
oily,-0.008277987297755926,77
but,-0.008095658685261704,8829
very,-0.006632301262000451,4044
flavorful,-0.001669885530511066,170
did,-0.00975231253465167,2402
n't,-0.008338903605518906,7337
know,-0.008812571935864343,1129
if,-0.007645427218115067,3812
could,-0.008674952314518277,1535
get,-0.006527843479240725,2304
ca,-0.007100449196067074,957
ordered,-0.008595411960263484,1005
case,-0.007754430010486483,488
popchips,-0.004003533009864467,115
great,-0.0010364419213755645,2854
alternative,-0.0035740883191057718,250
when,-0.00747553433158731,3134
you,-0.006115861238685561,8107
need,-0.0064720389551457085,651
munchie,0.0004642724419439522,1
crunchie,-0.002622511594963726,2
much,-0.006397368328516687,2176
lower,-0.004592860293946446,113
calories,-0.004868958089684134,426
/,-0.006577631793638126,2397
fat,-0.006323129099212054,472
portioned,0.009034439905032438,2
controlled,-0.0012035128263032675,5
especially,-0.0032108827488321746,310
barbeque,-0.0076504802032558465,33
flavor,-0.006633607040565631,3422
or,-0.007034842626354759,4006
salt,-0.009161360302434965,794
pepper,-0.00584303957961815,180
flavored,-0.007063270380122768,587
good,-0.005216952023549668,4067
easy,-0.0012799100803847984,637
stomach,-0.007277541820538134,170
am,-0.007358729519986499,1776
running,-0.006171395588026915,75
help,-0.006478420442363398,268
energy,-0.0028049025192100883,211
long,-0.006080804037476601,628
runs,-0.003626701997454225,21
love,-0.003221978361716928,2229
use,-0.00519938095378967,1733
this,-0.007002541512562285,15840
syrup,-0.007367790423635229,401
tea,-0.004018054395582098,2123
coffee,-0.006182477778551148,4143
over,-0.00614643780234713,1084
cut,-0.005708944137898434,177
fruit,-0.0060659309972238545,461
ice,-0.004512062184336712,264
cream.i,0.0009688230822212062,1
buy,-0.00741395025180812,1999
unflavored,-0.0036784964362153814,6
creamer,-0.00451428024800191,61
add,-0.0036466206994422417,642
it,-0.0070588399991923425,24197
cheaper,-0.0053088707431186094,350
pre,-0.006706204492715504,92
gave,-0.010069055683522676,416
thought,-0.009766721694498735,916
treat,-0.0018651819642552937,303
until,-0.007478860353057978,400
marshawn,-0.002689379776080993,1
lynch,-0.002689379776080993,1
came,-0.00723635665188067,523
town,-0.002049462677415081,43
...,-0.008056937167135191,2386
awesome,-0.0023764136698556713,215
big,-0.006171219479416214,543
ole,0.00030525517160994163,12
candy,-0.005781383474772451,256
dispenser,-0.008650636555019634,26
at,-0.0070369063333867304,3975
work,-0.005826839613131981,632
seahawks,-0.002689379776080993,1
sticker,-0.01050514800680604,15
now,-0.006418861525711756,1511
we,-0.005435499655832269,3220
matt,-0.002689379776080993,1
flynn,-0.002689379776080993,1
beast,-0.0038784654515135724,3
mode,-0.002689379776080993,1
cajun,-0.005910359611269895,21
style,-0.005215008868194973,67
effects,-0.007618133497570034,72
some,-0.006844977593583752,2375
foods,-0.006572843556263262,546
more,-0.006071358102424413,2812
remarkable,0.00021660824656248175,7
others,-0.006801617324435784,383
balsamic,0.0005744067356989122,7
vinegar,-0.007055313268578511,229
tasting,-0.006677238062600751,481
fairly,-0.004853754083357264,95
wine,-0.003427077780693393,87
be,-0.008062384065708604,4751
one,-0.006742104009642182,3912
most,-0.006221228388556981,897
not,-0.009635536600586775,9592
as,-0.0065436619388737184,6285
description,-0.01137630395190358,251
would,-0.009061896304483284,3547
lead,-0.011765436905313736,30
believe,-0.009806804292421178,370
's,-0.006831120816359648,7075
artificially,-0.01037894565920045,25
appears,-0.009800674407687778,69
from,-0.007779935436874359,3519
other,-0.007252758261141808,2646
ratings,-0.016190497897737133,37
that,-0.007803839977688382,10490
either,-0.009514280040816642,387
hate,-0.008320343611390663,136
household,-0.00496211881988294,37
hated,-0.011120005152310534,65
course,-0.005388542064624195,166
problem,-0.008705420571582407,599
accurate,-0.013024361410928878,13
amazon,-0.006831699333433412,1946
refunded,-0.017241061592585382,40
money,-0.011983775955987964,690
said,-0.008910921714152207,551
someone,-0.009242445100068998,301
check,-0.009983403247650655,178
information,-0.009578348766498952,147
product,-0.00849914850326262,4396
page,-0.009878340225148045,67
best,-0.0038629874433853137,1534
licorice,-0.005215386381956955,152
usa,-0.006405946904895924,63
craving,-0.005251223752128922,60
something,-0.008310702350681341,1052
sweet,-0.005320849977841592,989
price,-0.0038511640978111245,1535
reasonable,-0.0016638200862620172,92
will,-0.007405044264883783,3130
continue,-0.0036145661527466097,114
order,-0.007318571248422891,1123
always,-0.0033903690306667416,660
got,-0.008288375984106016,1056
two,-0.007320344701452441,1091
bags,-0.008032755186919238,795
friend,-0.005931132167555444,198
who,-0.00668025527467701,1084
his,-0.0051305523744725485,541
primo,-0.0060924593381544885,1
chucked,-0.0060924593381544885,1
zip,-0.006956988671443122,42
lock,-0.007348173727101548,33
home,-0.005077853017913843,371
3,-0.007289726433511341,831
mos,-0.0038269392021862184,3
later,-0.008782463162725209,165
opened,-0.011880036710941528,417
today,-0.007720149239689589,208
online,-0.006052408090750405,220
trying,-0.007686224789371068,498
find,-0.0049013021099519735,1515
smokehouse,-0.00847922063769625,26
jerky,-0.009619564665534208,214
out,-0.007929470979046725,2915
quick,-0.002660845273506513,240
has,-0.005875018943419841,2850
s,-0.008139103770085327,95
smoke,-0.005528939370249892,26
texture,-0.007669781258022824,450
even,-0.009464682814792721,2033
started,-0.007022307373133637,376
subscription,-0.0033499927688150147,73
once,-0.006478109321291891,378
month,-0.005230096723634173,263
....,-0.00843570640647113,445
save,-0.006795502099689565,341
15,-0.006131430468982532,194
%,-0.0069687231956345975,692
by,-0.006994201027132944,1744
doing,-0.008100339934522275,181
it.<br,-0.008015967475204406,135
/>the,-0.00687348068074779,528
con,-0.009559241570020898,18
little,-0.005452121820188749,1632
salty,-0.009635168996514683,393
side,-0.007206701062040922,291
go,-0.005984445945854113,1015
wrong,-0.009935075513065916,267
stuff,-0.006817934840154942,757
made,-0.007708411554738431,1420
really,-0.0064755401069029744,2160
tasty,-0.0026353224482152516,456
banana,-0.006217132804262203,70
bread,-0.003908871272858529,158
quality,-0.00660871227474347,742
lowest,-0.0073959668133341885,42
tried,-0.007955517242090818,2035
every,-0.004045553965308426,703
brand,-0.00770293051715204,915
coconut,-0.005856982752799194,511
water,-0.007469269238187785,1422
health,-0.007342418795149235,388
food,-0.007949295937226066,2490
stores,-0.0022677467941722364,391
carry,-0.004394912335810633,127
far,-0.005956942358222301,543
favorite,-0.0013242496232092082,791
pineapple,-0.0073789296724558855,142
does,-0.0078108306957818015,1737
overwhelm,-0.0032516105402060525,6
vice,-0.0028322271183666694,2
versa,-0.0028322271183666694,2
also,-0.00623568369865537,1840
tetra,-0.003013562673359047,2
pack,-0.006353620361488186,840
screw,-0.008803747816248415,21
top-,0.00038653834106905073,1
convenient,-0.0026333025563743586,123
smaller,-0.006380118281212196,206
11,-0.008955247926413503,92
oz,-0.007879904768087743,680
size,-0.006674729029896556,638
can,-0.005992799396186098,3473
reseal,0.001271046608658556,5
