word,score,word_count
i,-0.003325088075248295,32093
purchased,-0.002207686781673222,933
this,-0.002470203988409569,25015
toy,-0.0033552835044387466,7167
for,-0.0019746578005940974,21448
my,-0.002179812386909573,14659
daughter,-0.0026165915752439494,2726
's,-0.0021363598141167675,9759
2nd,-0.0034200293377118465,114
birthday,-0.0008662983468588202,705
gift,-0.001281539848713117,878
",",-0.00256526863844515,54100
she,-0.0020987810990426305,5351
loves,0.000644784699070393,2282
it,-0.0027938576329888235,44249
.,-0.0025961429107878133,77985
 ,-0.0026482374906124746,35176
however,-0.0033835821389324805,903
the,-0.0028371609666089917,79304
tambourine,-0.003176077781771321,45
is,-0.0023591978763033285,28460
cheaply,-0.006712038916073095,374
made,-0.0037369745876124328,2389
its,-0.002091986355895757,1328
like,-0.0029137589686009696,5434
paper,-0.003799475200178793,432
since,-0.0020695716799173304,1303
does,-0.003610655773912819,3550
nt,-0.004618024814797255,612
know,-0.0032095553441802444,1240
better,-0.0037374889367865253,1741
will,-0.002269827702567123,4496
use,-0.0023662835058423553,2377
other,-0.0026463154799164436,3531
instruments,-0.0007150841352240398,148
to,-0.0023980157965245853,42310
hit,-0.0019933358881850287,567
drum,-0.0028091838848239136,157
expect,-0.0031550285328534986,276
break,-0.002676067008944243,368
first,-0.0022838171427164208,2316
6-year,-0.000807944088102499,45
-,-0.0023430874142753993,9128
old,-0.0022167637488654675,5935
grandson,0.0008991082625915159,498
challenges,0.00047287327765671404,66
!,-0.001056412420055139,10636
ordered,-0.0035045099263521806,388
a,-0.0022573853845287224,39497
number,-0.0014815062498966581,538
of,-0.0024353946534884227,25329
activity,-0.0017019904174393995,132
type,-0.00255774352815496,334
books,-0.0018742779233000045,365
him,-0.001526598561993151,1783
and,-0.0020267721856121277,45566
thanks,-0.0021972924836297252,131
amazon,-0.004616944494766282,807
he,-0.0012758870046283468,6330
been,-0.0020039855417447253,1506
busy,-0.00154944151273837,163
continuing,0.002471849669069949,6
learn,-0.0010377962151066067,1015
during,-0.002065619471124568,328
vacation,0.0028259633481114476,20
time,-0.002057567349392418,3820
similar,-0.0026139038596006445,301
scrabble,-0.0008776988538054599,166
bananagrams,0.0010966188720871772,56
players,-0.00043061827274780006,1308
letter,-0.002182505183601052,309
tiles,-0.0017721056748548733,399
make,-0.002975452062410565,2635
series,-0.0007856843483293859,101
intersecting,0.0014317317544737308,2
words,-0.0013626401350626284,386
but,-0.0030398797158798867,11244
in,-0.0027622851359154574,15926
many,-0.002077852062777703,1765
ways,-0.0007932320101619748,186
consider,-0.002059274528448743,139
superior,-0.0019069357454747139,31
game,-0.0017481288714478228,14095
that,-0.002724247488862585,16748
inspired,0.0010682609804304704,13
fast,-0.001456073713212473,394
simple,-0.0004951002570962455,844
no,-0.004085538067273379,3180
values,-0.0010672236036847228,33
score,7.660205811228148e-05,141
multipliers,0.000992926218041248,2
waiting,-0.0020694830075159965,136
your,-0.00250764682194033,3979
next,-0.0027778009381950876,522
turn,-0.002830685837102919,1141
simultaneously,-3.900692940060606e-05,17
build,-0.00040407626779259865,367
their,-0.0015114985546389875,2346
own,-0.001702363687244056,1125
set,-0.0010258366962843076,1908
crosswords,0.002067956854404353,4
using,-0.0014065324195648107,548
pile,-0.004083006907760633,135
letters,-0.002609554554429806,649
drawn,-0.0031975842853385135,103
at,-0.0030437116657039023,6036
start,-0.0022977824575582213,582
if,-0.002949898028298412,5334
you,-0.002549186025415243,15162
do,-0.0036719129154563733,6718
n't,-0.003827139426959088,11525
way,-0.002460353089401101,1782
are,-0.0022710316405773322,11084
turning,-0.002199058303065919,133
out,-0.0031702048507206617,5350
simply,-0.0037818554031778394,400
pull,-0.0037510126551828947,517
apart,-0.004223670669638786,644
some,-0.0024933091114690466,2945
again,-0.0037602034081889715,1177
have,-0.0026052078187174315,11000
ca,-0.0030440759873451616,1361
throw,-0.0030375731009361718,197
them,-0.0020418659672400844,4927
back,-0.0034373891476010983,1886
community,-0.0020185733833891014,15
take,-0.001493264035186278,1481
new,-0.0019441304732613625,1354
ones,-0.0008290866706105223,571
key,-0.0028882611201679394,110
winning,-0.0022478753954470617,178
speed,-0.0007564431538014554,91
agility,0.001192415640654095,8
when,-0.0025886996075885696,5639
one,-0.0026799825218706526,7826
player,-0.0007051792276080694,1081
uses,-0.002105325097454446,318
up,-0.002583846918286505,5385
all,-0.0024040249277736143,6416
everyone,-7.522979085441454e-05,475
has,-0.0017342845048939708,5138
another,-0.0027046581901954978,1184
from,-0.00261313186340861,3698
with,-0.001962888686564254,14966
these,-0.0015335730551354857,2453
flying,-0.003386066481262328,201
around,-0.0017460087855112679,1810
'll,-0.002413307911192349,1021
on,-0.0029022883964942656,11902
fly.since,0.002704181954334975,1
point,-0.0030659478446755186,554
value,-0.0019084261968937127,515
winner,-0.0017618490415083142,146
round,-0.0011406069631593532,263
person,-0.002681777826110633,420
once,-0.0026608580468388808,1003
gone,-0.003588030226881255,105
unique,6.202269335850453e-05,149
more,-0.002413916102775481,4472
faster,-0.0014485281561606213,98
goes,-0.0025964651989879082,467
two,-0.0026326950652756074,2335
long,-0.0017432772262726563,1103
rounds,-0.0015604006188226494,156
very,-0.002749755350174461,5662
large,-0.001961266839176163,503
while,-0.0020382088669357195,1555
six,-0.0015200891174141182,254
lasting,0.0008001339929927679,30
about,-0.0027555299068969456,3244
five,-0.0015147606711495476,396
minutes.overall,0.002704181954334975,1
great,0.0003309592826739851,4195
substitute,0.00015813083518297487,6
fact,-0.0032689549039732133,607
've,-0.001518417112017855,1266
played,-0.0019297767692219472,2060
actually,-0.003505317979501391,874
likes,-0.0005196550901906844,608
than,-0.0032362652985458125,2808
top,-0.003880633806818305,838
off,-0.0037965262239237265,2458
high,-0.0025241501128295367,578
quality,-0.0031371279857215746,1441
come,-0.0026591521866284225,1111
banana,0.0019422367513827795,20
shaped,-0.0020166118081619516,59
pouch,0.0025559675306757582,10
which,-0.002504699614344798,3117
travel,0.0018355403549415385,72
just,-0.0031143115138051254,5911
how,-0.0023109246882087034,2302
remember,-0.003243536247775257,587
was,-0.0038345799591321503,10153
growing,-0.0011275365697911792,100
brooklyn,0.0014773544918231588,1
only,-0.003121628594893058,3188
difference,-0.003013150731784364,110
sticks,-0.005179138457712484,274
plastic,-0.004524025188026715,1613
not,-0.0044484199234740745,11307
wood,-0.0029436953378768563,415
durable,0.0005468130834947838,704
thick,-0.0014068677011884777,177
though,-0.002431759205789213,1133
think,-0.0026842336189546526,2055
they,-0.002506978679936562,8401
then,-0.003376521775495543,2431
original,-0.004412663166692948,591
wooden,-0.0014661911916784695,495
would,-0.00394777644525114,5767
get,-0.00290821594637451,5174
beat,-0.0007468683906574539,147
can,-0.0010367310877840907,5910
store,-0.0036718925799897376,672
under,-0.002515981084804263,478
bed,-3.287388733231366e-06,91
need,-0.0020179297452151634,1059
batteries,-0.0037653778010315027,633
too,-0.0029516550102006325,3170
5,-0.002966346297348707,1695
year,-0.0018581640536852156,3578
also,-0.001757938043477761,2946
so,-0.002920808079339863,8811
who,-0.001762519295089346,1941
comes,-0.0017846600319088928,795
over,-0.0025197793736515283,2498
our,-0.0014076199880514737,3178
house,-0.0014243272819686485,843
both,-0.0015115959672224364,851
adults,-0.0003338593204860517,524
children,-0.0014751642095928736,1551
mancala,0.00031030710542206014,22
course,-0.0016291001049243898,314
favorite,0.00103502504888675,528
low,-0.002638765204925271,224
tech,0.0003110293148785389,20
games,-0.001789799142956,2553
;,-0.00325511524117918,2536
now,-0.002319525280360942,2215
plays,-0.0010426124271221506,814
hours,-0.00022050397922712336,467
her,-0.0019247204008584417,3333
friends,0.000898850341762594,547
did,-0.004706415805296186,2973
30,-0.003509608457562142,414
years,-0.0010257385698837235,1251
ago.this,-0.003243865707459766,1
nice,-0.0010098484719063719,1230
folding,-0.001861909308091564,20
board,-0.0022647362464271376,2029
fun,-0.00046565973502014235,4831
animal,-0.0017917159039595144,131
pieces,-0.002215151203819718,2037
--,-0.0027005461160210056,627
kids,-0.001402636198770337,3774
animals,0.0009572681241399505,185
irregular,-0.003918310270290703,2
shapes,-0.0018027392356186234,571
easier,-0.002092534154729913,308
handle,-0.0026329396535258007,402
smooth,-0.0010233380838007844,63
stones,-0.006651442054109785,31
stores,-0.002345710828857914,146
fairly,-0.0016172105560023678,284
compactly.the,-0.003243865707459766,1
three,-0.0009573796479487235,741
things,-0.0017460025047454906,1112
set:-,-0.0010855837835526926,2
clasp,-0.0009326872483226605,5
difficult,-0.0036492833323934475,731
work,-0.004097655816964965,1403
thumbnail.-,-0.003243865707459766,1
pits,-0.0014518667749295368,3
deep,-0.0016383215147434502,82
enough,-0.0024788132144437764,1491
hold,-0.0038907631073532996,887
problem,-0.003147032574293271,817
big,-0.0023764813852208562,947
stack.-,-0.003243865707459766,1
hinges,-0.003487676723717173,17
allowing,-0.0024289607968497,42
lie,-0.004101995056178065,16
flat,-0.0023557163987481737,122
look,-0.003315352996156378,972
flimsy,-0.006276364771707645,505
work.in,-0.003243865707459766,1
good,-0.001717742238078909,2829
marred,-0.003243865707459766,1
by,-0.0025664380205996777,2868
few,-0.002810775701810698,1719
technical,-0.00039970706191866146,6
problems,-0.00244461835899905,185
wo,-0.0035667061282021713,682
care,-0.003277804701280146,211
play,-0.0010958403950354519,6031
hut,0.0005840411901481275,5
fortress,0.0013311559847443278,4
or,-0.002765100318548699,6274
something,-0.0033207557871704663,1327
awesome,-0.0010342482466269023,192
little,-0.0018773389474818197,3979
bigger,-0.0019523878163990112,216
expected,-0.0037381199519563235,228
...,-0.003434701227643254,2599
size,-0.0017321911403720177,603
entire,-0.0035636710412629054,265
chaise,0.0008520494873664574,1
sectional,0.0008520494873664574,1
ok,-0.00495604128763927,253
because,-0.0035234972466197537,3014
boys,-0.0005804192474368765,295
going,-0.0029203105299617565,1086
be,-0.0026812403062385333,7219
same,-0.0038040300466943636,1495
hopefully,-0.0003682206948157703,57
might,-0.0027751198819590244,697
lessen,-0.001256033182993027,3
amount,-0.002318644346032514,346
tiffs,0.0008520494873664574,1
section,0.0006315041072447143,37
belongs,-0.004500472534225572,21
whom,-0.0033854319212705173,29
items,-0.002900422364871548,336
easy,-8.475204326707119e-06,1684
assemble,-0.003096893045109994,97
/,-0.0022686531853710447,1384
dessemble,0.0008520494873664574,1
extremely,-0.0036641834853168524,253
we,-0.0021253284900423146,8852
basketball,-0.002494349032928188,33
skeeball,0.0008520494873664574,1
throwing,-0.004326015125740833,72
rolling,-0.0026710539870038125,285
balls,-0.0038346160741088405,485
inside,-0.0024890141609650016,415
sit,-0.002353286283027189,416
draag,0.0008520494873664574,1
somehow,-0.0028013887932577365,33
even,-0.0029042267851315646,3043
imagine,-0.0022366786141701784,167
times,-0.0030155295575815316,1199
where,-0.003008428499638349,1040
wearing,-0.0025718153057613605,44
different,-0.0015804059626968255,1404
parts,-0.0037741747692390396,601
rather,-0.003115307525169357,401
crawling,-0.003551910037233967,61
playing,-0.0010938832825213626,2514
what,-0.003469324614810237,2588
?,-0.0040385334531996405,1447
yet,-0.0015385191555106466,585
christmas,-0.001989725055494724,1150
santa,-0.001984911872526608,188
precisely,-0.0008636843201303337,3
rate,-0.002095531199739022,90
assume,-0.0054937264682908,55
based,-0.0033216675086008662,361
products,-0.0035720356104229018,389
rated,-0.004689711991461238,76
middle,-0.0023902204021321424,147
road,-0.0009684821914390373,63
education,-0.003462288610019786,100
believe,-0.003909588360145953,284
as,-0.002286773700928646,9715
abstract,-0.0012116898534532715,24
improved,-0.0007007183274171202,51
imaginary,-0.00251797126000803,13
capabilities,0.002012892746600604,4
maybe,-0.004364153061842842,768
share,0.0015767423813194056,48
together,-0.0016150507296237252,1508
:),0.00038579952195960177,125
enjoy,-0.0005858094946180092,1076
keep,-0.001854738502788317,1213
occupied,0.0029386968064976176,39
outside,-0.0023067206895439818,314
snow,0.00022805554312100996,44
days,-0.0030352554134986144,518
kinds,-0.000543248301233908,88
yards,0.0016155668135161248,4
bricks,-0.00013118146060116614,11
hands,-0.0021321586444668925,564
super,-0.001914985799988107,327
boundless,0.012666266981159423,1
energy,-0.0014608161557691174,36
absolutely,-0.0015310243694853383,283
perfect,0.000920619962654101,513
burn,0.0025116481936036162,7
practically,-0.00408948259247977,32
indestructable,0.005508736131220454,2
classically,0.008385974610070358,1
loved,-0.0005321134436242018,864
ago,-0.002337358385357172,404
grandkids,0.0007187588580129255,83
happy,-0.0012502191224017657,437
takes,-0.002333863060458522,626
an,-0.0018371670098474165,2987
adult,-0.0019779592888111877,349
makes,-0.0013256138316320443,1050
worth,-0.0027553441454505755,765
trouble,-0.004443990905937277,325
pretty,-0.0024319250882977586,1080
group,-3.106614746442267e-05,246
drag,-0.0018921455438823235,57
bit,-0.001973052301920185,922
multiple,-0.0030608060395839673,269
people,-0.002048871415113866,1202
want,-0.0027086435006299005,1164
calculate,-0.0022072902996295245,15
moves,-0.002046447537259524,173
before,-0.0032114393060050338,1177
committing,-0.00047790492585287817,1
best,-0.0007491001693403388,736
possible,-0.0019149929413224036,197
route,0.0015024644752124766,32
variation,-0.0003466386631293404,40
declare,-0.0006493062394171527,4
gear,-0.0012719687814491626,55
roll,-0.0023219988904951178,408
',-0.0021912571024596977,1030
drive,-0.003215975391287818,68
car,-0.0008391202815958363,507
necessary,-0.0036568185935100255,91
backs,-3.523319063232416e-05,6
overs,0.0016562460316011615,2
encourages,0.0020391942561235883,35
pay,-0.004193505435655666,345
attention,-0.003005234008156636,357
adds,0.000179148098838254,156
element,0.0008440771878811304,48
hazard,-0.0032942514968154874,76
present,-0.0012950260082976101,187
real,-0.003028885254008857,745
driving\racing,-0.00047790492585287817,1
situation,-0.0009316699702749008,19
party,-0.0016780172972090705,307
may,-0.001645027576853976,627
limit,-0.0007471183055976711,52
lap,-0.00046193765215289125,19
per,-0.003322355116568381,133
kit,-0.0012054450790416422,283
tie,6.566652165773665e-05,98
dye,-0.005055872100495478,88
themed,-0.000763870939784979,64
dyes,0.004092470844610337,3
strong,-0.0009462844725570896,204
colors,-0.0001732897213814532,901
last,-0.0025916432128228807,1005
without,-0.0032579055563305543,1109
much,-0.003082655493792781,3505
fading,0.0015538560837295436,6
castle,-0.0009106658362183954,85
ravenloft,-0.001961967455711841,58
always,-0.001672760952124816,1034
put,-0.0024699257834561645,1858
woa,0.0002782724733790095,4
most,-0.0017356730528086917,1206
recommend,-0.0021340877124117297,1567
difficulty,-0.0016248078056636953,103
average,-0.002096005033402231,98
(,-0.0025056099236227805,6778
unlike,-0.0020822588745803934,123
cr,-0.0015275302956426155,1
cruel,-7.212250602340947e-05,2
),-0.0024370660916062893,6393
heroes,-0.00028428541133550364,63
d&d,-0.002972332181339514,191
truly,-0.0029304809731276736,114
&,-0.00296584018401378,2458
#,-0.003303029230704462,998
34;system&#34,-0.0015275302956426155,1
sorts,0.0003034736903982992,35
end,-0.0034391538253478256,807
having,-0.002218573040293858,790
ton,-2.606907242098191e-05,54
figurines,-0.000802096528554917,8
sadly,-0.005638713056869975,172
painted,-0.002347469030604911,83
sense,-0.0027765848250730753,97
bajillion,-0.0015275302956426155,1
tokens,-0.00040739569658114147,152
amazingly,-5.161110835774229e-05,16
well,-0.0019652855199268366,3212
illustrated,-0.00017500092768993152,16
rulebook,-0.0010563136070225727,26
along,-0.0011190237688319692,534
really,-0.0024594899901636226,3771
collection,0.002635789622632629,138
scenarios,-0.0012628578176066849,94
lot,-0.0015331350864258297,1595
em!).this,-0.0015275302956426155,1
1,-0.0022646315040595446,967
2.5hrs,-0.0015275302956426155,1
needed,-0.0022646545051608017,324
whole,-0.0023788662729233704,551
cooperative,-0.0017584700642587785,114
every,-0.0016819230054588592,1189
character,-0.0017585824261642088,200
contribute,-0.0015275302956426155,1
into,-0.0028722082287023385,1822
fun.i,-0.0002529740035443713,10
suggest,-0.0032323083294249315,160
buy,-0.002970012527930846,1613
w/,-0.004130492905532358,60
base,-0.002499307266764479,497
rules,-0.0009694526016346955,842
ever,-0.002549726891740595,508
feeling,-0.0017502391441187304,81
finding,-0.0025837703291379647,137
34;a,-0.0015275302956426155,1
mechanically,0.0014225521712225486,7
repetitive&#34,-0.0015275302956426155,1
pause,-0.004637251568444896,16
go,-0.0026763732074879124,1800
boardgamegeek,-0.0036577780377652974,20
find,-0.00226241062777246,1105
variants,0.0005322542204180011,18
published,-0.0010117643868206702,9
allow,-0.0017788862187505926,150
34;initiative&#34,-0.0015275302956426155,1
system,-0.0024417160103305823,217
change,-0.0018578880043229528,302
everything,-0.002436316195702201,557
time!absolutely,-0.0015275302956426155,1
penny,-0.000153966151085309,30
~,0.0009728639533555376,4
$,-0.004575452009144734,1038
40,-0.0029218614236683903,134
home,-0.0014072914378149752,380
child,-0.003167720653881173,2071
encourage,-0.0008539987782590186,72
card,-0.0016529733082659669,1520
video,-0.0019550050460555263,164
mousetrap,-0.0030023927756975956,20
generations,0.003547765500903668,17
there,-0.0030239684997238575,4323
reason,-0.003279168150082769,323
building,0.0008229163275983873,320
almost,-0.0030636713078466453,812
running,-0.002120352831543722,128
ball,-0.0035656121807930243,490
through,-0.003557564559333151,1094
34;rubes,0.0038688075339693264,1
