word,score,word_count
i,1.7980993344323887e-05,3155
've,1.2367391220798372e-05,63
given,3.076254743946745e-05,26
up,2.0700563737267396e-05,258
my,4.122460912843011e-05,273
faith,8.405563025813952e-05,10
in,4.887707065239563e-05,1995
humanity,7.093487211723944e-05,9
.,3.527231890744309e-05,7034
 ,2.6860317785444003e-05,1233
there,2.9627505915613977e-05,654
are,4.650249492721332e-05,1317
just,2.0880425914669456e-05,766
certain,3.712371725925313e-05,28
events,3.938631852031839e-05,17
that,2.6671150695516747e-05,2548
transpire,3.4259182120213914e-05,2
make,1.9787630682828813e-05,172
you,1.8138844611960898e-05,938
shudder,4.027446886652797e-05,1
to,3.770278883475102e-05,4110
the,4.343671608315305e-05,5168
core,7.602816968814115e-05,5
after,5.893724685261908e-05,137
reading,2.333946571397059e-05,97
multiple,2.9885597755683336e-05,12
articles,1.1540909480176062e-05,27
today,3.187248575435197e-05,43
about,2.3717937563072233e-05,929
how,2.3429024646370335e-05,491
shitty,-3.2479633877725196e-05,4
people,3.681463409666871e-05,1109
can,3.2188344756240155e-05,571
be,3.2882221014254385e-05,1066
one,3.8101060249606844e-05,333
another,2.7809381132032602e-05,121
",",3.455436814060968e-05,3409
it,1.9117850805094986e-05,2318
makes,2.7596392728440325e-05,153
me,2.5238495908770596e-05,385
beyond,3.8944352207328744e-05,12
happy,3.253374503665394e-05,38
know,1.601135202586598e-05,357
individuals,6.473356524195553e-05,22
own,3.504141050238148e-05,107
personal,2.036023755950072e-05,12
life,5.742249499834261e-05,208
  ,8.153804502761969e-05,42
human,7.08832671725481e-05,81
greed,7.811029696336488e-05,3
knows,1.1631590401155898e-05,12
no,2.214982472073223e-05,332
bounds,4.027446886652797e-05,1
ego,-6.19272161143177e-06,2
needs,3.299700535337597e-05,71
set,3.681172360297304e-05,17
aside,4.944467084209295e-05,8
and/or,-1.2195519195728734e-05,5
destroyed,7.755890469871325e-05,19
what,2.1372074272527505e-05,569
this,2.424627309510869e-05,1687
article,1.6278211887791786e-05,509
taught,4.796150412322989e-05,4
was,2.2317604817176376e-05,917
heartbreaks,0.0001021788630119147,1
not,1.8985408026121363e-05,864
end,4.4663202874896796e-05,76
of,4.831413527742741e-05,2531
world,4.2632967132509915e-05,203
yes,2.8330381581503104e-05,10
they,3.5028627686768485e-05,1243
because,3.21407071115693e-05,313
precious,7.835617969429768e-05,5
person,2.2557366639773657e-05,135
left,5.3143496640722365e-05,43
us,5.069732957512878e-05,154
we,4.021596490311013e-05,808
start,3.688580113978914e-05,32
living,8.702040251197288e-05,53
with,3.3548111909298293e-05,683
an,3.169467033044607e-05,456
emotion,1.7390089142071262e-05,9
our,5.103255267841034e-05,266
has,4.079537581765668e-05,356
come,3.651457065780806e-05,98
is,3.1165363990207506e-05,2046
n't,9.065534888148199e-06,882
ending,2.921159633564466e-05,11
at,3.170279499458869e-05,386
all,3.292978564464644e-05,535
each,3.763831927990327e-05,37
day,3.847680963636489e-05,107
a,3.252022732816338e-05,2578
new,5.83021102489915e-05,79
beginning,4.820284764683435e-05,6
waiting,4.1390454984516813e-05,11
for,4.4180705760144994e-05,1168
out,3.1159827641989866e-05,386
as,4.527080754419692e-05,609
move,3.6539955232677534e-05,29
forward,3.5427443328187317e-05,15
will,3.56314552151307e-05,359
remove,2.5839766529978347e-05,3
many,6.546751638761065e-05,266
from,5.971909483018181e-05,389
your,3.841482240429035e-05,199
