,word,score,word_count
0,awesome,0.008250115636548592,371
1,menu!,0.004673861506166045,21
2,so,-0.0009227924475035151,6907
3,many,0.00031661531792474113,924
4,choices-,0.004118035524218916,2
5,and,-0.0002547957868343991,45553
6,vegetarian,0.002286700373012796,108
7,choices!,0.008705498772663607,2
8,i,-0.0016912975971331025,36887
9,almost,-0.0015213444696685892,534
10,gave,-0.002363757576676243,663
11,it,-0.0015135206277883393,14075
12,four,-0.0005943790867756271,217
13,stars--,0.007410937581177374,1
14,the,-0.0008755855682771819,65533
15,wait,-0.0015119560171652853,1083
16,time,-0.0013379974149830792,3165
17,always,0.0035013312190981627,1533
18,seems,-0.0023213794839443817,331
19,to,-0.0020981230916756366,34402
20,be,-0.0020100514316480295,5960
21,a,-0.0006860570003729665,32589
22,bit,0.0004370555442363028,680
23,long,-0.0011574241975295654,735
24,it's,0.0003068721604279302,2800
25,kind,-0.00014415210460996155,456
26,of,-0.0006965805319270793,17758
27,pricey,0.003601159518124716,90
28,for,-0.0011763401746413482,15945
29,"sandwich,",-0.0007476027310656974,64
30,definitely,0.0035620579484873204,1343
31,not,-0.0032772672474358187,9091
32,an,-0.001227273753298923,3530
33,everyday,0.0013180506907153795,38
34,place,0.00048730782013634005,4367
35,go.,-0.0010037663086889812,157
36,but,-0.0013167753107479513,9320
37,really,0.00029723561722235376,2613
38,good,0.000890588185789129,3580
39,overall.,0.00026416228261837176,14
40,came,-0.0018688333212802128,2038
41,here,0.00010325945543893176,2999
42,because,-0.003027084418318891,2745
43,wasnt,-0.00331556124041474,47
44,feeling,-0.0011948812714322095,164
45,well.,0.0024626786306761648,437
46,admin,-0.006000701227585523,8
47,was,-0.001524065397400089,24047
48,sympathetic,-0.007444984343136538,3
49,waited,-0.004646262899703627,591
50,charge,-0.005099597286761106,294
51,my,-0.001431630882893623,13776
52,co,-0.004015428672338593,28
53,pay,-0.0042689445753907,598
54,until,-0.0038080904693888504,505
55,after,-0.003315780944911283,2517
56,had,-0.0013914194663020144,7757
57,seen,-0.0013495389091847322,233
58,doctor.,-0.004158586156454626,25
59,within,-0.00013772068696374067,201
60,10,-0.0035614688760916657,552
61,minutes,-0.004382429858463322,1286
62,by,-0.0016461574213643912,2505
63,nurse.,-0.005463480674291161,9
64,about,-0.001981329749195781,2960
65,another,-0.0035694127178997987,1320
66,or,-0.0018216676033648575,3260
67,later,-0.004348100393958982,359
68,what,-0.002271759492572389,3128
69,"lovely,",0.00026744491551312417,10
70,caring,0.0032873070864662185,31
71,woman.,-0.0027858740117611496,14
