word,score,word_count
@ms_mary_macc,0.020399699318174196,1
its,0.022082454040273748,765
cute,0.019020093002796275,38
watching,0.021165316996540458,307
her,0.020460494622910247,453
tryna,0.0269724087852249,23
guess,0.01696614030826819,204
stuff.,0.014936791690806785,6
see,0.019617744835291846,559
the,0.021420898077322125,13299
wheels,0.020399699318174196,1
"spinning,",0.020399699318174196,1
but,0.020607575301799186,1627
r,0.024750260502932997,135
they,0.025922200338614674,1277
spinning,0.020399699318174196,1
in,0.02083420770012796,5839
mud?,0.020399699318174196,1
lol.,0.016176633769140945,29
i,0.020543088110162613,13230
love,0.014714461508487556,1182
you,0.02447793132741839,5453
babe.,0.020399699318174196,1
@lizpenny,0.01699846044077276,1
haha,0.01806649734479122,170
yer!,0.01699846044077276,1
julian,0.01699846044077276,1
told,0.02157508854589215,202
mike,0.018638440650042994,8
to,0.02179429294418239,11762
take,0.022065433244905522,417
me,0.023871492482672684,3202
round!,0.01699846044077276,1
lol!,0.01866927331357223,26
x,0.018725860010203342,93
if,0.0231470626175217,1232
post,0.020062047753276493,61
a,0.02093429258244278,8682
football,0.022622298636469983,66
status,0.021987591266332478,28
on,0.02190351532780404,3358
fb,0.02707943137056799,63
"today,",0.019086935127492006,118
will,0.021557546599613384,1146
be,0.020345992571726527,2372
buried,0.02158879825868402,15
alive.,0.018865317981033098,27
just,0.021914364155638,2353
left,0.017255300665392125,220
@tykeyes92,0.014978097260075932,1
and,0.020288106379268152,7708
@jussayin_shell,0.014978097260075932,1
im,0.02157001072163302,511
pretty,0.01660496285130653,159
sure,0.020152926462642884,214
i'm,0.020157719733702815,2036
gonna,0.020820296086909707,517
cry,0.021989769716097694,90
myself,0.02826408319670229,182
sleep,0.020437462168181757,275
tonight.,0.011018812955845931,82
yay!,0.010365046842361053,6
done,0.01889150665465021,208
with,0.02275529123967796,2636
one,0.02351788893127896,1306
final!,0.01879050555250918,1
...now,0.013506956774846608,4
continue,0.01922652171011794,14
hating,0.027464098778370194,5
my,0.02201998489001773,8231
life,0.021312723962332112,440
studying,0.016226497548462983,80
for,0.018846841803416857,4413
next,0.017200473783541764,339
one...,0.013116855780607391,5
@maliamorgan,0.016913002301516825,1
by,0.020777761227654592,648
"way,",0.014392510316425787,7
ended,0.014935189456713757,28
up,0.023926940512968575,1839
getting,0.02378122613798794,472
99%,0.021844723466242614,8
that,0.022634703563245463,3629
math,0.013184942280725503,36
test,0.015571144900926922,123
thought,0.017771557916502808,185
beat,0.026704259397346747,136
on...#maybenexttime,0.016913002301516825,1
#lol,0.015692395756060858,8
realized,0.021300764041341645,85
going,0.019751584654926064,841
like,0.02120079698343824,1377
10,0.02077764908552145,190
months,0.02066412138409784,50
before,0.020484638093154248,264
back,0.018406298442052608,768
at,0.019254872443737497,2052
@willybusc!!,0.011506042413335915,1
(not,0.015021631957403154,29
including,0.014408304918858146,6
spring,0.009311070475006192,6
game),0.015564930706750602,2
#gococks,0.011506042413335915,1
@chrisbharrison,0.013684545677097048,1
 ,0.020642341308001973,4276
might,0.018604004715063155,128
all-time,0.015148352755131782,2
favorite,0.013853694944364064,75
game,0.02413538101253254,282
show!,0.012543872238409599,4
what,0.02253685005579908,1191
an,0.023382977385186486,1170
awesome,0.013759365552386705,46
concept!,0.013684545677097048,1
love!!!,0.013684545677097048,1
have,0.018510114034020805,2615
face,0.025689074760331405,313
it.,0.02109432681834851,547
suck,0.028503106435974132,67
statistics,0.022822328138136075,55
always,0.019398468936427837,224
will.,0.02338272395494793,12
(miracle,0.009628080135768567,4
scripture,0.014067557042409235,6
700,0.009628080135768567,4
b.c.),0.009628080135768567,4
behold,0.009628080135768567,4
virgin,0.026814893980542744,18
shall,0.023652827579389045,38
conceive,0.009628080135768567,4
&,0.021278534167137143,1567
bear,0.027959290141075444,20
son,0.018222872280420924,34
call,0.022213721152492878,148
his,0.02496256945059907,636
name,0.023169591071881154,110
immanuel,0.009190212911932274,4
is,0.023021716287538914,6013
7:14,0.009628080135768567,4
brother,0.02227504449060814,151
turned,0.02388060084935655,56
today!,0.014606027929804697,81
it,0.022853548237171447,3745
was,0.02025320883131281,1633
yesterday,0.008849546254275847,370
when,0.025577919748658307,2443
he,0.023643173604817953,791
child,0.0212405284559671,63
can't,0.02030907468532032,850
wait,0.01777351333513429,340
go,0.020373085550526207,928
school,0.014573707349278405,371
drop,0.029059460269801437,57
of,0.020592177561833753,6759
birthday,0.008555724471369618,140
stuff,0.01925261255891738,62
some,0.02248305144347319,985
stranger,0.025666120677513702,44
sitting,0.017966054267286716,102
"us,",0.01611007765060549,8
girls,0.0214189426136929,131
know,0.021773692678263797,769
"her,",0.01907256222209677,12
she's,0.020126131390679494,111
so,0.021425181029417102,2308
fucking,0.033695671548825905,713
loud.,0.026473794734631868,12
speaks,0.029555151928595175,2
whore,0.02464768652645824,6
"yes,",0.01768220548436754,14
major,0.02171780293353631,38
cafs,0.012950834544026292,1
assignment,0.012826052341147429,9
finally,0.01729887561319383,175
finished,0.017902822161641522,108
after,0.02095524629157696,464
long,0.017761971382173055,216
weeks,0.01952799191548818,76
doing,0.019091801936687386,155
<3,0.012229684807896813,102
:),0.014490435685846575,422
damn,0.02948353630359901,244
fergie!,0.02734636552913192,9
put,0.025395012059197596,471
