Word,Value,Freq
angrier,60.46182968735229,48
anger,57.83307028771378,839
enraged,53.10460832953686,48
rudeness,51.07554992127098,1
fury,50.46529779789853,43
angriest,50.46430376570788,12
stroppy,50.459502927220456,1
venting,50.400175457587466,14
angry,50.03595261726878,566
temper,49.78906756935612,29
tempers,49.69755043956775,14
rage,49.55771073844517,229
fustrated,49.0862596565712,11
fuming,47.998544531990774,17
defuse,47.93675333977444,1
angrily,46.9762400489999,1
grrrrrrr,46.52944655110332,10
frustration,46.265003308602445,195
yobs,45.8207950814176,1
infuriating,45.68018165205285,10
seething,45.08588162623346,11
bitch,45.02309394523036,298
harrogate,44.91067076078616,1
furious,43.84924980730284,1
inconsiderate,43.585793039470445,1
grrrrr,43.409524775343016,11
hostility,43.03040006766969,15
apologise,42.985815836291295,12
resentment,42.89669802002027,32
twats,42.65343771476182,15
slamming,42.27205983840395,1
grrrrrr,42.13004159249249,9
aggression,42.12682837841567,19
butthurt,42.06975397095084,1
profanity,41.87856399400334,2
criticising,41.8778222220717,1
roadworks,41.78686163268867,1
vettel,41.4173569882405,1
bratty,41.055872497232485,1
sodding,41.04191765765427,19
whiny,41.001286125188926,2
aggravation,40.99444508118904,67
bitchy,40.97057030026917,2
abusive,40.91156922650407,13
dinnae,40.57678367495919,1
retaliate,40.49183978087967,21
slammed,40.4470902212488,11
argumentative,40.431865613980335,1
ranting,40.36037807131652,13
outbursts,40.27588252243004,1
ungrateful,39.87408087647054,9
hurled,39.84589734807378,1
tardiness,39.79767260374501,1
rude,39.71224254414847,7
miscommunication,39.52753682358889,1
rioters,39.50850791025732,1
unforgiveness,39.46141296555288,1
bitched,39.4497108419273,1
littlewoods,39.2852335619973,15
annoyed,39.269939585617976,43
dickheads,39.24905868485803,1
tosser,39.198813370923745,8
whiney,38.97890027973335,13
snotty,38.8811828175094,2
provoked,38.87056097295135,13
twat,38.77341605753463,44
heated,38.60042413743213,2
busquets,38.587256049737334,1
raging,38.44545632645895,24
childishness,38.37186978402315,1
longsuffering,38.34592660231283,1
jealousy,38.320770453545265,21
bitching,38.30520239484031,1
outrage,38.25181875722774,1
pissed,38.17871298933096,254
wtp,38.14669266087003,11
quid,37.994190532073844,1
refund,37.87123574219004,3
revenge,37.79781056097272,13
insued,37.70257871864305,1
ganging,37.543550040223636,1
westboro,37.53541529393988,1
leccy,37.38837006420363,1
disrespectful,37.274907017243095,1
fuckit,37.09398455286282,1
cauld,37.03408078837674,1
selfcontrol,36.90444624540396,13
bashing,36.86797165509779,1
paterno,36.823061898350716,1
hatred,36.66485171948443,101
hurtful,36.65117018047022,1
yelled,36.444385100199725,13
rant,36.406015633780044,14
stfu,36.31705183861777,50
apologize,36.197637511533685,13
assholes,36.161609464208595,46
vent,36.09263353118149,2
grrr,36.0756895961531,15
insufferable,36.01425275884685,1
gtf,35.97674508829368,1
frustrated,35.93231548874246,14
referee,35.88240438979119,2
howls,35.85155058221426,1
yelling,35.82791691861712,27
bastard,35.75630236248253,27
regulating,35.754127840162255,1
venom,35.73890253645368,9
irritable,35.730192549701314,1
stoke,35.67019390585119,14
cunt,35.656397309219756,89
ffs,35.5688959121544,12
habent,35.565863326854014,1
uefa,35.558068713959074,1
bitches,35.50095001742011,63
insult,35.40239046566421,16
cunts,35.29140930948779,32
delays,35.2558355613146,16
fucking,35.24011750007048,751
tasker,35.11845339790307,1
whiner,35.11160488054156,1
badsanta,35.03209181420971,1
silencing,35.00965409132186,1
inablility,34.9635750343441,1
yaar,34.91330886594369,1
pisses,34.873581719293725,3
whining,34.82317479149788,2
venti,34.68538819998503,1
grrrr,34.68054335878696,1
kicking,34.627170782885514,25
resent,34.605545118189184,13
deflect,34.558059465085535,9
punching,34.43044045177521,49
fucker,34.426175523898564,19
annoyin,34.396145231614355,1
disrespect,34.3664419518318,1
cuss,34.35734262279584,27
arrears,34.310386248034774,1
arrogance,34.27716919409795,1
timeout,34.26401462245849,2
whines,34.21622628878686,1
bloodlust,34.12951451350091,1
kino,34.11978411395103,1
penarth,34.079577008320484,1
effing,34.06693862465909,1
justified,34.065568055491894,1
cockblocks,33.99290760338772,1
casteth,33.95737710382673,1
overcharge,33.91718645818764,1
crucify,33.90000926794164,1
irked,33.89748266967945,9
unfollowing,33.844200636900496,2
battering,33.80928564689202,1
friendzoned,33.804755273460614,1
blame,33.75011330241978,32
bitchassness,33.70855364919407,1
deleted,33.590358020330314,43
kicked,33.588826915598474,15
aggravating,33.5700427299671,18
cardiff,33.55350614123745,3
douchebag,33.5190733731215,1
spite,33.450708292773925,87
righteousness,33.36817048775265,14
protesting,33.2632111023413,2
snarky,33.236634037981275,1
gtfoh,33.209567384183174,1
discontent,33.13226167858102,1
tithes,33.10449019637599,1
fuckups,33.08563626828254,1
rampage,33.02579633402638,1
stopit,33.021772366788355,1
handball,33.004072080308106,9
dzeko,33.00326344827772,1
fckin,32.996600353275426,1
freeview,32.936876102670794,1
delete,32.84936657932121,14
fricken,32.8489344927948,1
crybaby,32.83789080590941,2
grammar,32.82123570961994,9
faggets,32.80814901035046,1
retard,32.805638907972025,1
offended,32.77868031250546,2
h8,32.6974236468086,8
kjv,32.635058398591354,2
refs,32.5662286636325,25
peado,32.56182375026401,1
negativity,32.55160935851745,19
malice,32.483581856809906,18
repress,32.47732333705062,1
irritated,32.43975575873628,2
rivalry,32.42945705028251,1
protesters,32.38474347979354,1
shuts,32.33414216397796,1
bastards,32.31081665602687,1
damnit,32.27215904335026,2
mad,32.26962304400513,277
autocorrect,32.235499807982706,8
coldness,32.23203899167129,1
replying,32.23120205063606,13
protestors,32.21400291973259,3
punched,32.183544127241476,16
fault,32.15747074235696,16
yorker,32.0980628040852,1
fucks,32.069034523767186,37
lash,32.059037416074716,14
banged,32.00811514898669,1
smacked,31.99675837450195,9
libs,31.955065074318554,1
motherfucker,31.895203234395012,14
procrastination,31.841603577689966,2
tescos,31.825171318398134,2
fark,31.79958200850524,1
abuse,31.794288427568972,43
unforgiving,31.78890472467083,13
uproar,31.787337750109145,1
pronouns,31.726550961495377,8
bashed,31.717681654030457,12
trafford,31.7143496501958,12
asshole,31.606266217771918,18
arguing,31.55846516112797,13
arrogant,31.555364162821206,10
condemn,31.54893313148932,1
stupidity,31.542247039527865,11
shutting,31.500944746789173,29
shouted,31.466792346327566,16
fouls,31.38943377463147,1
quiter,31.36915806401521,1
hammering,31.341697770170867,1
angst,31.26982504251646,2
charging,31.21313877258217,15
apologizing,31.20581106847385,1
grr,31.178019006109935,26
wrath,31.14344778022496,19
hateful,31.11245169432368,1
incompetence,31.092015920767153,2
shite,31.09056878183037,3
unproductivity,31.07925784267718,1
wanker,31.072464146578568,1
penalty,31.050085133621906,13
karma,30.995627308249823,13
deadlines,30.962141754920594,1
bitter,30.959880752081517,29
petty,30.9210653894188,1
annoying,30.907641948480887,152
prick,30.851489273190964,10
unfollow,30.82765918923542,4
saas,30.826360583218047,1
fuck,30.784647463537112,709
helpline,30.61777611920843,1
knobber,30.613001409365097,1
shutup,30.587092858693723,29
edits,30.51412343850825,1
agnst,30.478739242782467,1
cranky,30.460430591541808,31
effin,30.451742871053284,13
slam,30.437456900370307,2
getafe,30.422706324752653,1
notting,30.4179425296752,2
screaming,30.414334212662652,29
charged,30.373821634420892,1
attacking,30.373426891106647,2
justifying,30.363229263777612,1
jackass,30.348877822689246,7
gunns,30.347939731553197,1
shut,30.327030416199705,170
huck,30.32502108067274,1
barked,30.308088080535526,1
intolerant,30.304918246431043,1
highscore,30.26829584990628,19
bitchin,30.261433515232056,1
dendro,30.24593188673316,1
ruining,30.22134796838509,12
scolding,30.16460016509518,1
fuckoff,30.152944955334533,9
impunity,30.14578536141198,1
stoppage,30.123110881086177,1
violent,30.075900424231804,21
yell,30.066239436520846,43
criticism,30.063774000678677,2
annoy,30.022322156699374,19
sarcasm,30.011109560306068,44
tesco,30.010259967617458,3
benfica,29.99096482222376,11
sacked,29.98743208911037,1
proofing,29.976856979570584,11
fuckers,29.975461156463552,17
aggravated,29.96746008293121,1
heartless,29.950016377319116,14
desking,29.928560560569167,1
rabid,29.91454403215903,1
payed,29.906433877476957,1
favourited,29.897422800175264,1
fuckyou,29.896825668925885,1
chav,29.870454241638072,1
slut,29.853012510488043,11
condemning,29.84554612019565,1
balls,29.818872831529006,92
fuelled,29.810759965504985,11
delay,29.80540933611337,38
bitterness,29.78159596142359,50
wrecking,29.760580396046862,1
punches,29.720185168494936,13
bollocks,29.716172862332314,2
defensive,29.62275391377625,10
equalised,29.622460737475194,1
frustrating,29.579488812421914,30
ruthless,29.512907816970255,1
snowball,29.50780437638241,2
blasted,29.505521042621695,1
shouting,29.486409708333667,20
savage,29.48320432449691,1
councillor,29.47605033707805,1
obamacare,29.46963379875524,1
childish,29.464661908103153,2
unecessary,29.454159640765283,1
hormonal,29.41466758697061,2
irresponsible,29.40031026059296,1
arsehole,29.364020038818126,1
destroy,29.36285915406188,25
fired,29.31767219176166,20
desist,29.298421972191136,12
sarcastic,29.27051460830262,5
louder,29.269524865092535,1
destroying,29.259414411586476,2
selfishness,29.25739204941783,1
fuckin,29.22306499555998,71
autofollow,29.195438272246975,1
mistrust,29.18422118318631,14
fuking,29.13746817977517,1
smfh,29.134199644322507,2
beiber,29.104374404585542,2
obnoxious,29.091588495473843,2
faggot,29.05222711409442,3
wwhen,29.035747032641666,1
protests,29.026266501983628,4
deplorable,29.01025831856532,1
belfast,28.996397754526697,1
closemindedness,28.988449397933437,1
yells,28.978396232589148,1
shitty,28.942126364156138,64
protest,28.921693952870555,1
huff,28.905938040697947,9
idiot,28.890299556340324,26
loudmouths,28.853901390801184,1
kick,28.81200607975188,84
asswhooping,28.803889836824965,1
editor,28.792395705269882,2
autotune,28.78147289023036,1
pissing,28.767264446010813,23
infernal,28.760269093356328,12
fukkin,28.741390648996457,1
hatter,28.738926043966785,1
mastering,28.72748099785531,13
punished,28.723127586010378,1
utd,28.70108982353122,1
crabby,28.65941145014949,1
goalie,28.590301266289316,10
pdoc,28.565418227692135,1
douche,28.564667869679397,15
demands,28.56278025987558,17
dictate,28.553682777725044,1
prius,28.541010027322045,1
borked,28.521838262706297,2
howling,28.518080326117342,1
antigone,28.5108437931558,1
truepower,28.499570247139673,1
kicks,28.48162426098861,17
sportsmanship,28.477734382729977,1
threaten,28.47170037874821,2
patience,28.462613645999227,35
flaming,28.43289430806908,2
tariff,28.415008408832364,1
vigilante,28.398195766698336,13
hostile,28.383481944360028,27
taunting,28.359286966500804,1
shuld,28.33489505632315,1
deactivating,28.33223840314895,1
psycho,28.30480311647989,21
pent,28.26971395248256,39
slaps,28.266554278612603,1
srry,28.255896605638554,1
brat,28.226426240522414,1
spits,28.222442956539453,10
morrisons,28.197803709539585,1
forgave,28.19480978565116,1
hotter,28.162498204037547,1
whyyyy,28.16207317780936,10
restarted,28.154553408225183,1
censor,28.126638727728277,1
growling,28.12103721267067,1
sainsburys,28.08028715546243,21
