word,score,word_count
@ms_mary_macc,0.010830754272283229,1
its,0.009739286365740198,699
cute,0.0076569517291978015,79
watching,0.010928807921282164,285
her,0.009716350757761656,496
tryna,0.01057156728628006,17
guess,0.011149997107158301,284
stuff,0.008624420043990154,101
.,0.009057298259110206,15731
see,0.009603685685208592,691
the,0.008211440628954361,11236
wheels,0.010830754272283229,1
spinning,0.010830754272283229,2
",",0.008889369885258158,7777
but,0.01117456057391661,1989
r,0.007874995330274524,72
they,0.009056961018106395,982
in,0.008091050109236225,4854
mud,0.00772310874928908,7
?,0.01019722123881503,2525
lol,0.010417113724984212,498
i,0.010862571224555218,16177
love,0.008567035071648497,1314
you,0.009378424967007934,5335
babe,0.009399578780641491,16
@lizpenny,0.006216966598294675,1
haha,0.011038535665668278,234
yer,0.008156380305311663,4
!,0.0077373367094518775,9768
julian,0.006216966598294675,1
told,0.008939890555631953,141
mike,0.009731406255364332,18
to,0.009123640642985108,10446
take,0.008982354972973462,300
me,0.00957417157920624,3147
round,0.006256811285649111,28
x,0.006668088678136185,72
if,0.010059705462931758,835
post,0.010299830154748293,76
a,0.008614317659420327,7634
football,0.010145057742713171,75
status,0.01034659813719321,17
on,0.009200756919857604,2961
fb,0.008675743053392752,84
today,0.008879843178696542,1427
will,0.00925918679934229,999
be,0.008865122448986096,2342
buried,0.012615777358684379,1
alive,0.008009933874511701,21
just,0.010663920462453796,2109
left,0.013605553160032806,361
@tykeyes92,0.01433370077900084,2
and,0.008711051961329559,6753
@jussayin_shell,0.01433370077900084,2
m,0.009599865609059077,562
pretty,0.009459829088354636,136
sure,0.010164217846625826,128
'm,0.010448615317685246,1971
gon,0.010492165467738889,487
na,0.010502811561895982,486
cry,0.013509209508042162,197
myself,0.009517486908144775,171
sleep,0.0108101566968706,354
tonight,0.010685697823607725,566
yay,0.0076942760109465136,45
done,0.007996405724082637,213
with,0.007925747162496062,2130
one,0.009414375290595576,1162
final,0.00881589339785399,108
...,0.0108470985691004,3180
now,0.009869628009219079,1368
continue,0.010885297162542886,33
hating,0.00981218019034714,14
my,0.010617907316035952,7217
life,0.009482400786926031,700
studying,0.007769568969011577,103
for,0.008186527446471595,4016
next,0.008316504245458647,375
@maliamorgan,0.01012130089928784,1
by,0.00797413247680627,601
way,0.008205785280582712,327
ended,0.013022716185638307,63
up,0.008301044165155183,1522
getting,0.008307964329880698,364
99,0.00603943203013993,12
%,0.006245328173770511,73
that,0.009104797390991043,3548
math,0.010981412196751762,60
test,0.007180651752150978,122
thought,0.010913913486576946,262
beat,0.009613188992857773,62
#maybenexttime,0.01012130089928784,1
#,0.006760109308285195,6529
realized,0.012526413097046732,99
going,0.010098210596321384,944
like,0.009714378992014815,1467
10,0.007632917226402052,133
months,0.009891290101808671,87
before,0.009740485458254634,242
back,0.009972275794086416,1005
at,0.009549550663245681,1976
@willybusc,0.010128327126294608,6
(,0.010222074830322152,589
not,0.009831691996037808,2266
including,0.010622858255057509,15
spring,0.008402945970245884,20
game,0.011016004957054088,272
),0.009376166810750425,551
gococks,0.010128327126294608,6
@chrisbharrison,0.006255104619485792,1
 ,0.008322136804455692,3308
might,0.010636810978478116,165
all,0.00898615308367906,1730
-,0.007174301731720072,1034
time,0.009487145683548106,1252
favorite,0.010382338544760868,104
show,0.008555922162143957,186
what,0.008482908013484867,1107
an,0.007410315939986521,876
awesome,0.008102847166650684,88
concept,0.004042454789936789,7
have,0.009737885889518882,2896
face,0.00737775050291371,246
it,0.00978113838781935,4428
suck,0.01124655997928013,75
statistics,0.007463883926076151,9
always,0.00832207876098547,297
miracle,0.007100372825110146,13
scripture,0.005732162371984617,7
700,0.0035200376557592487,4
b.c,0.0035200376557592487,4
behold,0.002764454678168831,6
virgin,0.00867127939995883,13
shall,0.005570688185189349,23
conceive,0.0035200376557592487,4
&,0.006401267427154181,1548
bear,0.005192347479603249,13
son,0.007151604802680342,58
call,0.008063491243442562,151
his,0.008990373022291595,544
name,0.00881299865217016,98
immanuel,0.003223742787423059,5
is,0.008676177162388546,4804
7:14,0.0035200376557592487,4
brother,0.011840582045885378,133
turned,0.00938253262747605,42
was,0.010595143720304118,1737
yesterday,0.008864290140346339,372
when,0.009443556348667321,1910
he,0.009779066859538698,859
child,0.006856323963542159,60
ca,0.010632755624706454,1063
n't,0.010561768374564417,3890
wait,0.008040960992070974,378
go,0.010091035535389047,898
school,0.010608683390785923,547
drop,0.007964427632713949,25
of,0.007638072291267608,5401
birthday,0.00931779042499049,222
some,0.0087536203220437,620
stranger,0.006602104248167686,11
sitting,0.009967260521542237,109
us,0.004981257675997181,295
girls,0.009376034207910302,128
know,0.010281437518654995,809
she,0.009428808407145939,540
's,0.00923436374281202,2758
so,0.010320108585221059,2092
fucking,0.01008527394757348,199
loud,0.006068639705721335,51
speaks,-0.0017629370641103982,2
whore,0.006817187175270543,13
yes,0.009545179945107563,120
major,0.008724767473450306,30
cafs,0.010246573897699516,1
assignment,0.008768754278954637,17
finally,0.008475831029763934,224
finished,0.01117285333668407,90
after,0.009864368523582249,366
long,0.009969280169576163,317
weeks,0.010021999446280603,126
doing,0.00820404328185604,179
<3,0.009477803448070515,117
:),0.008008882302759644,456
damn,0.011207676638477305,189
fergie,0.009544965430662463,1
put,0.00883289824537359,265
last,0.011251609251790317,691
nights,0.011750945066394226,45
adebayor,0.00881591355989561,2
1st,0.007733998749113228,52
goalscorer,0.009544965430662463,1
loot,0.009544965430662463,1
benfica,0.009544965430662463,1
home,0.010291035758314101,745
vidic,0.006971888548343689,3
should,0.009396335770412415,350
squad,0.009544965430662463,1
killing,0.009167380832919363,31
ppl,0.008743541128923117,122
feels,0.01055543781618435,95
better,0.009287714658056402,246
think,0.009380179888121095,649
kill,0.00966089773247942,96
em,0.008512570052247124,32
