Word,Value,Freq
sadder,37.20561614676262,2
mourn,36.527764720245614,12
heartbroken,36.46682986849919,6
sadly,33.30947532178834,40
lamenting,31.856200651440304,1
grieve,31.085768951145837,7
sad,30.235635830729734,489
lonelyness,30.117159604793414,1
saddest,28.69450187950133,2
wahhh,28.46664587795385,1
missing,28.00769587449031,187
bummed,27.987593759724405,9
brokenheart,27.83902370404394,4
wahhhhh,27.82081878965255,14
discontinued,27.80081902658094,2
miserably,27.24421811600223,7
goodbyes,26.828930984680483,7
lonely,26.669570284637302,60
tragic,26.368146704451647,9
grieving,25.977888720168266,1
tears,25.245580001617782,113
u.u,25.194168785819784,8
crumbled,25.005102064926177,1
lost,24.921455452597,262
hiatus,24.859754534074455,1
misses,24.633072993863607,11
void,24.588869685481768,15
miss,24.543732697726227,632
unloved,24.523251664242707,1
unfollowed,24.421959665749455,6
bittersweet,24.240443079324905,1
breakup,24.140021735802293,3
goodbye,24.13654805783881,42
sadness,24.009580734942574,47
died,23.974753098125802,92
anymore,23.949577291503374,189
wahhhh,23.942245537939016,2
moping,23.922966126119718,5
astray,23.88919187276042,1
disappeared,23.862566536699887,15
condolences,23.81486834224779,11
shattered,23.786743707372807,1
closure,23.702290185028687,1
reunion,23.660204045008868,7
sorrowful,23.646914654003922,3
missed,23.46772886690451,164
ruined,23.3729743649601,21
farewell,23.30615306433174,7
alas,23.23332938310341,12
mournful,23.142344896143186,1
faded,22.934907041024417,9
loss,22.856638534372905,28
hershel,22.7788823468145,5
unfortunately,22.652969016868155,32
depressed,22.463095256272936,51
r.i.p,22.392776902677724,2
reunite,22.35766743705608,1
winehouse,22.34811296274711,3
vanished,22.327449684671592,1
inactive,22.239676584402332,5
teared,22.150243888492696,7
onerepublic,22.049147392448504,1
lonesome,22.034396567440126,5
lack,22.033131247619167,26
destroyed,22.01653183088638,8
unable,21.857790271998965,12
waaaa,21.713263991390704,4
swtor,21.677879206021316,1
achingly,21.6739945349982,1
dodo,21.633323271176778,5
disappearing,21.515803151327418,2
emerson,21.485823323455406,3
sectionals,21.46991881291615,7
failed,21.318583927946747,36
bummer,21.16476001701085,7
depleted,20.935872012458276,1
teary,20.903411044990207,1
shriveled,20.875551881064894,4
broken,20.86107385106152,85
burned,20.837216469546547,9
nor,20.492162505863234,21
sob,20.485385800202494,2
sorry,20.453226850455394,116
forsaken,20.448018891678657,1
absence,20.389892587976647,20
homesick,20.389009156191605,12
tragedy,20.365071883607015,1
degrassi,20.36305406235624,1
finale,20.32191891752882,36
unplayed,20.320566628244705,1
funeral,20.304439172672573,23
crashed,20.14726803924259,2
beckett,19.959224184960476,4
failing,19.78127971838694,7
matric,19.684600562519336,5
scarred,19.60421945969574,1
terribly,19.554738732891565,5
regretting,19.41029236477334,8
ginter,19.395572333727614,1
pittsburgh,19.320931706984993,2
abbott,19.22234994111932,1
lovato,19.20092444488546,4
dies,19.171372392680496,48
stolen,19.149366036173888,2
revive,19.102711442450527,3
missyou,19.09863515759207,1
movember,19.085482222377323,1
wahh,19.074788140074816,5
gone,19.039236400974914,154
pathetically,19.00014236374409,1
whyyyy,18.938734514114913,1
loneliness,18.85230447165668,11
disappears,18.78773541260307,1
tearful,18.77056350983912,3
boring,18.68914082745323,55
suicide,18.682725425838726,3
boooo,18.670478219384677,4
philly,18.649521610394004,3
losses,18.644431107752098,2
depressing,18.6049116657814,71
