Word,Value,Freq
surprises,25.924861421168316,33
surprise,23.961733548600023,534
suprise,23.32239730778383,19
prank,20.48377888771938,6
guessed,19.928217614947698,6
surprize,19.071348901517922,9
snuck,18.90897728924756,6
toker,18.728652145664455,1
guesses,18.43433634948451,6
deadmau5,17.747973627294414,1
guessing,17.62955965899164,5
beliebers,17.195899661965086,1
peek,17.161380558332894,5
shhhhhhh,17.036190863494994,1
shhh,16.991766220889986,7
disney.com,16.845361610452528,1
pantless,16.74132685083896,1
surprised,16.62084487726679,58
sneaky,16.52064597478602,11
shadiest,16.471071368432604,1
shhhh,16.450138931650145,19
pssst,16.298965036406116,1
expecting,16.08833842969034,65
shhhhhh,16.045650452681002,15
announce,16.03349408811482,20
intials,15.743518316594418,4
bday,15.702311349377851,112
fooled,15.5436207105231,8
initials,15.256707618100336,1
announcing,15.19677400495857,2
secretly,14.913894410987268,10
sneak,14.736507181136403,18
arlo,14.664148864263552,1
#surprise,14.65928053332027,5
flattered,14.651112604595255,1
limo,14.322521172522102,1
flashmob,14.31240935470123,6
unexpected,14.160544888611184,66
pops,14.102704266435467,22
sneaking,13.965744459273992,7
tucking,13.896613042685203,1
sike,13.876202194485813,3
misspell,13.772781765299442,7
startle,13.650033117446583,5
audience,13.557325493893586,1
justsaying,13.541018676958629,3
announced,13.501977058855118,9
surprising,13.490373733569868,30
bfff,13.473341138917021,3
suprised,13.43500274818507,1
congrats,13.395595551031874,16
peeked,13.333158104505856,6
sohappy,13.241993148505571,2
greyson,13.239434856339358,6
nahh,13.152773802168667,3
unwrap,13.11351633274262,1
shayna,13.109273928494076,4
lololol,13.037449113893672,1
mossad,13.027188759035198,1
overheard,13.023929190909257,1
superexcited,13.009830997994868,9
cleverest,12.997471749313263,1
announces,12.914446964763556,1
blindside,12.856969276149357,5
closet,12.817576119898149,20
panties,12.783342720787914,6
sorprender,12.760985071538016,11
secret,12.723411488361307,69
urinal,12.643411460681818,1
underwear,12.60817250682885,45
birthday,12.595614657911938,553
vase,12.572788632998709,1
congratulations,12.531160394268227,19
teehee,12.488181695953244,1
anticipating,12.427443763881456,2
ornot,12.40337095389259,1
applause,12.375312264892273,4
stashed,12.323067452816758,8
kayden,12.31935774318481,1
jk,12.180845768918516,26
aisle,12.180603052373044,7
mickey,12.13228456559591,9
naming,12.127295758808032,1
stoners,12.080132700619288,3
guess,11.975144148290383,390
hiding,11.962778464105213,33
leak,11.95783337726607,4
burglar,11.955173695809208,7
amaze,11.948705535614863,20
whitehouse,11.93516592681408,8
planned,11.932718911964912,53
underground,11.907278444734402,1
doorbell,11.883292566752061,1
plumber,11.862206036283169,1
hippity,11.834370093187317,4
tease,11.800508690212155,3
unwrapped,11.794144716542178,10
congratulating,11.759685118217021,7
butters,11.759666212645243,1
2xist,11.757287732383702,1
hid,11.74934021558147,8
coolest,11.68759803273133,4
bahaha,11.68562115135137,7
augustus,11.6324331095675,1
mikey,11.628688582917675,9
cake,11.553326057415688,78
ohwell,11.546286252902064,3
loljk,11.542757798582898,3
undies,11.514929290657165,1
hahahahahahah,11.489623427187325,1
justkidding,11.464649564346473,1
coors,11.403655443747994,1
haaaaa,11.38640166654659,1
lolololol,11.3856010670861,1
curious,11.352114813416847,13
stuffers,11.339815078395077,1
quietly,11.327970408601686,1
julio,11.312279773130285,1
bouquet,11.260163460123294,7
snake,11.257899425399955,11
drawer,11.245680204650853,1
twerk,11.238470927302842,2
mmhmm,11.202227526733623,1
popped,11.177699868247146,8
lmbo,11.158143419834232,6
reveal,11.13663647724752,12
hidden,11.098322288366035,16
streamers,11.09280343708815,4
resi,11.088367153643048,2
brewer,11.056306674108782,7
impromptu,11.042950534028932,6
killian,11.025742123718373,1
buckeyes,11.01824812599807,1
moles,10.988407132492284,2
clever,10.980397647363134,7
twist,10.97122862940887,7
trick,10.958532355489297,13
randomly,10.930769537080778,23
boppin,10.91528011491755,1
avid,10.912649987163604,7
gardner,10.903310045076068,2
compliment,10.88429663243005,3
locker,10.867483809299301,11
extenders,10.852510002325289,1
tehe,10.840367082644661,1
prezzie,10.834937848514528,11
motorcade,10.817286811769009,1
snakes,10.802458009762631,8
wink,10.791803776228335,9
appreciates,10.760130602284335,9
hardstyle,10.749130581738427,1
voted,10.731384903454455,4
greeted,10.691955884687559,7
escort,10.664104578201659,1
figured,10.652377698883356,33
lmfao,10.648976879077964,49
xd,10.608544905073359,14
bwahahahaha,10.57961608209007,1
sinterklaas,10.575198572521913,9
marijuana,10.54153655830305,4
magically,10.533423151238821,13
knew,10.51814306282904,100
revealed,10.48147151993544,2
youwon,10.473980816139374,6
happybirthday,10.472618045234412,12
aquarium,10.471873046335531,1
youngest,10.46549287129892,2
goodluck,10.376942353526829,2
celeb,10.366766485385597,4
shocked,10.3634316745447,17
muahaha,10.322590591138578,5
amused,10.301000936888158,1
copland,10.29106875200523,7
tucked,10.25489529891638,2
comest,10.22381305106137,1
thrilled,10.200649252146832,4
whoever,10.19736778375227,18
whoops,10.163003851193935,6
pipe,10.1319152994256,4
justsayin,10.131016109931807,4
ninja,10.130187680522795,1
hehehe,10.065916614359594,11
browns,10.060835016105557,7
ceremony,10.057335549034178,1
procrastinator,10.048782999569084,1
teasing,10.042056376551045,1
picks,10.022450137592386,5
hahahahaha,10.01915205916157,4
vidushi,10.005987434153212,1
gandalf,9.97328758292133,1
clue,9.96497186198394,37
opening-,9.945098845171742,8
mommys,9.912717695857282,2
alec,9.878014024579898,7
thoughtful,9.877981077908771,1
anaconda,9.864549531397643,1
proudly,9.853079022374004,1
accidentally,9.83477091245004,11
sells,9.785936800064519,2
nugget,9.741443370527122,2
honor,9.736568710650317,9
disneyland,9.729655019793427,14
pipes,9.724326026247581,1
thanking,9.711518442214583,1
frisked,9.696279455180047,1
headliner,9.695485577656655,5
gift,9.694294035263738,189
neil,9.69041214918252,8
eyeful,9.687227668822743,1
pays,9.68174858995917,1
shocker,9.662982953741448,8
poking,9.65202022070298,1
buys,9.628905967038008,6
raffle,9.628374276173417,12
livestream,9.621582563093398,1
hint,9.60370564472396,16
bushes,9.601210697765055,1
teller,9.59459917631466,5
nerdtastic,9.592869757136214,1
cody,9.561085931614798,1
dumbledore,9.559625235386193,2
gallery,9.553822159963602,2
startled,9.53105859697098,1
april,9.520644385134801,1
unsecured,9.497430316521786,1
esquire,9.491804349476297,1
merch,9.490156877727713,2
sneaks,9.490115258391597,4
boner,9.490024703954987,1
marky,9.48789841902908,1
ovation,9.484845079457955,1
lmao,9.473929518368095,123
magician,9.461089278338477,10
announcement,9.454056512360694,24
spook,9.44958222996138,4
arranging,9.437561117840232,1
estate,9.43235675302276,3
nolan,9.41645211118157,9
nod,9.416352726402692,2
guests,9.406842076859903,7
unexpectedly,9.406142181760515,18
cooler,9.397951177495997,1
dedicated,9.396063914711704,4
wonka,9.390452138555702,1
balloons,9.379097089446077,18
plato,9.358646737789968,2
trusts,9.33785940776579,1
disguising,9.335105658276007,1
lmaooo,9.322820274886908,2
wreath,9.281749716727063,2
contortionist,9.272083199495682,1
hahaa,9.260266524077451,7
buds,9.220649408525787,2
lieing,9.218255542758925,1
dyer,9.214651743837749,2
silently,9.200923811717075,3
hahahah,9.195429463405162,8
joking,9.190568863297813,2
brewhouse,9.18665948213311,7
actually,9.185580496879993,420
waited,9.176891019189497,8
hehe,9.159969042346347,78
confirmation,9.137537710746983,3
specializes,9.133401938794123,1
gardener,9.120257908769418,1
engagment,9.098739838751499,4
pot,9.084607623102784,17
delighted,9.081090355408378,5
hmmmm,9.06734598071489,2
camo,9.06273728684755,1
farris,9.052675653016195,5
huh,9.050136196077801,10
wut,9.039041922618622,2
weirdest,8.996826773509383,7
legalization,8.958432369403454,2
lineup,8.93604973955371,1
tellin,8.922267561647459,6
rosas,8.918313996109646,1
lingerie,8.90486951568164,1
spy,8.895969175035134,2
blogtv,8.893394804850686,1
conner,8.884451771271415,1
retweets,8.88311026422889,2
absentminded,8.868859328860708,1
derry,8.86447940923972,1
broncos,8.861300880234921,2
halla,8.853929747572693,1
hahahaha,8.842466360365506,27
nemo,8.84144028875744,1
unplanned,8.819251234293915,6
flowers,8.810085624874773,19
somethingnew,8.786638551442593,8
hahaha,8.777166057698196,73
bet,8.768012710133917,87
stranger,8.729830664713518,11
usually,8.70987815564149,33
wonderwoman,8.699563804198988,1
curtain,8.699003809277201,8
stowing,8.689088072405866,5
spontaneous,8.686019050583127,9
bedd,8.685673278101604,1
intention,8.683536610536976,3
tupac,8.679419576597866,2
triplets,8.668361622068915,1
punkin,8.66687420126982,1
engaged,8.664672204467934,9
o.o,8.664361717645079,5
uhm,8.660895932291169,7
accidently,8.647564424551092,1
underware,8.641377210064093,1
tweeted,8.626898172908113,26
amazes,8.607803756021895,4
nope,8.605956461367896,30
upallnight,8.604431693660445,7
ashton,8.59808457273175,5
secretive,8.594430192228174,6
retainer,8.593293459969573,2
picked,8.587011677126611,42
kurt,8.569846963626333,3
guinness,8.565171500988072,1
liked,8.558218353893608,34
stash,8.554072003362307,1
expect,8.54598878348952,98
grammy,8.542228810954839,11
wardrobe,8.515804387483513,7
informed,8.515107904480828,2
amazed,8.512475439063564,4
pleaser,8.508518063976226,1
jays,8.507763894682284,1
strippers,8.496579249505885,1
awes,8.495496342133265,1
assuming,8.493756218747876,1
betted,8.492083412013017,1
popping,8.476926864183042,2
privy,8.46860372980882,1
listener,8.467384991396102,6
1000th,8.465806381929724,1
yup,8.461513320238737,8
dvrs,8.459201588120777,1
joke,8.457874176776386,46
husby,8.45125094463583,1
fans,8.443605249165557,31
randomest,8.422332192247268,5
showed,8.41872828558553,66
eyeing,8.40587272515404,1
superbowl,8.39404062286485,1
incorrectly,8.38486809306778,1
unlocked,8.361136596329743,6
devious,8.356203450763132,1
skrillex,8.342383852766943,6
greets,8.334097818795271,9
leaks,8.33009933901485,1
haha,8.327734045207762,294
dom,8.323968174838228,6
payin,8.323073104722425,1
chuckle,8.319049390898726,4
comming,8.318738600139113,1
autozone,8.313164790451992,4
unusual,8.31210350728361,2
spotted,8.304786266642623,2
checking,8.301086258521536,14
rearranged,8.298126647132449,3
chuckles,8.2805396282929,1
strangest,8.271030387091741,1
lol,8.26978782803053,772
noticed,8.266440081162727,25
