Word,Value,Freq
breeze,53.04701051116717,11
bonus-,52.165127977728844,1
breeze-,49.25073501234874,1
spanakopita,48.18261856398021,2
-beautiful,47.12791716004722,1
versatile,47.026510992785916,2
fineliners,46.39903366788985,1
shoutout,46.319516330841,3
outdoorsman,45.87151572981384,1
mixins,45.79396330949385,3
diggity,45.661584672518075,1
rollator,45.505885770427994,1
mazing,45.18435868098459,2
maltipoo,44.89431638800306,5
18-pound,44.523715445247944,3
lawrenceville,43.93379399366677,5
sweetest,43.85484593966976,8
responsive,43.666508000169415,23
misti,43.506146478815936,3
purrfect,43.436909349198686,8
calming,43.272177616192494,12
seamless,42.823425726935966,5
cutest,42.66287719688262,4
loveeee,42.64559884124901,1
adorable,42.63542128747213,17
blondies,42.53942282014759,1
unrushed,42.35213683824986,1
retractable,42.19174630261841,1
friendliest,41.921368767903004,16
zippered,41.79823500002021,1
soleil,41.76391750446055,1
xanh,41.498107153049204,1
atc,41.40077316089446,1
shakshuka,41.38247363769915,2
casbah,41.2866333835409,4
faves,41.122190094261896,6
spunky,40.98147104168311,1
thanh,40.96692394866841,1
calzones,40.78136258220184,2
pleaser,40.763826809008606,2
terrific,40.736583171470556,32
furbabies,40.71475850197021,1
thoughtful,40.68486511311494,10
lifesaver,40.6810746615829,1
saganaki,40.642754225991666,2
athleta,40.250599230406806,3
laidback,40.18733250306104,1
6-piece,40.10198927624151,1
rockin,39.89834030743441,4
mahalo,39.8935116030043,2
365,39.69986855718889,1
promptness,39.52356757549569,1
awesome,39.49560179200489,697
favs,39.40139566711878,7
goodies,39.34062160590838,13
bookmark,39.13205060886685,1
whipsmart,39.088763412088156,1
unbeatable,38.946540743578225,7
istanbul,38.85335342516191,2
personable,38.83543394994922,48
beavertail,38.8126370528189,2
2-bedroom,38.78044926020084,1
adore,38.758654499659315,8
companionable,38.7491439828882,1
fav,38.743490170585574,22
snuggly,38.630395881598815,1
goodie,38.567961486507556,1
joys,38.52852400671691,1
eases,38.473551470728125,1
awsome,38.46448733168654,2
gr8,38.303567497525364,1
gorgeous,38.253088376048254,41
relaxing,38.19837644032668,66
lovin,38.14591596473474,1
approachable,38.06021746598708,11
kronos,38.05059364985209,3
easing,37.79874847695464,2
scrumptious,37.7233129395172,10
hearty,37.71636757088709,22
savory,37.711687552211515,31
ease,37.50006665708497,14
roomy,37.48974580736831,4
deadlines,37.3897221905645,4
flexible,37.38361771940254,10
smile,37.24477913510054,126
loving,37.235706019484496,27
dependable,37.14450443971873,3
-fun,37.0228242528392,1
audrey,36.965375003637746,2
retriever,36.924164054275025,1
eased,36.8241443104489,1
daphne,36.819702502165455,1
snickerdoodle,36.67867633042624,2
joyful,36.56557319825515,1
gaslamp,36.54468535038177,3
loveeeeeeee,36.43831990176113,1
amaxing,36.407198613189394,1
superb,36.40167863309034,63
kitties,36.29715043291981,3
popovers,36.285483266179654,1
redhead,36.28089508856647,5
sturdy,36.25866907421005,2
relaxed,36.17362733109621,32
painless,36.168731101206504,8
puzzles,36.0502814904612,2
punctual,36.025079201412154,8
dolmades,36.01427836791845,1
baklava,36.00104073944385,22
mouthwatering,35.95020206311892,2
crowfoot,35.8666646979982,1
spacious,35.85910190541472,50
sassy,35.827858186283265,8
carefree,35.822043405263685,2
amazing,35.78976091858931,1188
knowledgeable,35.77077266032575,105
gyros,35.753530585207045,25
dottie,35.68359131635225,1
moleskines,35.67942205522559,1
fantastic,35.668507510999916,362
ashiatsu,35.648615276790224,1
wonderful,35.616822261712514,327
affogato,35.5474345155053,1
-friendly,35.52187764921109,1
pescetarian,35.44806593681278,2
carin,35.43156608498248,2
marvelous,35.42963728681207,7
insightful,35.36984753664001,3
affortable,35.28902382240631,1
wowee,35.275880919769406,2
calmer,35.180848415249784,6
camus,35.10476157462108,1
housemade,35.065916269959416,3
handy,35.062754839251284,12
fab,35.05253575689858,14
lobsta,35.01649702744908,1
challenges,35.00975723261945,5
kutz,35.00672272563679,1
cheerful,34.942711653668084,8
toughest,34.926256186678074,1
apperciate,34.89039551395399,1
zena,34.83823431751807,1
lov,34.83316634129733,3
prompt,34.827566076113726,69
intuitive,34.78458772893646,5
avgolemono,34.72915151657071,1
gelatos,34.685650957748294,2
stylish,34.65988823743828,8
yaay,34.58700401203532,1
loveliest,34.53589476743946,1
pastitsio,34.532141624658834,3
jett,34.449030668183696,2
delcious,34.42063234897796,2
kickin,34.38627900022448,1
pomodoro,34.352781735768076,1
koobideh,34.34868897285196,5
awnings,34.22772090812214,1
speedy,34.213857492672105,16
mystere,34.199041778978426,11
tokidoki,34.14803603535984,1
delightful,34.11555809399579,42
5stars,34.11204590069974,1
great.i,34.08772490778938,1
tranditional,34.04971918219235,1
sunrise,34.04670236099628,2
stromboli,34.03342327983046,2
2-element,34.026582481339574,1
joy,33.98975430027349,31
alissa,33.899309551285114,1
sarra,33.84826497474569,1
simons,33.81885728373891,1
jiffy,33.75176350667607,1
buttah,33.67818471798091,1
roadtrips,33.67596509214491,1
awesome-,33.66610363184009,1
bitesize,33.64641422175191,1
grin,33.60672558015358,5
unstressed,33.549475497187814,1
neat,33.48621982091572,39
rok,33.46307713058923,5
souvlakis,33.38701350122574,1
smoothly,33.38431769190356,11
comfy,33.37099591118749,27
bonnie,33.36752327571594,1
timely,33.361057097499724,48
loved,33.31106776677916,439
-packed,33.28390456305351,2
lively,33.2790470305481,13
spanokopita,33.26913771103136,1
restful,33.241936498016,1
fabulous,33.2128456949722,84
noelle,33.180917714489624,1
bobbies,33.16874169692164,2
scallopped,33.12460415190435,1
backgammon,33.11606794130057,1
sweet,33.04542249260703,564
coolest,33.0045439825044,14
raffles,32.989011989935534,1
4-piece,32.9515188964142,1
amaaaaazing,32.9211199185811,1
calm,32.859557246789336,25
popover,32.854090258071665,1
supercool,32.852821151263925,1
smooth,32.824029524068465,55
sportsbook,32.815936582454015,1
great,32.79360269615427,4072
ferris,32.748741473595146,4
aladdin,32.69276715541491,5
f250,32.653186426497996,1
unparallelled,32.62756812658699,1
julia,32.611990931523906,1
discreetness,32.599156746924564,1
fitbit,32.59190994151868,2
aimee,32.58893672755221,2
workwear,32.58220550691476,2
oxford,32.442501438228646,1
enjoyer,32.36999255546834,1
hikes,32.367379801828065,4
letzte,32.36490880927886,1
contentment,32.31003801507177,2
perks,32.23373743472621,2
meilleurs,32.199660114827566,2
seamlessly,32.19277522806078,2
favorites,32.18331178198605,74
adam,32.177942203430575,18
sabich,32.166273451905,1
portobello,32.158540622971486,3
cozy,32.156806567218155,88
cannolis,32.15172510831326,2
crane,32.14659089240013,1
playful,32.13693216315005,2
hardworking,32.12079750333214,3
rad,32.08363376543275,5
hardy,32.077410676982254,1
customizable,32.063563116884325,9
attentionate,32.03581246873364,1
concise,32.005590358166955,2
billie,32.001422651461326,2
hugs,31.981976249349827,1
moisturized,31.958564134605695,1
joyous,31.9441026073182,3
tangine,31.94290708965127,1
energetic,31.820337588724215,9
flawlessly,31.81524535247445,1
hideaway,31.786992785062466,1
vosges,31.777152278045833,1
soothing,31.764990039824625,5
tzo,31.735335484030657,1
petite,31.70560552267125,6
enjoyable,31.68071089067962,60
delight,31.638561513274908,35
manapua,31.63709836069029,5
enjoyed,31.625542492896784,360
littles,31.56848728400655,1
lovely,31.558626494375858,132
peaceful,31.512579014510266,10
unwind,31.504573291924316,6
photobooth,31.491569580917712,2
energizing,31.483066261156637,1
sidebar,31.473546041022928,1
pleins,31.454603036047047,1
sleek,31.447975890827365,6
groovy,31.422034635557793,3
unmatchable,31.412568698031464,1
awning,31.40879872313235,2
accommodative,31.387829689396312,2
supple,31.355186151951784,2
serene,31.28291310882196,2
accommodating,31.27646775051835,90
feisty,31.229239335109014,1
melinda,31.211803050813614,1
gentle,31.189317980781198,16
marley,31.18197062957188,3
amazing-,31.180309694955213,2
ibiza,31.180183316901093,1
outdoorsy,31.1764693595469,1
souvlaki,31.170920060627395,8
seeet,31.167586160590872,1
kiddos,31.161814916151343,5
clapton,31.153058256808436,1
dolmas,31.130572438414674,1
savored,31.06989954697201,3
