Word,Value,Freq
grieve,4.0667679792642595,2
condolences,3.917493868470191,3
heartbreaking,3.7974093443155286,17
grieving,3.796791840195656,3
vaquita,3.736759234070778,1
prayers,3.421643543839455,8
barakat,3.370698738694191,1
aleppo,3.360056210160255,8
sorrow,3.343841124176979,2
orphaned,3.3170333391427995,2
dubose,3.2296288496255876,2
tragedy,3.2126772886514665,29
heartbroken,3.2040713316202165,4
tragedies,3.1815510278940202,6
wounded,3.169674921631813,3
shipwreck,3.0814536100625993,2
perished,2.997250605225563,2
unhcr,2.9566653257608415,4
angelia,2.955634880661964,1
devastated,2.9551070219278337,9
garcía,2.9497466570138933,1
uganda,2.9272165781259534,4
captivity,2.9118056780099866,1
rehabilitator,2.9054444319009782,2
mourning,2.9040368086099626,1
sadness,2.893580008149147,5
outpouring,2.8656080251932146,1
fernandez,2.865512896180153,2
healing,2.8588116651773454,3
grief,2.85490160048008,2
heartache,2.853305626511574,2
rescuers,2.8405449873209,2
raphael,2.827037144303322,5
tears,2.8135402685403825,9
amira,2.8024852758646013,1
heartbreaks,2.7750392442941667,1
janis,2.769058752655983,1
tragic,2.7669020181894304,29
calais,2.762068558335304,4
rescued,2.7454717642068864,2
loss,2.7434769159555437,23
keepsakes,2.7416618353128435,1
habitat,2.7410886770486833,6
gaza,2.738318014740944,3
zambia,2.7360558992624284,1
devestated,2.710788775086403,1
mosul,2.6879930979013444,16
myanmar,2.686729479432106,1
meranti,2.6836781984567644,4
burma,2.6817558294534685,2
harrowing,2.681245136857033,1
wildfires,2.674120236039162,3
trauma,2.655883360505104,10
plight,2.6540029531717297,3
tanzania,2.650603104233742,1
survivor,2.6462035661935803,4
journey,2.644562292695045,1
wounds,2.641206074357033,2
compassion,2.599311638474464,9
saddened,2.5887191778421403,13
memories,2.584667730927467,11
anguish,2.5762115007638933,1
distressful,2.5761902815103532,1
rwanda,2.5704157835245134,1
bernardo,2.5702867990732194,1
salama,2.5682354456186296,1
precious,2.568112183213234,5
orphans,2.566342402100563,2
memorial,2.5618575102090833,3
survivors,2.5581861025094983,5
lockets,2.5269852167367937,2
