Word,Value,Freq
angrier,9.757644387483596,55
tempers,9.567043992280961,11
fury,9.21228429913521,37
anger,9.064595433473588,822
temper,8.928234311342237,45
angriest,8.82602951169014,19
wrath,8.29281875729561,7
angrily,8.098824235200883,2
rage,8.00244495511055,262
seething,7.954586716890335,16
enraged,7.747626992464066,50
furious,7.709078522920609,1
angry,7.678626271486283,556
sow,7.378134938478469,9
fuming,7.36601278424263,20
rivalry,7.358280392885208,1
punch,7.331118317842483,199
roadworks,6.966167660951614,1
afire,6.952266904115677,1
5a,6.911158772706985,1
hurled,6.872587891817093,1
discontent,6.869145604372024,1
resentment,6.797983380556106,11
infuriating,6.716552468538284,10
mediate,6.709832402467727,1
pent,6.709342213869096,24
curses,6.689179631471635,12
matchday,6.626660081148147,11
kjv,6.549140664339065,2
argumentative,6.538895817995071,1
somthin,6.5314418995380406,1
delays,6.498786183595657,12
retaliate,6.444571229219437,1
punched,6.437146397829054,13
malevolence,6.375521870851515,1
translations,6.369352551698684,8
commentators,6.340337010622024,1
raging,6.332866402864457,35
aggravation,6.331416817903518,54
unleash,6.2558848583698285,25
punches,6.236627789735794,3
heated,6.22820350766182,2
proverbs,6.223313065767288,4
fist,6.206430169343949,32
tariff,6.190386983156204,1
plasma,6.161341401338577,1
tardiness,6.159778805971147,1
strangle,6.126204701662063,14
heaping,6.124935837984085,1
touchdowns,6.08465644955635,1
bitterness,6.065597268342972,31
chipped,6.0546881878376,1
frikkin,6.0488202297687526,13
hostility,6.046585770845413,7
fckin,6.039273949861526,1
anoter,6.0261294567584995,1
ara,6.019599648714065,1
outbursts,5.991164895296096,1
necessary,5.989528390169143,34
priories,5.980985375642777,1
boiling,5.967953892946245,16
casteth,5.9542977535724635,2
annoy,5.93828651547432,4
frustration,5.9382669651508335,156
sowing,5.931431981325149,9
-----,5.9225504124164585,1
provoked,5.919675084352493,13
goddamn,5.8947112286090855,15
tithes,5.893813344240188,1
annoyed,5.881915303468704,36
cms,5.877670975923536,2
sst,5.86708995938301,1
defuse,5.865807744264602,1
sainsburys,5.85976574063301,19
refs,5.851638528108596,6
pearl,5.830652447938919,3
bitchiest,5.820525380373001,13
106,5.805572720766067,1
ram,5.799012871980667,6
lash,5.797304841279983,19
jealousy,5.793059083223342,28
irritable,5.789834710359574,1
larger,5.76709291577339,12
hostile,5.732335778474807,28
meanest,5.729459973573684,2
hanh,5.707129689455032,30
hatred,5.706677170991897,110
referee,5.703310223817826,1
gripes,5.701590749025344,1
growl,5.698798390626907,10
upp,5.695092412233352,7
fustrated,5.686709614992142,18
unforgiveness,5.672401162385939,1
punching,5.6532370769977565,78
