Word,Value,Freq
joy-,19.38246573373675,1
gladness,16.75543631479144,5
joy,15.503570927828552,366
joyful,14.704648389071226,25
joyous,13.40680350229144,17
radiant,13.227770222872495,3
uplifts,12.597807301729917,2
uplifting,12.421467198580505,2
sunbeams,11.441771878451108,1
teething,10.860729588717223,1
brighten,10.838261021822689,3
youthfulness,10.750953091830013,2
uplifted,10.572468175143001,1
blessings,10.569403065890075,31
gospel,10.499025716036558,14
philippians,10.295660390108825,1
uplift,10.218055142611265,1
oneness,10.182651890963314,1
contentment,10.081043614596126,5
radiate,9.908909215182065,9
humbled,9.786814107149839,1
joyness,9.69159163400531,4
holyspirit,9.565607442110776,2
grace,9.341028584688903,31
equalised,9.287332905977964,4
jubilant,9.255765332430602,1
joy!,9.24149168893695,3
divinely,9.231532468050716,3
hosanna,9.073168172091247,1
brightened,9.036695851534605,3
achey,9.01616515085101,1
delighted,8.99498404428363,5
cushion,8.983837498873473,2
cheerful,8.91091956064105,6
unalloyed,8.905081166476013,1
2.30am,8.855938328951597,2
marvelousness,8.840078725069763,2
honored,8.814197911471126,1
gushed,8.751850499361755,1
vibrant,8.700754536837337,3
magnificence,8.693622960299255,1
positivity,8.663111104220153,3
gr8ful,8.654665364474058,3
joys,8.647052182406187,6
happines,8.608970059603454,4
abundance,8.464369191378353,7
blessed,8.46159972116351,45
thankfulness,8.456362141817808,5
abounding,8.45086325570941,1
happier,8.423735036104917,7
orderliness,8.417175664156675,1
give-,8.397514714449644,1
aprons,8.381628407686948,1
abundant,8.36102236673236,4
fettling,8.353144063204526,1
gratitude,8.288263692110778,35
newsboys,8.239845647066833,1
rejoicing,8.199375523775815,1
shining,8.178238286226987,7
pleasure,8.167404545992614,13
commuting,8.129860295504333,1
happiness,8.113642110079526,146
gracious,8.112823857516052,2
sparkles,8.109588994234802,2
smile,8.063606633394956,124
a.m,8.059109105318786,1
brighter,8.047696484774349,4
cst,8.035993470400571,4
shalom,8.030832185000182,2
infectious,7.9999231235682995,4
ease,7.964792145937681,1
aglow,7.9576085941493515,1
queuing,7.8790892498195175,2
exalted,7.869580163210631,1
appointments,7.8456090824306015,1
generously,7.815394295901061,1
sunshine,7.769111527651549,15
shine,7.764226807802917,21
candlelighting,7.763911141604183,1
itsu,7.739321126192809,1
soulfully,7.732858552187681,2
grateful,7.717243088930845,25
firedrill,7.713195695132018,1
overflows,7.683401002138853,1
soak,7.671922578066587,11
glory,7.651483906954527,16
lively,7.644664658755066,4
happiest,7.640311612337827,7
healing,7.630282296389341,1
prosperity,7.582640065401795,2
simplicity,7.579720868319273,3
laughter,7.5704745189845575,22
excelsis,7.55715168878436,1
tomorrrow,7.53042639657855,4
3ish,7.508709801882505,1
wherever,7.495573891848326,5
ministry,7.485566033571958,8
baubles,7.484367741793394,1
nannying,7.479969872683286,1
5a.m,7.479657067507506,1
appreciative,7.45289315149188,1
meridian,7.429366959780456,2
praises,7.423876656740905,1
lighten,7.420304192751647,1
flow,7.345639123171567,20
sore,7.317850484102964,27
merry,7.314602746218442,21
christmastime,7.305151833742856,3
shovelled,7.302423848360776,1
rejoiced,7.300683392733336,1
week-,7.297366513460875,1
assist,7.272271527498962,1
soulful,7.2713641063869,2
warmth,7.24318684503436,7
bright,7.22272433206439,33
ecclesiastes,7.21414793893695,2
burst,7.200450791567564,9
extolling,7.1864079372584815,1
rejuvenation,7.1832884685695175,1
physiotherapy,7.172784699648618,1
energies,7.168952836245298,2
holidayseason,7.166252507418395,1
glowing,7.164548768252136,1
northbound,7.154104127138853,2
divine,7.152794732302427,4
xrays,7.144831074923277,1
bunged,7.126071824282407,1
illustrate,7.105770005434751,1
mercies,7.084221734255554,4
comedown,7.0827702419459815,1
smiling,7.0791386501491065,23
bronchitis,7.0691269771754754,9
season-,7.065348519533872,2
fellowship,7.057529343813657,2
thelife,7.052272214144468,2
rebooked,7.0430287258327,1
shines,7.031580819338559,3
anointed,7.0160216228663925,1
rainboots,7.015304936617613,1
tangibly,7.00181187555194,4
mhy,6.998168839663267,2
festive,6.990695847719907,3
rededicated,6.981296433657406,2
behappy,6.977849854677916,1
1.30am,6.963368310183288,2
chiropractor,6.95955408975482,2
carolers,6.958504571169616,1
freely,6.9448841945827,4
wholeheartedly,6.90621174737811,2
tabi,6.891292466372251,1
quay,6.890112294405699,2
centred,6.884728802889585,1
workmen,6.877446068972348,3
6.30,6.8749150173366065,1
sparkle,6.862413300722838,1
pleased,6.856101407259702,8
positively,6.852198971956969,3
praised,6.851507081240415,1
blessing,6.84499634668231,18
nght,6.838495148867368,1
wharf,6.830864800661802,2
hobnobs,6.830585374087096,3
swollen,6.8284253017604355,8
fill,6.824745072573423,38
loving,6.820986642092467,57
carefree,6.8194579021632675,1
delight,6.815777672976254,11
celebrations,6.803993596285582,2
harmony,6.800004853457212,11
divinity,6.7977198497951035,1
glorious,6.776687516421079,3
delightful,6.7666033641993995,2
relaxation,6.7266115085780624,4
bathing,6.703894509524107,2
diffusion,6.669826878756285,2
minister,6.656824483126401,2
fullness,6.6557167904078955,6
microsystem,6.648244752138853,1
errands,6.648158921450376,4
deaconess,6.647081269472839,1
gush,6.646486653536558,1
invigorating,6.633093251436948,1
