Word,Value,Freq
surprises,16.533342167884115,29
surprise,13.912846371680498,535
surprize,13.098419949561357,3
guessed,13.033867642432451,13
suprise,12.9339588136971,12
arranged,11.390528485327959,4
plannin,11.371352002173662,1
raffle,11.067762181311846,12
bday,10.697311207801102,87
surprised,10.467957303076982,65
guessing,10.398972317725422,5
superexcited,10.36673812583089,6
tavo,10.304796978980303,1
suprised,10.275356099158525,1
veela,10.188003346472978,1
lubna,9.994839474707842,1
predicted,9.981621548682451,1
expected,9.972232625037432,65
tempah,9.860614583045244,1
sorprender,9.844225689917803,8
moons,9.716082379370928,1
prize,9.65072898581624,14
winner,9.62947826102376,12
aamir,9.604545399695635,5
ranked,9.585700795203445,14
expecting,9.513428494483232,63
chamber,9.498288914710283,10
noida,9.39001064017415,1
bfff,9.373936459571123,5
hiba,9.2784412355721,1
snuck,9.277185246497393,6
getready,9.251055523902178,8
shhh,9.237200543433428,4
unsung,9.216646000891924,3
regalo,9.125324532538652,4
nextweek,9.111936375647783,3
bhumi,9.09341983512044,1
orderd,9.07252435401082,5
planned,9.049544617682695,53
rehman,9.031247422248125,8
comprehends,9.014492795020342,8
surprising,9.006410882025957,37
underground,8.972529694586992,1
cadeau,8.948350712805986,9
jury,8.90018777564168,1
bun,8.894406601935625,4
happybirthday,8.893462464362383,11
peek,8.875489041358232,6
rhymed,8.822779938727617,1
greyson,8.821407601386309,9
elopement,8.813240811377764,2
sohappy,8.78639440253377,2
anticipated,8.762978837043047,1
asher,8.757376954108475,1
somethingnew,8.753385350257158,7
leonardo,8.75098590567708,1
kaminey,8.6974127741158,2
milan,8.69670991614461,1
julianna,8.6961920709908,3
tahir,8.693135544806719,9
shakira,8.655863568335771,1
bollywood,8.641288086920976,1
knows,8.637380406409502,100
considerin,8.614511773139238,16
wpb,8.611977860480547,1
cooks,8.57100372031331,1
lanes,8.543533131629228,2
beliebers,8.532437607795,1
choosed,8.499196812659502,1
veggie,8.492518708258869,20
debut,8.484588429480791,5
#surprise,8.473212525397539,13
delhi,8.460980698615312,6
endocrine,8.453815743476152,1
daddi,8.45337562277913,2
shhhhhhh,8.402150914222002,5
dom,8.393957421332598,7
shhhhhh,8.370754048377275,13
barbican,8.366560265570877,1
amir,8.364425942450762,7
prezzie,8.333096787482502,7
suraj,8.318495080024006,1
actually,8.297437474280596,483
marley,8.285732075721025,1
kiel,8.26229314520955,17
percent,8.2589886637032,2
thisgirl,8.24265603736043,1
guests,8.238278195410967,8
fooled,8.232310101538898,10
winners,8.203461453467607,8
virginia,8.156228825598955,9
anand,8.155528828650713,1
clues,8.120844647437334,1
audience,8.11210708335042,3
