Word,Value,Freq
promptness,31.178925066739318,1
responsive,30.543749361783266,23
outdoorsman,30.300825625211,1
maltipoo,29.173910647183654,5
18-pound,28.33483746603132,3
seamless,28.11707928732038,5
breeze,27.27402356222272,11
spanakopita,27.0770821864903,2
versatile,26.494070559293032,2
6-piece,26.30071118429303,1
thoughtful,26.23941662862897,10
furbabies,26.067348986417056,1
prompt,26.039829760342833,69
avgolemono,25.63903096273541,1
unrushed,25.6244225795567,1
cutest,25.590296297818423,4
shakshuka,25.553999453336004,2
timely,25.526896029263735,48
popovers,25.39324048116803,1
adorable,25.1916890437901,17
2-bedroom,25.166559725552798,1
bookmark,25.044672518521544,1
snuggly,24.994778185635806,1
personable,24.97523930624127,48
365,24.951145678311587,1
retriever,24.89065030172467,1
sweetest,24.649363070279364,8
terrific,24.496969729214907,32
eased,24.485724001675845,1
goodies,24.463701754361388,13
rollator,24.448812990933654,1
calzones,24.417055636197333,2
saganaki,24.37927868917584,2
lifesaver,24.321432619839904,1
bonus-,24.28916409566998,1
mixins,24.276842623502016,3
shoutout,24.23165753439069,3
approachable,24.104229479581115,11
housemade,24.10073712423444,3
dolmades,23.978851824551825,1
blondies,23.88920071676373,1
knowledgeable,23.86152127340436,105
xanh,23.850622683316466,1
pleaser,23.834372072964904,2
simons,23.74268582418561,1
easing,23.742168932706118,2
mouthwatering,23.715044527798888,2
flexible,23.471388369351626,10
-beautiful,23.46213009908795,1
pastitsio,23.451525240689516,3
ease,23.415251284390685,14
zena,23.34780743673444,1
mazing,23.30187848165631,2
hearty,23.275435000211,22
ashiatsu,23.225878268033266,1
purrfect,23.213112383633852,8
faves,23.157902270108465,6
athleta,23.07610943868756,3
lawrenceville,23.06063321188092,5
accommodative,23.05110219076276,2
istanbul,23.030422716885806,2
zippered,22.984125643521544,1
punctual,22.951406985074282,8
daphne,22.91904309347272,1
unbeatable,22.898146181851626,7
toughest,22.896399050503966,1
retractable,22.836428194791083,1
unparallelled,22.8208394344151,1
companionable,22.768101244717833,1
puzzles,22.762243777066473,2
