,Word,Value,Freq
5787,tightens,-0.3152278299494071,1
17548,fiance,-0.28270101256146063,1
10290,subsribe,-0.26269769564820916,1
8925,keen,-0.25982334691377673,1
9104,ulcer,-0.24827272404628786,1
10757,assiciated,-0.2359214478215108,1
7254,tedious,-0.23136701282578542,1
11153,war,-0.23127367415145272,1
4219,dismissive,-0.23077627983806792,1
15865,fulfilling,-0.22629625340539405,1
1632,highway,-0.22232065679099833,1
14593,bethlehem,-0.2221810040955461,1
12274,engage,-0.22176658802618476,4
9740,substantive,-0.22081156062733953,1
6670,unconventional,-0.2181083266772248,6
13621,wrecked,-0.2163107258063235,1
17277,agreeable,-0.21509639524491142,1
17840,faithfully,-0.2150416047051067,1
14771,calves,-0.21480693650903504,1
6629,spoken,-0.21444700171699083,1
13088,compressed,-0.21389113547593297,1
5254,cheating,-0.21134636614488045,1
8222,11/2,-0.20674836700046248,4
3279,big5,-0.20365788421418074,1
4345,clears,-0.20161990056089962,1
10425,dh,-0.2000300406376141,1
16407,2000,-0.19983985489750467,2
17289,bunko,-0.19878332659178,1
9079,medallions,-0.19470749474184382,1
12507,statins,-0.19351625986143972,1
16375,scouts,-0.19183925324330175,1
13429,shaved,-0.19079239337354773,8
7182,venetian,-0.18928234973143768,1
5765,branch,-0.18861503405652513,3
6791,conglomerate,-0.18808699187979983,8
6643,income,-0.186307874434533,4
8967,vile,-0.1862200452758817,7
14598,technology,-0.1855469877481255,2
11621,philippine,-0.18363281265760634,1
10973,confronted,-0.1817757897313328,1
8523,hosting,-0.18154937778146518,1
6121,advertisement,-0.181242223945591,11
2807,cips,-0.18084643377278553,1
18299,howard,-0.17986380239835853,1
7738,studies,-0.1794077458213792,1
14857,mental,-0.179396763525574,1
18251,agriculture,-0.17923394812851257,1
14491,separating,-0.1776217988708595,1
16190,contanier,-0.1766857136233284,1
11690,ally,-0.17628816963792815,2
16493,nutella,-0.17476255876169944,1
9539,nursery,-0.17351984731340053,2
6278,truthful,-0.17327061044435352,9
11313,vpi,-0.17072440889006657,1
16919,ol,-0.1692853801381169,2
17713,alec,-0.1692755432748072,3
11926,denver,-0.16887224142618606,1
10601,von's,-0.1666414110109713,1
15830,abut,-0.16492480367128337,1
11367,functions,-0.1645963386177982,1
12998,lug,-0.16368518931207632,1
9432,steadily,-0.16090631586780546,1
11202,checken,-0.16070009135260932,1
14795,foccaccia,-0.1600926057914478,1
12957,nanas,-0.15976048230623974,1
10151,upsacale,-0.15897116574812267,1
17507,cache,-0.1576441563011315,1
11075,salumeria,-0.15738076328467562,1
4445,raya,-0.15719657731151906,3
14944,drastic,-0.1569698966609394,1
5752,suitable,-0.1565627901195743,6
17088,price)on,-0.15538518627579379,1
12040,mellin,-0.15521647223226154,1
16711,ropes,-0.1550897250155927,1
13842,1950,-0.1539670930861945,5
4231,2-year,-0.1535272820213057,1
16062,consists,-0.1533501903022625,1
1132,glase,-0.1531473751204544,1
11377,unfailingly,-0.1524153662592198,1
9226,journal,-0.15155126626382298,1
8410,keureg,-0.15147007848041957,2
4868,1.30,-0.15094030818090687,1
13100,conscience,-0.1500841621160177,10
6398,/>+sold,-0.14990036236097617,1
16335,romans,-0.14928822752199267,1
11624,alum,-0.14899160468075934,1
10002,owl,-0.14864708967070328,1
13089,friendliness,-0.14841575102309434,1
17091,eyebrow,-0.1481181537395173,1
14830,precise,-0.14760540496695285,1
6254,hello,-0.1474784884616156,2
14126,m.,-0.14746728478957039,8
8286,cafes,-0.14736196068716367,1
11378,primitive,-0.14702462524064686,1
3463,variation,-0.14549244619606605,16
12420,fa,-0.14546848998838868,1
10318,outweighs,-0.14515337593354616,6
570,/>looks,-0.1448017737768339,5
11270,starch),-0.1441421977038715,3
2507,hash,-0.14407696892007493,3
14926,matching,-0.1438093890477603,1
18164,conference,-0.1421631943826469,1
9146,shatter,-0.14158067630265236,5
10733,classroom,-0.14103399854150211,1
17555,obsession,-0.1408039057030237,1
9418,3701,-0.14042489864255003,1
17695,these.my,-0.14040811019943553,1
14793,magnificent,-0.14024008648038233,2
18274,ragdoll,-0.1396232038784054,1
14397,hurricanes,-0.13846676887123976,1
16160,sawdust,-0.13781597057641193,3
11518,iranian,-0.13777235581801506,1
7073,demos,-0.13745045426321667,1
12621,elementary,-0.1368892110639024,6
15172,apartment,-0.13632616812003562,1
17549,redesigned,-0.13619192470821417,1
11034,responded,-0.13605968985621075,1
12906,accordingly,-0.13567446074903272,5
3966,hefty,-0.13539444641440923,5
3560,ashes,-0.13474194663194794,1
16768,1960,-0.1347274523195665,1
3732,retiring,-0.13452017888675982,2
9355,/>perhaps,-0.1337309461071463,5
6329,contaminate,-0.13286803506768763,1
12324,midwest,-0.13248959119012285,3
11105,stargazer,-0.13194720603797083,9
18255,performed,-0.13185277940669948,1
5367,zipper,-0.13026766490904151,2
15592,recovery,-0.13015816400507862,2
16632,boise,-0.12990218472629067,1
18207,estrogen,-0.12989261121822437,1
10950,wolfhound,-0.12987743293155063,1
16533,scouring,-0.12945937621651638,1
16614,missouri,-0.12917149602024836,1
3024,giger,-0.1290619419810355,1
10590,geek,-0.12887592256703329,1
8937,pekeingese,-0.12871911659283342,1
11163,skype,-0.12847432678560722,2
12719,lozenges,-0.12829155723598737,1
7722,stupidly,-0.12814311593137973,1
10890,panic,-0.12790771951567592,1
14847,pays,-0.12776119561442556,6
10177,succumb,-0.12764016236479847,1
16578,constapation,-0.12754422449613875,1
13714,hazel,-0.12735564961076307,9
17337,/>everything,-0.1272624824331956,1
17760,tour,-0.12714867882903036,9
17479,work-,-0.12600572572250712,1
11817,toilet,-0.12598332042285953,8
11829,pillowy,-0.12530832712239715,1
17984,fax,-0.12466944665629853,1
8791,loumidis,-0.12443903821758795,1
6537,ugh,-0.1244293963398808,31
9507,devil,-0.1243348075195172,1
16630,douglas,-0.12421664942360167,1
12509,pharma,-0.12362290772753681,1
9390,solo,-0.12343372786676336,6
8133,basics,-0.12333670340942149,2
9105,faves,-0.12313339040159121,9
14909,inced,-0.1231093901950544,1
17892,sweeties,-0.12271542231418664,5
16479,/>than,-0.12266214417732613,2
10106,2338,-0.1223456962505054,1
14525,nicce,-0.12233707579601116,1
17566,ex,-0.12231803368661076,1
18407,--such,-0.12190547310649436,1
13572,outweigh,-0.12188597294118608,2
16320,opposition,-0.12167752969793355,4
