,Word,Value,Freq
8810,playstation,-1.1664736575944517,1
13507,ay,-1.0542830227486917,1
10890,62,-1.042597180813118,1
2674,fireplace,-1.0090304250527424,1
11335,laptops,-0.9987588687836251,1
14041,swell,-0.9372375191001083,1
14274,highlighted,-0.8167930163654091,1
15019,cynics,-0.777396664314324,1
16524,percent,-0.7591932484078825,1
16324,predecessor,-0.7578594323612009,1
14115,wcw,-0.750184688210993,12
13830,trails,-0.7359295598603239,12
4129,entirety,-0.7280000578855379,6
13656,tighter,-0.7251349398347884,1
16698,fader,-0.7199840416416805,1
12103,fwd,-0.7098722735496779,14
8159,hep,-0.6988330679699857,1
9776,inappropriately,-0.641893348663416,1
13853,2s,-0.6397766794391373,1
17010,exterior,-0.6293620855740301,1
1873,stations,-0.624203520317916,22
11643,praises,-0.6177845826508985,1
11652,klaus,-0.6139396788030353,1
3779,dialogue,-0.6126268665638364,2
9106,chi,-0.6073371946995394,1
3188,relations,-0.6016113820282953,1
8433,fischer,-0.6014337673128693,1
17473,skyscrapers,-0.5954698253648208,1
12971,sor,-0.5838180364589789,1
4547,talked,-0.5819929331191754,21
15411,radical,-0.5756137636521999,1
9678,lions,-0.5677830272796669,2
14279,distracts,-0.5522733089983376,1
11966,startle,-0.5521229676862163,12
17861,bruising.lol,-0.5511458897414153,1
17340,bumper,-0.5379277393660686,1
6165,playings,-0.5292764017238346,14
10757,whip,-0.5235769198934577,1
15024,outsold,-0.5226802242050184,1
14708,bracket,-0.5154564584968284,1
3904,reaction,-0.514727298747311,32
10132,admittedly,-0.509087592417171,19
12521,groovy,-0.5024689636147741,1
15299,2008,-0.49952401999098583,1
5246,refuses,-0.4980053997564937,1
13886,breathes,-0.4979321454615331,1
11978,aftercare,-0.46121051726828455,1
4699,died,-0.4598672786546259,19
13791,estate,-0.4576934821498071,1
4370,fudged,-0.4515169856313719,1
8823,diary,-0.44885050359503914,27
17766,dank,-0.43921232482313144,1
3404,shere,-0.43809635734027097,1
11553,grandfathers,-0.4345634377863803,1
4696,announces,-0.43102977376495843,2
15324,"4,3",-0.4296879180024291,1
8420,warps,-0.4231074509110613,1
