,Word,Value,Freq
14540,mitt,-0.3604826263105725,1
4813,corey,-0.32871345786634265,1
16511,164,-0.3265770017688965,10
5909,spencer,-0.30567194215939253,1
16414,paige,-0.2974246384058006,1
10168,rom,-0.2915973665679985,6
22699,lily,-0.2902736192570501,1
15950,tor,-0.2897989244904693,1
11714,brock,-0.2877462733684695,14
17789,christine,-0.2806126572593257,1
1183,104,-0.2792479256027036,1
20217,massachusetts,-0.2788946999887685,1
21596,boone,-0.2774077798931103,1
22458,hc,-0.27331996114389767,1
22352,121,-0.27173845965671717,1
6740,cain,-0.27087859091261635,2
9105,rogers,-0.27064091283114067,1
13526,merchant,-0.2694306770140429,4
23265,flashed,-0.2662184939376857,1
1489,aaron,-0.2649934837309047,1
23392,rolled,-0.2641361569876608,1
17657,62,-0.2638281527617785,1
5642,ben,-0.25211678948660393,10
20500,reflecting,-0.2520115031414889,1
3955,www,-0.2512691445774067,1
9210,administrator,-0.24961989121294437,1
894,pat,-0.2495707185218521,4
15160,kate,-0.24840200560443293,4
18879,adam,-0.24727577768491293,9
20803,clara,-0.24709702809059308,1
10690,liberal,-0.24614077306038476,9
702,herbal,-0.24435387462108338,1
11363,jackie,-0.24210028509475023,2
19859,95,-0.24033217321773748,1
14317,seth,-0.23872244054973635,6
13750,pact,-0.2375462634665837,1
22261,witty,-0.23716975494289727,1
15395,iss,-0.23697837123836507,1
14603,qu,-0.2356347402156871,7
12512,synopsis,-0.23550118365392336,1
15002,adrian,-0.23223394766114325,1
22665,arab,-0.2319303678095821,8
20489,ie,-0.2319008053843845,1
18103,.............,-0.22916720379680555,1
9715,jeremy,-0.2286307152264726,2
17756,lincoln,-0.2281622034069187,10
22275,palin,-0.22815185764102353,1
2329,nbc,-0.22611022861937613,2
20683,liz,-0.22534784727406532,1
18234,copper,-0.22509424537389577,1
7445,ryan,-0.22405966406325625,13
13189,stacy,-0.22199156914774676,1
12789,microsoft,-0.22101246257332402,9
17543,conor,-0.2168659955414114,1
9843,tjp,-0.2167422962306773,12
17149,citizen,-0.21599976158404388,1
665,aj,-0.2138821244386726,1
9158,||,-0.2125955355019349,7
6505,-----,-0.21086196735123508,8
13895,via/,-0.21030720455462415,1
11626,kens,-0.21002148004538412,1
20756,customs,-0.20918922057853706,1
21862,scarborough,-0.20659866320823994,1
11297,subscriptions,-0.20611643538086355,1
20266,applauded,-0.20608115632575164,6
15335,â˜›,-0.20543586165640804,17
16119,dd,-0.20509015236739908,11
12820,bryan,-0.20466717973840787,7
7500,manning,-0.20409803012527,7
16236,motherboard,-0.20278747445445333,1
17871,goodreads,-0.20134294157752208,1
16845,cooper,-0.20125826130561109,1
8736,susanna,-0.20124157581847157,1
5728,carroll,-0.200777408256954,1
3014,republican,-0.20061346096652244,8
16731,sophie,-0.20051540472422857,1
10292,insert,-0.19979852666926945,2
5077,gene,-0.1992995845350407,1
9222,vis,-0.19900135393140772,1
23144,booted,-0.19883402909181314,1
15323,rod,-0.19882919201518234,1
23390,@paul,-0.19877860767996935,1
15145,eleanor,-0.19829484604292702,7
7092,reflect,-0.19805521522027902,2
12901,marc,-0.19691159345893539,2
20949,philip,-0.19691140066822754,1
9671,myers,-0.19369508344445308,2
11508,fbc,-0.19357116050657197,1
8943,cory,-0.19351707633757087,1
9569,reins,-0.19225383019511355,4
8848,ruff,-0.1915987366731997,1
13033,alec,-0.19026426447931044,1
7117,python,-0.19022216973098693,1
9187,huff,-0.1900151519261044,1
10548,blogger,-0.1898044436957207,7
8125,ottawa,-0.18935869556878515,2
8604,byron,-0.18935069012607642,2
19019,mitch,-0.18915399831981006,1
21869,blazer,-0.18903339424821297,1
9091,pasadena,-0.18890291222237465,1
10334,sample,-0.1888132354521872,2
18518,41733,-0.18851920717906978,1
15712,belter,-0.18799563103095807,1
8838,bathing,-0.18699155988133498,1
9097,ufc,-0.1862392865136826,1
18110,index,-0.18620139172850259,1
13877,essex,-0.1860827586169762,1
6920,bora,-0.1859269957898242,2
16919,antidepressant,-0.18577814141190174,1
19490,2001,-0.18575642996711395,1
14120,detail,-0.18546586619481786,1
14332,brian,-0.18515325253425394,3
11429,thug,-0.18500380200688227,1
12412,discuss,-0.18494573579245355,2
4437,file,-0.1847758778442249,18
9039,silvia,-0.18428828549912168,1
18569,dalton,-0.18408062344832388,1
5059,nudity,-0.184044943744766,11
8198,snyder,-0.1839904936061032,1
16914,rubens,-0.18357879144093658,1
14728,summers,-0.1833696454435767,2
16123,sd,-0.18319997624166717,1
18251,losers,-0.182840030223133,1
8301,1999,-0.1823815296020257,6
14013,manitoba,-0.18189351773639828,1
19728,harper,-0.18185873136781083,1
4809,maria,-0.1817717755026198,4
18575,technician,-0.18167517077245066,1
19554,prompted,-0.18166521543366798,1
10007,welsh,-0.1815108071824909,2
11899,backside,-0.18135638270007348,1
8241,brandon,-0.18132082217448442,2
13831,kansas,-0.1805651467329691,3
18422,fred,-0.18024580165240423,1
17202,patrick,-0.18016109160080163,2
22219,generously,-0.18015738536075787,1
2003,marcus,-0.17944647635715683,4
21435,daryl,-0.1793433902223569,1
2149,1010,-0.17919226067155591,1
6515,urs,-0.17914788441498786,1
15949,sw,-0.17913515818408854,1
22526,hammered,-0.17858973243062337,1
19668,droid,-0.17835263420829506,1
9779,tony,-0.1780949737624269,4
16573,splenda,-0.17765718745175718,1
21890,nfac,-0.17762665255685306,1
7537,npc,-0.1774605921273178,1
19269,gb,-0.1772615183861035,1
14956,52,-0.17690124681964883,3
11870,overcast,-0.17671868556590198,1
10171,stripped,-0.17671822266353843,1
17713,uhm,-0.17669914579670376,1
8476,dom,-0.176400506527699,2
10080,gmail,-0.17578604913646245,1
22157,erth,-0.17577565632265646,5
2968,nathan,-0.17566545817501833,4
22955,reg,-0.17447800919489964,1
20977,31,-0.17447676410847635,1
20070,98,-0.17422168981238428,1
16905,swami,-0.17413558719083255,10
2324,sophia,-0.17394604620775075,3
19758,kirk,-0.17369401316432231,1
20679,nelson,-0.17309728272039138,1
22460,dash,-0.17285063402130163,1
14282,gordon,-0.17248784765577815,3
6869,fma,-0.17242847347720414,1
7573,restore,-0.17227714292905225,3
22355,abusive,-0.17217432120878584,1
16478,chancellor,-0.17185702505230438,4
20106,martha,-0.17142846623687547,1
14451,bruins,-0.17141112921552804,1
20037,macys,-0.1712905812637331,2
14077,sq,-0.17036339810226764,1
11629,ger,-0.17017403112492957,8
19289,musa,-0.17014355437282802,3
19310,rb,-0.1700684565551569,1
18756,stefanie,-0.1700009410490111,1
4231,pipes,-0.16990770140364475,1
16813,convertible,-0.16981406676188726,1
20871,spotify,-0.169426648805711,1
13594,clare,-0.16910952788316536,1
16529,128,-0.16907781832824753,7
19043,insued,-0.16907192429448514,1
13281,530,-0.16885217697138918,3
4476,wilkinson,-0.1686893003465002,1
7089,shui,-0.16861195004230467,1
10795,superman,-0.1684425327794088,1
16868,healthful,-0.16832865954927456,1
6776,logan,-0.16809296423540823,3
13294,port,-0.168078942135935,2
12863,md,-0.16799562021775571,4
8119,madison,-0.16733973594378426,5
21883,ft,-0.1671391457683603,13
1647,melbourne,-0.1666561769462286,3
11856,todd,-0.16646107347492034,2
22451,î,-0.16633107838455885,1
21724,2005,-0.16627561619702647,1
5935,developers,-0.16611515497055507,8
11760,nic,-0.16611415782580252,1
16447,cairo,-0.16589503185900867,1
8101,anarchy,-0.1657704408828143,3
14917,winfrey,-0.1656432488241535,6
10249,admitted,-0.16553459899910195,1
6412,elizabeth,-0.1654595623226669,1
11550,cst,-0.16517174217058064,3
19337,orphanage,-0.1651372278682537,1
22523,hcc,-0.16497302086918353,1
13738,robbers,-0.1645164690297065,13
20327,duffy,-0.16441452879644203,1
20200,jun,-0.16435406951097775,1
8941,minor,-0.16395944673445229,1
14961,haley,-0.16354167601413394,1
15601,psu,-0.163515462388375,1
547,nixon,-0.16350756176439063,15
1484,rick,-0.16346517977796773,6
22546,@iain2008,-0.16337987486058125,1
9655,mita,-0.16331284501870202,1
4378,crush,-0.1632759324218059,13
12601,botched,-0.16295837144389225,6
22097,arthur,-0.16294737406394688,1
15891,dion,-0.16279941911079732,4
11958,purposely,-0.16271548736881414,1
9727,disaster,-0.16261371316264825,7
19348,racists,-0.16251583591781582,1
14782,peggy,-0.1624695780795946,1
15212,2/3,-0.16245198521152324,4
22263,rumi,-0.16221872119513137,1
10202,shelley,-0.16219615126919962,1
17271,fizzy,-0.16208466560907908,1
16938,bowers,-0.1620686075453932,1
9395,athens,-0.16181341091942159,1
10697,mysteriously,-0.16176654363516718,1
5628,professor,-0.1613055883518152,13
14299,â˜,-0.16126529653291968,10
10705,kay,-0.16086774703984474,2
1479,spec,-0.16082434295464054,1
12373,brewing,-0.1607795702641397,1
19765,alf,-0.16069327709180925,1
15914,pennstate,-0.16068181842831564,1
7453,questionable,-0.1606396910894503,1
23396,zelda,-0.16054271575330858,1
598,salts,-0.16047072488606773,1
18140,â˜,-0.15998627231365958,6
21887,enact,-0.15993116005267893,1
17458,sheep,-0.1598592648236945,8
15325,brewers,-0.15981688835199748,1
19048,.isxxx,-0.15979968290691696,1
17882,ronchy,-0.15944507558776877,6
18971,toc,-0.15910595217939338,1
3906,graham,-0.15909407347683668,2
2444,improves,-0.15908089278627813,1
12942,stowing,-0.15871485972483867,1
21866,malaya,-0.15871113133030867,8
14039,@iameroc,-0.15847369873566208,1
21277,@skynewsbreak,-0.15825233754797807,1
16080,ian,-0.15822250662261203,12
14632,listed,-0.1581788986558479,1
6001,irked,-0.15805702240527353,1
13064,knights,-0.15801502546139545,1
17308,slices,-0.15796539155451228,1
8500,@patrickk1964,-0.15775413329714638,1
1734,furious,-0.15762332711756244,1
4555,chrissy,-0.15736939615533174,1
8878,alexander,-0.1573422146429948,1
12718,emerald,-0.157329396706416,1
3782,-saint,-0.15726957357048832,1
22648,butterkiss,-0.15724418509307725,1
15715,animation,-0.15713108439581447,1
16975,apush,-0.15706353868398537,1
