,Word,Value,Freq
19519,womb,-0.149765853635472,1
20692,uncharted,-0.13857123748721278,5
5298,blogging,-0.1316575390528385,1
20105,dancers,-0.12872846453265652,1
17596,iphones,-0.12762134690348148,1
11943,barclays,-0.12414582396809237,1
20788,zuckerberg,-0.1212019510672917,4
7988,mafia,-0.11439295190939447,1
14933,lilly,-0.11433363010496578,1
21896,105,-0.11366111389042999,1
13480,convent,-0.11293445952580328,1
23261,zimbabwe,-0.11229355357306758,1
11365,denim,-0.11229136371412096,1
12794,grasping,-0.11111944596079582,1
10023,struggled,-0.11071481809591432,1
5676,guatemala,-0.10973242057252719,1
10879,distress,-0.1094403395117638,1
18173,doug,-0.10834776208241692,1
13026,vague,-0.10587090711374003,1
13927,tosh,-0.1052283934242837,5
10724,worldly,-0.10477955432054387,1
6961,van,-0.10477318855420262,10
7677,sustain,-0.10434591942083671,1
17647,dayton,-0.10395658358635274,1
12283,stripe,-0.10394691126725775,9
18766,vile,-0.10234896596347198,8
13456,vowed,-0.10009590107316058,1
5229,liberia,-0.09947017629701804,1
1504,hesitant,-0.0991452986196748,1
12688,dev,-0.09808598853743433,1
14607,ttc,-0.09755905147426347,1
9842,transition,-0.09646007777269006,1
13282,arena,-0.09629210329262605,1
2650,moore,-0.09594343379933434,1
5589,pennsylvania,-0.09592012522344362,6
18681,ahmad,-0.09588369721404888,1
4349,apologise,-0.09584686530638464,1
22568,heats,-0.09570215967016793,1
12650,squeeze,-0.09551435827393107,1
7208,determination,-0.09538051759204791,1
10980,foe,-0.09471517808700014,1
8494,remembrance,-0.09461652139003718,1
9548,oldest,-0.09289938924702706,9
22517,fugitive,-0.0928154532946337,5
3620,outlook,-0.0927886960369051,1
13576,journals,-0.09278158700163885,1
12594,tad,-0.09260214326717602,10
11358,dawson,-0.09129416720941208,1
11637,ukw,-0.09118606316281586,1
22915,ninety,-0.0907165584154086,7
9702,detroit,-0.08981663699938736,1
16478,chancellor,-0.08965153395979542,1
10711,vital,-0.08780971013339922,1
17353,trainers,-0.08658814149657701,1
7302,flesh,-0.08657325915415015,2
21282,vengeance,-0.08615423174592252,1
1393,winged,-0.085740929501668,5
20210,confinement,-0.08516392989193378,1
20100,jaw,-0.08515506894582359,1
2272,concerts,-0.08476970981632803,1
21614,swelling,-0.08471071169401512,1
7295,mockery,-0.08458856128629577,5
2372,uploading,-0.08445906060899233,1
1042,responsibility,-0.08435636646950684,1
15309,rents,-0.0838095640276606,1
11417,lasted,-0.08372382711301896,1
1902,resemble,-0.08365158225251434,1
12478,devised,-0.08349492729524854,1
21653,fires,-0.08349147454009653,6
9681,disappearing,-0.08339172441567655,2
17675,assassin,-0.0832276974559818,1
16277,insecure,-0.08303163861427265,1
19609,temptation,-0.08261031092263238,1
16973,chewing,-0.0825654005380585,1
21269,applause,-0.08216093335549483,4
16700,hound,-0.0821208367494819,1
13573,vader,-0.08203562925461227,1
11805,chore,-0.08183967043737539,1
7227,diesel,-0.08182481441838263,4
20081,reassuring,-0.08177100121042713,1
19582,panera,-0.08099954705929235,1
3926,cracking,-0.08060207158274224,10
210,previous,-0.08029845107928561,12
15856,monopoly,-0.08004355622877786,3
7503,cracked,-0.07961131315470737,1
15927,demonstrating,-0.07950863170754019,1
22155,wrld,-0.07949333627885835,1
20693,riddled,-0.07943190175797099,1
14281,dragged,-0.07916377588912837,1
7668,sacked,-0.07880608827417745,6
20364,grieving,-0.07870977039530658,1
3577,iceland,-0.0786268031679711,1
22549,kidnapped,-0.07806463592442014,1
17742,phil,-0.07803047974644291,6
6408,payton,-0.0780174846772752,1
8700,carnival,-0.07786520266745356,4
1026,newer,-0.0774395421187819,1
19271,slogans,-0.07743934000336594,1
3797,chunk,-0.07719319453667595,1
22811,cincinnati,-0.0769781339081419,3
17017,breast,-0.07689603571270709,1
21197,baskets,-0.07661489174392955,11
15046,promotion,-0.07658271649552262,3
11420,cena,-0.07631561879679793,3
5981,bows,-0.07607711895278157,1
5905,donating,-0.075963130234868,1
19146,embassy,-0.07588404803118465,1
8167,stalls,-0.075854303468887,4
18803,lucid,-0.07550057777120855,1
9936,reversing,-0.07545367284609483,1
1921,awkward,-0.07530390880938427,141
10513,courageous,-0.07525668448693068,1
15389,il,-0.07508504915794845,8
6018,engaging,-0.07499198699900944,8
17359,ford,-0.07498243168912211,1
12325,asher,-0.07448846111140028,1
16124,96yo,-0.07425182044016765,7
17952,flung,-0.07422663867635038,1
14689,harlem,-0.07412279009275835,1
19838,wonderfully,-0.07411923941189968,1
14908,helper,-0.0740055882655355,1
