,Word,Value,Freq
4881,0.17,-1.0912020855648814,1
17880,two;however,-0.9576032969183927,1
15531,luxuriously,-0.928451024656954,2
16723,"5,skeptic",-0.9248920478389837,1
14713,free(cannot,-0.886293310278255,1
10169,fat!received,-0.8741185657691125,1
7305,right.dont,-0.8566297128664407,1
17242,headless,-0.8307806835047006,1
16311,"that??!""with",-0.8262171628735169,1
16435,dispenser.not,-0.8215480210348967,1
17903,cruisine,-0.789469089383228,1
17139,mull,-0.7730990875521973,1
17076,peperoni,-0.7384777074716906,1
16726,fettucines,-0.7269594885646669,1
14475,"90,000)but",-0.7099646801011683,1
15343,carber,-0.7033245460118249,1
7743,disgusting!my,-0.6942518405098681,1
14051,vegetables;but,-0.6923383741507897,1
12369,hoopla!its,-0.6916285509609339,1
17750,cinnamomum,-0.687743258859782,1
16268,13.4-ounce,-0.6837330108303392,1
15591,thesedon't,-0.6819808743762502,1
17420,tastingfreshnice,-0.6808285531568075,1
12242,comparision,-0.6803698495351488,4
12555,http://www.amazon.com/gp/product/b000er3efc/ref=cm_cr_rev_prod_imgi,-0.6788444111896388,1
15236,doubtful,-0.6742363222482731,4
8426,gummed,-0.6724316411346936,1
1830,overjoyed,-0.6670801252284076,6
12055,sprouters,-0.6644555933510635,1
15012,recognice,-0.6553869249756241,1
14368,sojos,-0.6542525546185184,2
15204,suspicion,-0.6526089875183264,7
13184,weaknesses,-0.6503117314034443,3
13356,buti,-0.642613047192305,1
15213,perishables,-0.6331631053687772,4
16195,crips,-0.6270179493245251,1
14062,graduate,-0.6217824504812748,4
10716,barbque,-0.6164736146128429,1
15785,idiopathic,-0.6141029372452511,1
14736,absence,-0.6126480935364735,3
6128,eewwwww,-0.6125637601992722,2
7896,denigrates,-0.6071446387796723,1
5124,saltyness,-0.6057800199015264,1
14827,purring,-0.6056101504661633,2
17327,object)tastes,-0.6052076958112632,1
9092,gum.well,-0.6030544673215061,1
4750,it)i,-0.6015849264467112,1
12047,dreck,-0.599108800382318,2
5249,crunched,-0.5906931328199561,3
5663,curtailing,-0.5844253102253116,1
17850,12.00,-0.581574299089799,4
3928,producet,-0.5760569606651065,1
12868,outstandingly,-0.574602376696276,2
15108,ousted,-0.5732822489233191,1
13484,resistance,-0.5711168848130607,12
17064,lectures,-0.5690657902181709,2
17971,portion!only,-0.568006317851049,1
14892,neutralize,-0.5584556562399406,3
10401,sweetly,-0.5583457398464338,1
16757,haven't,-0.5547403609744963,5
11799,craps!my,-0.5525389151612401,1
9980,cells.this,-0.5515996373961534,1
17751,aromaticum,-0.5502348607684766,1
17932,worchestershire(sp,-0.5461770784459703,1
14746,"2,4,9,11",-0.5461258081217989,1
12626,6pk,-0.5422969354849363,1
16504,milkbone,-0.5403531912692409,2
16720,crackling,-0.539433997055115,4
15327,spearminty,-0.5369394616105849,1
12162,crisis,-0.5289407377862523,3
8987,gift!sooooo,-0.5267542658642537,1
8417,overflow,-0.5224647558299508,5
17507,inadequately,-0.5211944746790836,2
