,Word,Value,Freq
10362,unfortunetly,-1.0407149412289527,1
13925,exxxplode,-0.9094330933509664,1
8796,bru,-0.8691921297528387,1
3688,impromptu,-0.8285280255025309,1
13366,dyslexia,-0.8187016380300217,2
13051,sienar,-0.7774440180562615,1
9746,downer,-0.7738671781230442,3
10579,adenoids,-0.7515530591117169,1
14120,incorrect,-0.7483947035361027,7
10806,underrated,-0.7236136723513737,1
5230,fingered,-0.6855658951200674,2
9586,harmless,-0.6747316800403493,4
13492,quiet-,-0.6680332650224303,1
7823,knobsthe,-0.6526564425538877,1
7713,pluses,-0.6503399034787023,5
13823,s032,-0.645890415455979,1
11468,puzzleball,-0.6452456290396181,1
9877,dosnt,-0.6439662236079748,1
9009,gyrating,-0.59754313831117,1
7799,sluts,-0.5974411042353126,1
12116,mandalorian,-0.5973122979522743,1
13054,decepticon!soundwave,-0.5921765137796963,1
14355,smallworld,-0.5915312028436599,1
11093,"thing,,its",-0.5908594316145184,1
5337,below)*slightly,-0.5901455104856903,1
9328,freakishly,-0.5881668837844408,2
9860,2-stars,-0.5846133416663929,2
10190,consisting,-0.5839474873109011,4
10704,yeaaaaaaaaaaa,-0.5747778487772935,1
6845,buuuuut,-0.5746863373496984,1
13959,lieu,-0.5718068689918013,1
8139,tablecloth,-0.5633604143532603,3
4555,shavings,-0.5595590171331988,5
8666,lenient,-0.5564793911350174,1
1604,thunk,-0.5549438961656297,2
11854,faux,-0.5534375888983089,7
2767,imprinted,-0.5484474344313837,3
13829,solderless,-0.5415203427194463,1
12822,coolness,-0.5396908555544924,3
5414,wrecking,-0.5319655966347492,3
14050,4.5yr,-0.5310925349017109,1
13703,fanciful,-0.5269968721682998,1
13031,thinkgeek.com,-0.5245219016251602,1
10322,finanlly,-0.5244750371137473,1
659,abound,-0.5230321893699729,2
139,donated,-0.5212522047937853,9
10859,freezing,-0.5204834023705048,11
13324,ankles,-0.5177753926869985,9
13221,noticeably,-0.5109921890036524,7
13095,own!it,-0.5086491221112985,1
11768,ar,-0.5065984201821679,2
11750,shrieked,-0.5049362821578328,1
10171,fi,-0.5002429444900294,9
14303,eyelashes,-0.4992112188309126,2
11894,centerpiece,-0.49792831599353315,5
8985,peacock,-0.49478195350511556,3
10903,chomping,-0.49315955248313054,5
5680,5-star,-0.492259578307131,10
14278,plusdirections,-0.48573648395845254,1
10861,ooooed,-0.4845588768846236,1
12107,divided,-0.48420272823754335,2
11559,scheduled,-0.4739577698716791,2
4614,barley,-0.4735006139454385,2
7579,positivie,-0.46696773407667724,1
5180,martini,-0.463800709776796,1
13237,itgreat,-0.46271192385251947,1
5373,osha,-0.4600114927976998,1
13868,roars,-0.4585044699546922,4
13684,nonna,-0.4528726241437255,1
13971,12-year,-0.44819137163362976,2
12246,bumble,-0.445764212946436,1
13588,1940s,-0.44315979908014647,1
11252,bohnanza,-0.4403002687533983,3
10711,dragged,-0.43995611256000483,4
5978,diffcult,-0.4391583311984155,1
12022,enteratined,-0.4356088905226507,1
12713,appreciates,-0.4347769227270954,3
2967,backlash,-0.43020353845593584,2
7529,playingthe,-0.42867297924201103,1
13464,collectionhe,-0.42571993549098586,1
11545,wrong?this,-0.42461154401716217,1
13425,clap,-0.42383119825293003,3
12684,passion,-0.42374476533058464,4
11035,fea,-0.42339574273944974,1
14021,coper,-0.4228649477713632,1
3915,"receiver,(mother",-0.4228515949144689,1
13592,overheard,-0.4220009001405554,1
11732,innocent,-0.41670298101694675,4
6241,guzzling,-0.41159626858928217,2
12834,dimensions!i,-0.41112498919325824,1
7224,6/1/2013,-0.41100256180760486,1
10821,softest,-0.4064255297489585,1
874,toplay,-0.40626750978152976,1
8784,vacated,-0.40540167357000456,1
8326,microcenter,-0.4048944819024908,1
1321,eb@y,-0.4048776661862559,1
6777,3&5,-0.40421307448502,1
13690,bratzillaz,-0.40380482009879176,2
13364,go(ravensburger,-0.4022638557476568,1
2314,gingerbread,-0.40179185891673097,2
5954,satisfy,-0.4005579099023409,4
7342,mouthed,-0.39936075385829056,5
14014,we've,-0.3970591130442531,4
6965,hassling,-0.39599532452353176,1
5247,shieldcons,-0.3957689129301207,1
8183,spammed,-0.3955250924077029,1
12248,lves,-0.395082259683492,1
14262,downsized,-0.3933407008028889,1
12270,-price,-0.3921053167283206,1
13139,realistically,-0.3920333738526192,7
6912,understandably,-0.39067606836997615,1
14202,11th,-0.3882678771506157,2
8762,minuscule,-0.38780540091389615,3
11496,shuts,-0.38694480148449395,16
13902,"9,000,000",-0.3862801528495864,1
11931,toothless,-0.3856253333163672,6
9794,accident,-0.38402514110446245,10
13929,shrinking,-0.3799188685524767,2
8103,replayability,-0.37971878398622805,5
1071,crawled,-0.37880557960844136,4
3318,retracting,-0.37796416672342903,1
5327,mysteries,-0.3751374715673813,2
12305,cursor,-0.37455375525241424,1
10874,kinder,-0.37282153646640015,3
9833,minivan,-0.3725221580079071,2
7367,grasshopper,-0.3702230187295355,4
9832,hahahaha!ok,-0.3694717041358503,1
708,2-wheel,-0.3689256095160896,1
13640,lesser,-0.36758018685432187,7
12520,reversed,-0.3672330252031881,5
11027,clopped,-0.3663018721304356,1
10059,russia,-0.3662365612915716,2
7387,tarts,-0.3643956098339906,1
13498,spacious,-0.364208593053491,4
11727,clanky,-0.3641064606362042,1
7463,lol!)so,-0.3623024515341704,1
10747,ravensburg,-0.3606439742113574,1
7189,marshmallow,-0.3575328600342363,2
14187,tucking,-0.3570150993088953,1
10273,it.me,-0.35675775305481805,1
7408,premier,-0.3552595456122719,2
5491,awkwardly,-0.3551900553376204,10
5702,here?-putty,-0.35513243414922735,1
13864,foil,-0.35435187804458007,3
9399,outgrown,-0.3539811425052763,8
8714,"5,7,9",-0.3525220960481435,1
14204,hairdresser,-0.3523730889286434,2
14289,evil,-0.35096089526458174,18
14081,recognizes,-0.35034539562333233,2
3579,increasingly,-0.3501982767558638,7
3082,avoided,-0.34997231234313203,5
1022,pictured--,-0.34792434995579774,1
12409,gimmicky,-0.3457083283742953,7
9156,borning,-0.34548481947394805,1
4636,sucking,-0.3443863545445851,9
11464,12/19/2008,-0.3435249882300843,1
12388,picaso,-0.34183288726936745,1
5421,meaples,-0.34117392191039425,1
14131,agonized,-0.3399780595270073,1
11346,visitng,-0.3395410013383046,1
7335,prevent,-0.33943069081906696,33
13549,splits,-0.33938112528638975,3
12801,thisi,-0.33937358899109366,1
1908,below):so,-0.33913196045938365,1
11122,ans,-0.33875123176542776,2
12803,25-month,-0.33825923136582636,1
6926,icy,-0.3374901768644101,4
4136,tension,-0.33726498322894854,10
8053,mushroom,-0.33668359872890735,4
9065,enemy,-0.3364018086080755,10
3857,microscopes,-0.33574975443565797,4
624,lagoon,-0.3343259444870468,1
7622,potentially,-0.33421612859467886,16
9755,1/12,-0.33394368637970595,1
4182,shallower,-0.33313662414521694,1
12068,hehe,-0.33276014745688653,2
12639,travelled,-0.3322828405551331,1
