,Word,Value,Freq
9673,@thereal1_smity,-1.9026616205607434,1
17466,belatedbirthdaybliss,-1.7734697367083434,1
3954,@aaron_coook,-1.5940767992811733,1
19783,@gpurks,-1.5425037421459846,1
16719,@jsabatka,-1.4211399843025627,1
9422,wotless,-1.333498343540551,1
10059,@samosa_n_soup,-1.2748611520647823,1
2919,@yasaikatsucurry,-1.1904855433361834,1
13484,@daniellewalkerx,-1.1740056563131271,1
12031,@gdungan3008,-1.1683639053808113,1
9142,@lucyfur1980,-1.1298114685113783,1
13708,â€œ@castrodestroyer,-1.1122545579200178,1
19484,@bethkatemiller,-1.107033778923713,1
15475,@l_kesler,-1.0993964432309624,1
17945,@msmallory2012,-1.0944109753834268,1
9188,@_urmainblondiee,-1.093531290262582,1
821,@lisashoshana,-1.091308119894802,1
18509,@maddieaustin45,-1.0797857301158842,1
5644,@i_am_hollywood,-1.079488070379602,1
19779,morestuffithoughtwouldneverhappenagain,-1.069137398042727,1
19226,@alicearnold1,-1.0640677415820372,1
2378,@britneyspears,-1.0605349863895306,1
6157,@tara23x0,-1.042553358234153,1
3193,@nbadailydose,-1.04126392548909,1
2079,@shreyaghoshal,-1.0395079045753592,1
12026,horrendous,-1.0349367536750296,1
12275,@bigbigben,-1.0309390486039276,1
19356,@thatboyjuice32,-1.030889350630854,1
9575,soexcited,-1.0205804969138335,1
18705,@kelllay415,-1.0205285394876933,1
15449,@frankie_rf,-1.0188961916121502,1
15314,topless,-1.0044954379453177,1
1317,playaaaaaa,-1.0010446914760265,1
10297,@hannahmckown,-0.9968594967971076,1
1543,@lindsay_mathers,-0.9877930769747267,1
15004,@taylor_condon,-0.9822329036911097,1
19661,@alexis_a15,-0.9805599680324351,1
4351,â€¢,-0.969272212335666,1
11847,@graemecole74,-0.9659503241874748,1
14382,@emmado89,-0.9650396864064189,1
12864,@imsofuqinawesum,-0.963174281483193,1
11487,frequent,-0.9616400103409046,1
13644,tuf,-0.9553911240848567,1
16813,hiiiiii,-0.9530563175310304,1
4333,@mr_rich_tycoon,-0.9508504297802485,1
15678,@fear_in_words,-0.9465252093355583,1
3913,ewah,-0.9415032727080979,1
16727,@southernrailuk,-0.9255015662622992,1
6849,soulja,-0.920910656540798,1
9684,matchday,-0.9155717275708549,1
8955,favoritesweaters,-0.9152524414734612,1
11884,woohooo,-0.9141786863306468,1
8511,@will_i_am81,-0.9139453038464473,1
16621,@jiwan23,-0.9120591284264736,1
13851,nan,-0.9104660897740364,1
5854,@iamdatbody,-0.908342777387053,1
8583,@k_slaugh_xoxo,-0.9073712271569796,1
14087,nwexpatriates,-0.896207296081382,1
13376,@frankeene,-0.8932624015890627,1
19450,@ski24_7,-0.8927023223573828,1
10654,extraslow,-0.8897718841886044,1
10733,teri,-0.8859572606205984,1
18386,mineeee,-0.8844484001737654,1
9992,@m_della,-0.8803998788600916,1
14260,carefree,-0.8582845810850435,1
18372,hehehehehheheheheheh,-0.8555314748146472,1
7550,timmies,-0.8554524657968038,1
7429,@alexawhipple,-0.8544604204927646,1
16238,@cristinaaa,-0.850033889886951,1
15733,@pinkferrari_kay,-0.8475985973695179,1
18954,raps,-0.8452525578966663,1
19474,@braidstuga,-0.83374994626268,1
2487,youregettingfivepages,-0.8316541104732357,1
16811,b'day,-0.8302113542583399,1
5860,@caroline_heavey,-0.8266561764634236,1
16808,kryptonizing,-0.8262863616499333,1
11385,â€œ@kickn_itwkam,-0.826172247172675,1
16548,birthdays,-0.8208470890219713,1
18401,whoooooaaaa,-0.8196130809303729,1
19455,undercooked,-0.81595899171794,1
11740,sacking,-0.8033912006030353,1
13472,@patrickk1964,-0.8009994251921433,1
9691,@suga_town69,-0.7991649829577703,1
14915,@cityyeardetroit,-0.7933936742050391,1
17303,departs,-0.79322106428177,1
14973,fastforward,-0.7927312619343478,1
17161,@beccaramirezzz,-0.7905029446852474,1
7753,@alongcameandrea,-0.7896092961035446,1
13625,@love_awaken,-0.7881308243030668,1
19238,busyassin,-0.7879959152813919,1
9559,yousoundstupid,-0.7863410514478177,1
16148,@firstdogonmoon,-0.7853490241408667,1
19758,snnnnoooooowwww,-0.7850982929729524,1
9269,@phoebedykstra,-0.7846423689286491,1
14800,@emilycsykes,-0.7828386267084315,1
2756,fatima,-0.7816021684995562,1
19345,mozzarella,-0.7780939628984894,1
16396,cooldude,-0.7765749941545967,1
7108,freezinghands,-0.775438618629817,1
16141,22nd,-0.7724094458752262,1
1072,muted,-0.7718741276936901,1
19186,@lanimalu,-0.7704604162291,1
15331,@caoimhesuipeil,-0.7628030557782923,1
16423,@theofficialyule,-0.7624641330417192,1
18247,@radley_londonâ€,-0.7614585055181281,1
3899,@mtnng,-0.7594702260858783,1
5998,@shineadhusband,-0.7589656638770808,1
18348,hoodwinked2,-0.7547317968898116,1
5834,@tomthebomb16,-0.7489127277642749,1
18074,@domesticmumma,-0.7467093296816539,1
12261,happybdaytome,-0.7450692843673905,1
17875,ocado,-0.743743633616841,1
9926,homme,-0.7433349042484423,1
20014,blindsided,-0.743248653703796,1
7939,eternity,-0.7424395991335284,1
17901,@chiseledcheeks,-0.7385569884002304,1
19166,@brynnixbeex3,-0.7373323463320156,1
12634,every1s,-0.7320634630780997,1
18153,capp,-0.7307939613897378,1
8496,@chrisbsharp,-0.7306114759443283,1
19475,archenemy,-0.729689009394804,1
15419,couldbeworsethough,-0.7284071511358499,1
2359,pry,-0.7210413096562482,1
14263,eyeful,-0.7205626174864573,1
17883,everytrickinthebook,-0.7191594188309844,1
6602,@madiiyoungg,-0.7174788636661961,1
4898,@lchase_ra,-0.7165101079629181,1
5173,introduction,-0.7155417546877773,1
12104,nearby,-0.7146958704643258,1
13942,removal,-0.71427347969664,2
5166,fiesta,-0.7133950449421119,1
9274,@kurtscobiemusic,-0.7133564170313716,1
19149,ssradio,-0.7116207144744213,1
8910,undefined,-0.710557883968609,1
18661,aspects,-0.7099615607142538,1
16377,k.d,-0.7068529332916629,1
13938,freakinh,-0.7031790247025906,1
16684,@cravemith0ughts,-0.7020101982748852,1
17319,dawson,-0.6979435870534851,1
19948,@theantonioneves,-0.6955267694686093,1
6856,^.^,-0.6948041784609728,1
19193,@catherinee1d,-0.6947352615473956,1
8400,-never,-0.6943334362380278,1
18369,imdeadmeat,-0.694213140563881,1
17834,@henryrollins,-0.6939831468825555,1
14394,raisin,-0.6921017519192136,1
19822,dumbasses,-0.6916428279035367,1
18500,â€œ@msun4gettable1,-0.6905254780531944,1
7306,@samia_tahir,-0.6877348080721005,1
2371,compared,-0.6874016303979186,1
15325,aaaaahhhhh,-0.6861891202264087,1
16635,@attitudepolice,-0.6854451220850443,1
16421,@therealt57,-0.6823158189303988,1
8591,driest,-0.6803948991827156,1
17421,deschenel,-0.6797025927992315,1
3389,@suzannembakker,-0.6795003129529237,1
9262,even.~horace,-0.6785986096719883,1
17861,ocu,-0.6773123570140052,1
15460,additions,-0.6765700331194452,1
15464,@nickybelardo,-0.6756600948257275,1
14049,endureth,-0.6722046729049239,1
16591,@marissamccorkel,-0.6714281468016063,1
8078,â€œ@morr_ell6,-0.6709814745945332,1
17706,13yo,-0.6695955193666585,1
8436,unrepairable,-0.6683141678803118,1
10640,dayy,-0.667914142624387,1
16767,tree.division,-0.667511664784796,1
