,Word,Value,Freq
5369,sadlife,-1.3099085747931012,1
8835,@christinaperri,-1.0430486823353713,1
1746,@dntdome_1490,-1.0369436510512917,1
8163,carless,-1.0354314126998752,1
9572,@dozin4dayz,-0.973785828411263,1
617,getmeoutofcleveland,-0.9617867637067056,1
3456,gonnagetkilled,-0.9247368099946919,1
3643,wontmissmetro,-0.9079564842963874,1
8166,@davidsanbornn,-0.8445433392643406,1
4417,"choice""jonathan",-0.8236340549423151,1
6139,*2b,-0.8134789624104064,1
4275,@brefoster25,-0.811709242340318,1
7290,cocky,-0.799132459219841,1
6265,@scottjenkins1,-0.7886604512994727,1
3394,@jennalainebucs,-0.7826976074935834,1
9637,@dark_barcelona,-0.7742612379657606,1
11186,@_lillybug,-0.7706344932937248,1
7360,@mikkyjimenez,-0.7698626046588,1
11294,justwantapurebernie,-0.7659434447987482,1
1251,@_rpayne,-0.7400406437294542,1
4285,fallinghard,-0.7332475912166099,1
1694,@taylorelyse12,-0.7314973502077404,1
9753,@stampedeblue,-0.730765448171537,1
6524,crazyshit,-0.7041201858199297,1
6516,refusing,-0.6960860945416076,1
2295,rapist,-0.6936179031786882,1
1519,sketchy,-0.6848617622079496,1
4265,home-,-0.6813055544947456,1
5016,problemsolved,-0.6803737906096905,1
9238,premiers,-0.6757660520614823,1
1124,chewed,-0.6693592570077094,1
5199,@chris_radford,-0.6647381689347813,1
5288,@adambarringer,-0.6586236501820834,1
7964,damnyougravity,-0.6552987087966778,1
10272,itsokaytoshit&read,-0.6542648534371992,1
5569,@virtueous_woman,-0.6500722754574746,1
4064,cantwait,-0.6448133043871273,1
5945,itspayday,-0.6432454662954451,1
4871,yesimpetty,-0.6358127331198616,1
5608,secondthoughts,-0.6339567994292234,1
7148,selfloathing,-0.6328107441827266,1
5614,motivationfail,-0.6311261641187226,1
9592,remeber,-0.629866475193733,1
8753,@itslaneyj,-0.6272336226916584,1
1506,@andyj82294,-0.6261346278709575,1
5321,schooool,-0.6222278606894058,1
7893,itllbeworthitwhensheseesit,-0.6183353930156466,1
1436,@erinn_liz,-0.6177546744564328,1
5663,ipaded,-0.6175807693209631,1
11241,sobered,-0.6122071240997027,1
4827,@biblicious,-0.6111692765700674,1
2164,@bestworstadvice,-0.6101354820399323,2
5961,domorethanjustsurvive,-0.6064817299848584,1
8436,10:30am,-0.6014718668338888,1
7528,a27,-0.5995952334328498,1
1362,@theweekndxo,-0.598429540928439,1
5615,gag,-0.5940774440312405,1
2310,lileaboss,-0.5924063627288796,1
7538,hateschool,-0.5881575135416441,1
1374,previously,-0.5871908586319821,2
11689,@steelcityknight,-0.5806628025933442,1
4400,b.joel,-0.5793428854819827,1
1357,ug,-0.5779067504933206,2
4343,@nicolegamo,-0.5749808551797555,1
692,@kelly_surfer,-0.5742665676335339,1
2165,@clairecater1,-0.574111141252885,1
5792,hurray,-0.5733776197424575,1
10517,napsss,-0.5724971981536744,1
5141,blahblah,-0.5708502955397485,1
6166,@jtpierson3,-0.5706743443680442,1
10095,forehead,-0.5661953831104698,1
9685,mmmmm,-0.5633761713272405,1
