,Word,Value,Freq
8017,kajshkajlhdskljhska,-1.24462284420132,1
10640,nerf,-1.2203695022651304,1
9703,info@jamiesgourmet.com.au,-1.1531418099051303,1
8528,@sambate1,-1.1015783768602505,1
8193,byonce.love,-1.1010660997072717,1
2602,schooool,-1.1005893592173546,1
5728,@cluman011,-1.0720676081964062,1
7992,hardest,-0.996166513841732,1
5213,littlegirlinsideme,-0.9702754120290524,1
8693,nuvvila,-0.9613814493810717,1
1168,fingeeerr,-0.949674092514128,1
5804,thiswillbetough,-0.9416659467171826,1
10069,farewell,-0.9352919545900498,1
10057,heowesmeacarwash,-0.9123052397943325,1
6596,nooooooo,-0.8969317020181847,1
7034,@tru2mi_religion,-0.8586509794767883,1
8014,@fatalfellow,-0.8529269604707873,1
8116,@drewryniewicz,-0.8337081599560925,1
9786,@imjillian,-0.8124965530651058,1
10207,iworkout,-0.7997471295439456,1
6524,@rachcav,-0.7901561545910454,1
9718,psychiatry,-0.7894474030023623,1
10382,@djeclyps,-0.7846427888204212,1
8499,@cammay23,-0.7776784060053885,1
6202,potomac,-0.7707170409601535,1
10813,survey,-0.7670137251114298,1
6953,susucki,-0.7665664182269823,1
5370,@ashelysmashley,-0.7635930892284253,1
7370,snap,-0.763144629910683,1
9328,laundryday,-0.7564563110733787,1
8463,maximus,-0.7503947668031377,1
8901,ohheymom,-0.7392692097828901,1
9050,@thesammcatee,-0.7345160952324131,1
10332,aaaaahh,-0.7287982571883684,1
10934,roomieproblems,-0.7264254983220306,1
4382,hoodwinked2,-0.7230166049154443,1
9557,bestfriends,-0.7214346659144715,1
8013,transcripts,-0.7212679348969302,1
10333,seã±orita,-0.7118393951733304,1
7143,weareeverywhere,-0.7104214692746046,1
3848,jazzed,-0.7044762965436963,1
5385,toliet,-0.702122467751759,1
1288,efo,-0.7017713085399244,1
9807,quitfuckingaround,-0.6967033610377062,1
9389,yousoundstupid,-0.6807036403295659,1
8188,penises,-0.6743395486906207,1
9965,owlishcatwoes,-0.6734934538708549,1
5115,@david_swyers,-0.6716132987466421,1
6388,iamblessed,-0.6715822765208982,1
6483,@brookecrain32,-0.6691093586363228,1
8978,spontaniousplanning,-0.6686213388651238,1
11121,sexayyyy,-0.6610048423891567,1
6086,recommended,-0.6557208467222844,1
5976,thalivan,-0.6528431397785892,1
9085,@thedylanholland,-0.6494775979005463,1
566,ronnie,-0.6491186308963861,1
8742,pigeon,-0.6420963319178963,1
9963,object,-0.6416118466053246,1
2394,organ,-0.6361023987274996,1
5553,farts,-0.6358701465213876,1
9429,spanner,-0.6356697514298367,1
3859,pickers,-0.6345920625735685,1
8245,stillsopumped,-0.6340300252409562,1
9879,@leasantoss,-0.6328626482160178,1
10151,forsomebodyelse,-0.631674654481938,1
7833,jeesh,-0.626242528728371,1
789,background-,-0.6256189699306653,1
1770,@kimwalkersmith,-0.6235698484816485,1
7800,kitchenstoveshit,-0.6234615298169535,1
6626,@rhoadswisdom,-0.6168472137104136,1
8334,skegness,-0.6156938890118935,1
8802,a&m,-0.6144567476819744,1
3486,dominate,-0.6107214944935759,1
6636,cooler,-0.60985071153377,1
2522,@niaphillips1,-0.6094546610555398,1
4992,chocolateygoodness,-0.6053376379529535,1
8697,eliminated,-0.6050923196760506,1
8649,6th,-0.6043894477451308,1
10475,sunburn,-0.6000794206364819,1
7901,@joeyribbens,-0.598630040819522,1
9857,reenactor,-0.5955329980320407,1
7987,t'as,-0.5892906100141031,1
10749,macadamias,-0.5850580785671624,1
1157,ale,-0.5850402614264629,1
10165,arguement,-0.5835078959250067,1
7596,boardwalkempire,-0.5813686788891322,1
10755,@alexraeart,-0.5807900498631863,1
8317,@lastroke,-0.5807737186085421,1
9675,bestsisteraward,-0.5756254574260311,1
10098,homecoming,-0.5756158780256939,1
9082,nobeerforyou,-0.5709715857126209,1
5017,gloriousthanksgivingvacation,-0.5674740241767884,1
9516,preston,-0.5663866428848644,1
3221,guelph,-0.5655909477912843,1
10346,titans,-0.5645361249654187,1
8224,@fabloj,-0.5636625334343048,1
10583,@kaymounce,-0.5623074925222621,1
9354,@robsenecal,-0.558913589659009,1
9287,wobble,-0.5584450647374124,1
217,skins,-0.5579608587149673,1
8206,pharma,-0.5575082442868856,1
4736,whatsactuallyimportant,-0.5572116636016391,1
4693,maobane,-0.5569410671743115,1
10120,chalking,-0.5555947037057902,1
7860,munching,-0.5528790548280369,1
4892,land!must,-0.5528009375547447,1
3809,mug,-0.552562182021022,2
4975,idratherbesleeping,-0.5516278019943499,1
4333,~0.798765,-0.5477712015553203,1
7095,familyforlife,-0.5462286912057408,1
10274,travel,-0.5396232388072674,1
7422,@dhester10,-0.5390165354717655,1
