,Word,Value,Freq
12175,red.<br,-11.392086625099182,1
14373,pathetic,-10.901884078979492,3
4398,unclear,-8.272700309753418,3
8249,news/,-3.5848785042762756,1
3289,failed,-3.476100468635559,20
11116,ruined,-3.383322303945368,22
17114,recipients,-3.0023746490478516,1
6744,boring,-2.790296220779419,20
8245,comparably,-2.7138720750808716,1
5665,dishearting,-2.51315975189209,1
17632,flares,-2.497466802597046,1
11308,evinced,-2.422240734100342,1
17244,mucous,-2.404810667037964,1
17245,parasites,-1.4236679077148438,1
7634,doctors,-1.3322243690490723,3
14067,ordinary.<br,-1.170191764831543,5
11309,stink,-1.160536766052246,1
2663,lost,-1.1172663810405326,47
6385,irritating,-1.064148743947347,18
14029,reject,-1.0477075576782227,1
6443,contiune,-1.04644775390625,1
11909,scorch,-1.0338072776794434,1
1121,dosn't,-1.0105962753295898,1
8006,solved.<br,-1.0081541538238525,1
17773,tangible,-0.9280834197998047,1
4505,attention.<br,-0.8881549835205078,2
8650,rebooting,-0.8480629920959473,1
14338,wrong!!!<br,-0.8436169624328613,3
3204,emptying,-0.8409652709960938,1
17633,oozing,-0.8295509219169617,2
1059,cant,-0.8107137680053711,1
13762,seperate,-0.800532341003418,1
12174,kicked,-0.7987410426139832,2
4026,lollies,-0.7544155120849609,2
12671,reconsider,-0.7320692198617118,7
16098,unimpressive,-0.722408652305603,8
6952,unedible,-0.7182808262961251,7
514,disappointed,-0.7142971355303199,565
17631,eczema,-0.7051023244857788,1
11784,invention,-0.6669869422912598,1
8651,defragging,-0.6635622978210449,1
2019,weak,-0.6585474342682474,363
11304,instructed,-0.6464939117431641,1
7968,initally,-0.6438407897949219,1
1423,none,-0.6402509554130275,164
4030,tastiest,-0.6372321248054504,8
4469,ice.<br,-0.6030483245849609,1
8585,restores,-0.5915732383728027,1
4814,cheated,-0.5902104377746582,8
8782,/>good,-0.5869873591831752,7
4716,puddle,-0.5670909881591797,1
1119,carbou,-0.564410924911499,2
8649,sworn,-0.5622391700744629,1
3271,awful,-0.5551983222220708,206
15503,esque,-0.5528907775878906,4
15504,bonanza,-0.5528907775878906,4
17424,gluttonous,-0.5280938148498535,1
15963,sours,-0.5144014358520508,1
9618,sf,-0.5091944138209025,3
4997,midnight,-0.506285285949707,5
15871,dealer,-0.5050806999206543,1
6948,error,-0.5017994917356051,13
8582,anywhere.<br,-0.49830198287963867,1
1888,bottom,-0.4979035697297422,167
11710,arrival.)<br,-0.45925092697143555,4
16184,ignores,-0.45195865631103516,1
11249,soot,-0.44930076599121094,2
4485,returning,-0.4157078680784806,46
14030,attacked,-0.411287784576416,2
11964,dieters,-0.4049263000488281,1
13763,organically,-0.40286993980407715,2
8693,nauseating,-0.40265973409016925,3
13123,880,-0.40027332305908203,1
18062,shame!<br,-0.38750410079956055,1
6006,/>cons:<br,-0.385800043741862,3
4215,neither,-0.3839106559753418,54
6653,infact,-0.37666916847229004,2
11252,coal,-0.37334728240966797,1
10607,announcement,-0.3699169158935547,1
15964,trippy,-0.36699581146240234,1
1250,terrible,-0.3660435369699308,202
4540,fat--,-0.3638315200805664,1
16058,unenjoyable.<br,-0.3629875183105469,2
11251,lump,-0.3607168197631836,1
9452,/>sensible,-0.3593125343322754,1
11306,catties,-0.3590383529663086,1
11741,elastic,-0.35411643981933594,1
2717,worse,-0.34928544508207826,109
16006,nibblies,-0.3483395576477051,3
5049,crack.<br,-0.3481149673461914,1
10565,sunchy,-0.3475074768066406,1
15269,coon,-0.33954668045043945,1
4468,stinks,-0.33941241673060824,7
6504,idiocy,-0.335935115814209,1
9140,liege,-0.3359031677246094,1
10897,/>terrible,-0.3329763412475586,4
5672,premise,-0.33243560791015625,1
6439,hype,-0.3248279094696045,14
17638,/>damaged,-0.31358879804611206,1
10265,awful.<br,-0.3124828338623047,3
10819,repellant,-0.3082575798034668,1
10944,crockpot,-0.30808305740356445,1
8005,gobbles,-0.3046887516975403,8
9731,fascists,-0.3046231269836426,1
5952,suck,-0.3020082513491313,24
2093,throwing,-0.30104142005997475,99
3993,unfolded,-0.3006401062011719,1
4500,cups.<br,-0.2986188368363814,11
13688,splatter,-0.29665517807006836,1
11256,guards,-0.2958059310913086,1
14987,ridculously,-0.29510021209716797,1
1530,sounds,-0.2878830790519714,40
15208,oreos.<br,-0.2852177619934082,1
4499,quests,-0.28464412689208984,2
11191,unpleant,-0.28286123275756836,3
8246,enthusiastic,-0.27603307366371155,4
492,disappointing,-0.2754351298014323,189
8629,lychee,-0.2730107307434082,2
2150,flat.<br,-0.2699093818664551,1
8478,nuking,-0.2694706916809082,1
6335,presence,-0.2693432399204799,7
9178,porty,-0.26737308502197266,1
16798,only.<br,-0.26626157760620117,1
13759,alimentum,-0.26555728912353516,2
1339,22.00,-0.26535463333129883,1
10353,differs,-0.2605862617492676,1
4191,wantned,-0.259429931640625,1
1123,cassify,-0.2591400146484375,1
11523,live.<br,-0.25876784324645996,2
14721,missing.<br,-0.2583441734313965,1
14243,alergia,-0.25656557083129883,1
1167,invest,-0.2558603286743164,1
2429,flavors:<br,-0.2552480697631836,1
9200,hurts,-0.25485777854919434,8
823,wellness,-0.25098661505259,52
11064,unacceptable,-0.2489165418288287,17
3848,ecstatic,-0.24209146499633788,5
15966,lever,-0.23987364768981934,2
3854,touted,-0.23708422978719076,3
18329,glues,-0.2335658073425293,1
10258,disaster,-0.22836341857910156,5
10779,impressions,-0.22810053825378418,2
12944,pronounceable,-0.22777962684631348,2
1603,tootsie,-0.22722660411487927,11
11305,foods-,-0.22485685348510742,1
9285,/>before,-0.22423283259073892,3
17111,2.69,-0.22370100021362305,4
7429,entirely,-0.2219947076612903,31
9132,supervised,-0.22126007080078125,1
9930,accept.<br,-0.21848154067993164,1
9042,existing,-0.21345526831490652,7
9967,emitted,-0.21324586868286133,1
14221,sojo,-0.21158647537231445,8
17112,32.28,-0.20778656005859375,4
4494,horrible,-0.20289284196393242,232
17793,nuanced,-0.1979532241821289,1
3995,unbent,-0.19775629043579102,1
2114,leak,-0.19667898813883464,30
16008,disappointed!<br,-0.19654560089111328,3
6441,finished,-0.19597595532735188,30
2072,11.33,-0.19573307037353516,7
4467,astronaut,-0.1955547332763672,2
11978,so.there,-0.19536924362182617,4
11907,similarity,-0.1945199966430664,1
12640,bottling,-0.19391727447509766,6
6503,flagging,-0.19336462020874023,1
9997,porridge,-0.19304418563842773,1
10600,zola,-0.19135665893554688,1
12087,66-too,-0.19037437438964844,1
178,not,-0.18853498218088055,7692
12467,mcdonald,-0.18721580505371094,1
9322,breakage,-0.18685833613077799,3
7799,wipes,-0.18654870986938477,1
781,opener,-0.18470386664072672,12
11238,wastefulness.<br,-0.18468952178955078,1
3298,tasteless,-0.18424215624409337,93
509,inconvenient,-0.1837940216064453,6
15397,kashi,-0.1804080605506897,4
6411,flawless,-0.17986059188842773,3
14986,tastely,-0.17871856689453125,1
