,Word,Value,Freq
11381,lackluster,-8.687257766723633,18
7278,drawbacks,-7.324629147847493,15
8317,dumb,-6.678440626929788,17
17214,stink,-4.873954772949219,16
4947,cleaning,-4.273550226881698,37
3023,uninterested,-4.128949271308051,9
16631,deter,-3.430295467376709,2
16630,slumped,-3.379218101501465,1
10910,plasticky,-3.040266513824463,1
5013,dislike,-2.70572392836861,23
10909,slim,-2.611003875732422,3
2255,regret,-2.337563082856952,53
7211,misleading,-2.2712206495435616,76
10877,blur,-1.9938843250274658,1
10878,faves,-1.4005931615829468,2
1845,awful,-1.2712831609389361,85
836,issue,-1.113014622851535,111
12446,dissatisfied,-0.9380852755378274,17
1107,pass,-0.8282760116789076,108
9310,bother!other,-0.8212757110595703,1
6739,crummy,-0.8176217079162598,1
1512,disappointed,-0.8128460231206275,604
3673,poor,-0.7929407028441734,188
1842,rid,-0.7873049736022949,60
5991,rubbish,-0.7871181086490029,19
7298,stairs,-0.7719129531279855,46
1618,description,-0.7655552357577822,209
8118,contruction,-0.7406492233276367,1
1441,bad,-0.7282790740331014,324
702,boring,-0.7014685602330449,268
8582,reeks,-0.6815290451049805,1
8993,annoyed,-0.6557447770062614,17
13877,putthis,-0.6451361179351807,1
2996,disappointment,-0.604308348435622,156
1170,poorly,-0.595456820467244,184
6617,untied,-0.5718747774759928,3
7118,ignores,-0.5511462688446045,2
8119,hazzard,-0.5189981460571289,1
14917,itcons,-0.5179629325866699,1
2321,waste,-0.5022306873684838,420
1876,lousy,-0.49097347259521484,21
10911,kazoo,-0.4861454963684082,1
11414,invalid,-0.4530048370361328,1
13875,theround,-0.4447617530822754,1
8535,laughable,-0.431551456451416,12
7127,falsely,-0.4267444610595703,1
1796,broke,-0.40500938696939437,244
1103,started,-0.4049975424216538,378
11134,compare.1,-0.4029879570007324,1
6104,blah,-0.4006437133340275,17
151,not,-0.3970022204770442,8298
5392,disregard,-0.38587161898612976,4
10897,brittle,-0.38309383392333984,1
5054,outlandish,-0.3750199794769287,10
2566,drawback,-0.35747002363204955,40
17327,disclosed,-0.350308895111084,1
16357,unusally,-0.3491172790527344,1
5963,ugh,-0.34422059212961503,31
8701,rigamarole,-0.34354937076568604,2
12689,beef,-0.3382415771484375,1
3035,bored,-0.3375473533357893,308
6768,enjoys.on,-0.3227977752685547,16
14505,ouch,-0.3220260739326477,16
15949,bad2,-0.3186931610107422,16
11472,pealing,-0.3140559196472168,1
5498,limited,-0.31161409011785535,69
11098,indicator,-0.30797886848449707,1
9894,years.-silly,-0.30556583404541016,1
11417,engineered,-0.30379700660705566,3
8801,cringe,-0.2991368220402644,13
10482,bummed,-0.28762299926192675,27
13513,harmless,-0.2830772399902344,1
17803,pathetic,-0.2770237922668457,1
12057,shroud,-0.2700839042663574,1
2316,problem,-0.2645010035821247,554
17338,nurse,-0.2618557810783386,1
17331,lied,-0.26183682680130005,1
7479,scam,-0.257360904447494,31
708,nothing,-0.25288584884801135,581
16564,34;correct&#34,-0.2514939308166504,1
12000,boom,-0.24193167686462402,2
11848,disaster,-0.2417562206586202,24
16153,wincharacters,-0.23919343948364258,1
8585,backrest,-0.2359938621520996,1
17528,pales,-0.23523569107055664,1
12058,sheloved,-0.23312759399414062,1
27,nt,-0.22629119410659326,429
1327,useless,-0.22426275106576773,104
11694,arrow,-0.2230441371599833,6
2338,dissapointed,-0.22273131211598715,6
5555,stunk,-0.22264489005593693,17
14151,dismays,-0.22205495834350586,1
7878,tab,-0.21581882238388062,4
5530,returned,-0.21559692288304236,222
4151,nice)set,-0.20996332168579102,1
3842,unusable,-0.20981255918741226,32
13346,pokes,-0.20955467224121094,1
15456,furious,-0.20886659622192383,1
9024,1)the,-0.20830631256103516,1
10558,discontinued,-0.20439577102661133,3
11415,widening,-0.20154976844787598,1
13895,ripping,-0.19825567517961776,14
17772,minutescontents,-0.19664406776428223,1
17771,adultplaying,-0.19664406776428223,1
10454,piecesgood,-0.19258403778076172,1
5050,yea,-0.19203901290893555,1
13482,livid,-0.18920326232910156,1
12450,thefisher,-0.1864018440246582,1
17493,differentiates,-0.1774148941040039,1
7415,irritating,-0.1695575543812343,42
4717,earpieces,-0.16952836513519287,2
11008,dully,-0.16872310638427734,1
9208,blake,-0.165496826171875,3
6029,fails,-0.16468649525796214,31
16800,8yr,-0.1646590232849121,1
