,Word,Value,Freq
7055,fishy,-0.29119719564914703,1
8160,rudely,-0.2523225173354149,1
6530,wierd,-0.19084525108337402,1
5147,uneducated,-0.18948305770754814,2
7821,jocks,-0.1887461543083191,1
6981,kidnappings,-0.18873098492622375,1
6494,barinsky,-0.18352055549621582,1
7022,quacks,-0.18107229471206665,1
4914,perturbed,-0.18080680817365646,2
6713,traffiking,-0.179361492395401,1
7215,salley,-0.17563492059707642,1
6385,smirks,-0.17204631865024567,1
6718,shits,-0.17139510810375214,1
4777,hijacking,-0.17008785903453827,1
7119,paranoid,-0.1687709093093872,1
647,morons,-0.1662842407822609,2
4359,violate,-0.16603896021842957,1
7292,potatoes,-0.16234339773654938,1
7882,uninterested,-0.15960615128278732,1
5413,daze,-0.15915924310684204,1
1099,stipulations,-0.15633821487426758,1
7062,immunized,-0.15614806860685349,1
7420,expelled,-0.15489426255226135,2
6152,instigated,-0.15400025248527527,1
3555,embarrassing,-0.15393484383821487,2
2521,annoys,-0.1511027216911316,1
6515,timeshares,-0.14751497904459634,3
7291,couch,-0.14730288088321686,1
6961,romantically,-0.1424327790737152,1
363,supposedly,-0.13954592645168304,5
7860,ineptitude,-0.1367630660533905,1
7223,hindsight,-0.1362171769142151,1
1008,ughhh,-0.13294176012277603,1
4671,f**k,-0.13251233100891113,1
4217,nba,-0.13161268830299377,1
1639,politican,-0.1315619945526123,1
7903,suspicions,-0.1310751661658287,1
5125,swastikas,-0.13052735477685928,2
5375,amenable,-0.12832379341125488,1
7531,impressed,-0.12668056786060333,1
8297,critizice,-0.12567096948623657,1
6662,assholes,-0.12494003400206566,2
2913,gassed,-0.12458327412605286,3
4622,creeps,-0.12356603145599365,1
7880,mismanaged,-0.12267320603132248,2
2603,downplayed,-0.12215414643287659,1
3275,gasoline,-0.12134071439504623,2
5028,marea,-0.1209639310836792,1
6436,entertaining,-0.12091120332479477,1
2535,unconsionable,-0.12053275108337402,1
5128,dictator,-0.12018455564975739,1
7941,critiqued,-0.1188184916973114,1
3638,scaring,-0.11513867974281311,1
7015,arduous,-0.11487089097499847,1
2805,complicates,-0.11407840251922607,2
7348,manipulative,-0.11293749511241913,1
6964,intruders,-0.11269626021385193,1
4222,decrepit,-0.10929247736930847,1
5127,crazed,-0.10757681727409363,3
5034,behaviors,-0.10667210072278976,1
6821,opinionated,-0.1058485209941864,1
6101,colonialism,-0.10526084154844284,1
7589,defintiely,-0.10517845069989562,1
7108,profiting,-0.10492962598800659,1
8623,mismanagement,-0.10466465353965759,1
3404,foisted,-0.10417236387729645,1
6108,hazing,-0.10360532999038696,1
1818,lightheaded,-0.10264429450035095,1
2692,brainwashing,-0.10263556241989136,1
5455,tedious,-0.10164672136306763,1
7856,feminism,-0.10159297287464142,1
7390,females,-0.10080334544181824,1
7953,unnerving,-0.10080194473266602,1
7708,ahem,-0.10029420256614685,1
7232,jokingly,-0.10002647091945012,3
6775,embraces,-0.09978875517845154,1
7238,suing,-0.09973589579264323,3
5017,disgusted,-0.09939970672130585,5
7530,driest,-0.09805141389369965,1
4278,farsightedness,-0.09781399369239807,1
3245,unconcerned,-0.09654057025909424,1
7998,sucide,-0.0962226390838623,1
6042,islams,-0.0960465855896473,1
3311,caucasians,-0.09514975547790527,1
4627,backwater,-0.09454065561294556,1
4382,headlines,-0.09435448050498962,1
3814,arguments,-0.09314823150634766,1
8304,falsifying,-0.09225648641586304,2
7257,dissapointment,-0.09198785573244095,1
1682,depress,-0.09198015928268433,1
4672,p.s.,-0.09183454513549805,1
6631,racially,-0.09156602621078491,1
6668,bashed,-0.09121519327163696,1
7337,wavering,-0.09112352132797241,2
2496,foul,-0.09112285574277242,3
5042,intentions,-0.09111138433218002,1
8217,mouthed,-0.09071159362792969,1
3393,reexamined,-0.09066885709762573,1
5844,refuges,-0.09065619111061096,1
7634,vaccinate,-0.08956986665725708,1
2533,substandard,-0.08950155973434448,1
8340,allege,-0.08945685625076294,1
8006,limelight,-0.08936360478401184,1
7393,rousey,-0.08877420425415039,1
6464,tyrannical,-0.08810374140739441,1
5779,recants,-0.08793020248413086,1
6720,carelessness,-0.08720651268959045,1
7596,vultures,-0.08700954914093018,1
4902,majorly,-0.08637624979019165,1
8474,nonissue,-0.08578124642372131,1
7643,confuses,-0.08574841916561127,1
4819,banker,-0.08450860157608986,2
7594,slavery,-0.08432178199291229,2
7217,jerry,-0.08409768342971802,1
6083,picking,-0.0840771496295929,1
702,domesticated,-0.08395767211914062,1
1915,prove,-0.08355484902858734,2
5093,didn;t,-0.08326685428619385,1
7557,flags,-0.08244484663009644,1
6606,sphere,-0.08142410218715668,1
3452,hijack,-0.08068722486495972,1
6992,kindof,-0.08057768642902374,1
6424,overuse,-0.08010044693946838,1
4984,occasional,-0.0799601674079895,1
2793,raciest,-0.07978799566626549,1
8596,sensationalize,-0.07921838760375977,1
7116,bundy,-0.07920660078525543,1
2015,disoriented,-0.07885855436325073,1
1854,romantic,-0.07880482077598572,1
7480,interrogator,-0.07840478420257568,1
8302,attackers,-0.07802325487136841,1
6416,gawker,-0.07793661206960678,2
3887,recourse,-0.07758079469203949,2
5164,rry,-0.07702751457691193,1
5633,boycott,-0.07689309120178223,1
2684,rolled,-0.07666805386543274,1
8387,craziest,-0.07660293579101562,1
8499,abut,-0.07642523944377899,1
29,shitty,-0.07604299485683441,4
6099,retaliating,-0.07586610317230225,1
1631,minded,-0.0758468396961689,2
3174,disconnect,-0.07509073615074158,1
3727,sue,-0.07336667831987143,4
6719,thoughtlessness,-0.07319685816764832,1
8076,kardashians,-0.07291045784950256,1
6692,offsprings,-0.07291016355156898,1
4666,unpredictable,-0.07280047982931137,2
7239,recklessness,-0.0727226734161377,1
6517,furthermore,-0.07262614369392395,2
7218,springer,-0.07247525453567505,1
5438,delusional,-0.07240454852581024,2
8131,imitates,-0.07230693101882935,1
8563,figured,-0.0715988278388977,1
1644,civillians,-0.07119125127792358,1
3557,crazier,-0.07113513350486755,1
5757,beleive,-0.07106810808181763,1
7730,21st,-0.07104909420013428,1
7754,arsons,-0.07096973061561584,1
8543,vigor,-0.07049897313117981,1
4610,uproar,-0.07047280420859654,3
6412,circumstantial,-0.0703933984041214,2
4370,ideological,-0.06970424950122833,1
6292,proactive,-0.0696907490491867,1
6285,threaten,-0.0695522129535675,1
8649,proclamations,-0.06948571652173996,1
4538,hypocrisy,-0.06916415691375732,1
7981,millennials,-0.06909584999084473,1
8572,internment,-0.06906852126121521,1
8231,centuries,-0.06889364123344421,1
2001,persevere,-0.06881114840507507,1
7955,nazi,-0.06850164632002513,3
3171,solves,-0.06849968433380127,1
1736,targeted,-0.06836260855197906,3
3173,judgement,-0.06834888458251953,1
4764,uncomfortable,-0.06772849957148235,3
4067,ugh,-0.06733408570289612,8
2916,outspoken,-0.067326620221138,1
1569,scum,-0.06713973730802536,4
1651,gosh,-0.0667912196367979,4
5459,occupying,-0.06675735116004944,1
5140,farsighted,-0.06671271473169327,1
4207,chemistry,-0.06609351933002472,1
3277,destroys,-0.06608845293521881,1
7177,flinch,-0.06599447131156921,1
8608,fraud,-0.06583905220031738,1
4893,disgusts,-0.06578330509364605,4
1443,policing,-0.0656103640794754,2
2073,revenge,-0.06555941328406334,2
7352,mocks,-0.06552308797836304,1
7425,stardom,-0.0655074417591095,1
5381,fueled,-0.06547436863183975,2
4380,plays,-0.0653495080769062,4
600,rectified,-0.0648224949836731,1
3982,toilet,-0.06481677293777466,1
8190,gross,-0.0647149458527565,2
7481,perch,-0.06471174955368042,1
7454,observant,-0.06459200382232666,1
7577,orgs,-0.06458139978349209,1
6849,deniers,-0.06453284621238708,1
4211,math,-0.0642579048871994,1
2689,targetting,-0.06413191556930542,1
6308,violated,-0.06408171355724335,1
6639,kidding,-0.06398843228816986,2
5733,trusting,-0.0639052614569664,2
7968,arson,-0.06384795159101486,1
6967,easterners,-0.06384700536727905,1
7809,cashed,-0.06371816992759705,1
6870,anything.he,-0.06366842985153198,1
7890,horrified,-0.06363767385482788,1
3230,disgrace,-0.06333022564649582,1
4209,ahold,-0.06332261860370636,1
2076,idiots,-0.06331343310219902,7
5990,ought,-0.06307696551084518,3
5478,satisfied,-0.06288477778434753,1
1991,moat,-0.06276750564575195,1
6632,tense,-0.06275820732116699,1
6293,complain,-0.06255613639950752,4
4402,dumb,-0.06251535564661026,2
6834,conform,-0.0625092089176178,1
4379,aggrandizements,-0.062284767627716064,1
6828,sociologist,-0.06175336241722107,1
3329,asshole,-0.06158052384853363,6
6643,oversight,-0.06154806166887283,2
2965,ostensibly,-0.06143544614315033,1
3977,ruled,-0.06134842708706856,2
6866,pawns,-0.06132383644580841,2
3975,dust,-0.061288490891456604,1
6522,skirmish,-0.06127804517745972,1
7179,sheilds,-0.061046332120895386,1
6030,scotland,-0.060905903577804565,1
3746,ooh,-0.0608864352107048,1
8529,reinforces,-0.060820192098617554,1
4785,techniques,-0.06057994067668915,1
3515,transit,-0.06052176654338837,1
7936,lookout,-0.060302115976810455,1
5742,priming,-0.060295045375823975,1
7290,labelled,-0.060153529047966,1
4898,devil,-0.060004740953445435,1
2355,curiosity,-0.059955338637034096,3
5406,bodyguards,-0.059930253153045975,3
5716,annoying,-0.05978179723024368,2
5361,shortcut,-0.0596606582403183,2
4430,perpetrator,-0.0596187487244606,4
8146,concludes,-0.059569425880908966,1
4985,mis,-0.059381525963544846,1
6973,gmo,-0.059368401765823364,1
6460,environments,-0.05920787900686264,1
4586,suck,-0.05905073694884777,4
3421,spite,-0.05858984589576721,1
5223,wallet,-0.058461710810661316,1
8332,twenties,-0.05844533443450928,1
6036,upsurge,-0.058352076448500156,1
3300,cheeseburger,-0.058331191539764404,1
8116,nudes,-0.05817696452140808,1
7064,heated,-0.058133359998464584,2
5921,zealots,-0.05798956751823425,2
5412,coat,-0.057860925793647766,1
6960,splitting,-0.057820290327072144,1
5452,untill,-0.05772745609283447,1
5403,roadblock,-0.05753782391548157,2
6683,mercutio,-0.05746351182460785,1
7982,controversial,-0.05743032693862915,1
5369,implicated,-0.057430267333984375,1
4494,newsworthy,-0.05712122097611427,2
4358,blatantly,-0.05696378151575724,3
2749,opiate,-0.05686594545841217,2
2982,interfering,-0.05680644512176514,1
6291,credible,-0.05676138401031494,1
4900,sacramento,-0.05669140815734863,1
7460,sociological,-0.056611113250255585,1
4790,infuriate,-0.056602805852890015,1
1923,honesty,-0.05656343698501587,2
8502,flamingo,-0.05638541094958782,4
5132,amazement,-0.056325286626815796,1
1428,polluting,-0.0562138557434082,1
8580,4.50,-0.05615854263305664,1
8200,violations,-0.0558207631111145,1
7764,ringer,-0.055816762149333954,1
3257,a.i,-0.055798158049583435,1
7862,jsut,-0.05558176338672638,1
1156,fabricating,-0.055571299046278,1
1627,messing,-0.05556103587150574,7
6783,cowboys,-0.05552329123020172,2
1926,forgetting,-0.05543087422847748,1
5677,monkeys,-0.05541912714640299,3
3677,dwelling,-0.05541592836380005,1
5623,craziness,-0.05532795190811157,1
6465,oust,-0.05505874752998352,1
8436,disagreeing,-0.05503015220165253,1
4498,laughing,-0.05501615256071091,2
3144,whey,-0.05499892930189768,3
4776,privileges,-0.054969027638435364,1
4822,appearances,-0.05447810888290405,1
8201,neglience,-0.05437654256820679,1
7588,insecure,-0.05426856875419617,1
7514,loser,-0.0541648268699646,1
8300,fox,-0.05414654314517975,1
1914,columbia,-0.05409735441207886,1
7803,snorkeling,-0.05402347445487976,1
7985,bore,-0.05394326522946358,1
7157,hacked,-0.053817917903264366,3
3466,contributions,-0.053715236485004425,1
3177,shipwreck,-0.05354441702365875,2
7587,evils,-0.05348467826843262,1
6280,tensig,-0.05319333076477051,1
1152,localities,-0.05317994952201843,1
7178,bomber,-0.053072959184646606,1
3517,scrutinized,-0.05306452512741089,1
1965,anxiety,-0.053055137395858765,2
5222,steal,-0.05300441384315491,4
6571,ensue,-0.05296892300248146,1
1350,restaurants,-0.052941471338272095,1
3033,casual,-0.05287736654281616,1
2625,outrageous,-0.05285923182964325,6
8124,animalistic,-0.05275639146566391,1
2822,rude,-0.05271162465214729,4
2892,presumably,-0.052636017402013145,3
6573,99.9,-0.052608028054237366,1
8574,plaintiffs,-0.0525677353143692,1
6644,drugged,-0.05243394151329994,2
396,inflated,-0.052125483751297,2
913,mad,-0.052099695056676866,10
2267,pattern,-0.052070217207074165,2
7642,apprehended,-0.05173787474632263,1
7615,opener,-0.05146235600113869,1
8544,eliminating,-0.0513441264629364,2
6930,pedestals,-0.05130496621131897,1
6578,ridiculously,-0.051256186018387474,3
6901,whine,-0.05122368037700653,2
7123,miscellaneous,-0.0512232780456543,2
4936,lesley,-0.05121840536594391,1
7584,japan,-0.05098670721054077,2
4245,stole,-0.050946857780218124,2
6493,janis,-0.05077122151851654,1
5618,kicking,-0.05063854157924652,2
4224,morality,-0.05056236684322357,2
5489,fortune,-0.05050908029079437,1
3029,vacation,-0.0504037340482076,3
5460,nose,-0.05009728670120239,1
3282,rowdy,-0.050070762634277344,1
1023,unsolicited,-0.05005979537963867,1
8243,sneaking,-0.050010085105895996,1
8237,shovels,-0.049893200397491455,1
6473,laughs,-0.04987597092986107,1
830,anyways,-0.04927732215987311,9
8050,reversal,-0.04912996292114258,1
8049,pacifist,-0.04910339415073395,1
2643,minding,-0.049052394554018976,5
1022,picnic,-0.04904034733772278,1
7482,cheered,-0.04898291826248169,1
4673,afrikaans,-0.04884257912635803,1
4748,inspections,-0.0488240011036396,1
4707,lawless,-0.048726409673690796,1
8492,creeped,-0.04871850460767746,1
1528,liked,-0.04867928326129913,5
8126,underreported,-0.04863438010215759,1
5587,absconded,-0.048634033650159836,1
7043,indiscretion,-0.0484769344329834,1
6550,unincorporated,-0.04846635460853577,1
2786,flip,-0.04846183955669403,2
982,skeptical,-0.048421092331409454,2
8161,blockades,-0.04841470718383789,1
1119,serial,-0.04836475849151611,2
1354,considerate,-0.048301130533218384,1
1840,infuriates,-0.04819287732243538,2
4784,reevaluate,-0.04816316068172455,1
8226,criminalization,-0.048140496015548706,1
3522,ol',-0.04813656210899353,1
1679,strain,-0.048057377338409424,1
8498,ins,-0.04804385453462601,1
7586,prostitution,-0.04801231622695923,1
3346,intimidation,-0.04800885170698166,1
8550,scourge,-0.0479278564453125,1
4983,pressing,-0.04776701424270868,2
7838,disgraceful,-0.04771888256072998,1
8119,minions,-0.047713279724121094,1
5119,normalize,-0.047649309039115906,1
7183,"couldn""t",-0.047647714614868164,1
6682,quote,-0.04761188477277756,2
2005,brains,-0.04760250449180603,3
2141,escalated,-0.04758942127227783,1
4504,tackle,-0.04754410684108734,1
5778,intelligence,-0.047529324889183044,2
2498,ha,-0.04740237444639206,2
5708,drag,-0.04735922813415527,1
1787,bored,-0.04734334349632263,1
3199,denied,-0.04733364284038544,4
4744,elevators,-0.047295428812503815,2
3137,switching,-0.047293707728385925,1
6250,reasonably,-0.047284796833992004,1
5464,scandal,-0.04726165533065796,1
5417,senator,-0.047175586223602295,1
4218,advantage,-0.047126751054417,11
8638,videotaped,-0.046876683831214905,1
7344,baffling,-0.046771347522735596,1
8500,friend(s,-0.04675063490867615,1
8402,sided,-0.046663761138916016,1
8586,endangering,-0.046595990657806396,1
1395,vindicated,-0.04657405614852905,2
5402,involvement,-0.04651823018987974,6
3439,prodded,-0.046469733119010925,1
2045,spousal,-0.046405911445617676,1
5769,fainting,-0.04639524221420288,2
7832,underdeveloped,-0.04608555883169174,1
7885,splat,-0.04606369137763977,1
5906,vaccine,-0.046054303646087646,1
8281,fertilization,-0.04596933722496033,1
4514,scamming,-0.04589623212814331,1
459,moron,-0.04588669538497925,2
3279,budget,-0.045880310237407684,2
2863,clamping,-0.04584818333387375,1
4279,practical,-0.045774251222610474,1
3937,molester,-0.04576018452644348,2
7907,jets,-0.04575759172439575,1
7036,slouch,-0.04571639001369476,1
1159,fined,-0.04567942023277283,2
7072,tickets,-0.04559120535850525,1
3611,wash,-0.0455055832862854,1
5020,ebeid,-0.045504212379455566,1
8033,rated,-0.0454864576458931,2
6488,lie,-0.04546778542654855,7
2670,screwed,-0.045415391524632774,3
1657,whoever,-0.04535838514566422,5
8127,perpetrators,-0.04531985521316528,1
8179,urban,-0.045299917459487915,1
7333,unwarranted,-0.045281410217285156,1
6812,lingo,-0.04522097110748291,1
3582,betray,-0.04517924785614014,1
4746,landlord,-0.045154910534620285,1
8080,packing,-0.045120980590581894,1
7640,culprit,-0.045117080211639404,1
2534,expense,-0.04510536789894104,1
1963,practically,-0.044885486364364624,1
7595,monsters,-0.044885098934173584,1
3488,fence,-0.0448826402425766,4
2868,harass,-0.044867198914289474,1
2022,pills,-0.04485423117876053,2
7555,courier,-0.044834911823272705,1
6681,massively,-0.044831305742263794,1
5418,reverse,-0.0448002964258194,2
4712,nigerian,-0.04447060823440552,2
2492,executives,-0.04433208703994751,1
6077,resent,-0.044172316789627075,1
6566,co2,-0.04416646063327789,2
4743,tenant,-0.04414128512144089,1
2523,insist,-0.0440797358751297,1
247,discouraging,-0.043880691130956016,3
8242,spew,-0.043800950050354004,1
8558,unpunished,-0.04379817843437195,1
2975,inopportune,-0.0437924861907959,1
8503,busch,-0.04371043791373571,3
3215,academia,-0.04369288682937622,1
3081,suspicious,-0.04367934539914131,4
4619,buffet,-0.043671078979969025,1
5166,insane,-0.04363126556078593,9
5573,occured,-0.04362315498292446,2
5099,infested,-0.043611541390419006,2
2232,shit,-0.043448662757873534,15
