,Word,Value,Freq
8797,hangovers,-8.642049312591553,1
9396,amped,-7.634132623672485,1
16390,arrrrrrrrggggggggggg,-7.311531186103821,1
1093,downsize,-7.240671396255493,1
7666,afro,-5.661575555801392,1
16780,scaring,-5.408792614936829,1
9469,jitters,-4.8985595703125,1
20203,tooexcited,-4.8045923709869385,1
9931,seatbelts,-4.66842257976532,1
18362,boredness,-4.552486181259155,1
10858,selfdoubt,-4.409395933151245,1
12907,stank,-4.296199798583984,1
5992,terrify,-4.260449945926666,2
13238,a&m,-4.233936786651611,1
11933,@knappalapalin,-4.066004738211632,1
7653,westboro,-3.9886422157287598,1
22447,burped,-3.9724831581115723,1
10576,fullfillment,-3.749821186065674,1
9377,proletariats,-3.6751707196235657,1
13338,affliction,-3.5728461742401123,1
8596,soexcited,-3.5546597242355347,1
14974,sacking,-3.525309443473816,1
8895,twittingwhendown,-3.5040781497955322,1
2332,squashed,-3.483681321144104,1
6175,iam:)blessed,-3.424384266138077,1
16884,fearoftheunknown,-3.3984075784683228,1
19958,happytweet,-3.3521010875701904,1
4551,vowels,-3.341299295425415,1
18009,illiteracy,-3.248795747756958,1
21291,up!factor,-3.2344154119491577,1
17132,dinosaurs,-3.2293920516967773,1
14919,@lilybriody,-3.220809727907181,1
17171,strapping,-3.1792725324630737,1
5719,@chadtweets,-3.145835816860199,1
14588,dressed&only,-3.144853189587593,1
19197,arguement,-3.130187511444092,1
15945,isanyoneup,-3.127318024635315,1
11273,barfing,-3.1189011335372925,1
20418,liners,-3.1027637720108032,1
20710,moping,-3.0756800174713135,1
16567,2worry,-3.0685856342315674,1
23072,rinsed,-3.067103862762451,1
2130,novembers,-3.057719349861145,1
17894,@diannaagron,-2.9676370844244957,1
22082,beginning~,-2.96339750289917,1
1927,laundrette,-2.951904535293579,1
12928,bargains,-2.9007530212402344,1
18027,@jillscott12,-2.8955114483833313,1
8614,mangans,-2.847391128540039,1
2568,@bibilynch,-2.8420018553733826,1
3912,yoy,-2.825218915939331,1
8318,handicapped,-2.7896111011505127,1
12257,freebie,-2.777127504348755,1
14500,loosing,-2.7198556661605835,1
15055,quilt,-2.7045284509658813,1
14150,@motherjaneindia,-2.6902711391448975,1
18996,gazzetta?no,-2.6882406175136566,1
9934,pray&ask,-2.6794267892837524,1
16151,novak,-2.679362177848816,1
20847,liberated,-2.656198024749756,1
16153,plumlee,-2.627689480781555,1
22888,denys,-2.624890685081482,1
11848,gumbo,-2.6247148513793945,1
12186,@fireballwhisky,-2.5979517698287964,1
14920,eardrum,-2.5933234468102455,1
6661,@nicolaturner9,-2.591030716896057,1
12202,scarredforlife,-2.5856611132621765,1
14928,stump,-2.5589852333068848,1
20762,preggers,-2.5578731894493103,1
22863,@mr_grimshaw,-2.5316163897514343,1
7233,drako,-2.520988702774048,1
7980,congratulating,-2.5013118982315063,1
14813,cougar,-2.496953248977661,1
22646,goodridence,-2.4855618476867676,1
1713,cupcake,-2.479904532432556,2
5201,bandits,-2.4744088649749756,1
22605,aphasia,-2.4642674028873444,2
3166,@eleanorquinn,-2.4523686170578003,1
22400,snnnnoooooowwww,-2.442493200302124,1
15917,scorgasm,-2.434546947479248,1
2430,bikeride,-2.425773859024048,1
9973,dessert,-2.414030909538269,2
20038,flattens,-2.408289313316345,1
6739,clawing,-2.4080350399017334,1
19123,kellen,-2.4079309701919556,1
21765,fear.-copyrights,-2.383103132247925,1
22879,@elliebondini,-2.3785495162010193,1
6297,fates,-2.367804527282715,1
8667,@_jeanralphio,-2.3584051728248596,1
20069,breakthrough,-2.3508994579315186,1
7876,librarians,-2.3386926651000977,1
15122,impressed,-2.3371788263320923,1
16256,yodel,-2.322376161813736,1
9628,nontrad,-2.3219074010849,1
5046,butiamhopeful,-2.3194100856781006,1
17019,@trip_threat,-2.3190770149230957,1
18292,@mikkyjimenez,-2.3063661456108093,1
16618,@annie_frame,-2.3035728335380554,1
17626,@manderrids,-2.3022539019584656,1
6017,somtimes,-2.302133321762085,1
16055,cookn,-2.2977582216262817,1
16416,carrot,-2.293426752090454,1
2863,-merry,-2.2932034730911255,1
21014,@matt_spark,-2.2893608659505844,1
5121,@davehertz,-2.2886577248573303,1
21207,unsecured,-2.2877226173877716,1
22960,cylontakeover,-2.273812174797058,1
20248,@zcarr22,-2.2622284293174744,1
10207,squeak,-2.2514536380767822,1
4908,damper,-2.249922037124634,1
1389,suitandtie,-2.2497984170913696,1
22667,@weareloonlake,-2.248031623661518,1
21841,@bubbastratton,-2.2479487657546997,1
13220,fvck,-2.2371164560317993,1
15250,breathers,-2.2253315448760986,1
10621,nerdlife,-2.2253268361091614,1
21068,debates,-2.1623685359954834,1
21314,@seneeshearer23,-2.1601614952087402,1
11419,otter,-2.1547352075576782,1
8348,lily,-2.1367580592632294,2
21020,earrings,-2.1303417682647705,1
7582,whateverdadwantsonhisbirthday,-2.129179835319519,1
12752,solis,-2.1287087202072144,2
7289,@_megancasey,-2.1260530948638916,1
13941,ewwwwwww,-2.121434986591339,1
21845,@colormyfaith,-2.1123807430267334,1
13888,takeashower,-2.1046303510665894,1
15510,@geniuskenty2k,-2.1039707511663437,1
21862,raggidy,-2.1027305126190186,1
7117,headliner,-2.093783438205719,1
13497,@mattbetzwiser,-2.0902542918920517,1
11431,lametweet,-2.088953197002411,1
1963,shareconomy,-2.081796884536743,1
15340,sundays,-2.0798443853855133,1
5962,@1st_classact,-2.067480981349945,2
18514,idolatry,-2.0581082105636597,1
16437,kindafeelbad,-2.057558298110962,1
6752,boner,-2.0475266575813293,1
3908,farted,-2.0396434664726257,2
21272,butthatsjustme,-2.0379756689071655,1
11126,pumpkins,-2.023991346359253,1
10198,pharma,-2.0175178050994873,1
22527,muchneededpickmeup,-2.014702320098877,1
10059,@nickybelardo,-2.0133864879608154,1
19704,panera,-2.0112640857696533,1
17781,neverbroke,-2.0032445192337036,1
22439,midget,-2.000415623188019,1
22205,@ericgreen4,-1.9983909130096436,1
5527,empowerment,-1.988796353340149,4
12910,wonks,-1.9774633646011353,1
18448,justfoundout,-1.9772326946258545,1
14197,@brandonw92,-1.9735811948776245,1
16870,narrative,-1.9604768753051758,1
10429,present&i'll,-1.9551451206207275,1
20761,@witteringtiffa,-1.9513363540172577,1
20159,guilds,-1.9445453882217407,1
16913,shivering,-1.9401637315750122,1
18342,@dswhite21,-1.9376716613769531,1
14360,walnuts,-1.9364943504333496,1
18589,squint,-1.9355377554893494,1
13457,apocolypse,-1.933261752128601,1
12669,envelopes,-1.9232803583145142,1
9212,hellskitchen,-1.9184741973876953,1
18586,lightheaded,-1.9161980152130127,1
21414,itches,-1.913540244102478,1
14717,fireworks,-1.9037463665008545,1
6291,imgonnaforgetitalltomorrow,-1.89862060546875,1
19423,whale,-1.8945107460021973,1
5673,feared,-1.8931077718734741,1
8074,7-page,-1.8894550800323486,1
7776,win1give1,-1.887175440788269,1
23203,uefa,-1.885855793952942,1
13431,@megjane25,-1.865500956773758,1
11555,undress,-1.8611578941345215,1
6144,oyster,-1.8540038764476776,2
8178,@sunshineoctopus,-1.85311758518219,1
20728,realistic,-1.8419311046600342,1
8557,unelectable,-1.8407930135726929,1
19095,@pmroyalty,-1.8351534008979797,1
21111,boob,-1.8304699659347534,1
6630,@jamesmyth,-1.8232784494757652,1
16968,wacky,-1.8213820457458496,1
17239,@aebaer,-1.8212103843688965,1
7310,@heller51,-1.8210723102092743,1
3743,tomorow,-1.8169809877872467,2
8147,infiltration,-1.8168593645095825,5
5498,eyeful,-1.8155821561813354,1
5408,nevertamperwithtechnologypast2am,-1.8124170005321503,1
21860,@5onmaryjane,-1.8114591240882874,1
7970,@occupywallstnyc,-1.8096410781145096,1
16634,mat,-1.8093852996826172,1
9852,sinnita,-1.808476835489273,1
9503,@netflix,-1.8063281774520874,1
6754,creepiness,-1.8050107955932617,1
14839,schwinn,-1.802157700061798,1
14424,greaser,-1.8020899295806885,1
19432,@mugz25,-1.801010251045227,1
11901,tories,-1.7983753681182861,1
5264,@david_swyers,-1.7900354266166687,1
3067,frightening,-1.782419167459011,16
16439,ineedalife,-1.779810592532158,1
4840,perfume-,-1.7779107093811035,1
