,Word,Value,Freq
20620,adjusment,-12.40668797492981,1
22756,spanner,-11.048083305358887,1
20779,capp,-10.610677242279053,1
22688,vespers,-9.18238639831543,1
11110,semisarcasm,-8.794059991836548,1
9145,rhyme/,-8.087634086608887,1
5548,envious,-7.860307455062866,1
21461,sacking,-7.710853099822998,1
7188,histology,-7.6381824016571045,1
3834,burglar,-7.583528280258179,1
22760,revolutions,-6.906129360198975,1
11380,unravel.~unknown,-6.766745865345001,1
7629,connie,-6.716071844100952,1
11802,stoners,-6.669691562652588,1
7473,separation,-6.659739971160889,1
11803,burped,-6.630611181259155,1
13821,brat,-6.574671268463135,1
19100,discombobulatedmindset,-6.50697648525238,1
13549,grrm,-6.474231719970703,1
22130,dill,-6.4320151805877686,1
20045,onside,-6.4174076318740845,1
16843,@_caitlinohh,-6.415064811706543,1
12679,bryantproblems,-6.413633465766907,1
8314,labiaplasty,-6.202491402626038,1
21130,@fearnecotton,-6.0675575733184814,1
14017,b3arfruit,-5.947578191757202,1
16154,queasy,-5.807220697402954,1
18382,hoodrats,-5.749290227890015,1
18636,amazeballs,-5.6856019496917725,1
18581,wheelchair,-5.614806175231934,1
13022,liga,-5.60706901550293,1
22646,justtryingtoupliftthisboringconvosation,-5.588626980781555,1
6420,infidelities,-5.486151695251465,1
15871,aggravation,-5.452409029006958,5
8529,lovemymama,-5.442705273628235,1
20525,mugs,-5.419798851013184,1
21276,loove,-5.261897563934326,1
3132,distinguish,-5.192386150360107,1
18700,jiggs,-5.178796052932739,1
8661,tomrw,-5.151196479797363,1
579,sweatpant,-5.1168705224990845,1
14513,parkview,-5.116818428039551,1
6320,soulless,-5.040337681770325,1
12614,able2smile,-5.026779651641846,1
15308,handicapped,-5.003969192504883,1
3686,braids,-4.955056428909302,1
14170,@gingerproblems,-4.953404188156128,1
2696,#notgood,-4.900356292724609,1
20488,stoned,-4.864614009857178,1
10408,butterball,-4.841312885284424,1
19227,inablility,-4.806624889373779,1
8827,fartherinlaw,-4.80345618724823,1
15261,hijack,-4.798666954040527,1
12834,gobblers,-4.793686866760254,1
16066,butch,-4.716569423675537,1
18658,depise,-4.632310390472412,1
348,fresher,-4.629402995109558,1
8104,gawker,-4.508787155151367,1
18073,intervention,-4.468204975128174,1
22316,@_leaveit2beaver,-4.464630901813507,1
19016,playa,-4.463054299354553,2
8752,nerf,-4.4544432163238525,2
7013,giggled,-4.448248982429504,1
16276,@_faithcheers,-4.439192771911621,1
20540,freebie,-4.426694869995117,1
14827,@heatherrosee7,-4.403197526931763,1
8471,cavity,-4.34700870513916,1
4957,v.depressing,-4.3333680629730225,1
21356,sunshine.tots,-4.327303171157837,1
19906,recitation,-4.3180108070373535,1
4856,debbie,-4.30674147605896,1
17888,goodie,-4.297008514404297,1
5033,popcornanyone,-4.29301905632019,1
23056,sicken,-4.264464378356934,1
17964,scarabs,-4.254616022109985,1
13786,quiter,-4.2479307651519775,1
6701,@thereal1_smity,-4.222120046615601,1
20322,arresting,-4.207391738891602,1
5586,pinstripes,-4.195422410964966,1
18116,@guttaceo,-4.193099141120911,1
19379,crazygfproblem,-4.187672257423401,1
17870,bookclub,-4.182740688323975,1
1266,mangans,-4.145958662033081,1
10942,bargains,-4.117967844009399,1
6414,whycantweallgetalong,-4.117442846298218,1
1293,@radicaljoker,-4.097121357917786,1
20726,bestdayever,-4.085690021514893,1
15350,guilds,-4.04975438117981,1
16401,@lorenmaring,-4.0449206829071045,1
12639,bistro,-4.033751487731934,1
181,tickle,-4.033444404602051,2
14866,slue,-4.002049565315247,1
14965,hazing,-3.9902533292770386,1
17028,drains,-3.9762110710144043,1
5152,51:11,-3.9637150168418884,1
