,Word,Value,Freq
9736,astonishment,-18.226412773132324,1
19689,disturbingly,-12.378099918365479,1
10447,doom,-11.922004222869873,1
23214,junkie,-10.994401454925537,1
12532,psyc,-10.850159406661987,1
4634,complacency,-10.641397714614868,1
6529,skipped,-10.436820983886719,1
13199,vulnerable,-10.435384750366211,1
19306,disconnection,-10.410094261169434,1
6017,somtimes,-10.350080966949463,1
22278,stereotypes,-9.88953971862793,1
5170,sorrynotsorry,-9.690141677856445,1
7932,whew,-9.555127382278442,2
17650,resign,-9.416179656982422,1
13192,sleepin,-9.370042324066162,1
14237,unmarked,-9.343708038330078,1
22747,sobad,-9.287967920303345,1
20751,gargle,-9.234415531158447,1
22305,travelling,-9.073208332061768,1
6162,randomest,-8.94987440109253,1
19130,ican't,-8.81008768081665,1
19959,kfc,-8.792755126953125,1
22321,needwaterproofboots,-8.757686138153076,1
10618,unintentionally,-8.436195850372314,1
19473,cease,-8.429795265197754,1
21049,soundchecking,-8.188451766967773,1
14572,endingg,-7.638522624969482,1
12534,tearyeyed,-7.606276988983154,1
14041,jax,-7.59487771987915,1
22692,ostensibly,-7.571676731109619,1
11572,demonize,-7.5047736167907715,1
22556,freezes,-7.3347320556640625,1
9521,@ksam1721,-7.227661371231079,1
4926,#impatient,-6.359346151351929,1
20844,@gburge,-6.287118911743164,1
11741,addiction,-6.273895978927612,2
15805,everlast,-6.195339202880859,1
7116,conflict,-6.1661763191223145,1
22125,profanities,-6.001426458358765,1
19112,bye~,-5.875228404998779,1
8641,2come,-5.861335754394531,1
21765,fear.-copyrights,-5.788979530334473,1
14170,unauthorized,-5.678739547729492,2
15577,ruining,-5.620864629745483,2
9502,unavailable,-5.53557276725769,2
17244,disecting,-5.514569282531738,1
8281,lacking,-5.41379714012146,2
8464,fearful,-5.335227727890015,4
18750,sank,-5.303719758987427,2
20831,minority,-5.273298263549805,1
22127,wrecks,-5.266015529632568,1
13353,zane,-5.248666763305664,1
22124,mumbling,-5.219790935516357,1
16780,scaring,-5.208893537521362,1
20594,mazda,-5.162342071533203,1
16997,threatened,-5.157470703125,1
17087,sinitta,-5.1147074699401855,1
6905,marky,-5.066244840621948,1
11479,prepared,-5.051687479019165,2
9503,@netflix,-4.984406471252441,1
16420,soundtrack,-4.909755706787109,1
16192,flashbacks,-4.8339080810546875,2
6292,fuming,-4.780199885368347,2
5061,missin,-4.662364959716797,2
17389,savehiphop,-4.63677978515625,1
17973,tosh,-4.613616943359375,1
16619,updating,-4.60788369178772,2
20642,bringin,-4.602360010147095,2
23051,timemachine,-4.571523666381836,1
20632,protection,-4.547465443611145,2
14235,@boredmommy,-4.5236828327178955,1
9483,amaze,-4.520857453346252,4
9853,gillian,-4.509760618209839,1
14724,unaware,-4.476828098297119,2
9334,@viiicckkyyl,-4.46115517616272,1
13812,lousy,-4.455514907836914,1
5052,subjected,-4.339767694473267,2
18085,itspayday,-4.2754456996917725,1
22665,@fmpundit,-4.26199746131897,1
10361,foreign,-4.248492002487183,2
18344,gourmette,-4.13186502456665,1
21172,slipknot,-4.130102634429932,1
13375,@stoverkelsey,-4.086742401123047,1
13213,@twitter,-4.022787253061931,3
8850,@minimal23,-3.9993510246276855,1
13752,grr,-3.9553302526474,4
10222,dingy,-3.936269521713257,2
6719,closed,-3.9289129481596103,17
10694,terrifying,-3.923232674598694,4
21781,@ryanissobomb,-3.819403886795044,1
21783,improper,-3.639986991882324,1
12647,@p_nix17,-3.630560874938965,1
23288,rejects,-3.600151300430298,1
13256,dangerous,-3.493769963582357,3
14365,wedon't,-3.4867334365844727,1
5050,victim,-3.4723383585611978,3
19553,disaster,-3.412602424621582,3
2419,frustrating,-3.4036032358805337,3
21782,@campen3,-3.381984233856201,1
18504,misfit,-3.307358503341675,1
11161,stayed,-3.299048582712809,3
21499,have'em,-3.297034978866577,1
7817,forgives,-3.272486686706543,1
14810,omgomgomg,-3.225703477859497,1
17635,missingthesouth,-3.1913909912109375,1
1704,dread,-3.1683103243509927,3
5905,significant,-3.160081227620443,3
15555,petrified,-3.1511308352152505,3
22286,rethink,-3.1318538188934326,1
6446,psg,-3.0978586673736572,1
18484,aggression,-3.080968221028646,3
17633,replaying,-3.0600814819335938,1
10279,illegal,-3.035750389099121,2
17465,spoils,-3.0195183753967285,1
4737,contest,-3.016624132792155,3
2396,destructive,-2.957215944925944,3
22618,competing,-2.889669895172119,1
4119,ik,-2.8666276931762695,2
1739,trashed,-2.8572652339935303,4
10450,wae,-2.8517892360687256,1
17895,â£30,-2.825399875640869,1
5919,tattooed,-2.823632001876831,1
3974,deserts,-2.819460868835449,1
6064,scariest,-2.8081093629201255,3
3980,highs,-2.789189338684082,2
21457,@finewan,-2.780848979949951,1
16272,kittyrape,-2.7368898391723633,1
23038,afterthanksgiving,-2.7353968620300293,1
5059,positiverippleeffect,-2.691222667694092,1
8824,mandate,-2.654721260070801,1
16215,tribe,-2.6261631647745767,3
6057,regrets,-2.625029277801514,5
12508,layoff,-2.5968363285064697,1
23049,@nrocy,-2.59257435798645,1
12720,fear2,-2.5679478645324707,1
7117,headliner,-2.5415892601013184,1
20135,dub,-2.540184259414673,2
4543,secrets,-2.535629908243815,3
2892,feather,-2.514211893081665,1
11644,interpreted,-2.477216958999634,1
47,buried,-2.453388214111328,1
2897,chilling,-2.4499768680996366,9
1692,resort,-2.4421770572662354,1
12514,surprisingly,-2.4369871616363525,2
14264,unexplained,-2.4127120971679688,1
7611,oddly,-2.3809407552083335,3
10564,tuition,-2.363341212272644,4
1259,daring,-2.3441262245178223,1
17294,blindside,-2.3388404846191406,1
5477,waaaa,-2.3373780250549316,1
13360,drove,-2.3288084864616394,8
10543,gradschoolproblems,-2.3102917671203613,1
4457,stab,-2.3055041631062827,3
8706,fella,-2.272979497909546,1
22691,armband,-2.2583413124084473,1
4618,confusion,-2.230702347225613,9
16617,uncharted,-2.223588466644287,1
