,Word,Value,Freq
10612,redecorated,-3.839121699333191,1
20082,torch,-2.7140564918518066,1
17810,priories,-2.6393823623657227,1
13031,childishness,-2.3555655777454376,1
19407,prepared!.,-2.30510151386261,1
17611,smashing,-2.2193186283111572,1
13561,rudeness,-2.1948007345199585,1
6935,speeding,-2.1343235969543457,1
14998,pain!â€,-1.9838908314704895,1
5206,awaking,-1.9620275497436523,1
2839,leniency,-1.9383209943771362,1
7964,schoolwork,-1.8094360828399658,1
12736,reciting,-1.7852050065994263,1
5683,terrify,-1.7785863876342773,2
15322,vigilant,-1.7709933519363403,1
10353,boating,-1.7534723281860352,1
12439,astral,-1.7454094886779785,1
18584,defiant,-1.7410942316055298,1
10980,foe,-1.738152265548706,1
4795,strictly,-1.6863088528315227,15
15053,@nfljoe,-1.6846466064453125,1
1308,moyes,-1.65821373462677,1
19769,fearoftheunknown,-1.6487531661987305,1
18733,ccd,-1.6482785940170288,1
15570,hardening,-1.6465702652931213,2
23088,cackle,-1.6412564516067505,1
22834,eatin,-1.6317857503890991,1
10938,unburden,-1.6108949780464172,1
4539,horrendous,-1.5931202471256256,2
20666,infect,-1.5910494327545166,1
13324,breathers,-1.5770078897476196,1
13028,prescreening,-1.557999074459076,1
9352,-never,-1.5470046401023865,1
12209,every.possible.stop,-1.5467052459716797,1
18080,traps,-1.5188059657812119,2
9483,deactivating,-1.4832143783569336,1
12027,chopping,-1.4676929712295532,2
13364,getdevoured,-1.4668675065040588,2
15567,god.â€,-1.450853943824768,1
19006,funnny,-1.4450605511665344,1
19952,equation,-1.4240278005599976,1
14914,excluding,-1.403297632932663,2
19475,algorithms,-1.3984556198120117,1
10915,uninstall,-1.388507604598999,1
6422,whores,-1.3789105415344238,1
15995,busses,-1.3723590523004532,1
14808,2worry,-1.371160477399826,1
13304,undigested,-1.3678627610206604,1
21779,prick,-1.3620854616165161,2
18983,hoe'in,-1.3611994981765747,1
10459,daddi,-1.356674075126648,1
18833,vigilante,-1.351110816001892,1
18452,whatsactuallyimportant,-1.347978413105011,1
19077,@totaltrafficla,-1.3422300331294537,1
13648,discontent,-1.3323756456375122,1
21403,dissecting,-1.3272157311439514,1
5775,pret,-1.324423611164093,7
1504,hesitant,-1.3215231895446777,1
14432,overused,-1.31382817029953,3
17148,madeacuppa,-1.3086080998182297,1
12731,outstanding,-1.3044140338897705,1
7708,observations,-1.2857551574707031,1
16653,perseverance,-1.2690065503120422,1
15434,swamped,-1.2602564096450806,1
17426,protectionandsafety,-1.2474788427352905,1
10790,infuriating,-1.2453140318393707,1
21070,striving,-1.23014235496521,1
17649,reek,-1.224686324596405,1
16726,@zoklara,-1.2233390510082245,1
17088,agents,-1.2201088666915894,1
2399,occupiers,-1.2124078869819641,1
12212,cleanbillofhealth,-1.211421251296997,1
20729,flattens,-1.203866183757782,1
22069,rake,-1.1951279640197754,1
19559,ruinedddd,-1.1932886838912964,1
17161,scrooge,-1.189731627702713,2
17433,harden,-1.1872780323028564,1
16671,straightup,-1.1850603818893433,1
7815,punning,-1.1835983395576477,1
20147,monday.//,-1.175145298242569,1
18579,reworking,-1.1588758826255798,1
22979,sundays,-1.1567190885543823,1
19585,readyyy,-1.1555142998695374,1
8720,excellente,-1.1497085243463516,1
6409,labor,-1.1457383632659912,1
14251,sumtymz,-1.141723394393921,1
4861,â£71,-1.1258447766304016,1
9087,unhate,-1.1233623027801514,1
15821,grandbaby,-1.1159216165542603,1
