,Word,Value,Freq
6576,consumerbehavior,-2.1837427616119385,1
9894,@lowerbodyinjury,-2.0967963188886642,1
6852,venting,-1.8457871079444885,1
6011,crucify,-1.8015117049217224,1
4311,thisbringsmejoy,-1.7359341830015182,1
8532,sameness,-1.717758297920227,1
4640,holocaust,-1.555887222290039,1
7781,tweethearts,-1.5071446150541306,1
5521,sumtimes,-1.414716124534607,1
5024,nocomplaints,-1.3649331331253052,1
2224,joys,-1.3116060197353363,1
9989,owlishcatwoes,-1.282268539071083,1
9674,sulking,-1.2679954767227173,1
9287,plowed,-1.2612755298614502,1
6405,iamblessed,-1.243844747543335,1
10960,roomieproblems,-1.240180641412735,1
8589,deconstructing,-1.2284491062164307,1
6871,2hour,-1.2020457983016968,1
3135,useless,-1.1988200743993123,3
5343,effer,-1.1833114624023438,1
1833,cranky,-1.1734797358512878,2
9441,snore,-1.151362419128418,1
5514,confined,-1.13351309299469,1
6638,contradiction,-1.091172218322754,1
10093,farewell,-1.08718740940094,1
6607,studentsagainsthate,-1.071173369884491,1
3198,reset,-1.0260990858078003,1
5660,tooselfishforaction,-1.0220558047294617,1
3044,uncontrollably,-1.0094354450702667,2
9682,melancholic,-0.9923762083053589,1
10525,grieve,-0.9919149279594421,1
10450,mortifie,-0.9879544377326965,1
4282,pear,-0.9700846672058105,1
6302,fatal,-0.9699130058288574,1
9946,loo,-0.9478630423545837,1
211,compared,-0.9473282098770142,1
10029,screwed,-0.9393103420734406,2
1569,warmth,-0.9370253384113312,2
1658,soaked,-0.935086727142334,1
3073,jeanns,-0.9319969415664673,1
3266,dreading,-0.926887035369873,1
10002,cheerleading,-0.9242734313011169,1
5272,@fev_rides_again,-0.9213937446475029,1
5231,grandbaby,-0.9194873869419098,1
1682,shakespear,-0.9158059358596802,1
3144,disturbed,-0.9060372114181519,1
10210,quill,-0.9056110978126526,1
2463,doggone,-0.9033848643302917,1
10984,carols,-0.9025410413742065,1
9637,fools,-0.8927779793739319,1
1942,loathing,-0.8909475207328796,2
2788,starvinggg,-0.8905568420886993,1
9847,resign,-0.887080729007721,1
6317,flashcards,-0.8761515617370605,1
1441,dvrproblems,-0.8752322196960449,1
4394,dozing,-0.8731919676065445,2
9142,asia,-0.8705796003341675,1
5833,meditation,-0.8588870763778687,1
8733,children+water,-0.8581808805465698,1
4202,boredness,-0.8487755060195923,1
9827,regretcuttingme,-0.8459903001785278,1
6810,feelingpukey,-0.8447869420051575,1
6232,obligation,-0.8416421413421631,1
8998,hairdressers,-0.8391503691673279,1
5648,surgeon,-0.83066725730896,1
3197,funds,-0.821390688419342,1
10452,hatewinter,-0.8108794689178467,1
2559,time!#freedom,-0.8101905584335327,1
3291,dissapointment,-0.8057032227516174,1
2626,recitation,-0.8025640845298767,1
9454,spanner,-0.793925404548645,1
4053,strep,-0.7899486720561981,2
5399,iphone4,-0.7849471271038055,1
4449,#hate,-0.7846447229385376,1
9091,rent,-0.7845839262008667,3
4581,@parkviewchurch,-0.7838914394378662,1
2511,longest,-0.780404269695282,1
1295,efo,-0.7758175134658813,1
4766,winter+christmas,-0.7731095552444458,1
