,Word,Value,Freq
35193,unauthentic,-9.648979663848877,1
22376,hotties,-5.314728617668152,1
8708,recognise,-4.909155368804932,1
13574,unwise,-3.5484001636505127,1
15886,classless,-3.2391194502512612,3
24258,shtty,-3.2208245992660522,1
10166,douchey,-3.027478814125061,2
24328,wally,-2.750547409057617,1
14466,blandest,-2.6694167455037436,3
27770,underestimating,-2.556530326604843,1
13715,ludicrous,-2.4371261596679688,2
12089,shnikes,-2.370203137397766,1
38146,but!!!!!!they,-2.3668572902679443,1
25831,expensive!not,-2.3081748485565186,1
12389,s___ty,-2.2539689540863037,1
27800,woof,-1.9223432540893555,2
14284,gloppy,-1.8668744564056396,1
25340,pienso,-1.8545857071876526,1
13546,thoughtless,-1.8305146098136902,4
12807,pe,-1.8287713527679443,1
25273,http://www.jrn.com/ktnv/news/dirty-dining/dirty-dining-kahunaville-278585471.html,-1.8286268711090088,1
17495,snippily,-1.8279571533203125,1
11882,saddest,-1.7597368240356446,5
23269,perplexed,-1.7087181955575943,4
39257,unfassbar,-1.6867239475250244,1
20521,lost',-1.6635782718658447,1
12884,won't,-1.6056696431977409,7
25983,mannish,-1.5702102780342102,1
27767,pitifully,-1.5563091039657593,1
13621,worthlessness,-1.5436723232269287,1
17276,diminished,-1.5314506888389587,4
20208,9:58,-1.5206323266029358,1
13150,yucky,-1.5063922882080079,5
28255,mcflurry,-1.4863252639770508,1
600,regretting,-1.4855921949659074,7
25957,schmucks,-1.3853881359100342,1
23034,bounds,-1.383843183517456,1
10345,irresponsible,-1.370773156483968,3
18900,offenders,-1.3251292705535889,1
9739,securely,-1.2917346954345703,1
7271,nastiest,-1.2835870129721505,7
31152,souurrrrrrrr,-1.2456249594688416,1
11187,saddened,-1.2440882325172424,2
8093,carrental.com,-1.2102758884429932,1
23997,poser,-1.209532618522644,1
13692,f*'d,-1.146417498588562,1
14278,vow,-1.138540506362915,1
9712,dimensional,-1.1342271566390991,2
4704,disgraceful,-1.1315884113311767,5
22646,extinguished,-1.1283279657363892,1
23460,true--,-1.091981828212738,1
2219,slowest,-1.0887486798422676,35
38665,dudebro,-1.0786945074796677,1
27640,spineless,-1.0682878494262695,1
18442,http://www.yelp.com/biz_photos/cabo-wabo-cantina-las-vegas?select=vguzqf4mtuutzme9wgw8sw#j9puawgzop0unrzmnxg4bg,-1.061279058456421,1
8709,theory,-1.053098464012146,5
17119,wonderwall,-1.0284022092819214,1
34509,softspot,-1.0217347145080566,1
14274,crunching,-1.0137629508972168,1
12112,désappointée,-1.0098713636398315,1
34735,bebe',-0.9971613883972168,1
37842,scaglio,-0.977867603302002,1
37753,disheartened,-0.9485158920288086,1
23423,shittiest,-0.9482617378234863,1
11585,unimpressive,-0.9345488548278809,15
29930,kritikpunkt,-0.93140509724617,1
36376,9/2018,-0.9308716058731079,1
22970,online-,-0.9211456775665283,1
7491,unscrupulous,-0.8828029632568359,4
25350,saldada,-0.8762912154197693,1
23273,foregone,-0.8756183385848999,1
31615,alfie,-0.8686082363128662,1
23675,bloopers,-0.8528952598571777,1
26229,driest,-0.850284993648529,2
38041,surviving,-0.8489486575126648,2
23530,atrocoius,-0.8442621231079102,1
36191,palpitations,-0.8406984806060791,1
27247,immediatly,-0.8294390439987183,1
24504,coutu,-0.8193924725055695,1
23033,leaps,-0.8187212944030762,1
35188,bourbons,-0.8139766454696655,1
12808,neve,-0.812187910079956,2
6932,-____-,-0.8115161657333374,1
30926,bada$$,-0.8097928166389465,1
33499,cough*silverton*cough*.,-0.8056326508522034,1
32274,whichvi,-0.7986311912536621,1
24222,toothbrush,-0.782870888710022,1
4353,declining,-0.7773248702287674,8
30366,célébrer,-0.7770882844924927,1
33816,awe.some,-0.7770429849624634,1
10775,warp,-0.7670719623565674,1
17569,daydreams,-0.7655575126409531,1
38901,go.if,-0.7592906951904297,1
22179,1.8.10,-0.7540357112884521,1
12462,saturates,-0.7499587535858154,1
14525,crushable,-0.7497653663158417,1
11232,grounded,-0.745018720626831,1
25985,whew,-0.7437122662862142,3
27475,lovingly,-0.7359204769134522,4
9206,sodalicious,-0.7330779135227203,1
37952,motherf*cker,-0.725189208984375,1
13151,pennies,-0.7174803495407105,5
17305,limitée,-0.7166144847869873,1
12524,-0-,-0.7090349197387695,1
23863,heap,-0.7070446610450745,3
4590,uninspiring,-0.7048888206481934,4
15973,1980's,-0.7044721245765686,1
39192,b1g1f,-0.6979703903198242,1
1760,hated,-0.6937075049980826,23
21549,shamed,-0.6910957098007202,1
36293,tonyc,-0.6876883506774902,1
22903,swarovski,-0.681312084197998,1
13734,haste,-0.6791194081306458,2
28900,too.first,-0.6751646995544434,1
34123,authtentic,-0.6705418825149536,1
23785,labeling,-0.6691181659698486,1
31402,firebirds,-0.6682570576667786,1
21949,goshhhhhh,-0.6653434038162231,1
12908,shameful,-0.6642731323838234,9
7980,overslept,-0.663668155670166,1
31553,pitted,-0.6604858636856079,1
16392,2/20/16,-0.6584349870681763,1
27256,invalid,-0.6567513942718506,1
7354,bdu,-0.6551283597946167,1
17602,depart,-0.6516282161076864,3
17577,dump!!!,-0.6482541561126709,1
38794,vote,-0.6432921886444092,1
19754,transsexuals,-0.6419113874435425,1
18636,inacceptable,-0.6409419775009155,1
11493,discarded,-0.6403250694274902,3
15888,retaining,-0.6401589314142863,3
9740,restless,-0.6328766345977783,2
35808,"about""north",-0.6319055557250977,1
39261,niedriger,-0.6264945268630981,1
39263,übertrieben,-0.6264945268630981,1
39262,fleisch,-0.6264945268630981,1
20643,psychic,-0.6222330629825592,2
31687,wetnaps,-0.6212859749794006,1
27113,time.we,-0.6200439929962158,1
14524,balling,-0.61538165807724,2
39075,wily,-0.6140992641448975,1
23796,questionably,-0.6052870750427246,1
27351,intenet,-0.5971081256866455,1
8855,cemented,-0.5953927040100098,1
21912,blackhole,-0.5938398689031601,1
14383,heatstroke,-0.593479722738266,2
20812,shrinking,-0.5928640365600586,2
25349,cruda,-0.5876299738883972,1
21336,sogginess,-0.5847925941149393,3
27030,cripplingly,-0.5822948217391968,1
34572,swenson,-0.5770613749821981,3
28180,arr,-0.575733482837677,1
13236,redeemer,-0.5718055963516235,1
28496,ndecisive,-0.5710389614105225,1
16427,wrongntwice,-0.5693546533584595,1
17430,loath,-0.5677388906478882,2
5737,headscratcher,-0.5675876140594482,1
1737,unimpressed,-0.5649809042612711,27
11607,moody,-0.5617920160293579,2
13119,"me:""may",-0.561542272567749,1
25211,neverending,-0.5570714473724365,1
34280,blackmail,-0.5566827058792114,1
25110,gangsters,-0.556283712387085,1
33936,monty,-0.5547811985015869,1
7770,offensively,-0.5536183714866638,2
17121,trollops,-0.5512248873710632,1
