,Word,Value,Freq
12274,craps,-1.8113380085963469,16
12170,quot;monopoly&quot,-1.696752823792494,13
13737,disgusting,-1.6188257838972129,31
7215,scalding,-1.5422615405307576,11
13938,:-(,-1.4209682270884514,13
10405,30.00,-1.2748483266232726,11
16775,made.so,-1.2210491126419138,14
7905,stars.http://www.amazon.com/fisher-price-songs-smiles-discovery-gym/dp/b000oonjbo/ref=cm_cr-mr-titleit,-1.2093653977145868,12
13043,34;float&#34,-1.0632640802574278,15
7720,wtf,-1.0587803731362022,19
16570,paid$12,-1.0305403419516301,11
10135,6&#34,-1.0182320805958338,18
3885,awaya,-0.9177032709121704,10
11461,puchase,-0.9100063696787052,13
10280,filmsboring,-0.9055773750280376,17
10279,confusinghave,-0.8894273309449954,17
5555,stunk,-0.886166207836291,17
15157,28.99,-0.8706061045997419,11
11726,wierd,-0.836317368558255,8
15763,newer&#34,-0.8296022075339794,18
13831,knock'em,-0.8084212949451729,12
16026,imitation,-0.7969476450899882,18
10293,crease,-0.7846816139645839,16
15291,small/,-0.7817849631110826,11
8713,harzard,-0.7759619669879183,12
13530,waaaaay,-0.754554587070431,10
9316,stickiness,-0.7336491289047095,16
10794,withing,-0.7320976345134633,10
9130,compostion,-0.7281995098097157,13
7479,scam,-0.7271906863769284,31
10848,advertised.2,-0.7231331164217747,16
13230,34;reluctant,-0.7093435276526454,16
16181,whisked,-0.6735510878866504,8
9234,stinks,-0.6713314876948699,30
5132,glorified,-0.6672828532801114,14
14504,muffled,-0.6655604891203069,14
11881,marketing,-0.6479337746596148,16
15460,pieces&#34,-0.6472897002312893,15
15840,slighted,-0.6450378765662511,11
8527,roomy,-0.638861652176238,17
5575,20.00,-0.6351386170469635,13
7514,disappointing,-0.6153816970119257,194
13917,rhyme,-0.6149950229979706,18
7626,isn't,-0.6148301433550827,29
10125,frustrates,-0.6126495376550227,46
16972,9.98.i,-0.6051866150382412,16
10929,perplexed,-0.6030041276060079,16
7499,tosleep,-0.6001638803808462,6
6650,34;ice&#34;.,-0.5985596028191073,14
14119,kazooie,-0.5949410912580788,12
634,chalkboard,-0.5918298645332162,20
15045,quot;fingerpaint&quot,-0.5915985176196463,12
14978,cadmium,-0.5808150682976281,16
14977,hmmmmmmm,-0.580815068297628,16
11021,fyou,-0.5685321833365239,12
2671,nobs,-0.5676864748419417,10
3884,lens,-0.5628296764567493,10
17845,stupor,-0.5624252164143996,11
3842,unusable,-0.5445442977734056,32
13749,hazaderous,-0.5430705711245538,11
12557,meshed,-0.5430271362716502,12
2593,34;lock&#34,-0.5405135209361712,1
12997,repeatly,-0.5279650247909807,11
12240,ache,-0.5231846396972363,11
5307,it:1,-0.5150887569920586,13
17135,thefactory,-0.5104788511501331,1
13070,results:1,-0.5080373510264833,11
17292,horrid,-0.5070270208021006,16
12594,flop,-0.506322996948128,18
14658,cheap-,-0.5040139739561562,15
14686,momory,-0.4942738302052021,16
6126,disapointment,-0.48934222643192,8
6675,loooves,-0.47540538848419944,10
13231,gamer&#34,-0.4728956851017636,16
7454,nudge,-0.4687742985905971,15
5576,thistle,-0.4681994555852353,12
9759,slooooooooooooowly,-0.46509151690400785,10
11060,9.99,-0.4584004791433891,15
17095,unplayable!this,-0.4571323937372291,13
9236,quot;sketch&quot,-0.45531666350715305,15
11849,disaster,-0.4494292091453615,24
9131,terribly,-0.44770914301853804,37
12124,chemicals).the,-0.4463291702292313,14
8584,overpowering,-0.44146597807153776,13
4381,cuter,-0.4375801269538014,17
2897,flaw,-0.434086339950471,21
5594,simplistic,-0.4338715493189553,24
17136,undisturbed,-0.4252920744450469,1
12410,tattletales,-0.42526497986899425,11
12411,tattletale,-0.42526497986899425,11
5990,34;original&#34,-0.4246800883030688,10
12169,.but,-0.42418820594812356,13
10124,diffcult,-0.42367397869626683,13
12795,shoddy,-0.4225684113290693,17
1483,fingerpaints,-0.41418635868976095,17
13750,hunk,-0.4134987834427092,11
15952,thatboys,-0.4125288791319991,16
15951,rotationmagnet,-0.4125288791319991,16
1409,trash,-0.40998776135243736,63
11437,doug&#34,-0.40839376183109244,11
13627,livingroom,-0.40223202023891863,15
2079,cared,-0.39342054955887307,26
950,dries,-0.39076573467139575,23
13078,backaches,-0.38990308639399696,17
9402,jaw,-0.3885761235790493,8
17404,regretting,-0.38672342971216467,20
3757,flimsier,-0.38541833212248594,9
6830,stuffing,-0.38134975019175166,10
10266,2yold,-0.3807788912739073,13
6759,man&#34,-0.3762495385154204,14
15120,loopydyloop,-0.37431368783830704,13
12929,34;s&#34,-0.37376543944296625,13
3629,robbed,-0.3729280564387639,20
17429,d6000,-0.3727151074143877,17
2398,34;naughty&#34;.,-0.3726696161472279,14
8456,globes,-0.37082173734547813,53
13079,wanders,-0.3682341062553411,18
2161,over.i,-0.36413161007994693,11
10216,disapointed,-0.36383425328891955,31
12094,unevenly,-0.3617010771232542,17
11892,freaky,-0.36158189705024213,17
5873,unsturdy,-0.3612866368639832,10
9706,garbage!.,-0.360149666803442,17
11966,startle,-0.3557974626635049,12
12299,rips,-0.3554563060594383,17
12928,34;+&#34,-0.355451837182045,13
12927,34;t&#34,-0.355451837182045,13
17654,ingesting,-0.3546500972832376,9
13123,suction,-0.3524863527662596,41
14979,melamine,-0.3521167805522495,16
4755,bendy,-0.35156065153646243,16
11436,34;melissa,-0.3498086911254405,12
7498,wantedto,-0.3448777649370644,6
11848,improved&#34,-0.3421768131977867,10
5279,hated,-0.33988760027452897,23
3083,goodwill,-0.3381616101764956,34
1484,fingerpaint,-0.3380503660082717,31
16192,folding(the,-0.33794239379073443,1
16801,8yr,-0.3344818194934424,1
5651,monotonous,-0.33156542442712955,19
