,Word,Value,Freq
9069,quits,-12.360941012700398,1
4290,firstdates,-9.866449154931344,1
4396,bikeride,-9.600577533245088,1
490,regretcuttingme,-9.543290185949042,1
18514,itsmyfavorite,-9.20082595348358,1
21096,selfdoubt,-8.887093678175233,1
11412,hypnosis,-8.859901098410287,1
4494,8'o'clock,-7.597830569073236,1
1743,admirable,-7.4305362905742545,1
4096,impressive,-6.668222319424808,1
7856,huzzah,-6.665270514347975,1
22819,jazzed,-6.562699491390283,1
14881,boos,-6.5366583025973775,1
18071,@boymeeetsworld,-6.440161172977903,1
16885,inhibits,-6.393752065513815,2
21903,@brittanyy_lucas,-6.323897664838201,1
14082,@asoftat,-6.323824884990852,1
16121,afro,-6.20928461614408,1
16932,departs,-6.1620576461156205,1
20354,stump,-6.158275151550159,1
7116,@markwright,-6.083794410578357,2
22973,downsize,-5.908582277157727,1
11291,@ayushmannk,-5.851788632843006,1
8562,@fahadjawad,-5.845432090759278,1
20053,@charlottefoot,-5.823621387317263,1
6083,@octaviaspitfire,-5.766280542043123,1
7852,@housegirlfriend,-5.721741848816725,1
5460,@sarah_bieber19,-5.705734702992258,1
19849,century,-5.42494871030774,1
16998,@ipithom,-5.293368035838718,1
18810,@funnyorfact,-5.255600752494311,1
4005,inlove,-5.242158035437267,1
10908,bummy,-5.2023607412974044,1
17148,madeacuppa,-5.15009731054306,11
11186,itstheaftershaveprobably,-5.089587520639558,1
7117,python,-5.0453442218048234,1
22452,aly,-5.03393328811211,1
10165,gov.,-5.015034618056738,1
22038,drip,-4.970036700036791,1
3396,@courtsloger,-4.940413989457003,1
10687,@jeffcfl12,-4.918941818855025,1
21350,disgustingly,-4.881557738497143,1
21160,frighten,-4.871050011670146,1
17448,@kijeraava,-4.845425227710179,1
21188,@ironrose83,-4.840592407294221,1
7377,glorious,-4.829745763740531,2
18401,virgins,-4.726416800703321,1
10606,@satonakahalu96,-4.698642183488362,1
14242,@occupywallstnyc,-4.68348307564388,1
4438,tragedy,-4.663184295359411,1
17928,fattest,-4.661314468280128,1
10003,entree,-4.6275955722445525,1
21186,@bitemerosee,-4.611339953312507,1
