,Word,Value,Freq
16843,@_caitlinohh,-6.114506511265063,1
21731,nate,-5.640346023526744,1
12614,able2smile,-5.413689805529276,1
17638,so.sick,-5.186227801566322,1
7026,@ashelysmashley,-4.823367223143578,1
10408,butterball,-4.822051631615443,1
4856,debbie,-4.756014058259802,1
22756,spanner,-4.71939410685841,1
20503,@_shatara,-4.670683848145215,1
9042,@justinexclark,-4.488621300458909,1
11803,burped,-4.457794842269758,1
22844,@lizziemmoreno,-4.366987429559231,1
19100,discombobulatedmindset,-4.363851772072962,1
18382,hoodrats,-4.340238370639938,1
12915,@crispysmores18,-4.268248450631897,1
20726,bestdayever,-4.206861549190112,1
18636,amazeballs,-4.152945589194443,1
13106,gishwhes,-4.088841922917755,1
21538,areyouamerican,-4.0617028530154915,1
11615,lawnmowers,-4.061398665113241,1
11110,semisarcasm,-4.022523262513378,1
17662,goodgrief,-4.005741022681656,1
7584,sugas,-3.9329868456555737,1
12161,@kshitemi,-3.931120651545542,1
13139,52âº.,-3.7727495961021953,1
13549,grrm,-3.771761668716856,1
3300,@kinstoppable13,-3.760351493642329,1
18700,jiggs,-3.7551126401186643,1
9415,@anneaustin554,-3.7437147945165625,1
7473,separation,-3.7411616790823503,1
20191,children+water,-3.7148551642894745,1
14798,@youngfollowill,-3.677065698928012,1
1776,@fuckyeahlexcruz,-3.668085304615291,1
21276,loove,-3.642629001289606,1
7629,connie,-3.628142263227039,1
3157,pinnacle,-3.566424182545372,2
12357,surprize,-3.5467279525315005,1
5771,@bloggingbombers,-3.5284005776047715,1
16569,slutbags,-3.5219891880239764,1
18730,favourited,-3.494855484430924,1
9163,busyweekend,-3.4604798396428422,1
10888,@thelinkatclc,-3.4582789738972983,1
18484,classcounciness,-3.453961844570817,1
13732,@bannana0,-3.4379836001839394,1
3315,rejoiced,-3.4334473782464077,1
1693,@msmallory2012,-3.430518049746752,1
14698,wearhouse,-3.4137375967652623,1
6320,soulless,-3.408970646722161,1
21283,payed,-3.405971982081731,1
20633,novembers,-3.404565227361319,1
22743,@ottaviabourdain,-3.3995448128292054,1
12262,busquets,-3.3930553035710806,1
7369,@toysrus,-3.3799709188755447,2
23056,sicken,-3.3489452682159566,1
3866,@belles_and_bows,-3.348594571153323,1
15369,optimistic,-3.3427215814590454,1
20620,adjusment,-3.3295134661926165,1
13896,@love_awaken,-3.3045036128411693,2
20680,receiver,-3.3001559652463355,1
19518,mysoul,-3.2984434544266046,1
4957,v.depressing,-3.279971206304726,1
7188,histology,-3.271796055067153,1
19044,misinterpreted,-3.267549728525096,1
15086,@zee_geezy,-3.2674887478351593,1
19642,@lindsay_mathers,-3.258077170782619,1
4402,so.rawwwwwwwwwwwwwwr!driving&nosey,-3.24744970372745,1
12705,@jewlittle,-3.2331786281640893,1
17396,converted,-3.230797712569651,1
6911,stabs,-3.229372925732447,1
6925,barley,-3.2235779653820726,1
4956,@elliebondini,-3.2201057781775786,1
22905,forwards,-3.2138320107772964,1
17255,@k_diddddy,-3.2100713153680163,1
15616,misstep,-3.2082230832332215,1
8314,labiaplasty,-3.195803953707218,1
12488,jammie,-3.1939858460252264,1
19656,freeday,-3.1852875981366995,1
21356,sunshine.tots,-3.181600384934554,1
5033,popcornanyone,-3.175189649187182,1
9337,u.s.congressional,-3.167405163870627,1
19699,specializes,-3.1486654596469195,1
20540,freebie,-3.124832191222753,1
6337,cocky,-3.1176316755322304,1
17120,defines,-3.112695666126252,1
8128,@theawesomepanda,-3.1098788914581137,1
16540,antiwrinkle,-3.094708511563158,1
12679,bryantproblems,-3.0921667831846404,1
18474,professionalism,-3.077065430532445,1
7625,@tiny_trauma,-3.075416942695519,1
19265,â€œ@_ismellroses,-3.074104006867856,1
14321,consumerbehavior,-3.0719218138191433,1
22468,butmostlysadness,-3.0698064245487524,1
20913,@patriciadenise,-3.0694143691233227,1
8480,bitching,-3.065587308535389,1
22988,@tweetmebitchess,-3.0533876003076625,1
16487,dislocated,-3.0492612039509774,1
4687,iwishtodierightnowplz,-3.0440427156382652,1
19813,@monsters_incc,-3.0388145996974063,1
22499,anaphylactic,-3.038421360154947,1
14453,@4evahipsnass,-3.037418330088258,1
22130,dill,-3.028761789533827,1
16357,@vampedprincessb,-3.0253008288145065,1
8529,lovemymama,-3.0245640129797042,1
15308,handicapped,-3.016693759927098,1
21600,"""helps",-3.0132722823478693,1
17427,@chio_mtsu,-3.0125693936051032,1
8947,@medusaindespair,-3.0057317394959298,1
12874,@rakitweets,-3.0020987134088166,1
16091,@mr_grimshaw,-2.99775019233877,1
8460,@councillorkeats,-2.9954620296401875,1
12697,usefulstuff,-2.985516455769539,1
11604,@pinkferrari_kay,-2.980284672103038,2
21230,@a_vastano,-2.973722649444091,1
2696,#notgood,-2.972403245525701,1
12542,@meghanpickett,-2.9723903558320472,1
19441,@taylorsayles,-2.9680098757932063,1
23402,@kaylynsilva,-2.958381135826526,1
12433,preppies,-2.9577397139599686,1
3251,erghh,-2.95700553804636,1
19863,@karla_isabella2,-2.9489340990600796,1
17813,pas,-2.9480230097472666,1
8822,@coconikki82,-2.9393571191712424,1
16412,fullfillment,-2.938968903689008,1
9408,catchy,-2.9297574616697077,1
4667,shivering,-2.923298091378446,1
19296,dozing,-2.920338732270258,1
4857,@ginarees,-2.917651826081176,1
18581,wheelchair,-2.9119030218275768,1
13460,@gracie_dehaven,-2.9081793060669527,1
11731,onceuponatime,-2.901039568288475,1
9792,500th,-2.8989792615300467,1
23331,flue,-2.8968714877560795,1
18333,downpoor,-2.8947131461102567,1
12186,joyness,-2.887296142261359,2
19568,@ymaewk,-2.887055542539148,1
14795,@knappalapalin,-2.884678133224186,1
11570,@jadekimberley1,-2.87960156922539,1
12748,farnese,-2.876599356936671,1
12187,spindoctoring,-2.8700357150463827,1
16471,@inasar,-2.8623457845769353,1
12265,@alpalbianchs10,-2.8493059361542694,1
23281,@starbuckscard,-2.845071061886847,1
20066,@cloverhunting,-2.834745159579648,1
21368,@cu_problems,-2.832309764667685,1
6823,p.j.,-2.8264324591918424,1
13769,@iamrionevans,-2.825964605816575,1
6009,chez,-2.8146289077543076,1
12639,bistro,-2.807522432680507,1
2881,wonderful.â€,-2.7952544013830627,1
14768,daybreak,-2.7898185445687087,1
14925,swaggggiiinnnn,-2.7806222255413355,1
17607,@oshkabosh,-2.78060494735837,1
17002,@aaronmrichards,-2.780262127675509,1
16439,misspellings,-2.777633203764757,1
