,Word,Value,Freq
10389,ambivalence,-9.272468715906143,1
5170,sorrynotsorry,-8.843739837408066,1
4817,wiiiiiide,-8.720970451831818,1
13147,ohmypotato,-8.382393181324005,1
19932,awwwwwh,-7.81055859029293,1
21141,@chrisbsharp,-7.478601448237896,1
16193,ihatewhenthathappens,-7.296502232551575,1
13765,@r_holley3,-7.264768555760384,1
15416,wastetimetweetingaboutit,-7.258171573281286,1
22941,hopefullyagain,-7.167880579829216,1
23299,bestbeawesome,-7.120144611597062,1
14900,lazyday,-6.889828655868769,1
19878,@britneyspears,-6.838687986135484,1
17405,iwouldratherjustweardirtyclothes,-6.757099360227587,1
14619,seagulls,-6.527749242633581,1
10543,gradschoolproblems,-6.510750103741884,1
15831,@samoako21,-6.396708421409131,1
8352,favoritesweaters,-6.392897132784128,1
21209,missingvacationalready,-6.355318014354756,1
4814,#wanttoseemisamigos,-6.3553135097026825,1
8418,@zoeypoulsen,-6.332804545760156,1
21506,underachieving,-6.166636556386948,1
17365,yeaaay,-5.999230802059174,1
23266,grrrrrrr,-5.987962976098061,1
19255,pwgkliq,-5.9686963021755215,1
19306,disconnection,-5.926038421690464,1
18355,@ammunition4god,-5.888011574745178,1
9988,trepidation,-5.78899955909167,1
10942,bsnl,-5.76777108758688,1
13359,@waddupcass,-5.761142075061798,1
11849,@thereal1_smity,-5.728688260912897,1
14042,puzzle!!#butnotreallybecauseshebirthedme,-5.7210417161385205,1
20180,baldhead,-5.716560870409012,1
20930,@chrisbruno42,-5.7024822533130655,1
6064,scariest,-5.696520580599706,3
6481,krul,-5.681903123855591,1
7800,@amelia_loves1d,-5.655185226883207,1
13891,@lindsay_mathers,-5.65386039018631,1
7708,jaguars,-5.650283068418503,1
20739,@hannylap1119,-5.628427699829141,1
10447,doom,-5.626907921396196,1
12117,@laviede_kerrie,-5.543853029608726,1
20473,@crispysmores18,-5.451626571516196,1
4820,@vinnyguadagnino,-5.42827559908231,1
13118,whyy,-5.4224198162555695,1
13186,recklessestimations,-5.37186723202467,1
14795,@zackshull,-5.262444595495859,1
21811,@ashelysmashley,-5.261151552200318,1
15259,dooooooooone,-5.18584168702364,1
9845,parentals,-5.173287004232407,1
22636,thanksdaddy,-5.1534618735313416,1
16993,@zachbutcher2625,-5.122515320777893,1
18085,itspayday,-5.118369821068882,1
21291,up!factor,-5.106090203532949,1
22830,muhahahah,-5.082404434680939,1
15048,@siobhanshannonx,-5.071145166953405,1
3160,@katiemargolles,-5.0445025861263275,1
20666,@jessnicole210,-5.03419615461358,1
10137,flavorcombo,-5.014554815632956,1
20358,hatewinter,-4.951260358095169,1
17635,missingthesouth,-4.948148317635059,1
23160,@caleighdiekman,-4.931338980793953,1
2051,@jp_riley,-4.92424573097378,1
