,Word,Value,Freq
8347,iwillbefineinafewminutestobehonest,-3.2071085097268224,1
18528,youngsters,-2.5364144146442413,1
20847,liberated,-2.3064112594972053,1
6652,cleanbillofhealth,-2.0670658592134714,1
18887,diondemandsrespect,-2.0282631963491444,1
8449,counselor,-1.9822893093029657,1
6788,@karavmuyen,-1.9636604308888506,1
22922,world.#sadness,-1.9145672703827066,1
2969,feelspower,-1.839382128790021,2
19516,woohooo,-1.714047446846962,1
3187,enjoywhatyouhave,-1.5983734801411629,1
9429,xoxox,-1.592208370566368,1
9740,truejoy,-1.5301930978894234,1
16788,gr8ful,-1.5294764205813407,1
7485,shiftâ€â€¢â€¢â€¢haaay,-1.5286508553040528,1
6175,iam:)blessed,-1.5218890352672447,1
18356,choosefaith,-1.4910416901111603,1
23289,iminmiddleschool,-1.461431973427534,1
7940,showthemwhosboss,-1.430635429918766,1
2094,busses,-1.3999209732282907,1
17851,dowdy,-1.3944912418559356,1
11085,#surprise,-1.3942070310314496,2
12381,violationofaphysicslaw,-1.3729690823072036,1
22708,impress,-1.3670112267136574,1
20354,hostility,-1.364019262515718,1
16417,@jackiesirni,-1.3406358733773232,1
9557,fuking,-1.3316658213734627,1
13489,incision,-1.3219720051727362,1
13540,pawtucket,-1.3189069032669067,1
7582,whateverdadwantsonhisbirthday,-1.3064533059413617,1
3705,@princecapelli,-1.3051834645947171,1
12800,@portdouglassk,-1.2971181273460388,1
12853,#nonsense,-1.2923514902052518,2
18420,@ladyp1785,-1.287370847815293,1
22102,blackboard,-1.2761615812778473,1
12929,annoyingpeople,-1.2714269622927532,1
23144,greatday,-1.2651571482419968,1
5749,stratification,-1.2600250313058496,1
8493,committee,-1.2431211489518839,2
22247,simplifying,-1.2381234541535378,1
14243,yesss<3,-1.238105324695685,1
15122,impressed,-1.2378219049423933,1
4049,freakinh,-1.2340824108570816,1
5782,timetable,-1.2290776073932648,1
22309,8am-8pm,-1.227958538879951,1
10821,godsgrace,-1.2100726217031479,1
23253,nudephotorevolutionary,-1.1994244543569428,1
927,@patricia_j,-1.1959375264123082,1
22263,lieingfucker,-1.1786154583096504,1
15533,pureanger,-1.1731544017498179,1
20640,fbi,-1.1714400519927344,1
6452,eeee,-1.1664059098277773,1
20955,talking2everyone,-1.1657755225896835,1
21743,@jesshabif33,-1.1565212550173913,1
16912,youngapprentice,-1.1532904356718063,1
16202,strangle,-1.1479566358029842,1
17197,godisgood,-1.1323202967643737,2
20103,themoreyouknow,-1.1275651757915814,1
10432,kingdavid,-1.1266970112919807,2
8678,wondrous,-1.1189320546719024,2
23086,imsoexcited,-1.118821611172623,1
18500,n9,-1.1145273817082244,1
9632,@sineadkennedy89,-1.1025929160726564,1
18018,jack]white,-1.0913602574506687,1
8935,sprinting,-1.0886371433734894,1
12221,deconstructing,-1.0771643295884132,1
21499,have'em,-1.0757536524906754,1
8426,derm,-1.0716570961204441,1
15527,bitch@sickathanyaavg,-1.067559388499441,1
23075,@nathanireton8,-1.063889667391777,1
19538,paulocoelho,-1.0566009680430093,2
17208,everytrickinthebook,-1.0552342350461654,1
20882,gainesville,-1.0540347434580326,1
23007,@lexi_peters,-1.0536485761404037,1
13295,heart.#wonderfulfeeling,-1.0504394955933096,1
18149,@drpearlyywhites,-1.0496448582659161,1
17093,teeheeee,-1.0456671565771103,1
19197,arguement,-1.0420982860028745,1
1056,qbs,-1.0384851550062497,1
11270,â€œ@doreenvirtue444,-1.0384254275804712,1
22274,kingvipprotection,-1.0324501090217382,1
6892,transportation,-1.0302328020334244,1
9093,thatiswhatyouget,-1.0264635073641935,1
4820,@vinnyguadagnino,-1.0223910609881084,1
3338,¥âœ½âˆ—â€¢*â¨*âœ½,-1.0222217222736698,1
13634,â€œ@theonly_bk,-1.0182433806359767,1
15593,lookingridiculous,-1.0181668492034077,1
21775,beautifulthing,-1.0174922496080399,1
18534,hehehehehheheheheheh,-1.0160451829433441,1
18513,greaterpower,-1.0148890887697537,1
20850,@vasappenincherl,-1.0095338627696036,1
23100,earlyyy,-1.0090434774756432,1
5327,@mr_smerke3,-1.0084508127786898,1
16238,cba,-1.0077011086201917,1
16924,procrastinationisawesome,-1.0069929427866424,1
3057,familyforlife,-1.0067654717713594,1
15789,lubbly,-0.9987413104623557,1
18144,@heyheyheidi_pam,-0.9953292369842528,4
18833,readyyy,-0.9936321377754211,1
20199,sniffing,-0.9926169384270906,1
12620,oireachtas,-0.9909759511550268,1
11377,christmasmiracle,-0.9891720749437809,1
4848,fuuuuuuuuuuuuuu,-0.986543973783652,1
23140,peeves,-0.9823560893742574,1
15594,laundryday,-0.9809058666229248,1
22382,kirkfranklin,-0.9793451490501563,1
18130,screamingwithrage,-0.9731962113622681,1
17439,ballet,-0.9694448709487915,1
12456,madeacuppa,-0.9686438961486731,1
3782,hesitant,-0.9651208004603784,1
21010,@only1doyin,-0.9648333967530303,1
20546,@paperinspire,-0.9611473884433508,1
3365,yaay,-0.9600839018821716,1
10736,@fear_in_words,-0.959887009114027,1
1398,@trevorcrighton,-0.9594879826264722,1
19807,lovemylife-___-,-0.9526620917022228,1
17400,@dauletinho,-0.9482692259467311,1
1892,~23hrs,-0.9451993256807328,1
5992,terrify,-0.9440910572157009,2
8525,wisest,-0.9439654592424631,1
16884,fearoftheunknown,-0.942603949457407,1
2460,@mrfranklin101,-0.9396009189076722,1
18106,mmmmmmmmmmmmmmmmm,-0.9392301752232014,1
18383,@xlottie_brownx,-0.9384413175284864,1
22830,muhahahah,-0.9360526502132416,1
15824,christmas:)house7heaven,-0.9358799472947914,1
14763,@miamor_diorx,-0.9347844823367064,1
20077,leaking,-0.9339112788438797,1
22672,mawning,-0.9298136010766029,1
18002,â€œ@kevinhulsmans,-0.9264390289783477,1
20567,patethic,-0.9262987099593207,1
14439,babygoldenlord,-0.9257325027137995,1
3831,îœ¨,-0.9251728442807993,1
4976,~jesus~~~~~>john,-0.9201391311241435,1
11939,@brandoncurtis,-0.9198570288717747,1
16398,suddenandrelentlessdisappointment,-0.9165878117084503,1
18716,funnny,-0.9151566140174578,1
1569,flower.~s.c.,-0.9149341387358324,12
12080,kneel,-0.9135248430498075,1
5742,newadventures,-0.9115404710173607,1
5612,bi**h,-0.9115007321039835,1
13742,proposition,-0.9108127541840076,1
19465,â€œ@eden_lynn,-0.9090667394074528,1
19236,qute,-0.9062721915543079,1
16771,tastytweet,-0.9017803626401085,1
5599,readying,-0.9011063352227211,1
12549,bubblebath,-0.8978573175975019,1
16177,@gcole47hoe,-0.8936701610684394,1
5875,expectation,-0.8931185311609597,2
16564,fifa12,-0.8919585677795112,1
18227,derry,-0.8908173441886902,1
21352,gonnatakeforever,-0.8898283466696739,1
13085,thankgsgiving,-0.8838608419464435,1
22120,6am-9pm,-0.8829277945416314,1
20607,testsaregreat,-0.8826758228242397,1
15968,â€œ@sumuandcodotorg,-0.8808309534357656,1
15512,@tessawood1,-0.8805142535791768,1
7869,â€œ@swhs_tae,-0.8800005406141281,2
13390,christmaseveduedate,-0.8784715838730335,1
6291,imgonnaforgetitalltomorrow,-0.878109812736511,1
12389,staggered,-0.8762840546667576,1
22109,â€œ@calebsmith41,-0.8732225225203567,1
16057,spotless,-0.8715011080993074,1
13700,@cherlloyd,-0.8702366232872009,1
15819,gettinaweebitkneedeep,-0.8674378843083008,1
4966,trapattoni,-0.8669995132547157,1
5619,oh!rt,-0.8663549748626658,2
17594,eliot,-0.8663386404514313,1
6570,wonderfulthings,-0.8639038402587176,1
18289,cbl,-0.8633832790489708,1
7917,thejoyofbeingyou,-0.8626242044071357,1
22773,blast:|,-0.8622075794264674,1
15622,time!#freedom,-0.8584461137652397,1
7480,nighty,-0.8566255647689104,1
15052,@matteacelliott,-0.8544838428497316,1
11434,tomorrowat8â€ftw,-0.8514614070632629,1
21673,@1winningdrive,-0.850406077504158,1
19132,â€œ@barackobama,-0.8499426939270713,1
16264,hopeyouhappy,-0.8473299190571363,1
3248,dispatcher,-0.8464526906609535,1
6908,@jimkomorowski,-0.8449595222870507,1
20832,pricks,-0.8437187448143959,3
9517,toaster,-0.841846024338156,1
15464,@serenityreiki,-0.8408393150364811,1
8864,chirp,-0.8392875920981169,1
11682,@samantha_maye,-0.8386770286375569,1
13683,@jonasfearless,-0.8382176304502147,4
14461,mangoessssss,-0.8341906091996603,1
10595,ahnold,-0.8337079036980868,1
21796,@danielelliott17,-0.8329438934723535,3
9472,circumstances.~gandhi,-0.8316824855903784,1
22602,@meganfernandez1,-0.8305534669863327,1
10684,god.-joyce,-0.8294594958424568,1
21628,@eriklewish,-0.826429599807376,1
21818,prepared!.,-0.8260160129339923,1
10454,vivamwell,-0.8222191526554524,1
10425,chã¶drã¶n,-0.8196274733727242,1
11552,truenature(wholeness,-0.819350386318428,1
17036,@edcampfv,-0.8184986070876843,1
13397,caffeinewithdrawl,-0.8165789665654302,1
19861,whisper,-0.81621916188548,1
22718,@autumnphillips4,-0.812138570845127,1
8191,@sophia_shaffer,-0.811983821954992,1
20203,tooexcited,-0.8104599118232727,1
12559,goodwilltoallmen,-0.8100906976244668,1
16789,@msdebbieallen,-0.8100835211575033,1
15588,trustme,-0.8099925687660774,1
2762,hugh,-0.8081257250159979,1
17612,re]discovery,-0.8071934113899866,1
11276,sunshines,-0.80568234808743,1
18776,keepin,-0.805169824333418,1
20910,@suzannembakker,-0.8028319776058198,1
9330,mentally*spiritually*physically,-0.8025039298747199,1
11203,smellsamazing,-0.799880563095212,1
8823,â€œ@ngrant60,-0.7997887563847359,1
2755,@joeyration,-0.7986140499512355,1
11906,â«@tayblackpassion,-0.7985155165195464,1
9269,@agents_of_info,-0.797245229092928,1
14918,8.00/9.30/11.00pm/1.30/3.00/5.30am,-0.7971348332034214,1
10034,happyyy,-0.7936316803097725,1
19136,1.employee,-0.7922919287600301,1
1507,boldnessâ€,-0.792062575618426,1
3056,yayyyy,-0.7897709891200065,1
22898,feelsgreattobeme,-0.7878589646092481,1
7367,"rt""@revrunwisdom",-0.787608274187033,2
2150,â«@revrunwisdom,-0.786518865048772,13
20271,â€œ@thewrightwingv2,-0.7847174517810345,1
8425,cocky,-0.7846137034622106,1
19854,clan,-0.7842988949269056,1
4135,foyer,-0.7842829365815436,1
21224,@kellllybeebee,-0.7841294514281409,1
15482,attenborough,-0.7838788671419025,1
