,Word,Value,Freq
20864,truejoy,-0.7940577728052933,1
13817,chocolate~,-0.7827103137969971,1
14227,sharting,-0.7678722888231277,1
11046,nooooooooooooooooooooo,-0.7422507405281067,1
22330,crippled,-0.692354725745435,1
1042,responsibility,-0.6901107281446457,1
8568,crucify,-0.6833556971978396,1
19816,scarredforlife,-0.6035648107528687,1
22405,separationofchurchandstate,-0.5822108801066253,1
20955,winter+christmas,-0.5492705851793289,1
7782,knackered,-0.5396486837416886,1
12629,hours:|,-0.5278656855225563,1
6470,preachings,-0.5263576507568359,1
21588,theartofwar,-0.5135376278311015,1
19817,smile.-mother,-0.5066142592113465,2
22084,heart.#wonderfulfeeling,-0.46839291229844093,1
3502,ambivalence,-0.45277048647403717,1
10965,fightingg,-0.44920598649020704,1
13348,swolen,-0.4479657784104347,1
8189,time!#freedom,-0.44591743623216945,1
13945,@caitlynxjesus8,-0.439118267968297,1
10675,mondaytherapy,-0.4386695601046085,1
21890,nfac,-0.4379719754060109,1
15497,eew.dont,-0.4238254129886627,1
9344,loyalty,-0.42179410292633945,2
1598,flower.~s.c.,-0.42135444283485424,10
20076,purpose+authenticity+joy,-0.41925355601005065,1
7622,joyjoyjoyjoyjoy,-0.4164523292671551,1
22980,liftinseason,-0.4163876324892044,1
21666,otthappiness,-0.41509099993854764,1
9134,anorexic,-0.4147143229842186,1
19906,recitation,-0.41427416230241465,1
19697,hustle,-0.41053181460925514,1
7156,banning,-0.40772663056850433,1
4035,mortifie,-0.40547818467020985,4
20887,elliptical,-0.4040904988845189,1
21545,forward~,-0.4000634206902413,1
21505,@viviensabel,-0.39687942713499064,1
16907,sin.#retaliate,-0.3946382668800652,1
16412,fullfillment,-0.3907404896887866,1
21777,spinal,-0.38806479281435413,1
17593,tomorrow!=/,-0.38746932074427604,1
22398,peaceout,-0.38654193681265625,1
12317,dislocate,-0.3839769467711449,1
4402,so.rawwwwwwwwwwwwwwr!driving&nosey,-0.3796065903913516,1
6309,unemplyment,-0.37851546279021675,1
12736,reciting,-0.37831029295921326,1
8467,worldâœ¡prov.2:5,-0.37420852748411043,1
7419,depleted,-0.3739355144401391,1
10793,demolish,-0.37294650397130424,1
14020,conscience,-0.3705574218816229,2
8150,irritable,-0.368042916417695,1
6340,torment,-0.3675115473257999,1
