,Word,Value,Freq
18100,http://www.yelp.ca/biz/arepa-cafe-toronto#hrid:pxplj67nbkqa-vcbm8_93w/src:self,-3.3483359866979074,2
10730,150.00service,-2.5654111043550074,4
18742,https://www.consumeraffairs.com/pets/banfield.html,-2.528768920451404,4
10352,wobbly,-2.225046235322952,1
17716,speechless,-2.1562115103006363,2
6958,disallowed,-1.905462123453617,3
14834,exaggerates,-1.8420275207608938,1
14183,smudged,-1.8306162568430107,4
13431,chincey,-1.7399352920682811,2
14476,disappointed:/,-1.718055770510719,3
14142,bueno,-1.6121697080129325,9
9799,steffes,-1.5783210504800078,3
13040,09/02/18,-1.545569943446739,5
2606,dumbest,-1.5298166112999416,6
12917,ched'r,-1.4420549240287233,2
16972,beware!!!!!was,-1.430071231741936,2
8889,j'évitais,-1.4011332341987224,1
13086,thoughtless,-1.3683602763546838,1
11461,hogwash,-1.312269667784373,4
15330,unchewable,-1.3007295232379075,2
11562,overslept,-1.2848882250197524,2
10712,raw)place,-1.254611891756455,4
5953,dickie,-1.233128972351551,1
20179,priced.you,-1.2305747112065095,3
13054,heatstroke,-1.2005910575389862,3
14702,unbalanced,-1.187109804401795,1
11754,alway,-1.1042027490834396,3
14865,misdiagnosis,-1.087041708139273,4
6342,cripplingly,-1.0444827127569127,4
13713,soliciting,-1.0444124317563632,3
13422,musty,-0.958340189673684,3
13327,teri,-0.9567240377267202,2
19422,apecial,-0.9337759919464588,4
20473,http://flic.kr/p/c7gdis,-0.9198626211711343,2
10207,inconviniences,-0.9120515923843615,2
1470,overpriced,-0.8872992554531354,130
19442,molester,-0.8651821869942877,2
15036,bearded,-0.862539996116228,4
14663,overprice,-0.8624088628492579,4
15333,azzhole,-0.8591205457738346,1
13964,nastiness,-0.8546471457354166,4
12641,6:40pm,-0.8377827369249784,4
10556,unbearably,-0.8373921693048696,3
18105,4:30pm,-0.8346268804608912,2
14332,goin,-0.831218994689452,5
15483,puny,-0.8288260526040144,3
18658,dud,-0.8233362204498715,1
16016,financjal,-0.8191930476602977,3
