,Word,Value,Freq
0,nothing!!!how,-0.4861459,1
1,brands!don't,0.41810936,1
2,not!!the,-0.26605022,1
3,puking,-0.31302762,1
4,did.not.like.it,-0.7455009,1
5,disservice,0.6103809,1
6,shameful,-0.3196859,2
7,nixed,0.5634093,1
8,disorienting,-0.036891837,1
9,despict,1.2218558,1
10,horribl,0.7918724,1
11,wrong!wrong,-0.79317516,1
12,dimly,0.63130724,2
13,wastage,0.14730912,1
14,junkmessy,-0.73825234,1
15,resolved.big,0.7516499,1
16,it!dislikes:-it,0.34302738,1
17,boring----nice,-0.63336426,1
18,terrible!!!!if,-0.37917793,1
19,huh?wish,0.94279975,1
20,bled,0.7080584,1
21,disapointing,-0.7583147,2
22,greateasy,0.67295456,1
23,unattractive,-1.1739405,1
24,"18"").wasted",-0.13531618,1
25,trashif,1.1035157,1
26,unstatisfied,0.38765398,1
27,quickly.computer,1.2097318,1
28,dissappointment,0.30802545,1
29,"2006,shes",0.9644606,1
30,out!!shame,-0.39199004,1
31,unsusual,0.3231049,1
32,stinking,-0.1257057,3
33,saggy.they,-0.0026705884,1
34,disappearcomplete,-0.5254016,1
35,flustrating,1.9469444,1
36,weak-,0.29560056,1
37,unmatched,-0.44659734,1
38,turnoff,0.69050777,2
39,hindered,0.42531,1
40,.this,1.0936908,1
41,oaky,0.64146185,1
42,easily.dont,0.55242765,1
43,anhonest,-0.2884065,1
44,nonthing,-0.0345133,1
45,disappointed!okay,-0.89736426,1
46,disgusting.1,-0.507548,1
47,cheap[ly,0.2413954,1
48,productreally,0.8993615,1
49,shabbily,0.5954993,1
50,gimicky,1.3328456,1
51,infantile,1.035873,1
52,cheap-,0.691618,2
53,disappointment!the,-0.76799065,1
54,shinny,1.2632018,1
55,nothing-,0.27297458,1
56,hard).i,0.94666535,1
57,indulgent,0.9355961,1
58,"it,,very",0.8341011,1
59,product--,1.0432858,1
60,wond't,0.22263406,1
61,dissapointing,-0.46426812,5
62,gimmic,1.2609628,1
63,craked,0.16063234,1
64,misgivings,0.68812454,1
65,back???sad,-0.1556493,1
66,roundly,1.0342716,1
67,here?!direct,0.6305783,1
68,xh$#@.,0.06445411,1
69,gillion,1.0267088,1
70,looking!this,1.7653903,1
71,20.00crash,0.38638267,1
72,fake!,-0.3088664,1
73,boringly,-0.21174264,1
74,dinky!not,-0.51282316,1
75,malfunctioned-,-0.41443974,1
76,wrong!they,-0.7017862,1
77,junkkids,1.546321,1
78,cheap.cheap.cheap,-0.77498853,1
79,does't,0.29073212,1
80,minuscule,0.91183424,3
81,bannished,0.75439966,1
82,obsolescence,0.72877896,1
83,parts.hopefully,1.3623132,1
84,but1,0.9516503,1
85,toy.the,1.769373,1
86,unscented,-0.39357078,1
87,unsharpened,-0.37995687,1
88,largeand,1.0484835,1
89,http://youtu.be/s6-5rfbj6s4,1.1112913,1
90,futilty,0.72924995,1
91,deleted,0.52551734,2
92,by.hope,1.4136094,1
93,beware!pros,-0.4828203,1
94,unfortunatley,-0.091841795,1
95,nuff,0.5873152,2
96,goes:1st,0.47052944,1
97,apart!i,1.3686384,1
98,"""speedorz""",1.0564963,1
99,anymore?my,0.36208752,1
100,misrepresented,0.33439317,2
101,"go""ing",1.0149008,1
102,arrrgghhh,0.48369858,1
103,din't,0.44817746,1
104,vacuume,0.6520964,1
105,s***ty,0.23484525,1
106,use!disapointed,-0.96856964,1
107,28.99,1.0692272,1
108,verrrrrry,0.09706272,1
109,jerky,1.0656811,2
110,25~,1.0962416,1
111,immedialty,0.8430682,1
112,made.so,1.5294837,1
113,squirrelly,-0.08079056,1
114,a$$,1.053486,1
115,crownbad,0.73011506,1
116,buuuuut,0.6809474,1
117,unworking,-0.078837186,1
118,oddest,0.5702562,2
119,out!!!cons,1.184255,1
