,Word,Value,Freq
0,familytogetherness,-0.8870707,1
1,ourfuturejourney,-0.91095376,1
2,introduced,-0.370978,1
3,grandmas,-0.9413723,2
4,@_jeanralphio,-0.6244135,1
5,lily,-0.63263947,1
6,dawns,-0.8006814,1
7,thursday,-0.5604146,2
8,@nico_rosberg,-0.45726892,1
9,@tvarney92,-0.6703789,1
10,day!!î,-0.43432364,1
11,good'night,-0.71347743,1
12,@camillewhitty,-0.63361657,1
13,theyearofourlord1665,-0.9183842,1
14,happyholiday,-0.98517853,1
15,merrychristmas,-1.0359654,1
16,mas,-0.3200347,1
17,tomorrow:/,-0.78031164,1
18,readyyy,-0.40894836,1
19,breathing,-0.40658075,1
20,@anneaustin554,-0.6202889,1
21,alllnight,-0.36134422,1
22,lovemylife-___-,-1.0296949,1
23,@steverep44,-0.6064063,1
24,--babe,-0.35352218,1
25,thishappenseveryweekend,-0.99600226,1
26,jimmie,-0.8699476,1
27,-babe,-0.5217602,1
28,bejoyful,-0.77798426,1
29,goodmornin,-0.6978345,1
30,@katiedoyle18,-0.5316897,1
31,@2pplinme,-0.49427804,1
32,8'o'clock,-0.42842582,1
33,cinnamon,-0.44056135,1
34,@arundanush,-0.45062318,1
35,announces,-0.4021365,1
36,@protonicexplode,-0.12143758,1
37,gemini,-0.22602442,1
38,@miamor_diorx,-0.5262253,1
39,truenature(wholeness,-0.10928415,1
40,thanksgiving,-0.9432044,12
41,matchday,-0.44552174,1
42,@irenevcmortera,-0.69574094,1
43,cuddle,-0.42914215,1
44,luckyme,-0.55432636,1
45,twinnys,-0.38482666,1
46,mmmmmmmmmmmmmmmmm,-0.7066237,1
47,@marisashawn_xo,-0.5564103,1
48,@itskevinellis,-0.5778929,1
49,a.m.,-0.45578292,1
50,celebrate,-0.773429,2
51,christmas,-0.8691983,65
52,@rusty_roberts,-0.73460686,1
53,@summer_kanee,-0.7578114,1
54,@jackiiehanhan,-0.39493242,1
55,suddeninspiration,-0.3903259,1
56,@benjaminphoenix,-0.712164,1
57,derry,-0.14287888,1
58,evening,-0.6261281,7
59,26th,-0.21485747,1
60,flowers,-0.33312425,1
61,@xlottie_brownx,-0.5331253,1
62,@bbcbreakfast,-0.4227774,1
63,@redeyechicago,-0.20644252,1
64,goodbyes,-0.651502,1
65,friday,-0.6866925,16
66,ruth,-0.28873622,2
67,@sachalan,-0.40503052,1
68,@edcampfv,-0.5270305,1
69,homecoming,-0.63800615,2
70,noteventhanksgivingyet,-0.8781461,1
71,choir,-0.28071377,1
72,wedding,-0.72283065,1
73,tomorrows,-0.67681813,1
74,daughters,-0.6251088,1
75,@scrooodles,-0.48197412,1
76,tistheseason,-0.63636196,1
77,winter+christmas,-0.9158124,1
