,Word,Value,Freq
0,time!#freedom,-1.3780152,1
1,crucify,-1.1250131,1
2,hatewinter,-1.1637499,1
3,contentment,-1.0383476,1
4,greatness,-1.1633904,1
5,studentsagainsthate,-0.9636013,1
6,feasting,-0.9734534,1
7,venting,-0.59676486,1
8,ughhh,-0.3298245,1
9,orthodontist,-0.51771855,1
10,fools,-0.7553209,1
11,owlishcatwoes,-0.042366114,1
12,sacrifice,-0.87566394,1
13,conquer,-0.3689165,1
14,contradiction,-0.43259618,1
15,confined,-0.024033645,1
16,clogged,-1.0930084,1
17,loathing,-1.6935349,2
18,fearoftheunknown,-1.5111239,1
19,@lowerbodyinjury,-0.5139857,1
20,fullfillment,-1.1462476,1
21,disturbed,-0.52819747,1
22,soaked,-0.779142,1
23,sameness,-0.18942346,1
24,thisbringsmejoy,-1.2455741,1
25,torment,-0.37747297,1
26,divine,-0.6617022,1
27,heartoflife,-0.6369415,1
28,disgusted,-0.7687864,1
29,rejects,-0.143563,1
30,sickening,-1.3109053,2
31,comprehension,-0.21112621,1
32,tooselfishforaction,-1.1443197,1
33,forcing,-0.43924022,1
34,madness,-1.6180092,2
35,meditating,-1.0942402,1
36,emotionally,-1.1259048,1
37,truenature(wholeness,-1.4523344,1
38,headache,-1.2055484,7
39,useless,-1.1007649,3
40,swollen,-1.2191639,1
41,#hate,-1.0672059,1
42,consumerbehavior,-0.5629137,1
43,obligation,-0.30042756,1
44,grieving,-1.5103059,1
45,tears,-1.332101,23
46,wealth,-0.3990438,1
47,fingernails,-0.660926,1
48,godsgrace,-0.84579915,1
49,nursing,-0.84645736,1
50,gospel,-0.657295,2
51,sigh,-1.0751634,3
52,conservation,-0.6097161,1
53,breaths,-1.267025,1
54,panicking,-0.49422455,1
55,recitation,-0.3275709,1
56,hangover,-1.1455487,1
57,bringthepain,-1.2773199,1
58,fuckfrench,-0.3315185,1
59,#bored,-1.0867387,1
60,mufu*king,-0.7066615,1
61,everithing,-1.0566711,1
62,darkness,-1.2050602,2
63,sickness,-1.5408969,3
64,thismorning,-0.7355146,1
65,sin.#retaliate,-0.64835566,1
66,chaos,-0.746021,1
67,flooding,-0.9415155,1
68,believing,-0.92712814,1
69,christmastime,-0.8446866,1
70,uncomfortable,-0.8194441,1
71,deadpoetssociety,0.11290679,1
72,ignorance,-0.05584168,1
73,deteriorating,-0.64900106,1
74,dissapointment,-0.964569,1
75,grieve,-1.2653414,1
76,weeping,-1.3396336,2
77,dvrproblems,-0.9629299,1
78,bonding,-0.63953006,1
79,raging,-0.8226803,3
80,f.e.a.r.,-0.6956607,1
81,sighsofrelief,-1.5187562,1
82,deficiency,-0.60858434,1
83,revolution,-0.47112894,1
84,orpheum,-0.36351734,1
85,flower.~s.c.,-0.39776725,2
86,#christmasproblems,-1.1916441,1
87,holocaust,-0.9025643,1
88,itchy,-0.06870653,1
89,comfort,-0.812792,1
90,meditation,-0.71693337,1
91,worried,-1.2430135,1
92,effer,-0.16414529,1
93,activity,-0.7262202,1
94,@medusaindespair,-1.1328673,1
95,hungry,-1.5053564,2
96,grrr,-0.5919676,1
97,stabbed,-0.38439766,2
98,eternally,-0.4017181,1
99,îœ¨,-0.6142072,1
100,sororitygirls,-0.12280642,1
101,churchhhh,-0.54720503,1
102,surrender,-0.80670667,1
103,kindness,-0.96572083,2
104,-thich,-0.63901925,1
