,Word,Value,Freq
4512,friendzoned,-12.096129901158264,1
11596,misbah,-10.952331801471077,1
16954,djokovic,-10.232856778861409,1
100,afraid,-9.907238649078526,226
7400,scarier,-9.669727559723839,3
15250,disrespect,-9.454136174595362,1
11518,intimidated,-9.272178280017455,1
3144,pakistan,-8.871818319143943,3
17274,hurley,-8.837151856758979,1
13295,backfire,-8.763788161455203,1
354,scared,-8.747413971073573,54
16955,nadal,-8.721224352098526,1
3364,kardashians,-8.69914364621779,2
3811,unfollowed,-8.58034581073472,2
9232,pittsburgh,-8.501613633225952,1
9194,tgw,-8.36207947932914,1
922,buehrle,-8.259601983730615,2
3227,dsnt,-8.25251360952838,1
6065,skrillex,-8.214723106562918,1
8199,unauthorized,-8.145545501790318,1
3690,feared,-8.129115449479931,1
10155,poachers,-8.110675277450934,1
7244,saguaros,-8.110210045766392,1
12392,n.a,-8.04905046421302,1
10712,threatened,-8.000693060027935,1
7331,disrespectful,-7.9328694258062695,3
12307,ddnt,-7.922075820192024,1
21,fearing,-7.886865337322722,6
7482,disapproval,-7.798038415822743,1
7712,stalkers,-7.768597112423513,1
5158,spoiler,-7.753859089296061,1
10972,shoaib,-7.70597892113217,1
13325,shhh,-7.6865593672865185,1
4333,brody,-7.65190123679617,1
3053,cutler,-7.642335515273493,2
6416,mistaking,-7.631632406905681,1
6029,kourtney,-7.6110895767801905,4
8155,timidity,-7.592609728657082,1
197,fear,-7.59080455216808,157
5404,miscalculation,-7.566408950195685,1
3886,disappoint,-7.56178807883364,1
10896,hid,-7.533083384963859,3
19107,stalker,-7.494894313187418,1
11042,jobro,-7.488266640810069,1
7876,threat,-7.467926871830141,2
12585,katniss,-7.460273920310065,1
6028,kardashian,-7.460074064527522,2
12024,deters,-7.458561938309383,1
8898,warned,-7.448713742210076,2
9519,unprepared,-7.409915209761919,2
5679,fearful,-7.354758878756732,2
8340,vaw,-7.334282112993182,1
3619,danger,-7.327459309372644,7
1613,scares,-7.322659098868061,6
3468,unfollow,-7.319378402178483,3
11431,tyga,-7.313710914553688,1
12398,silenced,-7.311114867942287,1
4659,creepy,-7.30018409318791,8
10394,ewok,-7.290840453507759,1
6042,hottopic,-7.25015259425933,1
3509,pssst,-7.233783369809044,1
3362,disappointed,-7.230259751951145,7
6278,threaten,-7.21762075261196,2
3536,joeys,-7.178847970002422,1
1242,dissent,-7.178439542553763,4
3352,accidentally,-7.116673168665,9
11566,dangerous,-7.095780596704648,2
6941,sm1,-7.092651046028273,1
12463,silencing,-7.090256799194512,1
19013,chewbacca,-7.0813582784552676,1
17721,dosent,-7.0676903436170395,1
15352,creeped,-7.062541888805955,2
920,whitesox,-7.047283756711492,1
6899,spiders,-7.023254299940342,3
16632,himym,-7.018183673587407,1
18867,hillary,-7.00542390460449,1
11844,hides,-6.997865880032687,2
10443,alejandro,-6.994828276212139,1
15451,insecurity,-6.986830479127141,1
7498,blindside,-6.97758538587493,1
444,hiding,-6.976087500409859,9
8505,disgust,-6.925433243404706,6
8420,prank,-6.906045170408005,2
7773,protests,-6.874370363659713,1
7002,bangs,-6.869498420190051,1
9932,smokers,-6.845249212593947,2
7642,cowards,-6.80070220052603,2
11132,copycat,-6.780118642910468,1
16025,drones,-6.779957270150415,1
19215,unplayed,-6.757131362391804,1
13164,hesitant,-6.749396451162613,1
18684,harmed,-6.743251412233773,1
9366,coward,-6.741444506399365,1
6408,keurig,-6.7293595188761195,2
8730,repression,-6.705840985596366,2
6859,underestimate,-6.675838802516937,3
17239,joes,-6.643671678692289,2
1238,dehumanizes,-6.611850854491114,2
7061,fooled,-6.608614310201943,3
3020,dismay,-6.600372366324598,1
3464,repercussion,-6.598752991495793,2
13201,greyson,-6.580340052215615,1
3154,soumya,-6.559923927990178,1
3307,deleted,-6.537598962793295,9
14153,mayo,-6.532268374894856,1
20151,blindsided,-6.526771435556084,1
1070,ewww,-6.526491065209535,4
1943,hairstyle,-6.520175573039884,1
10157,shitless,-6.51018904201946,2
20182,st.louis,-6.503943491875561,1
11891,wuss,-6.4973527540365765,1
12223,bullies,-6.4963479821836305,2
5347,hardstyle,-6.493240232812703,1
9687,bcuz,-6.491358591187896,2
18397,libyan,-6.485418097395707,1
11824,aamir,-6.480495017800758,1
5769,mousetrap,-6.470962748297165,1
2522,lack,-6.467932086392048,9
8991,dared,-6.451596908336606,1
2487,unaware,-6.450808195207643,2
6153,smfh,-6.4494803842734,2
9151,complacency,-6.446193705058481,1
11034,protest,-6.433436973190899,2
1696,paterno,-6.430900110454097,1
