word,score,wordCount,SVM_Rank
igourmet.com,49.48485948391747,5,0
7-pound,45.03095374643127,1,1
omega-3s,39.80628636852689,1,2
lingonberries,39.51482191049544,11,3
whonu,39.03198779944064,4,4
cloudberries,38.337924841972686,2,5
versital,38.18756169434345,2,6
crispbreads,35.0627559929876,4,7
10-star,34.93730641716923,1,8
40-pound,34.30935615808386,1,9
25-pound,33.78845997828181,1,10
igourmet,33.68724600283523,2,11
relaxed,33.57670532524868,7,12
15-pound,33.36214003659402,9,13
versitile,33.34221652682907,2,14
15-ounce,33.29002541974556,2,15
tzatziki,32.797057449006154,4,16
fastest,32.69241561370154,1,17
vinaigrettes,32.274410353398544,1,18
mcdougall,32.25677346559843,3,19
trang,32.20768551882754,8,20
marinades,31.725041176535854,5,21
omega-3,31.64154568764238,12,22
flavourful,31.604085895340333,1,23
8-ounce,31.418400267060676,3,24
1-pound,31.174360418789647,8,25
4-pound,30.925080909531534,1,26
savoured,30.86670030785089,1,27
30-pound,30.710015358816964,1,28
heirloom,30.309106449273216,4,29
fesenjan,30.27335091750473,1,30
6-ounce,30.170458503270446,5,31
statins,30.140204417056687,1,32
10-ounce,29.979542498597993,1,33
brisker,29.97889700247524,1,34
magnum,29.96675457207265,1,35
promptness,29.868877560721643,1,36
excellant,29.813500021621113,1,37
creamiest,29.758552921737753,3,38
fattoush,29.751338544944105,4,39
calm,29.69496589813492,7,40
purrfect,29.66163581573594,1,41
terrifc,29.567375008975276,1,42
invaluable,29.3620903760433,1,43
leisurely,29.197525622785836,1,44
2-lb,29.193078296426684,1,45
courteous,29.14564984239015,17,46
superbly,29.144876923991163,1,47
puddings,29.109413022034744,1,48
calming,29.107118387201712,3,49
calmer,29.037430488619883,1,50
around.i,28.95573080786068,1,51
breeze,28.922599005997778,5,52
francaise,28.842245434496412,1,53
7.5-ounce,28.67090104034144,1,54
3-pound,28.53728327133129,1,55
freshing,28.53653815975155,1,56
50-mile,28.518479117784267,1,57
tacs,28.49694033473375,11,58
smoothest,28.483927227293435,6,59
superb,28.415307959754145,25,60
flavorable,28.401803343869794,8,61
7-ounce,28.26128234605115,3,62
painless,28.202909832945963,1,63
nicce,28.178682043739432,1,64
impresionante,28.13456243755265,1,65
brisk,28.10872233487816,2,66
ease,28.087386804327064,22,67
zico,28.030814262548873,7,68
coolest,27.77955396845627,2,69
yellowfin,27.775799080073632,1,70
delious,27.763532408849873,1,71
basmati,27.756803368424283,20,72
unfailingly,27.740886828680605,1,73
9-ounce,27.69119030923433,5,74
holic,27.592785632844638,3,75
easiness,27.583989172399455,1,76
quickest,27.529377295354813,4,77
braces,27.499720431427406,2,78
efficient,27.471725411182568,8,79
enjoys,27.436200545374035,43,80
peasy,27.416105114794036,1,81
chowders,27.364313139020794,2,82
versatile,27.35902848804882,25,83
kamut,27.240026034891528,5,84
excelent,27.226897522338717,1,85
kippered,27.196347863508578,1,86
13-ounce,27.10574197972913,1,87
effortless,27.035618737197716,2,88
relaxing,26.9994285593493,16,89
deliscious,26.860883759454964,1,90
complements,26.763708280672255,2,91
flashcard,26.574666396716207,1,92
retriever,26.527963951870323,8,93
chilled,26.527275150637863,12,94
kneads,26.481581763504913,1,95
crispness,26.410982153052707,7,96
godsend,26.384637430584,10,97
100-calorie,26.35090909213549,5,98
12ozs,26.32874527438912,5,99
favorie,26.324456842834625,1,100
coffeecake,26.235383308025945,1,101
satisifies,26.191969665915025,1,102
mackerel,26.13187635996799,6,103
speedy,26.11546427213092,9,104
iranian,26.060483010605537,1,105
tastiest,25.996802435617063,10,106
wholegrain,25.970653449044043,2,107
terrific,25.94175274145872,25,108
best.i,25.872750266490335,2,109
wonderful,25.844810866869995,462,110
indispensible,25.646599033329316,1,111
unbeatable,25.58499382968334,4,112
creaminess,25.532224725307582,17,113
quickbreads,25.44316442904889,1,114
nicest,25.43374825101434,7,115
wherever,25.431884100245746,3,116
fillets,25.422446605214496,2,117
wondeful,25.421599336083702,1,118
bluefin,25.35866012755394,1,119
feta,25.343726731714828,1,120
breezy,25.34245946297262,1,121
soothing,25.32328020631645,14,122
muscle-,25.31957188185258,1,123
cucumber,25.206322135698116,8,124
instructor,25.185392397319568,1,125
adores,25.175918967838054,3,126
progessing,25.132407691974272,1,127
versatility,25.105707727220544,3,128
agood,25.05925718276547,1,129
affordable,24.997951741189745,48,130
portable,24.81459484343177,12,131
omega3,24.788779837321293,1,132
flavorful,24.78743933708534,170,133
awsome,24.72112618994352,2,134
mainstay,24.693118973828234,1,135
portability,24.688747639339795,6,136
exeptional,24.656556733979016,2,137
lox,24.62648144818177,3,138
delisious,24.553388114627708,1,139
heckuva,24.543950570627526,1,140
26-mile,24.471117617438463,2,141
marvelously,24.27031701341184,1,142
timeless,24.252897122489422,1,143
easy.i,24.233603777039953,1,144
looove,24.1886359208686,3,145
grandfather,24.18591888583431,3,146
refreshing,24.06463574514592,137,147
beauiful,24.06351711498133,2,148
eased,24.059321830226786,3,149
refrigerated,24.014154017287908,19,150
boon,24.000888613092826,3,151
beautifully,23.997813146797686,14,152
dentist,23.990428848457057,2,153
polyphosphates,23.96801282273264,1,154
presoak,23.94510400795599,1,155
lunchtime,23.935630056755052,2,156
crispbread,23.875978378641804,8,157
scottish,23.871260238006798,4,158
prefect,23.7807810709865,1,159
enhances,23.774830338242452,11,160
lumpfish,23.769725560145325,1,161
appreciates,23.721064318422833,7,162
enjoyed,23.67318177438527,246,163
bg,23.6468417129136,6,164
ez,23.631333642685647,10,165
fantastic,23.609998562101488,135,166
stockings,23.604910699251526,1,167
criollo,23.57250000628609,6,168
bestest,23.554752639960554,1,169
smokehouse,23.54302877868474,26,170
excellent,23.520260221965096,409,171
elegant,23.47133876195239,8,172
tanginess,23.464258723930378,2,173
chimichurri,23.445589817064374,2,174
crisp,23.428851370545615,120,175
v-8,23.402723917928206,16,176
excellently,23.378180730872863,3,177
buche,23.3739180581924,1,178
yummiest,23.373911232535377,1,179
great,23.35952342406013,2854,180
flatbreads,23.333193174566933,7,181
better.and,23.31123435134022,1,182
albacore,23.23191676154281,9,183
happiest,23.21115050340598,1,184
istant,23.201022473874986,1,185
patisserie,23.179889934923104,1,186
sumac,23.16599756253525,1,187
snacky,23.15515441866988,1,188
yummmy,23.10835612268101,1,189
glycerite,23.09647298359947,1,190
reciepes,23.007036422613112,1,191
splendidly,22.986555251465433,5,192
friendly,22.90832909779124,38,193
footstool,22.8987780454761,1,194
adore,22.877351067495397,12,195
savored,22.861403851598492,2,196
fabulous,22.823014374308737,38,197
crispiness,22.758925887663217,3,198
fab,22.70381699228182,3,199
favourite,22.699378829799485,4,200
12-ounce,22.691808379005558,3,201
smoothly,22.685869880126006,2,202
stumbleupon,22.669759678637483,4,203
expertly,22.653851848039636,1,204
icebreakers,22.643551955703565,4,205
quicker,22.586781251403217,8,206
calms,22.580559174959262,3,207
advantages,22.53377001284592,2,208
faster,22.4910087551406,30,209
invigorating,22.469125085104075,1,210
great-,22.4688417453715,1,211
cuppa,22.4469591885965,4,212
crane,22.44626313053808,1,213
splendid,22.417448784609004,2,214
tofutti,22.371498195495107,1,215
brit,22.34445596363492,1,216
mousses,22.33830327216806,1,217
progresso,22.30694451715739,13,218
jugs,22.29373487857031,1,219
wonderfully,22.271727772829976,26,220
lighten,22.252056263531095,1,221
immensely,22.234304473753113,15,222
creamery,22.16871248143166,1,223
xuan,22.144805001923412,1,224
choicest,22.070026035768784,1,225
mariner,22.042371317651632,1,226
flexibility,22.026176769365144,2,227
cinnamony,21.973573105267622,2,228
crunchiness,21.93067524718527,1,229
croix,21.922560579526063,4,230
inexpensive,21.901926431546926,43,231
refridgerated,21.898658684873304,1,232
perky,21.891498305515967,1,233
smoother,21.881424843266608,34,234
lovely,21.875836166676304,55,235
delish,21.865656588443485,5,236
neat,21.827504630423284,5,237
grocer,21.81197058752247,22,238
avo,21.806943799137898,1,239
salmon,21.790563331708103,70,240
dharana,21.779889679139604,1,241
reuseable,21.773501380392084,1,242
moisturized,21.736350532890317,3,243
gyros,21.73449196737759,12,244
priceless,21.732867174076315,1,245
simplicity,21.712156823618656,1,246
flawlessly,21.6877763003447,1,247
steady,21.641883210349672,12,248
photographer,21.64025573194436,6,249
blessed,21.62521547871128,1,250
kurig,21.62456241983003,3,251
longan,21.623252133172908,1,252
guayusa,21.61502156152658,11,253
cherishes,21.589321372832075,1,254
purchses,21.578529969404173,1,255
enjoy,21.57845185446655,545,256
tangy,21.573764605453615,51,257
curries,21.5638857431953,2,258
pace,21.52777833289864,9,259
