,Word,Value,Freq
533,inedible,-40.556279461360305,100
12136,undercooked,-38.49266325002486,6
13035,unsanitary,-37.32938190828606,5
8440,unedible,-36.89693986894694,8
21546,flopped,-36.3909408462964,2
19092,grossed,-36.187809848877784,6
4115,unappetizing,-34.68313045765246,39
714,undrinkable,-34.457880044037324,37
12760,neglegence,-34.35279865878044,2
29122,scammed,-34.29673090574859,1
18581,stunk,-33.81723691867337,3
18000,mouldy,-33.47510094367738,1
21501,discusting,-33.22430875883923,3
22956,digusting,-32.890869304238606,2
22848,underbaked,-32.64840402312237,1
20320,disguisting,-32.41462973018312,2
24420,characterless,-32.179306984209475,1
4145,unusable,-32.05881999648287,25
13088,disgusting-,-31.59903682038177,1
14344,curdled,-31.526888439518864,3
8977,ripoff,-31.488389654700146,18
2255,moldy,-31.415595986003577,54
870,reeked,-31.361515902558512,5
25458,ewww,-31.00811430180941,1
30432,missleading,-30.994717781767296,1
5898,eww,-30.915135454092145,4
242,disgusting,-30.529868679287542,248
12183,ewwww,-30.513447524118856,3
14608,flop,-30.49304910497661,5
17163,globbed,-30.439921532720902,1
31238,unusuable,-30.319437453444074,1
2087,gross,-30.237215294978792,209
4386,disppointed,-30.073904081903986,2
15122,mockolate,-30.024899479159576,1
14043,delaminated,-30.00874157211543,1
20683,carcas,-29.934258524262315,1
15214,miserably,-29.8295150071249,3
1696,blech,-29.72972699894593,18
25911,grosses,-29.60053426484398,1
6332,cardboardy,-29.51717006479908,2
19590,swindled,-29.32578974960721,1
18974,glopped,-29.257165443774742,1
35254,invalid,-29.207775299647217,1
2905,scamming,-29.117452850016836,3
23284,eew,-29.010691734309493,2
1548,unappealing,-28.820800488298378,31
19754,recoiled,-28.72342043478949,3
16891,vomitted,-28.377652719893412,1
7150,repulsive,-28.320607182613156,17
8132,defective,-28.193891717183007,29
21094,oversalted,-28.054668420086138,4
31151,ripoffs,-28.04886658510839,1
15423,disgust,-28.008035682556123,4
39446,irreparably,-27.990829783464807,1
13705,unfresh,-27.947416384256428,1
183,flavorless,-27.886900300512455,70
646,refund,-27.85779170820638,257
3883,disgusted,-27.821869556761573,31
27328,mildewed,-27.60868069638516,2
4335,tastless,-27.594787296751267,12
734,dumped,-27.593777059451607,53
22159,grose,-27.585213016210563,1
24620,mho,-27.58003794182927,1
5595,scam,-27.56493201358153,11
15449,uninspired,-27.55613862919541,1
29184,dissappointment,-27.54514144826736,2
9587,flops,-27.502511738009915,3
13975,uninspiring,-27.46352823697007,3
17133,shriveled,-27.409682323414177,4
945,cancelled,-27.366277236210724,57
3546,soiled,-27.35241352909989,1
1547,uninteresting,-27.18523643675596,2
7859,putrid,-27.133834614877085,11
11759,unpleasent,-26.985641392693942,4
15855,substandard,-26.923973943577604,3
35376,oversite,-26.91533696503083,1
29526,solicitation,-26.86349453670742,1
25098,flavourless,-26.832120490826764,1
13423,barfed,-26.818371039456594,1
2728,misleading,-26.79609500112237,93
20045,slipshod,-26.790392056960023,1
6518,unattractive,-26.7330740031836,7
3242,misled,-26.702576161895617,6
16935,undeliverable,-26.609594791843556,2
25656,unmemorable,-26.52666788177417,1
484,canceled,-26.50986535483417,31
2541,vomited,-26.499042116955923,20
22718,unsuitable,-26.491765346610766,2
26680,botched,-26.439565597929935,1
9179,rma,-26.414569789609086,2
8967,spat,-26.413873348101863,11
745,failed,-26.39977172778849,47
6624,unprofessional,-26.296914684400267,4
2859,tasteless,-26.21103503584462,144
17034,misshapen,-26.179899718556985,4
25845,smh,-26.176562599475236,1
11373,discolored,-26.141697310438303,13
10303,unrecognizable,-26.13491604673129,6
6619,misread,-26.13101849908568,1
18372,unpleasing,-26.12743641906895,3
27067,shorted,-25.994779656631263,1
23327,unenjoyable,-25.949320842481143,2
26287,roofied,-25.909160228003113,1
23712,doomed,-25.764066537708995,2
650,disappointing,-25.73169309562596,285
13129,knockoff,-25.7125342089593,1
16674,faulting,-25.691710270766013,1
11211,dishwater,-25.600898700194247,9
11783,refundable,-25.59935283167178,7
11499,rotted,-25.594592098321964,6
9158,sickened,-25.593026709717783,10
23078,forgettable,-25.488848365374327,5
5612,diappointed,-25.473893708395142,4
21244,disapointing,-25.470597801916423,1
5253,dissapointment,-25.46918281656807,10
8112,unchewable,-25.441837291826822,8
30100,confused-,-25.407048296799335,1
3871,dissapointing,-25.397265179275855,8
17965,globby,-25.368112523675965,2
31051,👎,-25.3679562466163,1
1447,contaminated,-25.27647965025682,30
2761,refunded,-25.21751812621183,52
21533,deformed,-25.149601278143106,3
1820,hackjob,-25.14709310305599,1
5617,grossly,-25.130538208968762,10
30891,snubbed,-25.112286613675007,1
5298,dud,-25.0401645413939,10
29603,mistook,-25.028704239066364,2
8783,lumpy,-25.0258094567342,9
11463,overcooked,-25.007172200459614,18
20991,diacetyl,-24.998358895906904,1
37148,scalded,-24.98368928762545,1
46271,hoplessly,-24.91209885894669,1
35259,unplesant,-24.82617242025672,1
22976,insulting,-24.808072997006885,4
29771,insensitive,-24.803639589753526,1
29547,corroded,-24.80296681126274,1
20767,slumped,-24.722784532095503,1
31245,glob,-24.64733076200632,1
27644,sogged,-24.645681508397143,1
26859,fiasco,-24.644092358917387,1
44361,fizzle,-24.631972590406544,1
9032,faulty,-24.626588470287313,12
3424,rancid,-24.622445529536392,116
9310,shoddily,-24.61214192756476,2
18514,soured,-24.530821032561718,7
24259,bastardized,-24.52803709448364,1
9155,leaked,-24.513750372081937,45
13380,inexcusable,-24.509607782487752,3
26097,inexcusably,-24.48916881388255,1
15004,illegible,-24.473047273548545,3
673,ruined,-24.460780250140584,69
8285,malnutritioned,-24.448198492821927,4
4935,worthless,-24.41666222269778,25
21155,decomposed,-24.400908123246683,1
1002,garbage,-24.389535403489287,193
28415,lumped,-24.302270170008743,1
24886,extractives,-24.299868112476663,2
22853,coughed,-24.290133623412526,1
29260,egregiously,-24.26300753826366,1
7564,unsafe,-24.26127010068979,11
38250,rehash,-24.213740105744833,1
13314,rejected,-24.208929926617547,11
10561,overspiced,-24.195323495250012,1
5439,mislead,-24.194398103109073,12
9250,disappointedly,-24.188989631996545,3
1095,returnable,-24.12662413024712,49
13002,blankly,-24.10208935687587,1
19666,dirtied,-24.09789376835454,2
19381,mishandled,-24.097132117812873,4
11859,unsold,-24.06581832124753,1
20050,inattention,-24.06025350719067,1
4025,stomped,-24.053506067407003,3
21721,disheartened,-24.046781114278602,2
18491,trashed,-24.028337139180568,7
25371,immature,-24.028117208648986,2
651,sued,-23.989687129248882,4
8169,tailspin,-23.98443338522669,1
10639,fraudulent,-23.95634508360002,4
42509,disregarded,-23.942684957024156,1
22208,forking,-23.893977179390394,1
26300,sickens,-23.890896208409274,1
3156,mealy,-23.881139095437014,15
229,burnt,-23.8806480962128,168
31266,fobbing,-23.87471396726103,1
6723,refunding,-23.87199636885363,14
10698,misrepresented,-23.862533218751455,5
18963,slopped,-23.83804313255608,2
38583,unoriginal,-23.83063961133249,1
7108,unimpressive,-23.81208152634191,5
17862,insulted,-23.797941401893898,3
2830,underwhelming,-23.797325016890678,4
23903,miscalculation,-23.797055399968553,1
7338,cancelling,-23.791026266418523,9
2455,negging,-23.762838570597278,1
27772,mildewy,-23.753241418240908,1
8970,horribly,-23.743628426076334,22
884,puked,-23.743281928729264,8
10702,aweful,-23.699289534039483,12
23956,disapointment,-23.674853764915685,5
7275,displeasing,-23.6697433009305,1
2914,doh,-23.668602480663793,5
13864,plasticky,-23.637396798462557,2
9035,reeks,-23.6245111725332,3
13907,blacklisted,-23.62187000510418,1
25234,goofed,-23.601607677036007,1
20754,lifeless,-23.571383328373397,1
19072,incomplete,-23.565933300056127,6
10565,horridly,-23.553524949437247,2
526,yuck,-23.526948985479596,143
23365,leached,-23.506036324070553,2
4373,dident,-23.500099906515455,2
28569,traumatize,-23.479786275602667,1
42036,sully,-23.457351868915133,1
22970,abomination,-23.452811665900622,3
7869,barf,-23.370190921553956,7
19737,misrepresenting,-23.335697941971,2
3298,misguided,-23.328278440871205,5
2752,uneatable,-23.316944566063984,3
21382,procter,-23.304841130137667,1
17697,horrifically,-23.304182805840806,2
3887,plasticy,-23.239448507520773,2
21766,patenting,-23.23595822251588,1
17005,yeck,-23.220454435100567,1
45400,chintzy,-23.184972747966768,1
7429,blamed,-23.161081648325077,4
10143,insipid,-23.157284142098984,6
15407,lackluster,-23.131719306795826,6
14340,excrement,-23.121254418015607,5
22468,merchandising,-23.078550018529658,1
21049,failing,-23.058926081707863,5
8932,suing,-23.055428605919126,3
10769,pathetic,-23.003764348207444,10
11700,hacked,-23.0018225894356,3
10302,degraded,-22.989462668770376,3
13134,debacle,-22.97378302943057,5
15824,hideous,-22.95263754878241,6
19127,untested,-22.94119620433045,3
22221,terribley,-22.92725173411714,1
24566,disrespect,-22.90228162165598,2
2697,ugh,-22.899436497510184,47
8240,disgrace,-22.856923079064817,6
21048,negligence,-22.855967224294137,2
12393,worste,-22.829881362742377,1
1837,vomit,-22.803640215039362,45
24589,warped,-22.75673967249701,3
12457,dumping,-22.739452563809078,20
6046,failure,-22.71283221014296,34
8152,canceling,-22.707574561552722,6
7917,ughhh,-22.70258811311484,1
25916,ineffective,-22.641724573595784,5
983,waste,-22.63112649554192,620
22333,grosser,-22.59705236547336,1
26414,mediocore,-22.592970261638424,1
5020,rotting,-22.565937390408923,14
41347,lumping,-22.554496752435508,1
26206,misspelled,-22.548887143374934,1
3724,retched,-22.544314338509498,1
1798,ugly,-22.536408418189865,19
5422,tacky,-22.530738190915617,9
22087,travesty,-22.529621623675993,3
24442,unwholesome,-22.52452242472603,2
11199,unethical,-22.497641899405124,6
31521,antoinette,-22.477264671421107,1
45860,regressed,-22.446718925101937,1
22016,carelessness,-22.43601975174776,2
13806,repugnant,-22.421575589276298,3
35862,inconsistant,-22.413016621051977,1
30972,splotchy,-22.400807678331653,1
12114,irresponsible,-22.400273396643932,6
29912,withered,-22.399045065027728,3
3602,overpriced,-22.393090274300786,92
34566,ipo,-22.38644064386406,1
2786,shorting,-22.382489291572963,1
25061,mislabeling,-22.38180780355295,1
21070,carbonization,-22.35989438819247,1
20801,horrible-,-22.34774801377817,1
20786,unworthy,-22.332873362376997,1
2651,messed,-22.317525856684938,18
7970,napkin,-22.279705143978827,7
26172,disregard,-22.26679016192723,3
17265,skunky,-22.24707004792941,3
9361,revolting,-22.22985312429308,4
44791,littering,-22.22503681619953,1
4717,deceived,-22.223946152626265,10
18666,mustiness,-22.173577466389645,3
3096,refunds,-22.165361367286742,7
3919,dismayed,-22.161009499187415,15
7326,wtf,-22.15202733985934,9
4102,disapointed,-22.13650203187778,24
11155,outdated,-22.108098634531256,13
6592,droppings,-22.10753440262354,6
23972,disasterous,-22.088166605664828,2
40332,relisted,-22.0793335277094,1
22720,vomitous,-22.071840062381703,2
19756,contaminate,-22.062287206489994,5
22465,cheapened,-22.06154853453546,2
23617,undistinguishable,-22.037819323106145,1
17945,uncalled,-22.02953405694841,1
14347,alienating,-22.013908657455584,1
24640,snubbing,-22.002260903077005,2
3965,unacceptably,-21.99082666336751,5
39886,mindedly,-21.975006784666487,1
31411,woefully,-21.961171794514232,1
8175,slimey,-21.960621397572904,10
26225,abysmal,-21.94811223223187,2
2632,unsuccessful,-21.925335722861544,5
17454,slimmy,-21.91137850541725,1
8873,misrepresentation,-21.895785938269462,6
9226,ruining,-21.8820901840984,19
18124,regift,-21.867711688277094,1
37805,fetid,-21.867653913205814,1
32573,misinformed,-21.800879180995636,2
1335,bland,-21.798714760293404,339
13096,gack,-21.771013746609057,2
20199,farted,-21.747798246798393,2
6221,smelly,-21.73186671841607,31
8954,fail,-21.72647847169671,50
25599,scarred,-21.697104097920043,1
24946,gristly,-21.673140149257936,1
18238,overpricing,-21.661763981233623,1
42890,limped,-21.651848296657924,1
25958,betrayed,-21.647164251456278,2
5427,rot,-21.627088943321933,13
2544,dump,-21.579297592133923,62
20528,tsk,-21.578124532313407,1
978,horrible,-21.534200461287387,493
18797,irreversibly,-21.51426057248512,2
26461,castoffs,-21.486730945314903,1
11153,disappointed-,-21.47714112615119,5
15659,dismal,-21.4593390537998,1
6954,screwed,-21.45011365532305,23
23138,disastrous,-21.449316871150177,1
11320,insult,-21.444456414804925,22
20921,neglectful,-21.433348617931287,1
15438,horrendously,-21.430503070932684,2
5961,wasting,-21.41607492282222,54
13777,barfs,-21.415507585511172,2
13938,leaching,-21.40249368962045,4
13421,blander,-21.40161286591115,7
46554,hilton,-21.38411343147241,1
19915,incompetent,-21.38203645512829,3
14013,neglecting,-21.367880832776876,1
18433,incoherent,-21.35028828936886,1
25252,scorched,-21.348140715078866,4
20315,dejected,-21.34252679257382,1
16022,cancels,-21.33102861886484,1
1528,cancel,-21.33063504312992,56
42820,sheraton,-21.326906889483443,1
21169,diappointing,-21.321764886488364,1
25879,frowned,-21.31891187232396,2
27163,unwashed,-21.317777161363445,1
25584,unflushed,-21.290241772144118,1
32279,moldiness,-21.280226737986787,1
31117,overreacted,-21.263579389420368,1
13798,slapped,-21.253329961007896,5
