word,score,wordCount,SVM_Rank
catan,86.26463336332995,59,0
settlers,60.667275626141134,60,1
fleet,60.048422192972524,15,2
settler,59.91004562027103,2,3
fleets,57.47006793589287,4,4
celtic,55.903692138629175,5,5
buses,55.71600465954832,2,6
greyboard,55.364365345586435,1,7
12i,55.06603837435357,1,8
insured,54.79413394392011,1,9
around.i,54.14108120887118,3,10
versatile-,52.03050540968974,1,11
rubberwood,51.277726376470355,1,12
irish,50.75163574326442,1,13
afforable,49.69245476199911,1,14
seafarers,49.67982380131411,7,15
cucumber,49.58824798642388,2,16
tagless,48.89398073986996,1,17
puzzlers,48.87379823749893,1,18
hydrate,48.81942845093164,1,19
versatile,48.41755219485951,26,20
with.i,48.2929375398842,2,21
9-over,47.07771001374796,1,22
crosswords,47.03886731461344,4,23
versitle,46.947639285348174,1,24
natured,46.57901215127068,2,25
brightening,46.250402377349815,1,26
oxford,46.1160706650963,1,27
svm,45.70966011465327,14,28
versitile,45.564927518704316,1,29
chrysalids,45.253102141043954,1,30
celts,44.07155264622001,2,31
apples,43.989574741261535,27,32
repurchase,43.335919712731815,1,33
mischief,43.17996827401487,3,34
tomatoes,43.10981497098813,5,35
52-card,43.07473421766378,1,36
great.we,42.66098210450288,1,37
resealable,42.58750718009228,2,38
calmed,42.467557407669545,2,39
destructable,42.44089653100227,1,40
reflux,42.26643978784983,1,41
favorie,42.205652007075145,1,42
calm,42.05313757691769,6,43
programmable,41.86982832164468,2,44
diecut,41.79881661473743,1,45
columbus,41.787123199510965,1,46
blended,41.66722604471642,1,47
smoothie,41.571857916597914,1,48
qx,41.52801085621832,1,49
esl,41.47433683641149,2,50
hardy,41.42176062683235,4,51
brainteasers,41.173921609943335,1,52
athens,41.13191869261331,13,53
castell,41.09067538851575,1,54
kronos,40.873556109532444,1,55
blending,40.844738222519595,2,56
withstands,40.630964936751994,6,57
scurvy,40.550681614273664,1,58
affordability,40.523695504263245,1,59
andromeda,40.42138898905972,1,60
resilient,40.34490501823191,1,61
yonkers,40.233162501277754,1,62
safest,40.21067593610556,1,63
toguether,40.19084493164682,1,64
easiness,40.157111335594124,1,65
stencils,39.9071150989016,1,66
comraderie,39.840271771133345,1,67
flag,39.65116142514117,4,68
soothed,39.630715909397956,3,69
caller,39.48819354265257,1,70
cording,39.22715819877171,1,71
comforting,39.12863930839709,14,72
flares,38.982692972342015,2,73
mischievous,38.970306419017035,1,74
blend,38.72181696869838,10,75
seamlessly,38.70638032746494,3,76
monterey,38.66612439243692,1,77
unbeatable,38.62614232079448,2,78
chrysallis,38.58977727292568,1,79
pleaser,38.487994042852364,4,80
versatility,38.30560172406727,5,81
sassy,38.268950828204765,1,82
sturdy,38.12874159265748,521,83
grandsons,37.99275906251777,24,84
calms,37.940164547077096,1,85
leprechaun,37.906793013706036,1,86
quickness,37.774879964224766,1,87
knowledgeable,37.7195602062627,1,88
volatility,37.714162393325715,1,89
sociable,37.68399302965523,1,90
friendly,37.552613872544214,80,91
watchful,37.49870529169186,2,92
400,37.390933333690846,2,93
pigmented,37.36032418516115,1,94
